開放粵語詞典（黃錫凌數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［黃錫凌拼音］	［國語解釋］
亂臣	lyn6 sɐn4	
亂寫	lyn6 sɛ2	
亂成一團	lyn6 sɪŋ4 jɐt7 tyn4	
亂扠	lyn6 tsa5	亂塗
亂抄	lyn6 tsau3	亂翻
亂七八糟	lyn6 tsɐt7 bat8 dzou1	
亂闖	lyn6 tsɔŋ2	
亂車	lyn6 tsɛ1	胡吹，瞎扯，胡說
亂車廿四	lyn6 tsɛ1 ja6 sei3	亂吹一氣，瞎扯一通
亂噏	lyn6 ŋɐp7	胡說，亂說
亂噏廿四	lyn6 ŋɐp7 ja6 sei3	胡說八道
亂噏嘢	lyn6 ŋɐp7 jɛ5	亂說話
劣品	lyt8 bɐn2	
劣質	lyt8 dzɐt7	
劣等	lyt8 dɐŋ2	
劣等品	lyt8 dɐŋ2 bɐn2	
劣根	lyt8 gɐn1	
劣根性	lyt8 gɐn1 sɪŋ3	
劣勢	lyt8 sɐi3	
劣性	lyt8 sɪŋ3	
掠水	lœk7 sœy2	騙錢，騙財
略帶	lœk9 dai3	
掠奪	lœk9 dyt9	
略知	lœk9 dzi1	
略知一二	lœk9 dzi1 jɐt7 ji6	
略知皮毛	lœk9 dzi1 pei4 mou4	
略加	lœk9 ga1	
略見一斑	lœk9 gin3 jɐt7 ban1	
略過	lœk9 gwɔ3	
略去	lœk9 hœy3	
略語	lœk9 jy5	
略有	lœk9 jɐu5	
略有出入	lœk9 jɐu5 tsœt7 jɐp9	
略略	lœk9 lœk9	稍微，略微，稍稍
略微	lœk9 mei4	
略勝一籌	lœk9 sɪŋ3 jɐt7 tsɐu4	
略同	lœk9 tʊŋ4	
噒	lœn1	啃
噒諄	lœn1 dzœn1	羅嗦，羅哩羅嗦
噒榄核	lœn1 lam5 wɐt9	啃橄欖核
輪	lœn4	陣子
輪	lœn4	排隊購買
輪	lœn4	次，頓
掄刀	lœn4 dou1	
鱗爪	lœn4 dzau2	
輪住	lœn4 dzy6	輪流
輪住值班	lœn4 dzy6 dzik9 ban1	輪流值班
輪住嚟	lœn4 dzy6 lei4	挨個兒來
輪軸	lœn4 dzʊk9	
鱗甲	lœn4 gap8	
輪更	lœn4 gaŋ1	輪班
磷光	lœn4 gwɔŋ1	
鄰居	lœn4 gœy1	
輪轂	lœn4 gʊk7	
淪陷	lœn4 ham6	
輪椅	lœn4 ji2	
論語	lœn4 jy5	
鱗形	lœn4 jɪŋ4	
輪廓	lœn4 kwɔk8	
掄拳	lœn4 kyn4	
倫理	lœn4 lei5	
嶙嶙	lœn4 lœn4	
粼粼	lœn4 lœn4	
粼粼碧波	lœn4 lœn4 bik7 bɔ1	
輪流	lœn4 lɐu4	
淪落	lœn4 lɔk9	
鱗毛	lœn4 mou4	
淪亡	lœn4 mɔŋ4	
鱗片	lœn4 pin3	
鱗片狀	lœn4 pin3 dzɔŋ6	
遴選	lœn4 syn2	
輪船	lœn4 syn4	
嶙峋	lœn4 sœn1	
輪胎	lœn4 tai1	
鱗次櫛比	lœn4 tsi3 dzit8 bei2	
淪為	lœn4 wɐi4	
論點	lœn6 dim2	
論調	lœn6 diu6	
論盡	lœn6 dzœn6	笨手笨腳，粗心大意，舉動不靈，不小心，馬大哈
論盡	lœn6 dzœn6	麻煩，累贅，狼狽，糟糕，不方便，不利索
論證	lœn6 dzɪŋ3	
論文	lœn6 mɐn4	
吝嗇	lœn6 sik7	
吝啬	lœn6 sik7	
論壇	lœn6 tan4	
律己	lœt9 gei2	
律令	lœt9 lɪŋ6	
律師	lœt9 si1	
律詩	lœt9 si1	
律師紙	lœt9 si1 dzi2	律師證明
律師行	lœt9 si1 hɔŋ4	
律師樓	lœt9 si1 lɐu4	律師事務所
律師事務所	lœt9 si1 si6 mou6 sɔ2	
傈僳族	lœt9 sʊk7 dzʊk9	
騾	lœy4	騾子
雷達	lœy4 dat9	
雷達站	lœy4 dat9 dzam6	
雷達網	lœy4 dat9 mɔŋ5	
雷電	lœy4 din6	
驢仔	lœy4 dzɐi2	苦工
雷陣雨	lœy4 dzɐn6 jy5	
雷擊	lœy4 gik7	
雷管	lœy4 gun2	
雷轟	lœy4 gwɐŋ1	
雷轟電閃	lœy4 gwɐŋ1 din6 sim2	
雷公	lœy4 gʊŋ1	
雷雨	lœy4 jy5	
嫘縈	lœy4 jɪŋ4	
驢駒	lœy4 kœy1	
雷厲風行	lœy4 lɐi6 fʊŋ1 hɐŋ4	
騾馬	lœy4 ma5	
雷鳴	lœy4 mɪŋ4	
雷劈	lœy4 pɛk8	
雷射	lœy4 sɛ6	
雷射槍	lœy4 sɛ6 tsœŋ1	
雷聲	lœy4 sɛŋ1	
雷聲大雨點小	lœy4 sɪŋ1 dai6 jy5 dim2 siu2	
雷霆	lœy4 tɪŋ4	
雷霆萬鈞之勢	lœy4 tɪŋ4 man6 gwɐn1 dzi1 sɐi3	
雷同	lœy4 tʊŋ4	
雷雲	lœy4 wɐn4	
屢敗屢戰	lœy5 bai6 lœy5 dzin3	
裏便	lœy5 bin6	裡面，裡邊，裡頭
累積	lœy5 dzik7	
屢戰屢敗	lœy5 dzin3 lœy5 bai6	
累贅	lœy5 dzœy3	
裏底	lœy5 dɐi2	裡面，裡邊，裡頭
屢教不改	lœy5 gau3 bɐt7 gɔi2	
屢見不鮮	lœy5 gin3 bɐt7 sin1	
屢建奇功	lœy5 gin3 kei4 gʊŋ1	
旅館	lœy5 gun2	
旅客	lœy5 hak8	
屢勸不聽	lœy5 hyn3 bɐt7 tɪŋ1	
旅行	lœy5 hɐŋ4	
旅行團	lœy5 hɐŋ4 tyn4	
旅遊	lœy5 jɐu4	
旅遊巴士	lœy5 jɐu4 ba1 si2	
旅遊巴士司機	lœy5 jɐu4 ba1 si2 si1 gei1	
旅遊業	lœy5 jɐu4 jip9	
旅遊團隊	lœy5 jɐu4 tyn4 dœy6	
壘球	lœy5 kɐu4	
壘球隊	lœy5 kɐu4 dœy6	
壘球員	lœy5 kɐu4 jyn4	
壘球棒	lœy5 kɐu4 paŋ5	
膂力	lœy5 lik9	
膂力過人	lœy5 lik9 gwɔ3 jɐn4	
屢屢	lœy5 lœy5	
磊落	lœy5 lɔk9	
裡面	lœy5 min6	
屢試不爽	lœy5 si3 bɐt7 sɔŋ2	
壘上	lœy5 sœŋ6	
壘上有人	lœy5 sœŋ6 jɐu5 jɐn4	
壘上無人	lœy5 sœŋ6 mou4 jɐn4	
女首富	lœy5 sɐu2 fu3	
旅途	lœy5 tou4	
屢次	lœy5 tsi3	
旅程	lœy5 tsɪŋ4	
類別	lœy6 bit9	
濾紙	lœy6 dzi2	
濾嘴	lœy6 dzœy2	
濾液	lœy6 jik9	
累死	lœy6 sei2	害死，陷害
濾色鏡	lœy6 sik7 gɛŋ3	
淚水	lœy6 sœy2	
類似	lœy6 tsi5	
濾出	lœy6 tsœt7	
糧	lœŋ4	薪水
良知	lœŋ4 dzi1	
涼風	lœŋ4 fʊŋ1	
良家	lœŋ4 ga1	
良家婦女	lœŋ4 ga1 fu5 nœy5	
良機	lœŋ4 gei1	
良久	lœŋ4 gɐu2	
量角	lœŋ4 gɔk8	
量角規	lœŋ4 gɔk8 kwɐi1	
良好	lœŋ4 hou2	
良藥	lœŋ4 jœk9	
良藥苦口	lœŋ4 jœk9 fu2 hɐu2	
良禽擇木而棲	lœŋ4 kɐm4 dzak9 mʊk9 ji4 tsɐi1	
涼麵	lœŋ4 min6	
良民	lœŋ4 mɐn4	
梁山	lœŋ4 san1	
良師益友	lœŋ4 si1 jik7 jɐu5	
糧食	lœŋ4 sik9	
良宵	lœŋ4 siu1	
良心	lœŋ4 sɐm1	
良辰吉日	lœŋ4 sɐn4 gɐt7 jɐt9	
涼爽	lœŋ4 sɔŋ2	涼快
良性	lœŋ4 sɪŋ3	
涼茶	lœŋ4 tsa4	清涼茶，去火湯藥
涼茶舖	lœŋ4 tsa4 pou2	賣清涼茶的店
良策	lœŋ4 tsak8	
莨綢	lœŋ4 tsɐu4	
涼亭	lœŋ4 tɪŋ4	
兩敗俱傷	lœŋ5 bai6 kœy1 sœŋ1	
兩邊倒	lœŋ5 bin1 dou2	
兩點	lœŋ5 dim2	
兩點鐘	lœŋ5 dim2 dzʊŋ1	
兩度散手	lœŋ5 dou6 san2 sɐu2	兩下子
兩仔爺	lœŋ5 dzɐi2 jɛ4	父子倆，兩父子
兩仔乸	lœŋ5 dzɐi2 na2	母子倆，娘兒倆
兩袖清風	lœŋ5 dzɐu6 tsɪŋ1 fʊŋ1	
兩者	lœŋ5 dzɛ2	
兩者缺一不可	lœŋ5 dzɛ2 kyt8 jɐt7 bɐt7 hɔ2	
兩虎相鬥	lœŋ5 fu2 sœŋ1 dɐu3	
兩虎相鬥必有一傷	lœŋ5 fu2 sœŋ1 dɐu3 bit7 jɐu5 jɐt7 sœŋ1	
兩方面	lœŋ5 fɔŋ1 min6	
兩極	lœŋ5 gik9	
兩極化	lœŋ5 gik9 fa3	
兩極管	lœŋ5 gik9 gun2	
兩訖	lœŋ5 gɐt7	
兩個字	lœŋ5 gɔ3 dzi6	十分鍾
兩公婆	lœŋ5 gʊŋ1 pɔ4	夫妻倆，兩夫婦
兩害相權取其輕	lœŋ5 hɔi6 sœŋ1 kyn4 tsœy2 kei4 hɪŋ1	
兩兄妹	lœŋ5 hɪŋ1 mui6	兄妹兩個人，兄妹倆
兩院	lœŋ5 jyn6	
兩院制	lœŋ5 jyn6 dzɐi3	
兩粵	lœŋ5 jyt9	
兩面	lœŋ5 min6	
兩母女	lœŋ5 mou5 nœy5	母女倆
兩倍	lœŋ5 pui5	
兩小無猜	lœŋ5 siu2 mou4 tsai1	
兩手空空	lœŋ5 sɐu2 hʊŋ1 hʊŋ1	
兩性	lœŋ5 sɪŋ3	
兩全其美	lœŋ5 tsyn4 kei4 mei5	
兩棲	lœŋ5 tsɐi1	
兩棲部隊	lœŋ5 tsɐi1 bou6 dœy6	
兩棲作戰	lœŋ5 tsɐi1 dzɔk8 dzin3	
兩棲登陸	lœŋ5 tsɐi1 dɐŋ1 lʊk9	
兩棲動物	lœŋ5 tsɐi1 dʊŋ6 mɐt9	
兩棲類	lœŋ5 tsɐi1 lœy6	
兩頭蛇	lœŋ5 tɐu4 sɛ4	兩面派
兩眼濕濕	lœŋ5 ŋan5 sɐp7 sɐp7	淚汪汪，含著眼淚，熱淚盈眶，眼眶濕潤，淚盈於睫，眼淚汪汪的，滿臉淚痕，眼睛紅紅的
兩岸	lœŋ5 ŋɔn6	
兩岸關係	lœŋ5 ŋɔn6 gwan1 hɐi6	
諒解	lœŋ6 gai2	
亮光	lœŋ6 gwɔŋ1	
量入為出	lœŋ6 jɐp9 wɐi4 tsœt7	
量力	lœŋ6 lik9	
量力而行	lœŋ6 lik9 ji4 hɐŋ4	
量力而為	lœŋ6 lik9 ji4 wɐi4	
量產	lœŋ6 tsan2	
量詞	lœŋ6 tsi4	
踉蹌	lœŋ6 tsœŋ3	
厲	lɐi2	擰，扭轉
厲轉身	lɐi2 dzyn2 sɐn1	轉過身去
厲埋片面	lɐi2 mai4 pin3 min6	背過臉去
犁地	lɐi4 dei6	
藜麥	lɐi4 mɐk9	
黎明	lɐi4 mɪŋ4	
犁田	lɐi4 tin4	
禮拜	lɐi5 bai3	星期，禮拜
禮拜二	lɐi5 bai3 ji6	星期二，禮拜二
禮拜一	lɐi5 bai3 jɐt7	星期一，禮拜一
禮拜日	lɐi5 bai3 jɐt9	星期日，禮拜天
禮拜六	lɐi5 bai3 lʊk9	星期六，禮拜六
禮拜三	lɐi5 bai3 sam1	星期三，禮拜三
禮拜四	lɐi5 bai3 sei3	星期四，禮拜四
禮拜五	lɐi5 bai3 ŋ̩5	星期五，禮拜五
禮品	lɐi5 bɐn2	
禮節	lɐi5 dzit8	
禮俗	lɐi5 dzʊk9	
禮多人不怪	lɐi5 dɔ1 jɐn4 bɐt7 gwai3	
禮服	lɐi5 fʊk9	
禮教	lɐi5 gau3	
禮盒	lɐi5 hɐp9	
禮輕人意重	lɐi5 hɪŋ1 jɐn4 ji3 tsʊŋ5	
禮儀	lɐi5 ji4	
禮儀之邦	lɐi5 ji4 dzi1 bɔŋ1	
禮義	lɐi5 ji6	
禮義廉恥	lɐi5 ji6 lim4 tsi2	
禮賢下士	lɐi5 jin4 ha6 si6	
禮遇	lɐi5 jy6	
禮貌	lɐi5 mau6	
禮帽	lɐi5 mou6	
禮物	lɐi5 mɐt9	
禮聘	lɐi5 pɪŋ3	
禮數	lɐi5 sou3	
禮尚往來	lɐi5 sœŋ6 wɔŋ5 lɔi4	
禮堂	lɐi5 tɔŋ4	
荔枝	lɐi6 dzi1	
荔枝造	lɐi6 dzi1 dzou6	荔枝旺季
荔枝汁	lɐi6 dzi1 dzɐp7	
例證	lɐi6 dzɪŋ3	
例句	lɐi6 gœy3	
例行	lɐi6 hɐŋ4	
例行工作	lɐi6 hɐŋ4 gʊŋ1 dzɔk8	
例行公事	lɐi6 hɐŋ4 gʊŋ1 si6	
厲害	lɐi6 hɔi6	
例如	lɐi6 jy4	
儷影	lɐi6 jɪŋ2	
例文	lɐi6 mɐn4	
例牌	lɐi6 pai2	照例，慣例，常例，老一套的，時時如此的
利是	lɐi6 si6	紅包，壓歲錢
利是封	lɐi6 si6 fʊŋ1	紅包封套
利是錢	lɐi6 si6 tsin2	紅包，壓歲錢
儷辭	lɐi6 tsi4	
例題	lɐi6 tɐi4	
例湯	lɐi6 tɔŋ1	普通湯
例外	lɐi6 ŋɔi6	
勒兵	lɐk9 bɪŋ1	
勒住	lɐk9 dzy6	
勒緊	lɐk9 gɐn2	
勒緊褲帶	lɐk9 gɐn2 fu3 dai3	
肋軟骨	lɐk9 jyn5 gwɐt7	
勒令	lɐk9 lɪŋ6	
勒馬	lɐk9 ma5	
勒索	lɐk9 sak8	
勒死	lɐk9 sei2	
勒贖	lɐk9 sʊk9	
冧	lɐm1	哄
冧	lɐm1	蕾，蓓蕾，花蕾
冧巴	lɐm1 ba2	號碼，編號
冧巴溫	lɐm1 ba2 wɐn1	第一號，第一
冧酒	lɐm1 dzɐu2	朗姆酒，蘭姆酒，藍姆酒，糖酒
冧歌	lɐm1 gɔ1	抒情歌
冧	lɐm3	倒，倒塌
冧咗	lɐm3 dzɔ2	死了，去世
冧檔	lɐm3 dɔŋ2	垮台，倒閉
冧友	lɐm3 jɐu2	殺人
冧屘	lɐm3 mei1	後來，末了，到最後
臨別	lɐm4 bit9	
臨陣	lɐm4 dzɐn6	
臨陣磨槍	lɐm4 dzɐn6 mɔ4 tsœŋ1	
臨陣脫逃	lɐm4 dzɐn6 tyt8 tou4	
臨終	lɐm4 dzʊŋ1	
淋花	lɐm4 fa1	澆花
臨風	lɐm4 fʊŋ1	
臨界	lɐm4 gai3	
臨界壓力	lɐm4 gai3 at8 lik9	
臨界點	lɐm4 gai3 dim2	
臨界角	lɐm4 gai3 gɔk8	
臨界溫度	lɐm4 gai3 wɐn1 dou6	
臨記	lɐm4 gei3	臨時演員
臨近	lɐm4 gɐn6	
臨急抱佛腳	lɐm4 gɐp7 pou5 fɐt9 gœk8	臨時抱佛腳
臨河	lɐm4 hɔ4	
臨海	lɐm4 hɔi2	
臨渴掘井	lɐm4 hɔt8 gwɐt9 dzɪŋ2	
淋紅油	lɐm4 hʊŋ4 jɐu4	恐嚇，惡意攻擊
淋雨	lɐm4 jy5	
淋浴	lɐm4 jʊk9	
林立	lɐm4 lap9	
淋漓盡致	lɐm4 lei4 dzœn6 dzi3	
琳琅滿目	lɐm4 lɔŋ4 mun5 mʊk9	
臨摹	lɐm4 mou4	
臨盆	lɐm4 pun4	
臨死	lɐm4 sei2	
淋屎	lɐm4 si2	潑糞，潑糞便
臨時	lɐm4 si4	
臨時抱佛腳	lɐm4 si4 pou5 fɐt9 gœk8	
臨水	lɐm4 sœy2	
臨深履薄	lɐm4 sɐm1 lei5 bɔk9	
林沈	lɐm4 sɐm2	拉雜，曖昧，不三不四，麻煩的，烏七八糟的
林沈嘢	lɐm4 sɐm2 jɛ5	不三不四的事，麻煩事
臨產	lɐm4 tsan2	
臨床	lɐm4 tsɔŋ4	
臨床經驗	lɐm4 tsɔŋ4 gɪŋ1 jim6	
臨床實驗	lɐm4 tsɔŋ4 sɐt9 jim6	
臨頭	lɐm4 tɐu4	
臨湖	lɐm4 wu4	
臨危	lɐm4 ŋɐi4	
臨危不懼	lɐm4 ŋɐi4 bɐt7 gœy6	
臨危不亂	lɐm4 ŋɐi4 bɐt7 lyn6	
凜冽	lɐm5 lit9	
凜厲	lɐm5 lɐi6	
笠	lɐp7	竹簍，帽子，覆蓋物
笠	lɐp7	套，罩，收攏
笠遮	lɐp7 dzɛ1	收傘
笠高帽	lɐp7 gou1 mou2	用好話恭維人
笠衫	lɐp7 sam1	汗衫
笠細路仔	lɐp7 sɐi3 lou6 dzɐi2	哄小孩
立亂	lɐp9 lyn6	亂，隨便
立立亂	lɐp9 lɐp2 lyn6	亂糟糟，亂七八糟，心神不安，心亂如麻
甩	lɐt7	脫落，掉
甩咗	lɐt7 dzɔ2	掉了
甩底	lɐt7 dɐi2	失約，爽約，失信，放鴿子，不負責任
甩褲	lɐt7 fu3	掉褲子
甩鉸	lɐt7 gau3	脫臼，脫位
甩鞋帶	lɐt7 hai4 dai3	鞋帶鬆了
甩皮甩骨	lɐt7 pei4 lɐt7 gwɐt7	缺頭少尾的
甩色	lɐt7 sik7	掉色，褪色
甩鬚	lɐt7 sou1	丟臉，出醜
甩身	lɐt7 sɐn1	脫身
甩身唔到	lɐt7 sɐn1 m̩4 dou2	脫不了身
甩手	lɐt7 sɐu2	脫手
甩頭髮	lɐt7 tɐu4 fat8	脫髮
甩拖	lɐt7 tɔ1	與女朋友失約
甩牙	lɐt7 ŋa4	牙掉了
摟	lɐu1	披，蒙，蓋
褸	lɐu1	大衣
褸席	lɐu1 dzɛk9	當乞丐
摟席	lɐu1 dzɛk9	當乞丐
褸裙	lɐu1 kwɐn2	大衣式連衣裙
樓	lɐu2	公寓
摟抱	lɐu2 pou5	
嘍	lɐu3	邀約，勸，逗
嘍口	lɐu3 hɐu2	口吃，說話結結巴巴
流	lɐu4	次等，劣等，假的，差
留步	lɐu4 bou6	
榴彈	lɐu4 dan2	
留低	lɐu4 dɐi1	留下
留翻	lɐu4 fan1	留下
留髮	lɐu4 fat8	
螻蛄	lɐu4 gu1	
流感	lɐu4 gɐm2	
樓下	lɐu4 ha6	
留校	lɐu4 hau6	
撈起	lɐu4 hei2	
流血	lɐu4 hyt8	
留响屋企湊仔	lɐu4 hœŋ2 ŋʊk7 kei2 tsɐu3 dzɐi2	留在家裡照顧孩子
流口水	lɐu4 hɐu2 sœy2	垂涎三尺
流口水	lɐu4 hɐu2 sœy2	低劣
流行	lɐu4 hɐŋ4	
流行病	lɐu4 hɐŋ4 bɛŋ6	
流行音樂	lɐu4 hɐŋ4 jɐm1 ŋɔk9	
流行性感冒	lɐu4 hɐŋ4 sɪŋ3 gɐm2 mou6	
留學生	lɐu4 hɔk9 saŋ1	
留空	lɐu4 hʊŋ1	
留醫	lɐu4 ji1	住院
留言簿	lɐu4 jin4 bou6	
流言蜚語	lɐu4 jin4 fei1 jy5	
撈魚	lɐu4 jy4	
留餘地	lɐu4 jy4 dei6	
樓宇	lɐu4 jy5	樓房
留任	lɐu4 jɐm6	
流嘢	lɐu4 jɛ5	次品，贗品
樓契	lɐu4 kɐi3	房產證，房地產證
留級	lɐu4 kɐp7	
留級生	lɐu4 kɐp7 saŋ1	
瀏覽	lɐu4 lam5	
琉璃	lɐu4 lei4	
流利	lɐu4 lei6	
留念	lɐu4 lim6	
留連	lɐu4 lin4	
榴蓮	lɐu4 lin4	
留連忘返	lɐu4 lin4 mɔŋ4 fan2	
留戀	lɐu4 lyn2	
流流	lɐu4 lɐu4	正當…的時候
流落江湖	lɐu4 lɔk9 gɔŋ1 wu4	
流落嚟	lɐu4 lɔk9 lei4	流下来
流氓	lɐu4 mɔŋ4	
樓盤	lɐu4 pun2	房子
流晒口水	lɐu4 sai3 hɐu2 sœy2	垂涎三尺
硫酸	lɐu4 syn1	
流水	lɐu4 sœy2	
樓上	lɐu4 sœŋ6	
流逝	lɐu4 sɐi6	
流星	lɐu4 sɪŋ1	
流竄	lɐu4 tsyn3	
撈取	lɐu4 tsœy2	
樓梯	lɐu4 tɐi1	
流體	lɐu4 tɐi2	
留頭髮	lɐu4 tɐu4 fat8	
流淌	lɐu4 tɔŋ2	
留鬍鬚	lɐu4 wu4 sou1	
硫磺	lɐu4 wɔŋ4	
漏	lɐu6	遺漏
溜冰	lɐu6 bɪŋ1	
溜冰鞋	lɐu6 bɪŋ1 hai4	
溜冰場	lɐu6 bɪŋ1 tsœŋ4	
漏底	lɐu6 dɐi2	露餡
漏斗	lɐu6 dɐu2	
溜光	lɐu6 gwɔŋ1	
漏口佬	lɐu6 hɐu2 lou2	結巴
漏水	lɐu6 sœy2	
溜滑	lɐu6 wat9	
溜滑梯	lɐu6 wat9 tɐi1	
陋屋	lɐu6 ʊk7	
掕	lɐŋ3	串
囉	lɔ1	了，啊
囖	lɔ1	籮筐，手提小籮，小籃子
囉氣	lɔ1 hei3	勞神
囉柚	lɔ1 jɐu2	屁股
囉攣	lɔ1 lyn1	鬧，哭鬧，啼哭，不舒服
囉囉攣	lɔ1 lɔ1 lyn1	鬧，哭鬧，鬧騰，焦躁不安
螺	lɔ2	螺螄，田螺
攞	lɔ2	拿
籮	lɔ2	斗
攞到	lɔ2 dou2	拿到
攞獎	lɔ2 dzœŋ2	獲獎，得獎，領獎
攞走	lɔ2 dzɐu2	拿掉，拿走，拿了
攞翻	lɔ2 fan1	拿回，取回，拿回來
攞翻公道	lɔ2 fan1 gʊŋ1 dou6	討回公道，取回公道
攞翻去	lɔ2 fan1 hœy3	拿回去
攞苦嚟辛	lɔ2 fu2 lei4 sɐn1	自討苦吃，自找麻煩，自找苦吃
攞過嚟	lɔ2 gwɔ3 lei4	拿過來
攞個籌掛號	lɔ2 gɔ3 tsɐu2 gwa3 hou6	拿個牌兒掛號
攞景	lɔ2 gɪŋ2	取景，抓鏡頭
攞景	lɔ2 gɪŋ2	揶揄，諷刺，起閧，故意氣人
攞起	lɔ2 hei2	拿起
攞嚟	lɔ2 lei4	拿來，用來
攞嚟賤	lɔ2 lei4 dzin6	自找麻煩，自討苦吃
攞嚟攪嘅	lɔ2 lei4 gau2 gɛ3	自找麻煩，自討苦吃
攞嚟講	lɔ2 lei4 gɔŋ2	隨便說說
攞嚟講嘅啫	lɔ2 lei4 gɔŋ2 gɛ3 dzɛ1	隨便說說而已，隨便說說罷了
攞嚟衰	lɔ2 lei4 sœy1	自找麻煩，自討苦吃
攞嚟睇睇	lɔ2 lei4 tɐi2 tɐi2	拿來看看
裸露	lɔ2 lou6	
攞落嚟	lɔ2 lɔk9 lei4	拿下來
攞命	lɔ2 mɛŋ6	要命
攞唔定主意	lɔ2 m̩4 dɪŋ6 dzy2 ji3	拿不定主意
攞便宜	lɔ2 pin4 ji4	討便宜
攞晒翻去	lɔ2 sai3 fan1 hœy3	全拿回去，全部拿回去
攞晒彩	lɔ2 sai3 tsɔi2	十分威風，出盡風頭
攞錢	lɔ2 tsin2	提錢，領錢
攞出來	lɔ2 tsœt7 lei4	拿出來
擺出嚟	lɔ2 tsœt7 lei4	拿出來
攞籌	lɔ2 tsɐu2	掛號
攞彩	lɔ2 tsɔi2	貪威，炫耀，露臉，增光，出風頭，表現自己
攞車	lɔ2 tsɛ1	取車
饠	lɔ3	煳味，燒焦味，火煙味
囉	lɔ3	了，啦，吧
囉噃	lɔ3 bɔ3	了
籮	lɔ4	籮筐，小簍子，小手提籃子
羅	lɔ4	啦
蘿蔔	lɔ4 bak9	
蘿蔔乾	lɔ4 bak9 gɔn1	
羅經	lɔ4 gaŋ1	羅盤，羅庚，指南針
鑼鼓	lɔ4 gu2	
羅漢齋	lɔ4 hɔn3 dzai1	素什錦
籮筐	lɔ4 hɔŋ1	
螺絲	lɔ4 si1	
螺絲釘	lɔ4 si1 dɪŋ1	
螺絲批	lɔ4 si1 pɐi1	螺絲起子
螺旋	lɔ4 syn4	
羅唆	lɔ4 sɔ1	
羅嗦	lɔ4 sɔ1	
邏輯	lɔ4 tsɐp7	
邏輯學	lɔ4 tsɐp7 hɔk9	
邏輯思維	lɔ4 tsɐp7 si1 wɐi4	
邏輯性	lɔ4 tsɐp7 sɪŋ3	
來賓	lɔi4 bɐn1	
來電	lɔi4 din6	
來電顯示	lɔi4 din6 hin2 si6	
來之不易	lɔi4 dzi1 bɐt7 ji6	
來自	lɔi4 dzi6	
來者	lɔi4 dzɛ2	
來者不拒	lɔi4 dzɛ2 bɐt7 kœy5	
來者不善	lɔi4 dzɛ2 bɐt7 sin6	
來者不善善者不來	lɔi4 dzɛ2 bɐt7 sin6 sin6 dzɛ2 bɐt7 lɔi4	
來福線	lɔi4 fʊk7 sin3	
來福槍	lɔi4 fʊk7 tsœŋ1	
來勁	lɔi4 gɪŋ3	
來客	lɔi4 hak8	
來意	lɔi4 ji3	
來意不明	lɔi4 ji3 bɐt7 mɪŋ4	
來源	lɔi4 jyn4	
來日	lɔi4 jɐt9	
來日方長	lɔi4 jɐt9 fɔŋ1 tsœŋ4	
來日無多	lɔi4 jɐt9 mou4 dɔ1	
來歷	lɔi4 lik9	
來歷不明	lɔi4 lik9 bɐt7 mɪŋ4	
來路	lɔi4 lou2	外來的，進口的
來路貨	lɔi4 lou2 fɔ3	進口貨，外國貨，洋貨
來路嘢	lɔi4 lou2 jɛ5	洋貨
來路	lɔi4 lou6	
來路不明	lɔi4 lou6 bɐt7 mɪŋ4	
來來往往	lɔi4 lɔi4 wɔŋ5 wɔŋ5	
來龍去脈	lɔi4 lʊŋ4 hœy3 mɐk9	
來書	lɔi4 sy1	
來信	lɔi4 sœn3	
來世	lɔi4 sɐi3	
來勢	lɔi4 sɐi3	
來勢洶洶	lɔi4 sɐi3 hʊŋ1 hʊŋ1	
來回	lɔi4 wui4	
來回票	lɔi4 wui4 piu3	
來往	lɔi4 wɔŋ5	
珞巴族	lɔk8 ba1 dzʊk9	
絡繹不絕	lɔk8 jik9 bɐt7 dzyt9	
駱馬	lɔk8 ma5	
駱駝	lɔk8 tɔ4	
駱駝峰	lɔk8 tɔ4 fʊŋ1	
落班	lɔk9 ban1	下班
落本	lɔk9 bun2	下本錢
樂不思蜀	lɔk9 bɐt7 si1 sʊk9	
落大雨	lɔk9 dai6 jy5	下大雨
落單	lɔk9 dan1	下定單
落地	lɔk9 dei6	
落地扇	lɔk9 dei6 sin3	
落地生根	lɔk9 dei6 sɐŋ1 gɐn1	
落地窗	lɔk9 dei6 tsœŋ1	
落注	lɔk9 dzy3	下注
落注	lɔk9 dzy3	下賭注
樂在其中	lɔk9 dzɔi6 kei4 dzʊŋ1	
落妝	lɔk9 dzɔŋ1	卸妝
落井下石	lɔk9 dzɪŋ2 ha6 sɛk9	
落得一場空	lɔk9 dɐk7 jɐt7 tsœŋ4 hʊŋ1	
落袋	lɔk9 dɔi2	進帳，進了腰包
落袋	lɔk9 dɔi2	放進口袋裡
落定	lɔk9 dɛŋ6	下定金，給定錢，交定錢
落毒	lɔk9 dʊk9	下毒
落毒	lɔk9 dʊk9	下毒
落藥	lɔk9 dʊk9	下毒藥
落花流水	lɔk9 fa1 lɐu4 sœy2	
落飛機	lɔk9 fei1 gei1	下飛機
落肥	lɔk9 fei4	施肥
落荒而逃	lɔk9 fɔŋ1 ji4 tou4	
