開放粵語詞典（耶魯拼音調符調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［耶魯拼音］	［國語解釋］
雜草	jaahp chóu	
雜費	jaahp fai	
雜肥	jaahp fèih	
雜貨	jaahp fo	
雜貨店	jaahp fo dim	
雜貨舖	jaahp fo póu	雜貨店，副食店
雜交	jaahp gāau	
什錦	jaahp gám	
什錦炒麵	jaahp gám cháau mihn	
什錦菜	jaahp gám choi	
什錦麵	jaahp gám mihn	
雜記	jaahp gei	
雜技	jaahp geih	
雜技表演	jaahp geih buí yín	
雜技場	jaahp geih cheùhng	
雜技團	jaahp geih tyùhn	
襲擊	jaahp gīk	
集結	jaahp git	
習慣	jaahp gwaan	
鈒骨	jaahp gwāt	鎖邊
集合	jaahp hahp	
閘口	jaahp háu	剪票口
雜項	jaahp hohng	
雜誌	jaahp ji	
雜誌社	jaahp ji séh	
習字	jaahp jih	
習字帖	jaahp jih tip	
習俗	jaahp juhk	
集中	jaahp jūng	
雜種	jaahp júng	
雜種狗	jaahp júng gáu	
閘住	jaahp jyuh	住口，打住，别說，停止
閘住把口	jaahp jyuh bá háu	住口
雜糧	jaahp leùhng	
雜亂	jaahp lyuhn	
雜嘜	jaahp māk	雜牌，雜牌兒
雜物	jaahp maht	
雜務	jaahp mouh	
閘門	jaahp mùhn	
雜念	jaahp nihm	
雜耍	jaahp sá	
雜稅	jaahp seui	
雜事	jaahp sih	
雜事纏身	jaahp sih chìhn sān	
習性	jaahp sing	
雜樹林	jaahp syuh làhm	
集體	jaahp tái	
習題	jaahp tàih	
集團	jaahp tyùhn	
雜燴	jaahp wuih	
雜音	jaahp yām	
集郵	jaahp yàuh	
習以為常	jaahp yíh wàih seùhng	
雜役	jaahp yihk	
集腋成裘	jaahp yihk sìhng kàuh	
紮	jaat	束
鍘草	jaat chóu	
鍘刀	jaat dōu	
扎根	jaat gān	
扎扎跳	jaat jaat tiu	活蹦亂跳
拶指	jaat jí	
扎孖辮	jaat mā bīn	扎著雙辮
扎馬	jaat máh	扎馬步，站好馬步，準備打架
扎破	jaat po	
扎實	jaat saht	
扎醒	jaat séng	驚醒
嘲諷	jāau fung	
嘲笑	jāau siu	
抓	jáau	纏繞，捆扎，捆綁
找碴	jáau chàh	
找茬	jáau chàh	
找錢	jáau chìhn	
找贖	jáau juhk	找錢，找換
抓住	jáau jyuh	捆著
抓實	jáau saht	捆好
找數	jáau sou	找錢
找換	jáau wuhn	兌換
找換外幣	jáau wuhn ngoih baih	兌換外幣
罩袍	jaau pòuh	
罩衣	jaau yī	
棹忌	jaauh geih	忌，忌諱
擠	jāi	放
擠逼	jāi bīk	擁擠
齏粉	jāi fán	
擠喺	jāi hái	放在
擠喺枱面	jāi hái tói mihn	放在桌面
擠住	jāi jyuh	放著
擠塞	jāi sāk	堵塞
躋身	jāi sān	
擠擁	jāi yúng	擁擠
仔	jái	男孩
仔大仔世界	jái daaih jái sai gaai	兒大不由娘，兒女自有兒女福
仔大仔世界	jái daaih jái sai gaai	兒孫自有兒孫福
仔乸	jái ná	母子
仔女	jái néui	兒女
制	jai	限制
制	jai	願意
掣	jai	電鈕，開關
制得過	jai dāk gwo	划得來
制度	jai douh	
祭祀	jai jih	
製作	jai jok	
祭祖	jai jóu	
製造	jai jouh	
掣住架車	jai jyuh ga chē	把車剎住
制唔過	jai m̀h gwo	划不來
制唔制	jai m̀h jai	願不願意
濟貧	jai pàhn	
制水	jai séui	自來水定時供應，限制供水，定量供水
際遇	jai yuh	
滯	jaih	難消化
制裁	jaih chòih	
滯口	jaih háu	胃口不好
滯留	jaih làuh	
側便	jāk bihn	旁邊
側部	jāk bouh	
側向	jāk heung	
側側膊	jāk jāk bok	推卸責任
側面	jāk mihn	
側目	jāk muhk	
側目而視	jāk muhk yìh sih	
側臥	jāk ngoh	
側身	jāk sān	
側身而臥	jāk sān yìh ngoh	
側視	jāk sih	
側線	jāk sin	
仄聲	jāk sīng	
仄韻	jāk wahn	
側翼	jāk yihk	
斟	jām	倒
斟	jām	談，商量，商談，接洽，洽談，洽商
針	jām	蜇，叮，叮咬
砧板	jām báan	
斟茶	jām chàh	倒茶
斟出	jām cheūt	倒出
斟出嚟	jām cheūt lèih	倒出來
針對	jām deui	
斟吓	jām háh	談談，談一下，商量一下，商量商量
斟酒	jām jáu	倒酒
斟酌	jām jeuk	
斟唔掂	jām m̀h dihm	談不妥
斟盤	jām pún	談判，商議，談生意，洽談做買賣
斟瀉	jām sé	倒得溢出
斟水	jām séui	倒水
斟豉油	jām sih yàuh	倒醬油
針線	jām sin	
針筒	jām túng	注射器，針管
枕	jám	繭子，趼子，老繭
枕長	jám cheùhng	經常，長期
枕住	jám jyuh	經常，長期
怎麼	jám mō	
枕頭	jám tàuh	
枕頭包	jám tàuh bāau	方麵包
枕頭袋	jám tàuh dói	枕頭套
枕頭肉	jám tàuh yuhk	枕芯，枕頭芯子
枕肉	jám yuhk	枕心兒
浸	jam	泡
浸禮	jam láih	
浸泡	jam paau	
浸濕	jam sāp	
浸水	jam séui	
浸信會	jam seun wuih	
浸透	jam tau	
浸入	jam yahp	
浸染	jam yíhm	
朕	jahm	股，陣
沉	jahm	淹，溺
鴆酒	jahm jáu	
沉死	jahm séi	淹死，溺死
珍品	jān bán	
真品	jān bán	
珍寶	jān bóu	
珍本	jān bún	
真槍實彈	jān cheūng saht daahn	
真情	jān chìhng	
真情流露	jān chìhng làuh louh	
真才實學	jān chòih saht hohk	
珍藏	jān chòhng	
珍藏品	jān chòhng bán	
珍藏本	jān chòhng bún	
真傳	jān chyùhn	
真抵	jān dái	真便宜
真諦	jān dai	
真鯛	jān diū	
真刀真槍	jān dōu jān cheūng	
真分數	jān fān sou	
真火滾	jān fó gwán	真生氣，很生氣，很惱火
真假	jān gá	
真金	jān gām	
真金不怕火煉	jān gām bāt pa fó lihn	
珍貴	jān gwai	
真係	jān haih	真的
真系火滾	jān haih fó gwán	真的很生氣
真係盞	jān haih jáan	真好
真係甩鬚	jān haih lāt sōu	真丟臉
真係唔似樣	jān haih m̀h chíh yeuhng	真不像樣
真係衰嘅啫	jān haih sēui ge jē	次透了，糟透了，壞透了
真係有心	jān haih yáuh sām	您真的很關心我
真空	jān hūng	
真空泵	jān hūng bām	
真空地帶	jān hūng deih daai	
真空管	jān hūng gún	
真真假假	jān jān gá gá	
真真正正	jān jān jing jing	
真知	jān jī	
真知灼見	jān jī jeuk gin	
真摯	jān ji	
真正	jān jing	
珍重	jān juhng	
珍珠	jān jyū	
珍珠貝	jān jyū bui	
珍珠都冇咁真	jān jyū dōu móuh gam jān	真的不能再真，千真萬確
真主	jān jyú	
珍禽	jān kàhm	
珍禽異獸	jān kàhm yih sau	
珍奇	jān kèih	
真蹺	jān kiú	真巧
真確	jān kok	
真菌	jān kwán	
真菌類	jān kwán leuih	
真理	jān léih	
珍聞	jān màhn	
真面目	jān mihn muhk	
真名	jān mìhng	
真名實姓	jān mìhng saht sing	
真命天子	jān mihng tīn jí	
真冇修	jān móuh sāu	真沒轍，真沒轍兒
真偽	jān ngaih	
真偽莫辨	jān ngaih mohk bihn	
真我	jān ngóh	
珍愛	jān oi	
真愛	jān oi	
真憑實據	jān pàhng saht geui	
真皮	jān pèih	
真皮組織	jān pèih jóu jīk	
真心	jān sām	
真心真意	jān sām jān yi	
真心實意	jān sām saht yi	
真心話	jān sām wá	
真神	jān sàhn	
真實	jān saht	
真實感	jān saht gám	
真實性	jān saht sing	
真衰	jān sēui	真倒霉！
珍賞	jān seúng	
真相	jān seung	
真相露	jān seung bāt louh	
真相大白	jān seung daaih baahk	
真絲	jān sī	
珍視	jān sih	
珍惜	jān sīk	
真善美	jān sihn méih	
真誠	jān sìhng	
真誠待人	jān sìhng doih yàhn	
真嗍氣	jān sok hei	真費勁，真吃力，真辛苦
真話	jān wá	
珍玩	jān wún	
真人	jān yàhn	
真人不露相	jān yàhn bāt louh seung	
真人不露相，露相非真人	jān yàhn bāt louh seung louh seung fēi jān yàhn	
真人真事	jān yàhn jān sih	
真有心	jān yáuh sām	真謝謝您關心
真意	jān yi	
珍異	jān yih	
軫宿	ján sau	
診所	ján só	
軫懷	ján wàaih	
震	jan	發抖，哆嗦，顫動
鎮定	jan dihng	
賑款	jan fún	
震撼	jan hahm	
振興	jan hīng	
賑濟	jan jai	
震顫	jan jin	
鎮靜	jan jihng	
賑災	jan jōi	
振聾發聵	jan lùhng faat kuí	
震懾	jan sip	
陣間	jahn gāan	一會，一會兒，等一會兒
陣間先講	jahn gāan sīn góng	一會再說吧
陣間會講	jahn gāan wuíh góng	等一會兒會說
陣雨	jahn yúh	
憎	jāng	恨
增壓	jāng aat	
爭辯	jāng bihn	
增兵	jāng bīng	
增補	jāng bóu	
增產	jāng cháan	
增設	jāng chit	
增大	jāng daaih	
增訂	jāng ding	
增訂本	jāng ding bún	
增多	jāng dō	
僧多粥少	jāng dō jūk siú	
爭奪	jāng dyuht	
僧服	jāng fūk	
增加	jāng gā	
增減	jāng gáam	
增高	jāng gōu	
增光	jāng gwōng	
增廣	jāng gwóng	
增廣見聞	jāng gwóng gin màhn	
憎恨	jāng hahn	
掙扎	jāng jaat	
爭執	jāng jāp	
增長	jāng jeúng	
增長速度	jāng jeúng chūk douh	
增長率	jāng jeúng leuht	
增至	jāng ji	
僧寺	jāng jih	
增值	jāng jihk	
增值稅	jāng jihk seui	
增強	jāng keùhng	
僧侶	jāng léuih	
增量	jāng leuhng	
僧尼	jāng nèih	
睜眼	jāng ngáahn	
猙獰	jāng nìhng	
憎惡	jāng ok	
僧袍	jāng pòuh	
增刪	jāng sāan	
憎死	jāng séi	恨透
增添	jāng tīm	
僧堂	jāng tòhng	
僧徒	jāng tòuh	
崢嶸	jāng wìhng	
增援	jāng wùhn	
增音機	jāng yām gēi	
僧人	jāng yàhn	
僧院	jāng yuhn	
贈品	jahng bán	
贈慶	jahng hing	湊熱鬧，道賀
贈券	jahng hyun	
執	jāp	倒閉
執	jāp	撿，拾，收拾
執包袱	jāp bāau fuhk	打包袱，離開
執茶	jāp chàh	抓藥，配藥，取藥，買藥
執齊	jāp chàih	收拾好，收集好
執齊啲嘢	jāp chàih dī yéh	把東西收拾好
執齊行李	jāp chàih hàhng léih	收拾好行李
執籌	jāp cháu	抓鬮，抽籖
執床	jāp chòhng	收拾床鋪
執定	jāp dihng	收拾好
執碟	jāp dihp	收拾碗筷，收拾碗碟
汁都撈埋	jāp dōu lōu màaih	有什麼好處就自己全吞了，據為已有
執到	jāp dóu	撿到
執翻條命	jāp fāan tiùh mehng	僥幸逃生
執吓張床	jāp háh jeūng chòhng	收拾一下床鋪
執行李	jāp hàhng léih	收拾行李
執起	jāp héi	撿起
執起嚟	jāp héi lèih	撿起來
執仔	jāp jái	接生
執仔婆	jāp jái pó	接生婆，助產士
執滯	jāp jaih	死板，不靈活
執字粒	jāp jih lāp	排字
執政黨	jāp jing dóng	
執照	jāp jiu	
執笠	jāp lāp	倒閉，停業，破產，停止營業
執漏	jāp lauh	補漏，檢漏，修理瓦漏
執迷不悟	jāp màih bāt ngh	
執屋	jāp ngūk	打掃房子
執平嘢	jāp pèhng yéh	買便宜貨
執山草藥	jāp sāan chóu yeuhk	抓草藥
執生	jāp sāang	看著辦，隨機應變；補救，彌補缺陷
執拾	jāp sahp	收拾
執拾乾淨	jāp sahp gōn jehng	收拾乾淨
執拾好行李	jāp sahp hóu hàhng léih	收拾好行李
執手尾	jāp sáu méih	善後，收拾殘局
執死雞	jāp séi gāi	揀到便宜
執死雞仔	jāp séi gāi jái	揀到便宜
執屍	jāp sī	收屍，收拾死屍
執私	jāp sī	緝私，沒收私貨
執輸	jāp syū	佔下風，吃虧
執輸過人	jāp syū gwo yàhn	比人差，比人差一等
執枱	jāp tói	收拾桌子
執人口水溦	jāp yàhn háu séui mēi	學舌，拾人牙慧
執贏	jāp yèhng	佔上風，佔便宜
執藥	jāp yeuhk	抓藥，配藥，取藥，買藥
執二攤	jāp yih tāan	買舊貨，撿人家的剩貨，用別人用過的東西，撿人家破爛
汁液	jāp yihk	
枳	jāt	塞，塞進；塞子
枳	jāt	隨便放
質地	jāt déi	質料
質量	jāt leuhng	
質量不滅定律	jāt leuhng bāt miht dihng leuht	
質料	jāt liuh	
質問	jāt mahn	
枳入	jāt yahp	塞進
質疑	jāt yìh	
姪	jaht	姪子，姪兒
窒	jaht	害怕，恐慌
疾病	jaht behng	
疾馳	jaht chìh	
蟄蟲	jaht chùhng	
嫉妒	jaht dou	
疾呼	jaht fū	
蟄伏	jaht fuhk	
疾風	jaht fūng	
疾風知勁草	jaht fūng jī gihng chóu	
疾風迅雷	jaht fūng seun lèuih	
蟄居	jaht gēui	
窒腳	jaht geuk	走路時突然停一下
桎梏	jaht gūk	
窒口窒舌	jaht háu jaht siht	結結巴巴，語無倫次
姪仔	jaht jái	姪子，姪兒
疾走	jaht jáu	
窒住	jaht jyuh	停住，突然停止
疾雷	jaht lèuih	
嫉惡如仇	jaht ok yùh sàuh	
姪心抱	jaht sām póuh	姪媳婦
窒手	jaht sáu	縮手，突然停手
窒息	jaht sīk	
疾書	jaht syū	
窒人	jaht yàhn	損人
疾言厲色	jaht yìhn laih sīk	
週邊	jāu bīn	
週邊設備	jāu bīn chit beih	
週報	jāu bou	
週詳	jāu cheùhng	
週長	jāu cheùhng	
揪出	jāu cheūt	
周朝	jāu chiùh	
週到	jāu dou	
周街	jāu gāai	滿街
周街係人	jāu gāai haih yàhn	滿街都是人
周街走	jāu gāai jáu	滿街跑
週刊	jāu hón	
洲際	jāu jai	
洲際飛彈	jāu jai fēi daahn	
舟楫	jāu jip	
週遭	jāu jōu	
週轉	jāu jyún	
週期	jāu kèih	
周期表	jāu kèih biú	
週期表	jāu kèih biú	
週期律	jāu kèih leuht	
週期性	jāu kèih sing	
週率	jāu leuht	
週六	jāu luhk	
週末	jāu muht	
週五	jāu ńgh	
週年	jāu nìhn	
週年紀念	jāu nìhn géi nihm	
周年慶	jāu nìhn hing	
週三	jāu sāam	
週薪	jāu sān	
週身	jāu sān	
周身	jāu sān	全身，渾身
周身刀冇張利	jāu sān dōu móuh jeūng leih	什麼都會一點但沒有專長
週身冇力	jāu sān móuh lihk	渾身軟綿綿的，一點力氣也沒有
周身蟻	jāu sān ngáih	惹了很多麻煩
週身酸痛	jāu sān syūn tung	渾身酸疼
週四	jāu sei	
週歲	jāu seui	
周時	jāu sìh	常，時常，經常，常常，隨時
周時無日	jāu sìh mòuh yaht	經常，時常，沒有一天不
周處	jāu syu	到處
週圍	jāu wàih	
周圍	jāu wàih	到處，四處，四周
週一	jāu yāt	
週日	jāu yaht	
週休	jāu yāu	
週遊	jāu yàuh	
週遊世界	jāu yàuh sai gaai	
週而復始	jāu yìh fuhk chíh	
週二	jāu yih	
走	jáu	不加
走	jáu	跑
酒吧	jáu bā	
走筆疾書	jáu bāt jaht syū	
酒保	jáu bóu	
走寶	jáu bóu	吃虧
酒杯	jáu buī	
走出去	jáu cheūt heui	跑出去
走出嚟	jáu cheūt lèih	跑出來
酒池肉林	jáu chìh yuhk làhm	
酒錢	jáu chìhn	
酒埕	jáu chìhng	酒罈
酒菜	jáu choi	
走蛋	jáu dáan	不加雞蛋，不加蛋
走得	jáu dāk	可以走
走得幾快吖	jáu dāk géi faai a	能跑多快呀？
走趯	jáu dek	走動，跑腿，奔波
酒店	jáu dim	
走電	jáu dihn	跑電，漏電
走都走唔切	jáu dōu jáu m̀h chit	逃跑也來不及了
走法律罅	jáu faat leuht la	鑽法律空子
走粉	jáu fán	走私白粉，走私海洛因
走埠	jáu fauh	走江湖
走火入魔	jáu fó yahp mō	
酒逢知己千杯少	jáu fùhng jī géi chīn buī siú	
走雞	jáu gāi	吃虧，錯過機會
酒館	jáu gún	
酒鬼	jáu gwái	
走過嚟	jáu gwo lèih	跑過來
酒過三巡	jáu gwo saam cheùhn	
酒酣耳熱	jáu hàhm yíh yiht	
酒後	jáu hauh	
走後門	jáu hauh mùhn	
酒後失態	jáu hauh sāt taai	
酒後失言	jáu hauh sāt yìhn	
酒後吐真言	jáu hauh tou jān yìhn	
酒氣	jáu hei	
酒氣熏人	jáu hei fān yàhn	
走去	jáu heui	跑去
酒興	jáu hing	
走開	jáu hōi	
走好運	jáu hóu wahn	
走趲	jáu jáan	迴旋，周轉，鬆動
酒醉	jáu jeui	
走資派	jáu jī paai	
酒精	jáu jīng	
酒精中毒	jáu jīng jung duhk	
酒足飯飽	jáu jūk faahn báau	
酒盅	jáu jūng	
走禽	jáu kàhm	
走甩	jáu lāt	逃脫
走甩咗	jáu lāt jó	逃脫了，跑掉了
酒樓	jáu làuh	
走漏	jáu lauh	
走漏風聲	jáu lauh fūng sīng	
走漏消息	jáu lauh siū sīk	
酒量	jáu leuhng	
酒簾	jáu lìhm	
酒令	jáu lihng	
走廊	jáu lòhng	
走路	jáu lóu	逃亡，逃跑
走唔切	jáu m̀h chit	跑不掉，走不掉
走唔起	jáu m̀h héi	跑不動，跑不快
走唔甩	jáu m̀h lāt	逃不掉，跑不掉
走馬燈	jáu máh dāng	
走馬看花	jáu máh hon fā	
走埋嚟	jáu màaih lèih	撞過來
走難	jáu naahn	逃難
酒凹	jáu nāp	酒窩，笑靨
酒牌	jáu pàaih	經營酒類生意的執照
走散	jáu sáan	
酒神	jáu sàhn	
走獸	jáu sau	
走私	jáu sī	
酒色	jáu sīk	
酒色財氣	jáu sīk chòih hei	
酒色之徒	jáu sīk jī tòuh	
走先	jáu sīn	告辭，先走
走投無路	jáu tàuh mòuh louh	
走堂	jáu tòhng	翹課，曠課，逃學，缺課
走糖	jáu tòhng	不加糖
酒暈	jáu wahn	
酒窩	jáu wō	
走人	jáu yàhn	走，溜
走入去	jáu yahp heui	跑進去
走入嚟	jáu yahp lèih	跑進來
走樣	jáu yeuhng	
走肉	jáu yuhk	不加肉，素的
酒肉朋友	jáu yuhk pàhng yáuh	
奏效	jau haauh	
奏捷	jau jiht	
皺眉	jau mèih	
奏樂	jau ngohk	
晝夜	jau yeh	
咒語	jau yúh	
就	jauh	將要
就	jauh	遷就
就寢	jauh chám	
就假嘅	jauh gá ge	才怪呢
就噉啦	jauh gám lā	就這樣吧
就腳	jauh geuk	方便
就吓佢	jauh háh kéuih	遷就他一下
就係	jauh haih	就是
就係講	jauh haih góng	就是說
袖口	jauh háu	
就嚟	jauh lèih	快，快要，就快
就手	jauh sáu	順利
就算	jauh syun	即使，就算
驟然	jauh yìhn	
就業	jauh yihp	
驟雨	jauh yúh	
…姐	jē	姐
啫	jē	而已
遮	jē	擋
遮	jē	雨傘
遮蔽	jē bai	
遮柄	jē beng	傘桿兒；傘桿兒的尖端
遮骨	jē gwāt	傘枝，傘的骨架，傘的金屬條
啫喱	jē léi	果凍
遮掩	jē yím	
…姐	jé	姐
姐姐	jé jé	
蔗	je	甘蔗
借畀	je béi	借給
借錢	je chín	
借啲意	je dī yí	趁機
借刀殺人	je dōu saat yàhn	
借讀	je duhk	
借花獻佛	je fā hin fāt	
借火	je fó	
借鑑	je gaam	
借鏡	je geng	
借債	je jaai	
蔗汁	je jāp	甘蔗汁
借借	je je	借光，勞鴐，請讓一讓，請讓路
借作	je jok	
借力打力	je lihk dá lihk	順勢而為
借力打力	je lihk dá lihk	順勢而為
蔗纈	je lit	甘蔗節
借問聲	je mahn sēng	請問一下，請問
借問一聲	je mahn yāt sēng	請問一下
借歪	je mé	借光，借過一下，請讓一讓
借歪啲	je mé dī	借光，借過一下，請讓一讓
蔗水	je séui	甘蔗湯
借書	je syū	
借書證	je syū jing	
借貸	je taai	
借題	je tàih	
借題發揮	je tàih faat fāi	
蔗糖	je tòhng	
借一借	je yāt je	借光，借過一下，請讓一讓
借用	je yuhng	
借閱	je yuht	
這般	jéh būn	
這個	jéh go	
這裡	jéh léuih	
這麼	jéh mō	
這廝	jéh sī	
這樣	jéh yeuhng	
謝謝	jeh jeh	
謝絕	jeh jyuht	
jacket	jēk kehk	夾克
隻抽	jek chāu	單挑，一個對一個，單打獨鬥
隻抽隻	jek chāu jek	單打獨鬥
隻眼開隻眼閉	jek ngáahn hōi jek ngáahn bai	睜一隻眼閉一隻眼
隻身	jek sān	
占	jēm	果醬
精	jēng	機靈，聰明
精	jēng	自私，取巧，狡猾，愛耍小聰明
精出骨	jēng cheūt gwāt	自私，狡猾
精仔	jēng jái	投機取巧的人，精明能幹的人，精於計算的人
精叻	jēng lēk	聰明能幹，精明
精埋一便	jēng màaih yāt bihn	專把聰明用在做壞事或為自己打算上
正	jeng	棒
正斗	jeng dáu	正牌，地道，好，美
正斗貨	jeng dáu fo	正牌貨，地道貨
正斗嘢	jeng dáu yéh	正牌貨，地道貨
正牌	jeng pàaih	正宗的，真正的
正晒	jeng saai	正好，再好不過，很棒
正嘢	jeng yéh	正牌貨，好東西
鄭重	jehng juhng	
追兵	jēui bīng	
追捕	jēui bóu	
追補	jēui bóu	
追本溯源	jēui bún sou yùhn	
追查	jēui chàh	
追尋	jēui chàhm	
追緝	jēui chāp	
追隨	jēui chèuih	
追隨者	jēui chèuih jé	
蛆蟲	jēui chùhng	
追打	jēui dá	
追敵	jēui dihk	
追悼	jēui douh	
追封	jēui fūng	
追加	jēui gā	
追根究底	jēui gān gau dái	
追根究柢	jēui gān gau dái	
追究	jēui gau	
追究責任	jēui gau jaak yahm	
狙擊	jēui gīk	
追擊	jēui gīk	
狙擊手	jēui gīk sáu	
追趕	jēui gón	
追剿	jēui jiú	
追逐	jēui juhk	
追求	jēui kàuh	
追戀	jēui lyún	
追問	jēui mahn	
追女仔	jēui néuih jái	泡妞
追念	jēui nihm	
追索	jēui saak	
追殺	jēui saat	
追想	jēui seúng	
追思會	jēui sī wuih	
追溯	jēui sou	
追訴	jēui sou	
追數	jēui sou	追債，討賬，追討欠款
追討	jēui tóu	
追憶	jēui yīk	
追憶往事	jēui yīk wóhng sih	
追認	jēui yihng	
咀	jéui	親吻
嘴	jéui	嘴巴
嘴角喵起	jéui gok miú héi	看不起人
咀嚼	jéui jeuk	
嘴喵喵	jéui miú miú	撇撇嘴，嘴角對人，輕視別人
沮喪	jéui song	
咀一啖	jéui yāt daahm	親一下
齟齬	jéui yúh	
最長	jeui cheùhng	
最初	jeui chō	
最大	jeui daaih	
最低	jeui dāi	
最多	jeui dō	
最短	jeui dyún	
最佳	jeui gāai	
最近	jeui gahn	
最高	jeui gōu	
最高峰	jeui gōu fūng	
最高溫度	jeui gōu wān douh	
最後	jeui hauh	
最後審判	jeui hauh sám pun	
最後通牒	jeui hauh tūng dihp	
最好	jeui hóu	
醉酒	jeui jáu	
醉酒佬	jeui jáu lóu	醉漢，醉鬼
醉貓	jeui māau	醉鬼，醉漢，酒鬼
最屘	jeui mēi	最末尾，最後
最細	jeui sai	最小
最新	jeui sān	
醉生夢死	jeui sāng muhng séi	
贅述	jeui seuht	
最少	jeui siú	
醉翁	jeui yūng	
醉翁之意不在酒	jeui yūng jī yi bāt joi jáu	
罪不可赦	jeuih bāt hó se	
罪不容誅	jeuih bāt yùhng jyū	
敘別	jeuih biht	
聚苯乙烯	jeuih bún yuht hēi	
敘情	jeuih chìhng	
罪大惡極	jeuih daaih ok gihk	
墜地	jeuih deih	
罪魁禍首	jeuih fuī woh sáu	
敘家常	jeuih gā seùhng	
敘舊	jeuih gauh	
墜機	jeuih gēi	
聚腳	jeuih geuk	聚首
聚腳地	jeuih geuk deih	聚首的地方
罪行	jeuih hahng	
聚集	jeuih jaahp	
墜樓	jeuih làuh	
墜落	jeuih lohk	
罪名	jeuih mìhng	
罪惡	jeuih ngok	
罪惡感	jeuih ok gám	
罪惡滔天	jeuih ok tōu tīn	
聚氨酯	jeuih ōn jí	
敘述	jeuih seuht	
敘事	jeuih sih	
敘事文	jeuih sih màhn	
敘事詩	jeuih sih sī	
敘事體	jeuih sih tái	
聚酰亞胺	jeuih sīn nga ōn	
敘說	jeuih syut	
墜毀	jeuih wái	
罪人	jeuih yàhn	
罪嫌	jeuih yìhm	
序言	jeuih yìhn	
罪孽	jeuih yiht	
罪孽深重	jeuih yiht sām juhng	
聚乙烯	jeuih yuht hēi	
雀	jeúk	鳥
著	jeuk	穿
雀斑	jeuk bāan	
酌辦	jeuk baahn	
嚼不爛	jeuk bāt laahn	
鵲報	jeuk bou	
鵲巢鳩佔	jeuk chàauh gāu jim	
酌情	jeuk chìhng	
酌情處理	jeuk chìhng chyúh léih	
雀竇	jeuk dau	鳥窩
著緊	jeuk gán	穿著
著好	jeuk hóu	穿好
雀仔	jeuk jái	鳥兒，小鳥
雀仔竇	jeuk jái dau	鳥窩
灼灼	jeuk jeuk	
著褸	jeuk lāu	穿大衣
著名牌	jeuk mìhng pàaih	穿名牌
雀屏	jeuk píng	
著衫	jeuk sāam	穿衣服
灼傷	jeuk seūng	
爵士	jeuk sih	
爵士音樂	jeuk sih yām ngohk	
嚼舌	jeuk sit	
灼燒	jeuk siū	
灼痛	jeuk tung	
雀躍	jeuk yeuhk	
灼熱	jeuk yiht	
著鴛鴦襪	jeuk yūn yeūng maht	穿錯襪子
著筆	jeuhk bāt	
著燈	jeuhk dāng	開燈
著地	jeuhk deih	
著地點	jeuhk deih dím	
著火	jeuhk fó	
著火點	jeuhk fó dím	
著慌	jeuhk fōng	
著急	jeuhk gāp	
著重	jeuhk juhng	
著涼	jeuhk leùhng	
著力	jeuhk lihk	
著力點	jeuhk lihk dím	
著落	jeuhk lohk	
著陸	jeuhk luhk	
著迷	jeuhk màih	
著魔	jeuhk mō	
著眼	jeuhk ngáahn	
著眼點	jeuhk ngáahn dím	
著手	jeuhk sáu	
著手成春	jeuhk sáu sìhng cheūn	
著手於	jeuhk sáu yū	
著想	jeuhk seúng	
著色	jeuhk sīk	
著數	jeuhk sou	好處，便宜，有利，合算
著意	jeuhk yi	
樽	jeūn	瓶子
樽頸	jeūn géng	瓶頸，卡口
樽枳	jeūn jāt	瓶塞，軟木塞
諄諄教誨	jeūn jeūn gaau fui	
諄諄告誡	jeūn jeūn gou gaai	
津津有味	jeūn jeūn yáuh meih	
樽裝	jeūn jōng	瓶裝
樽裝啤酒	jeūn jōng bē jáu	瓶裝啤酒
樽裝水	jeūn jōng séui	瓶裝水
榛實	jeūn saht	
榛樹	jeūn syuh	
準備	jeún beih	
儘快	jeún faai	
儘管	jeún gún	
准許	jeún héui	
準確	jeún kok	
儘量	jeún leuhng	
準時	jeún sìh	
進兵	jeun bīng	
進步	jeun bouh	
進餐	jeun chāan	
進取	jeun chéui	
進出口	jeun cheūt háu	
進出口貿易	jeun cheūt háu mauh yihk	
進出口商	jeun cheūt háu seūng	
進程	jeun chìhng	
峻峭	jeun chiu	
晉朝	jeun chiùh	
進度	jeun douh	
進度表	jeun douh biú	
進化	jeun fa	
進化論	jeun fa leuhn	
進化史	jeun fa sí	
進犯	jeun faahn	
進犯邊境	jeun faahn bīn gíng	
進發	jeun faat	
進價	jeun ga	
進諫	jeun gaan	
進京	jeun gīng	
進京赴考	jeun gīng fuh háau	
俊傑	jeun giht	
竣工	jeun gūng	
進攻	jeun gūng	
進貢	jeun gung	
進軍	jeun gwān	
進行	jeun hàhng	
進行清盤	jeun hàhng chīng pún	結業，結清賬目
進行攻擊	jeun hàhng gūng gīk	
進行曲	jeun hàhng kūk	
進行式	jeun hàhng sīk	
進口	jeun háu	
進口貨	jeun háu fo	
進口港	jeun háu góng	
進口稅	jeun háu seui	
進口商	jeun háu seūng	
進香	jeun heūng	
進爵	jeun jeuk	
進佔	jeun jim	
進展	jeun jín	
進駐	jeun jyu	
進來	jeun lòih	
駿馬	jeun máh	
俊美	jeun méih	
