開放粵語詞典（廣州拼音版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［廣州拼音］	［國語解釋］
落地窗	log6 déi6 cêng1	
落地生根	log6 déi6 seng1 gen1	
落地扇	log6 déi6 xin3	
落定	log6 déng6	下定金，給定錢，交定錢
落花流水	log6 fa1 leo4 sêu2	
落荒而逃	log6 fong1 yi4 tou4	
落飛機	log6 féi1 géi1	下飛機
落肥	log6 féi4	施肥
落街	log6 gai1	到街上，外出
落更	log6 gang1	下班
樂極生悲	log6 gig6 seng1 béi1	
樂觀	log6 gun1	
樂觀主義	log6 gun1 ju2 yi6	
落機	log6 géi1	下飛機
落腳	log6 gêg3	
落腳	log6 gêg3	停留下來
落腳處	log6 gêg3 qu3	
落客	log6 hag3	讓乘客下車
樂合彩	log6 heb6 coi2	
落口供	log6 heo2 gung1	錄口供，問話，錄取供詞
落後	log6 heo6	
落空	log6 hung1	
落鄉	log6 hêng1	下鄉
落去	log6 hêu3	下去
落井下石	log6 jing2 ha6 ség6	
落注	log6 ju3	下賭注
落注	log6 ju3	下注
落樓	log6 leo2	下樓
落力	log6 lig6	賣力，努力，認真，賣力氣，賣勁兒
落嚟	log6 léi4	下來
落淚	log6 lêu6	
落蚊帳	log6 men1 zêng3	把蚊帳掛起來
落面	log6 min2	丟臉
落臉	log6 min2	丟臉
落幕	log6 mog6	
落寞	log6 mog6	
落網	log6 mong5	
落伍	log6 ng5	
樂此不疲	log6 qi2 bed1 péi4	
落實	log6 sed6	
落手	log6 seo2	下手
落手落腳	log6 seo2 log6 gêg3	親自動手
落石級	log6 ség6 keb1	下台階
落水	log6 sêu2	
落水狗	log6 sêu2 geo2	
樂透	log6 teo3	
樂透彩	log6 teo3 coi2	
樂天	log6 tin1	
樂天知命	log6 tin1 ji1 ming6	
樂天派	log6 tin1 pai3	
落台	log6 toi4	下台
落湯雞	log6 tong1 gei1	
落堂	log6 tong4	下課
落畫	log6 wa2	結束放映
落戶	log6 wu6	
樂善好施	log6 xin6 hou3 xi1	
落剩	log6 xing6	剩下
落雪	log6 xud3	下雪
落雪珠	log6 xud3 ju1	下冰雹，下雹子
落雪水	log6 xud3 sêu2	下很冷的小雨
落選	log6 xun2	
落船	log6 xun4	上船
落日	log6 yed6	
樂意	log6 yi3	
樂而不淫	log6 yi4 bed1 yem4	
樂而忘返	log6 yi4 mong4 fan2	
樂而忘形	log6 yi4 mong4 ying4	
樂以忘憂	log6 yi5 mong4 yeo1	
落葉	log6 yib6	
落葉歸根	log6 yib6 gwei1 gen1	
落葉喬木	log6 yib6 kiu4 mug6	
落葉樹	log6 yib6 xu6	
樂於	log6 yu1	
樂於助人	log6 yu1 zo6 yen4	
落雨	log6 yu5	下雨
落雨溦	log6 yu5 méi1	下毛毛雨
落雨濕濕	log6 yu5 seb1 seb1	下雨路滑
落雨絲濕	log6 yu5 xi1 seb1	下雨路滑
樂在其中	log6 zoi6 kéi4 zung1	
落妝	log6 zong1	卸妝
來賓	loi4 ben1	
來電	loi4 din6	
來電顯示	loi4 din6 hin2 xi6	
來福槍	loi4 fug1 cêng1	
來福線	loi4 fug1 xin3	
來勁	loi4 ging3	
來客	loi4 hag3	
來之不易	loi4 ji1 bed1 yi6	
來自	loi4 ji6	
來歷	loi4 lig6	
來歷不明	loi4 lig6 bed1 ming4	
來來往往	loi4 loi4 wong5 wong5	
來路	loi4 lou2	外來的，進口的
來路貨	loi4 lou2 fo3	進口貨，外國貨，洋貨
來路嘢	loi4 lou2 yé5	洋貨
來路	loi4 lou6	
來路不明	loi4 lou6 bed1 ming4	
來龍去脈	loi4 lung4 hêu3 meg6	
來世	loi4 sei3	
來勢	loi4 sei3	
來勢洶洶	loi4 sei3 hung1 hung1	
來信	loi4 sên3	
來往	loi4 wong5	
來回	loi4 wui4	
來回票	loi4 wui4 piu3	
來書	loi4 xu1	
來日	loi4 yed6	
來日方長	loi4 yed6 fong1 cêng4	
來日無多	loi4 yed6 mou4 do1	
來意	loi4 yi3	
來意不明	loi4 yi3 bed1 ming4	
來源	loi4 yun4	
來者	loi4 zé2	
來者不拒	loi4 zé2 bed1 kêu5	
來者不善	loi4 zé2 bed1 xin6	
來者不善善者不來	loi4 zé2 bed1 xin6 xin6 zé2 bed1 loi4	
啷	long2	涮洗，涮
啷口	long2 heo2	漱口
啷口盅	long2 heo2 zung1	漱口杯
狼	long4	狠，兇，兇猛
狼狽	long4 bui3	
鋃鐺	long4 dong1	
莨菪	long4 dong6	
狼獾	long4 fun1	
郎君	long4 gwen1	
狼藉	long4 jig6	
狼忙	long4 mong4	匆忙，急忙
狼命	long4 méng6	狠，兇，兇猛
狼吞虎嚥	long4 ten1 fu2 yin3	
榔頭	long4 teo4	
狼胎	long4 toi1	狠，兇，不要命
朗讀	long5 dug6	
朗誦	long5 zung6	
浪	long6	襠
浪費	long6 fei3	
晾乾	long6 gon1	
浪琴錶	long6 kem4 biu1	
浪漫	long6 man6	
晾曬	long6 sai3	
晾衫架	long6 sam1 ga2	晾衣架
浪濤	long6 tou4	
晾衣服	long6 yi1 fug6	
撈	lou1	混日子，混
撈	lou1	混，攪，拌，混合，合，搞到一起
撈本	lou1 bun2	
撈到風生水起	lou1 dou3 fung1 sang1 sêu2 héi2	混得很好
撈飯	lou1 fan6	拌飯，泡飯
撈家	lou1 ga1	老油子，慣家，流氓
撈靜水	lou1 jing6 sêu2	池獨門兒
撈亂咗	lou1 lün6 zo2	弄亂了
撈麵	lou1 min6	拌麵，乾麵
撈拿	lou1 na4	滑旱冰
撈女	lou1 nêu2	女流氓，妓女，暗娼
撈世界	lou1 sei3 gai3	混日子，謀生，混事，闖江湖
撈一票	lou1 yed1 piu3	
佬	lou2	男人，漢子，…人，…子
驢	lou4	驢子
牢不可破	lou4 bed1 ho2 po3	
勞保	lou4 bou2	
癆病	lou4 béng6	
嘮嘈	lou4 cou4	說話聲音大
顱頂骨	lou4 ding2 gwed1	
嘮叨	lou4 dou1	
勞動	lou4 dung6	
勞動保險	lou4 dung6 bou2 him2	
勞動保護	lou4 dung6 bou2 wu6	
勞動產品	lou4 dung6 can2 ben2	
勞動法	lou4 dung6 fad3	
勞動節	lou4 dung6 jid3	
勞動模範	lou4 dung6 mou4 fan6	
勞動生產	lou4 dung6 seng1 can2	
勞動生產力	lou4 dung6 seng1 can2 lig6	
勞動生產率	lou4 dung6 seng1 can2 lêd6	
勞動條件	lou4 dung6 tiu4 gin6	
勞動者	lou4 dung6 zé2	
勞方	lou4 fong1	
牢房	lou4 fong4	
勞苦	lou4 fu2	
勞改	lou4 goi2	
勞改營	lou4 goi2 ying4	
牢固	lou4 gu3	
勞工	lou4 gung1	
顱骨	lou4 gwed1	
牢記	lou4 géi3	
牢記在心	lou4 géi3 zoi6 sem1	
勞氣	lou4 héi3	費話，多說話，白費唇舌，費神
勞氣	lou4 héi3	動怒，生氣，動氣
勞資	lou4 ji1	
牢靠	lou4 kao3	
臚列	lou4 lid6	
勞力士錶	lou4 lig6 xi6 biu1	
勞碌	lou4 lug1	
勞累	lou4 lêu6	
勞模	lou4 mou4	
勞心者治人	lou4 sem1 zé2 ji6 yen4	
勞心者治人，勞力者治於人	lou4 sem1 zé2 ji6 yen4 lou4 lig6 zé2 ji6 yu1 yen4	
牢騷	lou4 sou1	
蘆薈	lou4 wei3	
蘆葦	lou4 wei5	
勞役	lou4 yig6	
勞役地租	lou4 yig6 déi6 zou1	
勞燕分飛	lou4 yin3 fen1 féi1	
鱸魚	lou4 yu4	
牢獄	lou4 yug6	
爐竈	lou4 zou3	
老百姓	lou5 bag3 xing3	
老闆	lou5 ban2	
老闆娘	lou5 ban2 nêng4	
老表	lou5 biu2	表親
老鴇	lou5 bou2	
老僕	lou5 bug6	
老襯	lou5 cen3	傻瓜，笨
老抽	lou5 ceo1	濃醬油
滷菜	lou5 coi3	
滷蛋	lou5 dan6	
老豆	lou5 deo6	父親，爸爸，爹
老豆老母	lou5 deo6 lou5 mou2	爹媽，爸爸媽媽，爸媽，父母
老點	lou5 dim2	作弄，胡吹，瞎騙
老頂	lou5 ding2	老闆，上司，最高層人員
老頂	lou5 ding2	老闆，上司
老定	lou5 ding6	鎮定，冷靜，沉住氣
老調重彈	lou5 diu6 cung4 tan4	
老到巢皮咪孟	lou5 dou3 cao4 péi4 mi1 meng1	老得皮膚皺皺的
老爹	lou5 dé1	
擄奪	lou5 düd6	
老番	lou5 fan1	洋鬼子，老外
老番冬	lou5 fan1 dung1	聖誕節
老番涼茶	lou5 fan1 lêng4 ca4	啤酒
老番睇榜第一	lou5 fan1 tei2 bong2 dei6 zed1	倒數第一，最後一名
老虎	lou5 fu2	
老虎公	lou5 fu2 gung1	公老虎
老虎乸	lou5 fu2 na2	母老虎
老虎仔	lou5 fu2 zei2	小老虎
滷雞肉	lou5 gei1 yug6	
老公仔	lou5 gung1 zei2	對年輕丈夫或男朋友的暱稱
老薑	lou5 gêng1	
魯凱族	lou5 hoi2 zug6	
老行專	lou5 hong4 jun1	專家
老積	lou5 jig1	老成，老氣，老到，老練，老氣橫秋的
老積仔	lou5 jig1 zei2	老成的少年
老驥伏櫪	lou5 kéi3 fug6 lig1	
姥姥	lou5 lou5	
擄掠	lou5 lêg6	
滷麵	lou5 min6	
魯莽	lou5 mong4	
鹵莽	lou5 mong4	
魯莽行事	lou5 mong4 heng4 xi6	
老母	lou5 mou2	母親，媽媽，媽
鹵味	lou5 méi2	醬肉，滷肉
滷味	lou5 méi6	
老衲	lou5 nab6	
老泥	lou5 nei4	汗垢
老朋友	lou5 peng4 yeo5	
老編	lou5 pin1	編輯
老婆仔	lou5 po4 zei2	老婆
老千	lou5 qin1	騙子
老前輩	lou5 qin4 bui3	
老實講句	lou5 sed6 gong2 gêu3	老實說
老細	lou5 sei3	老闆
鹵素	lou5 sou3	
老死	lou5 séi2	
老死	lou5 séi2	老友，死黨
老死不相往來	lou5 séi2 bed1 sêng1 wong5 loi4	
滷水	lou5 sêu2	
鹵水	lou5 sêu2	
老土	lou5 tou2	土氣，過時，不時髦，不入時，不合時宜
老撾	lou5 wo1	
老師	lou5 xi1	
老鼠	lou5 xu2	
老鼠貨	lou5 xu2 fo3	賊贓
老鼠拉龜	lou5 xu2 lai1 gwei1	無計可施
老鼠窿	lou5 xu2 lung1	老鼠洞
老人癡呆	lou5 yen4 qi1 ngoi4	
老友	lou5 yeo5	老友，老朋友
老友記	lou5 yeo5 géi3	老朋友，老兄，老相識
老而不	lou5 yi4 bed1	老不正經，老而不死，老王八蛋
老鷹	lou5 ying1	
老嫗	lou5 yu2	
魯魚亥豕	lou5 yu4 hoi6 qi2	
滷肉	lou5 yug6	
滷肉飯	lou5 yug6 fan6	
老翁	lou5 yung1	
老爺車	lou5 yé4 cé1	舊車，舊式的車
老嘢	lou5 yé5	老傢伙，老東西
滷汁	lou5 zeb1	
滷製	lou5 zei3	
老祖	lou5 zou2	祖先
老宗	lou5 zung1	本家
路不拾遺	lou6 bed1 seb6 wei4	
路邊	lou6 bin1	
路邊攤	lou6 bin1 tan1	
露出	lou6 cêd1	
路燈	lou6 deng1	
路況	lou6 fong3	
勞軍	lou6 gwen1	
路過	lou6 gwo3	
路面	lou6 min6	
路牌	lou6 pai4	
路程	lou6 qing4	
路數	lou6 sou3	門路，路子，法子，機會
路上	lou6 sêng6	
露水	lou6 sêu2	
露台	lou6 toi4	陽台
路途	lou6 tou4	
路線	lou6 xin3	
路線圖	lou6 xin3 tou4	
路人	lou6 yen4	
路人皆知	lou6 yen4 gai1 ji1	
路遙知馬力	lou6 yiu4 ji1 ma5 lig6	
路遙知馬力，日久見人心	lou6 yiu4 ji1 ma5 lig6 yed6 geo2 gin3 yen4 sem1	
澇災	lou6 zoi1	
路障	lou6 zêng3	
轆	lug1	滾
轆	lug1	軲轆，輪子
碌大眼	lug1 dai6 ngan5	睜大雙眼
碌地	lug1 déi2	在地上打滾
碌地沙	lug1 déi6 sa1	在地上打滾
碌架床	lug1 ga2 cong4	雙層床，架子床
轆咭	lug1 ked1	刷卡
轆轤	lug1 lou4	
碌碌	lug1 lug1	
碌碌半生	lug1 lug1 bun3 seng1	
碌士	lug1 xi2	筆記
碌柚	lug1 yeo2	柚子
轆咗落嚟	lug1 zo2 log6 léi4	滾了下來
戮	lug6	踐踏，踩
淥	lug6	燙，泡，涮
六親	lug6 cen1	
淥親	lug6 cen1	燙傷，燙著
六親不認	lug6 cen1 bed1 ying6	
淥親手指	lug6 cen1 seo2 ji2	燙傷了指頭
綠草如茵	lug6 cou2 yu4 yen1	
綠豆水	lug6 deo6 sêu2	綠豆湯
六點	lug6 dim2	
六點鐘	lug6 dim2 zung1	
六道輪迴	lug6 dou6 lên4 wui4	
碌碡	lug6 dug6	
陸地	lug6 déi6	
氯化銨	lug6 fa3 on1	
六個字	lug6 go3 ji6	三十分鍾
淥個麵	lug6 go3 min6	泡一個麵吃
六角	lug6 gog3	
六角形	lug6 gog3 ying4	
錄供	lug6 gung1	
陸軍	lug6 gwen1	
六合彩	lug6 heb6 coi4	
六級	lug6 keb1	
六年級	lug6 nin4 keb1	
六十	lug6 seb6	
六神無主	lug6 sen4 mou4 ju2	
淥熟	lug6 sug6	燙熟，泡熟
淥熟晒	lug6 sug6 sai3	被開水泡熟了
綠色	lug6 xig1	
錄音帶	lug6 yem1 dai2	
錄音機	lug6 yem1 géi1	
錄影帶	lug6 ying2 dai2	
錄影機	lug6 ying2 géi1	
淥魚片	lug6 yu4 pin2	涮魚片
六月	lug6 yud6	
六月份	lug6 yud6 fen6	
六月雪	lug6 yud6 xud3	
鹿茸	lug6 yung4	
綠洲	lug6 zeo1	
陸續	lug6 zug6	
窿	lung1	窟窿，孔，洞
窿路	lung1 lou6	門路
窿仔	lung1 zei2	小洞
籠	lung4	籠子
龍床	lung4 cong4	
龍燈	lung4 deng1	
隆冬	lung4 dung1	
龍虎	lung4 fu2	
龍鳳	lung4 fung6	
龍鳳鈪	lung4 fung6 ngag3	龍鳳鐲
龍鳳配	lung4 fung6 pui3	
龍鳳呈祥	lung4 fung6 qing4 cêng4	
龍鳳胎	lung4 fung6 toi1	雙胞胎
龍飛鳳舞	lung4 féi1 fung6 mou5	
龍肝鳳髓	lung4 gon1 fung6 sêu5	
龍宮	lung4 gung1	
龍骨	lung4 gwed1	
龍蝦	lung4 ha1	
龍蝦肉	lung4 ha1 yug6	
龍行虎步	lung4 hang4 fu2 bou6	
隆厚	lung4 heo5	
龍兄虎弟	lung4 hing1 fu2 dei6	
隆胸	lung4 hung1	豐乳
隆起	lung4 héi2	
龍精虎猛	lung4 jing1 fu2 mang5	生龍活虎
龍井茶	lung4 jing2 ca4	
龍珠	lung4 ju1	
龍脈	lung4 meg6	
龍門	lung4 mun4	球門
聾啞	lung4 nga2	
龍顏	lung4 ngan4	
龍眼	lung4 ngan5	
龍眼乾	lung4 ngan5 gon1	
龍年	lung4 nin4	
龍腦	lung4 nou5	
龍袍	lung4 pou4	
龍袍加身	lung4 pou4 ga1 sen1	
龍蟠虎踞	lung4 pun4 fu2 gêu3	
龍生龍鳳生鳳	lung4 seng1 lung4 fung6 seng1 fung6	
龍鬚	lung4 sou1	
龍鬚菜	lung4 sou1 coi3	
龍鬚草	lung4 sou1 cou2	
龍蛇混雜	lung4 sé4 wen6 zab6	
龍潭虎穴	lung4 tam4 fu2 yud6	
龍體	lung4 tei2	
龍騰虎躍	lung4 teng4 fu2 yêg6	
龍頭	lung4 teo4	
龍舌蘭	lung4 xid3 lan4	
龍船	lung4 xun4	龍舟
龍船賽	lung4 xun4 coi3	
龍船競賽	lung4 xun4 ging6 coi3	
龍吟虎嘯	lung4 yem4 fu2 xiu3	
隆乳	lung4 yu5	
龍爭虎鬥	lung4 zeng1 fu2 deo3	
龍舟	lung4 zeo1	
龍舟賽	lung4 zeo1 coi3	
龍舟競賽	lung4 zeo1 ging6 coi3	
龍鍾	lung4 zung1	
籠中之鳥	lung4 zung1 ji1 niu5	
龍種	lung4 zung2	
隆重	lung4 zung6	
槓	lung5	箱子，籠箱
壟斷	lung5 dün3	
壟斷市場	lung5 dün3 xi5 cêng4	
籠絡	lung5 log3	
籠絡人心	lung5 log3 yen4 sem1	
籠籠統統	lung5 lung5 tung2 tung2	
籠統	lung5 tung2	
籠罩	lung5 zao3	
弄錯	lung6 co3	
弄瓦	lung6 nga5	
弄皺	lung6 zeo3	
弄璋	lung6 zêng1	
咧嘴	lé2 zêu2	
咧啡	lé4 fé4	吊兒郎當，衣冠不整，不修邊幅
咧氣	lé4 hé3	狼狽，夠戧，匆忙，衣冠不整，吊兒郎當
咧晒氣	lé4 sai3 hé3	狼狽不堪，非常狼狽
叻	lég1	聰明
叻唔切	lég1 m4 qid3	愛出風頭，自作聰明，自以為是
叻女	lég1 nêu5	聰明的女人，女強人
叻仔	lég1 zei2	聰明人，好樣的
label	léi1 bou2	標簽
嚟	léi4	來
籬笆	léi4 ba1	
離別	léi4 bid6	
嚟得啱	léi4 deg1 ngam1	來得正好，來得正是時候
嚟得切	léi4 deg1 qid3	來得及
離婚	léi4 fen1	
離婚率	léi4 fen1 lêd6	
離家	léi4 ga1	
離家出走	léi4 ga1 cêd1 zeo2	
離間	léi4 gan3	
離間計	léi4 gan3 gei3	
嚟緊	léi4 gen2	將會，跟著，緊接着
離經叛道	léi4 ging1 bun6 dou6	
離境	léi4 ging2	
離港	léi4 gong2	
離校	léi4 hao6	
離合	léi4 heb6	
離合器	léi4 heb6 héi3	
離開	léi4 hoi1	
離棄	léi4 héi3	
離鄉背井	léi4 hêng1 bui3 jing2	
離子	léi4 ji2	
離子化	léi4 ji2 fa3	
嚟自	léi4 ji6	來自
離職	léi4 jig1	
離席	léi4 jig6	
離奇	léi4 kéi4	
嚟唔得切	léi4 m4 deg1 qid3	來不及
釐米	léi4 mei5	
罹難	léi4 nan6	
嚟呢度	léi4 ni1 dou6	來這裡
離譜	léi4 pou2	
嚟遲	léi4 qi4	來晚，來遲
嚟遲咗	léi4 qi4 zo2	來晚了，來遲了
釐清	léi4 qing1	
離世	léi4 sei3	
離心	léi4 sem1	
離心力	léi4 sem1 lig6	
嚟神	léi4 sen2	來勁兒
離題	léi4 tei4	
離析	léi4 xig1	
離線	léi4 xin3	
離任	léi4 yem6	
離異	léi4 yi6	
離異之心	léi4 yi6 ji1 sem1	
離遠	léi4 yun5	離得遠，相隔很遠，在遠處
離座	léi4 zo6	
艃	léi5	帆
裏	léi5	裏子，襯裏
理	léi5	管，理會，理睬
理睬	léi5 coi2	
理財	léi5 coi4	
履帶	léi5 dai3	
理當	léi5 dong1	
理當如此	léi5 dong1 yu4 qi2	
理髮	léi5 fad3	
理髮店	léi5 fad3 dim3	
理髮廳	léi5 fad3 ting1	
理髮師	léi5 fad3 xi1	
理髮院	léi5 fad3 yun6	
理科	léi5 fo1	
理解	léi5 gai2	
理解力	léi5 gai2 lig6	
理該	léi5 goi1	
理工	léi5 gung1	
理工科	léi5 gung1 fo1	
理工學院	léi5 gung1 hog6 yun6	
履行	léi5 heng4	
履險如夷	léi5 him2 yu4 yi4	
理學博士	léi5 hog6 bog3 xi6	
理學士	léi5 hog6 xi6	
理學院	léi5 hog6 yun6	
理智	léi5 ji3	
理直氣壯	léi5 jig6 héi3 zong3	
理虧	léi5 kwei1	
理虧心虛	léi5 kwei1 sem1 hêu1	
履歷表	léi5 lig6 biu2	
理療	léi5 liu4	
理療科	léi5 liu4 fo1	
理論	léi5 lên6	
理論化	léi5 lên6 fa3	
理論科學	léi5 lên6 fo1 hog6	
理論家	léi5 lên6 ga1	
理論上	léi5 lên6 sêng6	
理論性	léi5 lên6 xing3	
理念	léi5 nim6	
理平頭	léi5 ping4 teo4	
理清	léi5 qing1	
里程錶	léi5 qing4 biu1	
里程碑	léi5 qing4 béi1	
履新	léi5 sen1	
理所當然	léi5 so2 dong1 yin4	
理想	léi5 sêng2	
理想化	léi5 sêng2 fa3	
理想國	léi5 sêng2 gwog3	
理想主義	léi5 sêng2 ju2 yi6	
理頭	léi5 teo4	
理頭髮	léi5 teo4 fad3	
理屈	léi5 wed1	
理屈詞窮	léi5 wed1 qi4 kung4	
理會	léi5 wui6	
理事	léi5 xi6	
理事國	léi5 xi6 gwog3	
理事會	léi5 xi6 wui6	
理事長	léi5 xi6 zêng2	
理性	léi5 xing3	
理性主義	léi5 xing3 ju2 yi6	
理性認識	léi5 xing3 ying6 xig1	
理由	léi5 yeo4	
理應	léi5 ying1	
鯉魚	léi5 yu4	
鯉魚池	léi5 yu4 qi4	
鯉魚潭	léi5 yu4 tam4	
俚語	léi5 yu5	
履約	léi5 yêg3	
鯉躍龍門	léi5 yêg6 lung4 mun4	
理則	léi5 zeg1	
理則學	léi5 zeg1 hog6	
利	léi6	鋒利，銳利，快
脷	léi6	舌頭
利劍	léi6 gim3	
利口唔利腹	léi6 heo2 m4 léi6 fug1	好吃但對身不益
利害	léi6 hoi6	厲害
蒞臨	léi6 lem4	
利落	léi6 log6	
利率	léi6 lêd6	
脷苔	léi6 toi1	舌苔
利息	léi6 xig1	
利刃	léi6 yen6	
利益	léi6 yig1	
利慾	léi6 yug6	
利慾薰心	léi6 yug6 fen1 sem1	
利用	léi6 yung6	
利潤	léi6 yên6	
痢疾	léi6 zed6	
舐	lém2	舔
舐嘴	lém2 zêu2	舔嘴唇
僆	léng1	年輕，年少，未成年
僆琼	léng1 kéng1	小子，小傢伙
僆模	léng1 mou4	少女模特兒
僆妹	léng1 mui1	小丫頭，少女，姑娘，女孩子
僆女	léng1 nêu2	少女，姑娘，女孩子
靚仔	léng1 zei2	小子，臭小子
僆仔	léng1 zei2	小子，年輕人，小伙子，少男
靚	léng3	美，漂亮，好看，美麗，好
靚歌	léng3 go1	好聽的歌
靚女	léng3 nêu2	美女，漂亮的女人
靚衫	léng3 sam1	漂亮衣服
靚嘢	léng3 yé5	好東西，好貨，上等貨
靚嘢唔平	léng3 yé5 m4 péng4	好貨不便宜
靚仔	léng3 zei2	美男子，俊男，漂亮的小伙子，漂亮的男孩
靚仔有型	léng3 zei2 yeo5 ying4	英俊瀟灑
領當	léng5 dong3	上當
領呔	léng5 tai1	領帶
領嘢	léng5 yé5	上當，上當了
漯	lê1	吐
漯飯	lê1 fan6	吐飯，噴飯
漯飯應	lê1 fan6 ying3	立刻答應，忙不迭地答應，回答得很迅速，正合心意
漯蔗渣	lê1 zé3 za2	吐甘蔗渣
律己	lêd6 géi2	
律令	lêd6 ling6	
傈僳族	lêd6 sug1 zug6	
律師	lêd6 xi1	
律詩	lêd6 xi1	
律師行	lêd6 xi1 hong4	
律師紙	lêd6 xi1 ji2	律師證明
律師樓	lêd6 xi1 leo4	律師事務所
律師事務所	lêd6 xi1 xi6 mou6 so2	
掠水	lêg1 sêu2	騙錢，騙財
略帶	lêg6 dai3	
掠奪	lêg6 düd6	
略加	lêg6 ga1	
略見一斑	lêg6 gin3 yed1 ban1	
略過	lêg6 gwo3	
略去	lêg6 hêu3	
略知	lêg6 ji1	
略知皮毛	lêg6 ji1 péi4 mou4	
略知一二	lêg6 ji1 yed1 yi6	
略略	lêg6 lêg6	稍微，略微，稍稍
略微	lêg6 méi4	
略同	lêg6 tung4	
略勝一籌	lêg6 xing3 yed1 ceo4	
略有	lêg6 yeo5	
略有出入	lêg6 yeo5 cêd1 yeb6	
略語	lêg6 yu5	
噒	lên1	啃
噒榄核	lên1 lam5 wed6	啃橄欖核
噒諄	lên1 zên1	羅嗦，羅哩羅嗦
輪	lên4	陣子
輪	lên4	次，頓
輪	lên4	排隊購買
掄刀	lên4 dou1	
鱗甲	lên4 gab3	
輪更	lên4 gang1	輪班
輪轂	lên4 gug1	
磷光	lên4 gwong1	
鄰居	lên4 gêu1	
淪陷	lên4 ham6	
輪住	lên4 ju6	輪流
輪住值班	lên4 ju6 jig6 ban1	輪流值班
輪住嚟	lên4 ju6 léi4	挨個兒來
輪廓	lên4 kwog3	
掄拳	lên4 kün4	
輪流	lên4 leo4	
淪落	lên4 log6	
倫理	lên4 léi5	
嶙嶙	lên4 lên4	
粼粼	lên4 lên4	
粼粼碧波	lên4 lên4 big1 bo1	
淪亡	lên4 mong4	
鱗毛	lên4 mou4	
鱗片	lên4 pin3	
鱗片狀	lên4 pin3 zong6	
鱗次櫛比	lên4 qi3 jid3 béi2	
嶙峋	lên4 sên1	
輪胎	lên4 tai1	
淪為	lên4 wei4	
遴選	lên4 xun2	
輪船	lên4 xun4	
輪椅	lên4 yi2	
鱗形	lên4 ying4	
論語	lên4 yu5	
鱗爪	lên4 zao2	
輪軸	lên4 zug6	
論點	lên6 dim2	
論調	lên6 diu6	
論證	lên6 jing3	
論文	lên6 men4	
論壇	lên6 tan4	
吝嗇	lên6 xig1	
吝啬	lên6 xig1	
論盡	lên6 zên6	笨手笨腳，粗心大意，舉動不靈，不小心，馬大哈
論盡	lên6 zên6	麻煩，累贅，狼狽，糟糕，不方便，不利索
糧	lêng4	薪水
涼茶	lêng4 ca4	清涼茶，去火湯藥
涼茶舖	lêng4 ca4 pou2	賣清涼茶的店
良策	lêng4 cag3	
莨綢	lêng4 ceo4	
涼風	lêng4 fung1	
良家	lêng4 ga1	
良家婦女	lêng4 ga1 fu5 nêu5	
良久	lêng4 geo2	
量角	lêng4 gog3	
量角規	lêng4 gog3 kwei1	
良機	lêng4 géi1	
良好	lêng4 hou2	
良知	lêng4 ji1	
良禽擇木而棲	lêng4 kem4 zag6 mug6 yi4 cei1	
良民	lêng4 men4	
涼麵	lêng4 min6	
梁山	lêng4 san1	
良心	lêng4 sem1	
良辰吉日	lêng4 sen4 ged1 yed6	
涼爽	lêng4 song2	涼快
涼亭	lêng4 ting4	
良師益友	lêng4 xi1 yig1 yeo5	
糧食	lêng4 xig6	
良性	lêng4 xing3	
良宵	lêng4 xiu1	
良藥	lêng4 yêg6	
良藥苦口	lêng4 yêg6 fu2 heo2	
兩敗俱傷	lêng5 bai6 kêu1 sêng1	
兩邊倒	lêng5 bin1 dou2	
兩棲	lêng5 cei1	
兩棲部隊	lêng5 cei1 bou6 dêu6	
兩棲登陸	lêng5 cei1 deng1 lug6	
兩棲動物	lêng5 cei1 dung6 med6	
兩棲類	lêng5 cei1 lêu6	
兩棲作戰	lêng5 cei1 zog3 jin3	
兩點	lêng5 dim2	
兩點鐘	lêng5 dim2 zung1	
兩度散手	lêng5 dou6 san2 seo2	兩下子
兩方面	lêng5 fong1 min6	
兩虎相鬥	lêng5 fu2 sêng1 deo3	
兩虎相鬥必有一傷	lêng5 fu2 sêng1 deo3 bid1 yeo5 yed1 sêng1	
兩訖	lêng5 ged1	
兩極	lêng5 gig6	
兩極化	lêng5 gig6 fa3	
兩極管	lêng5 gig6 gun2	
兩個字	lêng5 go3 ji6	十分鍾
兩公婆	lêng5 gung1 po4	夫妻倆，兩夫婦
兩兄妹	lêng5 hing1 mui6	兄妹兩個人，兄妹倆
兩害相權取其輕	lêng5 hoi6 sêng1 kün4 cêu2 kéi4 hing1	
兩面	lêng5 min6	
兩母女	lêng5 mou5 nêu5	母女倆
兩眼濕濕	lêng5 ngan5 seb1 seb1	淚汪汪，含著眼淚，熱淚盈眶，眼眶濕潤，淚盈於睫，眼淚汪汪的，滿臉淚痕，眼睛紅紅的
兩岸	lêng5 ngon6	
兩岸關係	lêng5 ngon6 gwan1 hei6	
兩倍	lêng5 pui5	
兩全其美	lêng5 qun4 kéi4 méi5	
兩手空空	lêng5 seo2 hung1 hung1	
兩頭蛇	lêng5 teo4 sé4	兩面派
兩性	lêng5 xing3	
兩小無猜	lêng5 xiu2 mou4 cai1	
兩粵	lêng5 yud6	
