开放粤语词典（刘锡祥版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［刘锡祥拼音］	［国语解释］
武断	mo5 duen6	
冇法子	mo5 faat3 ji2	没办法
冇法啦	mo5 faat3 la1	没办法了
冇家教	mo5 ga1 gaau3	没家教，没教养
冇解	mo5 gaai2	不像话
冇计	mo5 gai2	没办法
冇偈倾	mo5 gai2 king1	谈不拢
冇咁好气	mo5 gam3 ho2 hei3	没功夫，不跟你废话
冇咁好气	mo5 gam3 ho2 hei3	没工夫，不跟你说，不跟你废话
冇咁易	mo5 gam3 yi6	没那么容易
冇咁大个头唔好戴咁大顶帽	mo5 gam5 daai6 goh3 tau4 mo2 daai3 gam3 daai6 deng2 mo2	没那金刚钻别揽那瓷器活儿，量力而行，不要随便许诺
冇几耐	mo5 gei2 noi6	不久，没多久
冇记性	mo5 gei3 sing3	健忘，记性差，没记性，记忆力差
武警	mo5 ging2	
冇个啱	mo5 goh3 ngaam1	没个合适的，没有一个合适的
武官	mo5 goon1	
武功	mo5 gung1	
冇公德心	mo5 gung1 dak1 sam1	缺德，没有公德观念
无关紧要	mo5 gwaan1 gan2 yiu3	
冇关系	mo5 gwaan1 hai6	没关系
冇鬼用	mo5 gwai2 yung6	没用
武侠片	mo5 haap6	
武侠	mo5 hap6	
武侠小说	mo5 hap6 siu2 suet3	
冇口齿	mo5 hau2 chi2	没有信用，说话不算数
武器	mo5 hei3	
冇兴趣	mo5 hing3 chui3	没兴趣
冇走趱	mo5 jau2 jaan2	时间很紧，没有回旋的余地，没有活动的余地，没有松动的时间
冇走趱	mo5 jau2 jaan2	有把握，十拿九稳
武将	mo5 jeung3	
拇指	mo5 ji2	
冇做过	mo5 jo6 gwoh3	没做过
冇再讲啦	mo5 joi3 gong2 la1	别再说了
武装	mo5 jong1	
武装部队	mo5 jong1 bo6 dui6	
武装侵略	mo5 jong1 cham1 leuk6	
武装斗争	mo5 jong1 dau3 jang1	
武装份子	mo5 jong1 fan6 ji2	
武装力量	mo5 jong1 lik6 leung6	
武林	mo5 lam4	
冇厘搭霎	mo5 lei4 daap3 saap3	不讲理
武力	mo5 lik6	
冇料	mo5 liu2	水平低，没有学问，没能耐，没出息，没真本事
冇料到	mo5 liu2 do3	没有真本事，无所收获，得不到利益
冇路走	mo5 lo6 jau2	无路可逃
冇路数	mo5 lo6 so3	没有门路，没有路子，没有法子，没有机会
冇纹冇路	mo5 man4 mo5 lo6	不讲理
冇问题	mo5 man6 tai4	没问题
冇乜	mo5 mat1	没什么
冇乜把炮	mo5 mat1 ba2 paau3	没什么把握
冇乜点	mo5 mat1 dim2	没什么特别
冇乜揸拿	mo5 mat1 ja1 na4	没什么把握
妩媚	mo5 mei6	
冇面	mo5 min2	没面子
冇挐耕	mo5 na1 gaang1	不相干，不沾边，没有关系
冇挐冇褦	mo5 na1 mo5 nang3	毫无关系，毫不相干，没有什么联系，没有什么牵连
冇挐褦	mo5 na1 nang3	无关，没有牵扯，不相干，没牵连，无牵涉，无瓜葛，毫无关系
冇你咁好气	mo5 nei5 gam3 ho2 hei3	不跟你废话
冇眼睇	mo5 ngaan5 tai2	不愿看，不忍看，不想看，看不下去，真看不下去
冇眼睇	mo5 ngaan5 tai2	不管，懒得管，不过问，不想管，撒手不管，不愿干预
武艺	mo5 ngai6	
冇银	mo5 ngan2	没钱
冇银喺手	mo5 ngan2 hai2 sau2	手中没钱
冇奈何	mo5 noi6 hoh4	无可奈何，奈何不得
冇谱	mo5 po2	离谱，不像话，没谱儿，没个准
冇晒符	mo5 saai3 foo4	毫无办法，一点辙儿都没有，没法子，完全没有办法
冇晒符弗	mo5 saai3 foo4 fit1	毫无办法
冇晒姣气	mo5 saai3 haau4 hei3	灭了威风
冇晒声气	mo5 saai3 seng1 hei3	一点希望也没有了
冇散纸续	mo5 saan2 ji2 juk6	没有零票找换
冇心	mo5 sam1	不故意，无心，不想
冇心机	mo5 sam1 gei1	没心情
冇心机	mo5 sam1 gei1	不专心
冇心肝	mo5 sam1 gon1	没良心
冇修	mo5 sau1	没办法，没辙，毫无办法
冇手尾	mo5 sau2 mei5	虎头蛇尾，不收拾好，做事有头无尾
舞狮	mo5 si1	舞狮子
冇时间	mo5 si4 gaan1	没时间
武士	mo5 si6	
冇事	mo5 si6	没事
武士道	mo5 si6 do6	
冇事干	mo5 si6 gon3	没事儿
冇醒起	mo5 sing2 hei2	忘了，没想起
冇所谓	mo5 soh2 wai6	无所谓
武术	mo5 sut6	
武术比赛	mo5 sut6 bei2 choi3	
武威	mo5 wai1	
冇王管	mo5 wong4 goon2	没人管理
舞会	mo5 wooi2	
冇阴功	mo5 yam1 gung1	缺德，造孽，残忍，可怜
冇瘾	mo5 yan2	没意思，没趣，无聊，没劲，扫兴
冇人	mo5 yan4	没人，无人，没有人
冇人帮衬	mo5 yan4 bong1 chan3	无人问津，没人光顾，没人购买
冇人敢声	mo5 yan4 gam2 seng1	没人敢吭声
冇人吼	mo5 yan4 hau1	没人要，没有人喜欢，没人想要
冇人锡	mo5 yan4 sek3	没人疼，没人爱
冇嘢	mo5 ye5	没事，没什么
冇嘢呀嘛	mo5 ye5 a3 ma5	没事吧？
冇嘢到	mo5 ye5 do3	无所收获，没本事，缺乏实质性，得不到利益
冇耳性	mo5 yi5 sing3	健忘，没记性，记忆力差
冇研究	mo5 yin4 gau3	没意见，没问题，无所谓
冇腰骨	mo5 yiu1 gwat1	没骨气，靠不住，没原则，没信义
侮辱	mo5 yuk6	
冇用	mo5 yung6	没用
雾	mo6	雾气
墓碑	mo6 bei1	
募兵	mo6 bing1	
募兵制	mo6 bing1 jai3	
务必	mo6 bit1	
耄耋之年	mo6 dit6 ji1 nin4	
募款	mo6 foon2	
募捐	mo6 guen1	
雾气	mo6 hei3	
冒险	mo6 him2	
冒险家	mo6 him2 ga1	
募集	mo6 jaap6	
务求	mo6 kau4	
务农	mo6 nung4	
冒泡	mo6 po5	
务实	mo6 sat6	
务使	mo6 si2	
暮色	mo6 sik1	
务须	mo6 sui1	
雾水	mo6 sui2	露水
冒天下之大不韪	mo6 tin1 ha6 ji1 daai6 bat1 wai5	
冒烟	mo6 yin1	
帽缨	mo6 ying1	
摩擦	moh1 chaat3	
摩打	moh1 da2	马达，发动机
摩登	moh1 dang1	
魔笛	moh1 dek6	
魔法	moh1 faat3	
魔法师	moh1 faat3 si1	
魔界	moh1 gaai3	
魔高一尺，道高一丈	moh1 go1 yat1 chek3 do6 go1 yat1 jeung6	
魔鬼	moh1 gwai2	
魔爪	moh1 jaau2	
魔咒	moh1 jau3	
魔掌	moh1 jeung2	
魔障	moh1 jeung3	
魔杖	moh1 jeung6	
魔羯座	moh1 kit3 joh6	
魔力	moh1 lik6	
魔女	moh1 nui5	
魔术	moh1 sut6	
魔术师	moh1 sut6 si1	
嚤佗	moh1 toh4	慢吞吞，缓慢
魔王	moh1 wong4	
摸门钉	moh2 moon4 deng1	吃闭门羹
蘑菇	moh4 goo1	
磨砺	moh4 lai6	
馍馍	moh4 moh4	
磨蹭	moh4 sang3	
剥夺	mok1 duet6	
剥光猪	mok1 gwong1 jue1	脱光衣服，扒下所有的衣服，把衣服脱得精光
剥光衫裤	mok1 gwong1 saam1 foo3	脱光衣服，扒下所有的衣服，把衣服脱得精光
剥壳	mok1 hok3	去壳
剥离	mok1 lei4	
剥落	mok1 lok6	
剥衫	mok1 saam1	脱衣服
剥削	mok1 seuk3	
剥蚀	mok1 sik6	
莫测	mok6 chak1	
莫大	mok6 daai6	
莫非	mok6 fei1	
莫管闲事	mok6 goon2 haan4 si6	
幕后	mok6 hau6	
幕僚	mok6 liu4	
莫名	mok6 ming4	
莫须有	mok6 sui1 yau5	
芒果	mong1 gwoh2	
忙得不可开交	mong4 dak1 bat1 hoh2 hoi1 gaau1	
忙得晕头转向	mong4 dak1 wan4 tau4 juen3 heung3	
忙到死	mong4 do3 sei2	忙死了，非常忙碌
忘记	mong4 gei3	
亡国	mong4 gwok3	
亡国之音	mong4 gwok3 ji1 yam1	
亡国灭种	mong4 gwok3 mit6 jung2	
亡国奴	mong4 gwok3 no4	
莽撞	mong4 jong6	
忙中有错	mong4 jung1 yau5 choh3	
忘却	mong4 keuk3	
亡灵	mong4 ling4	
忙乱	mong4 luen6	
忙里偷闲	mong4 lui5 tau1 haan4	
忙碌	mong4 luk1	
亡命	mong4 ming6	
亡命之徒	mong4 ming6 ji1 to4	
亡命徒	mong4 ming6 to4	
忙忙碌碌	mong4 mong4 luk1 luk1	
亡魂	mong4 wan4	
盲音	mong4 yam1	
亡羊补牢	mong4 yeung4 bo2 lo4	
茫然	mong4 yin4	
忙于	mong4 yue1	
妄称	mong5 ching1	
妄加	mong5 ga1	
网站	mong5 jaam6	
网志	mong5 ji3	
妄自菲薄	mong5 ji6 fei1 bok6	
妄自尊大	mong5 ji6 juen1 daai6	
魍魉	mong5 leung5	
网路	mong5 lo6	
网络	mong5 lok3	
网民	mong5 man4	
网编	mong5 pin1	
蟒蛇	mong5 se4	
妄想	mong5 seung2	
妄言	mong5 yin4	
网页	mong5 yip6	
望	mong6	看，瞪着看，瞥，瞥看
望子成龙	mong6 ji2 sing4 lung4	
望住	mong6 jue6	盯着看，瞪着看
望佢一眼	mong6 kui5 yat1 ngaan5	瞥他一眼
望一眼	mong6 yat1 ngaan5	瞥一眼
望远镜	mong6 yuen5 geng3	
妹	mooi1	丫鬟，婢女
妹钉	mooi1 deng1	小女孩，小丫头
妹仔	mooi1 jai2	丫鬟，婢女
妹	mooi2	妹妹
霉	mooi4	糟，落泊
梅花	mooi4 fa1	梅花
梅花表	mooi4 fa1 biu1	
媒介	mooi4 gaai3	
媒介物	mooi4 gaai3 mat6	
媒介体	mooi4 gaai3 tai2	
玫瑰	mooi4 gwai3	
玫瑰花	mooi4 gwai3 fa1	
玫瑰色	mooi4 gwai3 sik1	
煤气	mooi4 hei3	瓦斯
煤矿	mooi4 kwong3	
媒婆	mooi4 poh4	
媒体	mooi4 tai2	
媒人	mooi4 yan4	
媒人婆	mooi4 yan4 poh4	
媒人婆	mooi4 yan4 poh4	媒婆
每次	mooi5 chi3	
昧良心	mooi6 leung4 sam1	
门	moon2	门，门口，大门
门诊部	moon4 chan2 bo6	
门窗	moon4 cheung1	
门齿	moon4 chi2	
门墩	moon4 dan2	
门当户对	moon4 dong3 woo6 dui3	
门缝	moon4 fung4	
门铰	moon4 gaau3	合页
门禁	moon4 gam3	
门警	moon4 ging2	
瞒过	moon4 gwoh3	
门客	moon4 haak3	
门槛	moon4 haam5	
门口	moon4 hau2	
门号	moon4 ho6	
门可罗雀	moon4 hoh2 loh4 jeuk3	
门诊	moon4 jan2	
门钟	moon4 jung1	门铃，电门铃
门罅	moon4 la3	门缝
门帘	moon4 lim4	
门帘	moon4 lim4	
门铃	moon4 ling4	
门联	moon4 luen4	
门面	moon4 min6	
门牙	moon4 nga4	
门外	moon4 ngoi6	
门外汉	moon4 ngoi6 hon3	
门派	moon4 paai3	
门牌	moon4 paai4	
门牌号码	moon4 paai4 ho6 ma5	
门票	moon4 piu3	
门神	moon4 san4	
门庭若市	moon4 ting4 yeuk6 si5	
门徒	moon4 to4	
门环	moon4 waan4	
满腹牢骚	moon5 fuk1 lo4 so1	
满腹疑云	moon5 fuk1 yi4 wan4	
满汉全席	moon5 hon3 chuen4 jik6	
满腔	moon5 hong1	
满腔热情	moon5 hong1 yit6 ching4	
满腔热血	moon5 hong1 yit6 huet3	
满载	moon5 joi3	
满载而归	moon5 joi3 yi4 gwai1	
满足	moon5 juk1	
满目疮痍	moon5 muk6 chong1 yi4	
满泻	moon5 se2	溢出来，满溢
满天神佛	moon5 tin1 san4 fat6	都闹翻天了，整个翻了天
满意	moon5 yi3	
满月	moon5 yuet6	
闷到死	moon6 do3 sei2	无聊死了，沉闷得要命
没辙	moot6 chit3	
靺鞨	moot6 hot3	
末期	moot6 kei4	
茉莉茶	moot6 lei6 cha4	
末梢	moot6 saau1	
末日	moot6 yat6	
末日审判	moot6 yat6 sam2 poon3	
木	muk6	木头
木	muk6	呆头呆脑，木讷
木板	muk6 baan2	
目标	muk6 biu1	
牧场	muk6 cheung4	
目前	muk6 chin4	
目前为止	muk6 chin4 wai4 ji2	
牧草	muk6 cho2	
牧草地	muk6 cho2 dei6	
木材	muk6 choi4	
木材业	muk6 choi4 yip6	
木槌	muk6 chui4	
目瞪口呆	muk6 dang6 hau2 ngoi4	
牧笛	muk6 dek6	
目睹	muk6 do2	
木独	muk6 duk6	愣，迟钝
木筏	muk6 fat6	
木方	muk6 fong1	木板
木嚿	muk6 gau6	木块
目击	muk6 gik1	
目击者	muk6 gik1 je2	
木剑	muk6 gim3	
牧歌	muk6 goh1	
木刻	muk6 hak1	
木刻术	muk6 hak1 sut6	
木口木面	muk6 hau2 muk6 min6	呆呆的，表情呆滞
木器	muk6 hei3	
木糠	muk6 hong1	锯末
目空一切	muk6 hung1 yat1 chai3	
木匠	muk6 jeung6	
木嘴	muk6 jui2	呆子，傻子，白痴
木屐	muk6 kek6	
仫佬族	muk6 lo2 juk6	
牧郎	muk6 long4	
目录	muk6 luk6	
木马	muk6 ma5	
牧马	muk6 ma5	
牧马中原	muk6 ma5 jung1 yuen4	
牧民	muk6 man4	
木乃伊	muk6 naai5 yi1	
木呐	muk6 naap6	
牧牛	muk6 ngau4	
牧牛区	muk6 ngau4 kui1	
牧牛业	muk6 ngau4 yip6	
木偶	muk6 ngau5	
木偶戏	muk6 ngau5 hei3	
木讷	muk6 nut6	
木虱	muk6 sat1	臭虫
牧师	muk6 si1	
穆斯林	muk6 si1 lam4	
木星	muk6 sing1	
木屑	muk6 sit3	
木碎	muk6 sui3	锯末
苜蓿	muk6 suk1	
木炭	muk6 taan3	
木头	muk6 tau4	
木枱	muk6 toi2	木桌，木头桌子
木桶	muk6 tung2	
牧童	muk6 tung4	
木坏山颓	muk6 waai6 saan1 tui4	
木人	muk6 yan4	
牧人	muk6 yan4	
木人石心	muk6 yan4 sek6 sam1	
牧羊	muk6 yeung4	
牧羊犬	muk6 yeung4 huen2	
牧羊人	muk6 yeung4 yan4	
木已成舟	muk6 yi5 sing4 jau1	
木鱼	muk6 yue4	
沐浴	muk6 yuk6	
木俑	muk6 yung2	
懵	mung2	糊涂
懵闭闭	mung2 bai3 bai3	懵懂，糊里糊涂，懵懵懂懂，蒙在鼓里，不明真相
懵到上心口	mung2 do3 seung5 sam1 hau2	糊涂之极，非常糊涂，糊涂到家了
懵吓懵吓	mung2 ha5 mung2 ha5	傻傻的
懵仔	mung2 jai2	傻瓜
懵佬	mung2 lo2	傻瓜
懵上心口	mung2 seung5 sam1 hau2	糊涂之极，非常糊涂，糊涂到家了
懵盛盛	mung2 sing6 sing6	懵然不知，混然无知，懵懵懂懂，糊里糊涂，太过糊涂，浑浑噩噩，混混沌沌
蒙	mung4	模糊
蒙	mung4	模糊
蒙查查	mung4 cha4 cha4	头脑不清
朦胧	mung4 lung4	
曚昽	mung4 lung4	
蒙蒙细雨	mung4 mung4 sai3 yue5	
蒙恩	mung4 yan1	
懵懂	mung5 dung2	
懵然	mung5 yin4	
梦到	mung6 do2	
梦见	mung6 gin3	
梦境	mung6 ging2	
梦乡	mung6 heung1	
梦中	mung6 jung1	
梦中人	mung6 jung1 yan4	
梦寐以求	mung6 mei6 yi5 kau4	
梦呓	mung6 ngai6	
梦醒	mung6 seng2	
梦想	mung6 seung2	
梦话	mung6 wa2	
梦幻	mung6 waan6	
梦幻	mung6 waan6	
梦遗	mung6 wai4	
梦游	mung6 yau4	
梦游症	mung6 yau4 jing3	
梦魇	mung6 yim2	
梦语	mung6 yue5	
疓	na1	疤痕
挐	na1	同，跟，和，与
挐挐褦褦	na1 na1 nang3 nang3	藕断丝连，牵扯，瓜葛，有关系，有瓜葛
挐褦	na1 nang3	牵连，关系，瓜葛
乸	na2	母，雌
乸型	na2 ying4	女性化，娘娘腔
嗱	na4	喏，欸，你看
哪咤	na4 ja1	
拿破仑	na4 poh3 lun4	
泥潭	na4 taam4	
那般	na5 boon1	
那里	na5 lui5	
那么	na5 moh1	
那样	na5 yeung6	
奶	naai5	乳房
奶粉	naai5 fan2	
奶啡	naai5 fe1	牛奶咖啡
乃至	naai5 ji3	
乃至于	naai5 ji3 yue1	
奶樽	naai5 jun1	奶瓶
奶酪	naai5 lok3	
乃是	naai5 si6	
男扮女装	naam4 baan3 nui5 jong1	
南北朝	naam4 bak1 chiu4	
南便	naam4 bin6	南边
南半球	naam4 boon3 kau4	
男伴	naam4 boon6	
男仆	naam4 buk6	
南昌	naam4 cheung1	
男厕	naam4 chi3	
男厕所	naam4 chi3 soh2	
男低音	naam4 dai1 yam1	
男丁	naam4 ding1	
男盗女娼	naam4 do6 nui5 cheung1	
男婚女嫁	naam4 fan1 nui5 ga3	
南方	naam4 fong1	
男方	naam4 fong1	
男欢女爱	naam4 foon1 nui5 oi3	
男耕女织	naam4 gaang1 nui5 jik1	
男妓	naam4 gei6	
南京	naam4 ging1	
男高音	naam4 go1 yam1	
男孩	naam4 haai4	
男孩子	naam4 haai4 ji2	
男校	naam4 haau6	
男学生	naam4 hok6 saang1	
南腔北调	naam4 hong1 bak1 diu6	
男仔	naam4 jai2	男孩
男爵	naam4 jeuk3	
男子	naam4 ji2	
男子汉	naam4 ji2 hon3	
男装	naam4 jong1	
男主角	naam4 jue2 gok3	
男中音	naam4 jung1 yam1	
男篮	naam4 laam4	
男篮赛	naam4 laam4 choi3	
南美洲	naam4 mei5 jau1	
南无	naam4 moh2	念经
南无佬	naam4 moh4 lo2	道士，法师，术士，巫师
喃喃自语	naam4 naam4 ji6 yue5	
男男女女	naam4 naam4 nui5 nui5	
南宁	naam4 ning4	
男女	naam4 nui5	
男女老少	naam4 nui5 lo5 siu3	
男女老幼	naam4 nui5 lo5 yau3	
男女平等	naam4 nui5 ping4 dang2	
男女授受不亲	naam4 nui5 sau6 sau6 bat1 chan1	
男朋友	naam4 pang4 yau5	
男生	naam4 sang1	
蝻蛇	naam4 se4	蟒蛇
男士	naam4 si6	
男仕	naam4 si6	
男色	naam4 sik1	
男星	naam4 sing1	
男性	naam4 sing3	
男性化	naam4 sing3 fa3	
男童	naam4 tung4	
男童军	naam4 tung4 gwan1	
男同学	naam4 tung4 hok6	
男人	naam4 yan2	
男人老狗	naam4 yan4 lo5 gau2	大男人的，男子汉大丈夫
男人婆	naam4 yan4 poh4	
男友	naam4 yau5	
男儿	naam4 yi4	
男儿本色	naam4 yi4 boon2 sik1	
男婴	naam4 ying1	
南乳	naam4 yue5	红腐乳，酱豆腐
南乳花生	naam4 yue5 fa1 sang1	五香花生
南乳肉	naam4 yue5 yuk6	五香花生仁儿，炒花生仁儿
南辕北辙	naam4 yuen4 bak1 chit3	
男用表	naam4 yung6 biu1	
揇	naam5	用长棍打
难办	naan4 baan6	
难保	naan4 bo2	
难辞其咎	naan4 chi4 kei4 gau3	
难缠	naan4 chin4	
难抵	naan4 dai2	难以忍受，难受
难得	naan4 dak1	
难点	naan4 dim2	
难顶	naan4 ding2	受不了，难熬
难度	naan4 do6	
难道	naan4 do6	
难分高下	naan4 fan1 go1 ha6	
难搅	naan4 gaau2	难办
难管	naan4 goon2	
难怪	naan4 gwaai3	
难关	naan4 gwaan1	
难过	naan4 gwoh3	
难堪	naan4 ham1	
难做	naan4 jo6	难为情
难鲠	naan4 kang2	难吃，难下咽
难闻	naan4 man4	
难免	naan4 min5	
难忘	naan4 mong4	
难能可贵	naan4 nang4 hoh2 gwai3	
难耐	naan4 noi6	
难受	naan4 sau6	
难舍	naan4 se2	
难舍难分	naan4 se2 naan4 fan1	
难相与	naan4 seung1 yue5	难相处
难上加难	naan4 seung6 ga1 naan4	
难食	naan4 sik6	难吃
难睇	naan4 tai2	难看
难睇到死	naan4 tai2 do3 sei2	难看得要命
难题	naan4 tai4	
难听	naan4 teng1	
难听到死	naan4 teng1 do3 sei2	难听死了，难听得要命
难逃	naan4 to4	
难逃法网	naan4 to4 faat3 mong5	
难逃一死	naan4 to4 yat1 sei2	
难为	naan4 wai4	
难为情	naan4 wai4 ching4	
难揾	naan4 wan2	难找，不好找
难忍	naan4 yan2	
难以	naan4 yi5	
难以出口	naan4 yi5 chut1 hau2	
难以解决	naan4 yi5 gaai2 kuet3	
难以置信	naan4 yi5 ji3 sun3	
难以捉摸	naan4 yi5 juk1 moh2	
难以启齿	naan4 yi5 kai2 chi2	
难以相信	naan4 yi5 seung1 sun3	
难以为继	naan4 yi5 wai4 gai3	
难以形容	naan4 yi5 ying4 yung4	
难言之隐	naan4 yin4 ji1 yan2	
赧然	naan5 yin4	
难兄难弟	naan6 hing1 naan6 dai6	
难民	naan6 man4	
难民收容所	naan6 man4 sau1 yung4 soh2	
难民营	naan6 man4 ying4	
难友	naan6 yau5	
呐喊	naap6 haam3	
纳闷	naap6 moon6	
纳税	naap6 sui3	
焫	naat3	枪毙
焫	naat3	灼，烫，滚烫
焫亲	naat3 chan1	灼伤，烫伤，烫着
焫鸡	naat3 gai1	烙铁，电烙铁
焫咗	naat3 joh2	被枪毙
焫伤	naat3 seung1	灼伤，烫伤
孬种	naau1 jung2	
孬脾气	naau1 pei4 hei3	
铙钹	naau4 bat6	
桡动脉	naau4 dung6 mak6	
桡骨	naau4 gwat1	
闹	naau6	骂
闹别扭	naau6 bit3 nau2	
闹场	naau6 cheung4	
闹大	naau6 daai6	
闹洞房	naau6 dung6 fong4	
闹翻	naau6 faan1	
闹翻天	naau6 faan1 tin1	
闹房	naau6 fong4	
闹革命	naau6 gaak3 ming6	
闹交	naau6 gaau1	吵架
闹鬼	naau6 gwai2	
闹钟	naau6 jung1	
闹钟	naau6 jung1	
闹中取静	naau6 jung1 chui2 jing6	
闹剧	naau6 kek6	
闹区	naau6 kui1	
闹脾气	naau6 pei4 hei3	
闹市	naau6 si5	
闹事	naau6 si6	
闹人	naau6 yan4	骂人
闹意见	naau6 yi3 gin3	
闹意气	naau6 yi3 hei3	
闹热	naau6 yit6	热闹
泥	nai4	土，泥
泥巴	nai4 ba1	
泥湴	nai4 baan6	烂泥，稀泥，泥土
泥尘	nai4 chan4	灰尘，尘土
泥墙	nai4 cheung4	土墙
泥泞	nai4 ning6	
泥山	nai4 saan1	土山
泥土	nai4 to2	
泥肉	nai4 yuk6	可耕种的土层
泥氹	nai5 tam5	泥坑
谂	nam2	想
谂清谂楚	nam2 ching1 nam2 choh2	琢磨，认认真真想清楚
谂翻	nam2 faan1	回忆
谂法	nam2 faat3	想法
谂计	nam2 gai2	想办法，出主意
谂计仔	nam2 gai2 jai2	出主意
谂吓	nam2 ha5	想一想
谂真啲	nam2 jan1 di1	想清楚一些，好好想想
谂住	nam2 jue6	想，打算，估计，准备
谂唔掂	nam2 m4 dim6	想不通
谂唔到	nam2 m4 do2	没想到
谂唔明	nam2 m4 ming4	想不通，想不透
谂唔通	nam2 m4 tung1	想不开，想不通
谂谂吓	nam2 nam2 ha5	想一想
谂头	nam2 tau4	想法
谂通	nam2 tung1	想通
腍	nam4	软，松软，不硬，烂熟，烂
腍啤啤	nam4 be4 be4	软绵绵
淰	nam6	熟，睡熟，吸透
褦	nang3	绑，系，联系，拴住，搭配
能否	nang4 fau2	
能够	nang4 gau3	
能见度	nang4 gin3 do6	
能歌善舞	nang4 goh1 sin6 mo5	
能干	nang4 gon3	
能工巧匠	nang4 gung1 haau2 jeung6	
能攻能守	nang4 gung1 nang4 sau2	
能者多劳	nang4 je2 doh1 lo4	
能量	nang4 leung6	
能量不灭定律	nang4 leung6 bat1 mit6 ding6 lut6	
能量守恒定律	nang4 leung6 sau2 hang4 ding6 lut6	
能力	nang4 lik6	
能文能武	nang4 man4 nang4 mo5	
能耐	nang4 noi6	
能伸能屈	nang4 san1 nang4 wat1	
能手	nang4 sau2	
能说善道	nang4 suet3 sin6 do6	
能屈能伸	nang4 wat1 nang4 san1	
能人	nang4 yan4	
能言快语	nang4 yin4 faai3 yue5	
能言善辩	nang4 yin4 sin6 bin6	
能言善道	nang4 yin4 sin6 do6	
能源	nang4 yuen4	
能源部	nang4 yuen4 bo6	
能源危机	nang4 yuen4 ngai4 gei1	
凹	nap1	瘪，凹，洼
粒	nap1	丁，丁儿
粒	nap1	颗，粒
粒子	nap1 ji2	
凹咗	nap1 joh2	瘪了
粒状	nap1 jong6	
粒粒皆辛苦	nap1 nap1 gaai1 san1 foo2	
粒声都唔出	nap1 seng1 do1 m4 chut1	一句话也不说，一声不吭，一声不响
粒声唔出	nap1 seng1 m4 chut1	一声不吭，一声不响，一言不发，一句话不说
嬲	nau1	生气，气
嬲爆爆	nau1 baau3 baau3	气冲冲，气鼓鼓的
嬲到震	nau1 do3 jan3	非常生气，发怒
嬲到死	nau1 do3 sei2	气死了，生气得很
嬲好定笑好	nau1 ho2 ding6 siu3 ho2	啼笑皆非，哭笑不得
嬲死	nau1 sei2	气坏了
扭	nau2	拧
纽	nau2	纽扣，扣子
朽败	nau2 baai6	
扭计	nau2 gai2	淘气，顽皮，捣鬼，不听话，不驯服；刁蛮，闹别扭，勾心斗角
扭计星	nau2 gai2 sing1	爱撤娇的孩子
扭转	nau2 juen2	
纽扣	nau2 kau3	
钮扣	nau2 kau3	
朽迈	nau2 maai6	
纽门	nau2 moon4	扣眼
朽木	nau2 muk6	
朽木不可雕也	nau2 muk6 bat1 hoh2 diu1 ya5	
朽木粪土	nau2 muk6 fan3 to2	
扭扭拧拧	nau2 nau2 ning6 ning6	扭扭捏捏
扭拧	nau2 ning6	扭捏
扭捏	nau2 nip6	
扭屎窟	nau2 si2 fat1	扭屁股
朽坏	nau2 waai6	
扭喐	nau2 yuk1	扭动，转动
耨	nau6	腻，油腻，发腻
耨喉	nau6 hau4	腻，腻人
耨市	nau6 si5	滞销
匿	nei1	躲，躲藏
匿去边度？	nei1 hui3 bin1 do6	躲到哪里去？
匿埋	nei1 maai4	藏起来，躲起来
匿入房	nei1 yap6 fong2	躲到房间里去了
弥补	nei4 bo2	
尼姑	nei4 goo1	
弥合	nei4 hap6	
你哋	nei5 dei6	你们
你哋嘅	nei5 dei6 ge3	你们的
你哋自己	nei5 dei6 ji6 gei2	你们自己
你哋自己嘅	nei5 dei6 ji6 gei2 ge3	你们自己的
你嘅	nei5 ge3	你的
你个人	nei5 goh3 yan4	你的为人
你讲咩嘢话？	nei5 gong2 me1 ye5 wa2	说什么？
你讲嘢呀？	nei5 gong2 ye5 a4	胡说！，废话！
你估	nei5 goo2	你猜，你以为，你猜猜看
你贵姓	nei5 gwai3 sing3	
你好	nei5 ho2	
你好有心	nei5 ho2 yau5 sam1	真谢谢您关心
你知唔知	nei5 ji1 m4 ji1	你知道吗？
你自己	nei5 ji6 gei2	
你自己嘅	nei5 ji6 gei2 ge3	你自己的
你追我赶	nei5 jui1 ngoh5 gon2	
你来我往	nei5 loi4 ngoh5 wong5	
你谂你	nei5 nam2 nei5	你自己拿主意
你侬我侬	nei5 nung4 ngoh5 nung4	
你死我活	nei5 sei2 ngoh5 woot6	
你推我让	nei5 tui1 ngoh5 yeung6	
你话点就点	nei5 wa6 dim2 jau6 dim2	你说怎么办就怎么办吧
腻胃	nei6 wai6	
娘亲	neung4 chan1	
娘家	neung4 ga1	
娘子军	neung4 ji2 gwan1	
娘娘腔	neung4 neung4 hong1	
蜈蚣	ng4 gung1	
吴侬软语	ng4 nung4 yuen5 yue5	
鼯鼠	ng4 sue2	
梧桐	ng4 tung4	
五十蚊	ng5 a6 man1	五十块
五笔	ng5 bat1	
午餐	ng5 chaan1	
午前	ng5 chin4	
五彩缤纷	ng5 choi2 ban1 fan1	
