开放粤语词典（广州拼音版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［广州拼音］	［国语解释］
血肉模糊	hüd3 yug6 mou4 wu4	
血肉横飞	hüd3 yug6 wang4 féi1	
血缘	hüd3 yun4	
血缘关系	hüd3 yun4 gwan1 hei6	
血债	hüd3 zai3	
血债血还	hüd3 zai3 hüd3 wan4	
血浆	hüd3 zêng1	
壎篪相和	hün1 qi4 sêng1 wo4	
喧阗	hün1 tin4	
喧哗	hün1 wa1	
喧哗	hün1 wa1	
犬牙	hün2 nga4	
犬牙交错	hün2 nga4 gao1 cog3	
犬齿	hün2 qi2	
犬儒	hün2 yu4	
犬戎	hün2 yung4	
劝解	hün3 gai2	
劝交	hün3 gao1	劝架
劝告	hün3 gou3	
绚烂	hün3 lan6	
绚丽	hün3 lei6	
X光	ig1 xi4 gwong1	
知	ji1	知道
之不过	ji1 bed1 gwo3	但是，不过
资本	ji1 bun2	
资本家	ji1 bun2 ga1	
资本主义	ji1 bun2 ju2 yi6	
资本主义国家	ji1 bun2 ju2 yi6 gwog3 ga1	
资本主义社会	ji1 bun2 ju2 yi6 sé5 wui6	
资本论	ji1 bun2 lên6	
资产	ji1 can2	
资产阶级	ji1 can2 gai1 keb1	
支撑	ji1 cang1	
知丑	ji1 ceo2	知耻
之初	ji1 co1	
辎重	ji1 cung5	
辎重团中尉	ji1 cung5 tün4 zung1 wei3	
支出	ji1 cêd1	
支出费用	ji1 cêd1 fei3 yung6	
龇出牙	ji1 cêd1 nga4	
知趣	ji1 cêu3	
知到	ji1 dou3	知道
知道	ji1 dou6	
支队	ji1 dêu6	
支队长	ji1 dêu6 zêng2	
知法犯法	ji1 fad3 fan6 fad3	
脂肪	ji1 fong1	
之乎者也	ji1 fu4 zé2 ya5	
支付	ji1 fu6	
资格	ji1 gag3	
支解	ji1 gai2	
之间	ji1 gan1	
资金	ji1 gem1	
知觉	ji1 gog3	
知己知彼	ji1 géi2 ji1 béi2	
之下	ji1 ha6	
知悭识俭	ji1 han1 xig1 gim6	精打细算，懂得节俭，会过日子，懂得勤俭节约
之后	ji1 heo6	
支气管	ji1 héi3 gun2	
支气管炎	ji1 héi3 gun2 yim4	
吱吱叫	ji1 ji1 giu3	
支支整整	ji1 ji1 jing2 jing2	过份讲究打扮
支支吾吾	ji1 ji1 ng4 ng4	
姿整	ji1 jing2	讲究
蜘蛛	ji1 ju1	
蜘蛛网	ji1 ju1 mong5	
知其不可为而为之	ji1 kéi4 bed1 ho2 wei4 yi4 wei4 ji1	
知其一不知其二	ji1 kéi4 yed1 bed1 ji1 kéi4 yi6	
支流	ji1 leo4	
资料	ji1 liu6	
资料库	ji1 liu6 fu3	
支路	ji1 lou6	
支离	ji1 léi4	
支离破碎	ji1 léi4 po3 sêu3	
之类	ji1 lêu6	
知唔知	ji1 m4 ji1	知不知道
芝麻	ji1 ma4	
之嘛	ji1 ma5	而已，罢了
支脉	ji1 meg6	
知无不言	ji1 mou4 bed1 yin4	
滋味	ji1 méi6	
知难而退	ji1 nan4 yi4 têu3	
龇牙	ji1 nga4	
龇牙咧嘴	ji1 nga4 lé2 zêu2	
之外	ji1 ngoi6	
之内	ji1 noi6	
支派	ji1 pai3	
支票	ji1 piu3	
支票簿	ji1 piu3 bou6	
支配	ji1 pui3	
知耻近乎勇	ji1 qi2 gen6 fu4 yung5	
支持	ji1 qi4	
支持者	ji1 qi4 zé2	
之前	ji1 qin4	
知情	ji1 qing4	
知情不报	ji1 qing4 bed1 bou3	
姿势	ji1 sei3	
知心	ji1 sem1	
知心朋友	ji1 sem1 peng4 yeo5	
知心话	ji1 sem1 wa2	
知心人	ji1 sem1 yen4	
之所以	ji1 so2 yi5	
知死	ji1 séi2	后悔莫及，知道利害
资讯	ji1 sên3	
之上	ji1 sêng6	
知衰	ji1 sêu1	知错，认错
姿态	ji1 tai3	
肢体	ji1 tei2	
肢体语言	ji1 tei2 yu5 yin4	
支援	ji1 wun4	
支使	ji1 xi2	
芝士	ji1 xi2	奶酪，乳酪
知悉	ji1 xig1	
知识	ji1 xig1	
知识化	ji1 xig1 fa3	
知识分子	ji1 xig1 fen6 ji2	
知识阶级	ji1 xig1 gai1 keb1	
知识青年	ji1 xig1 qing1 nin4	
知识性	ji1 xig1 xing3	
吱声	ji1 xing1	
支承	ji1 xing4	
知书达礼	ji1 xu1 dad6 lei5	
知音	ji1 yem1	
知恩图报	ji1 yen1 tou4 bou3	
知人知面不知心	ji1 yen4 ji1 min6 bed1 ji1 sem1	
资源	ji1 yun4	
滋润	ji1 yên6	
之际	ji1 zei3	
知足	ji1 zug1	
知足常乐	ji1 zug1 sêng4 log6	
之中	ji1 zung1	
纸	ji2	钞票
纸	ji2	证件，证书，证明书
只不过	ji2 bed1 gwo3	
咫尺	ji2 cég3	
咫尺天涯	ji2 cég3 tin1 ngai4	
指出	ji2 cêd1	
子弹	ji2 dan2	
子弹头	ji2 dan2 teo4	
子弟	ji2 dei6	
子弟兵	ji2 dei6 bing1	
指点	ji2 dim2	
指定	ji2 ding6	
指导	ji2 dou6	
指挥	ji2 fei1	
指甲	ji2 gab3	手指甲
指甲钳	ji2 gab3 kim2	指甲刀，指甲剪子
紫禁城	ji2 gem3 xing4	
纸巾	ji2 gen1	面纸，面巾纸，餐巾纸
子宫	ji2 gung1	
子宫颈	ji2 gung1 géng2	
子宫颈癌	ji2 gung1 géng2 ngam4	
子宫癌	ji2 gung1 ngam4	
子宫外孕	ji2 gung1 ngoi6 yen6	
指关节	ji2 gwan1 jid3	
纸贵洛阳	ji2 gwei3 log3 yêng4	
指控	ji2 hung3	
子虚乌有	ji2 hêu1 wu1 yeo5	
止血	ji2 hüd3	
止血带	ji2 hüd3 dai3	
止血器	ji2 hüd3 héi3	
止血药	ji2 hüd3 yêg6	
止血剂	ji2 hüd3 zei1	
指尖	ji2 jim1	
指住	ji2 ju6	
子规	ji2 kwei1	
指鹿为马	ji2 lug6 wei4 ma5	
指纹	ji2 men4	
姊妹	ji2 mui2	姐妹
姊妹花	ji2 mui2 fa1	
姊妹篇	ji2 mui2 pin1	
指南	ji2 nam4	
指南针	ji2 nam4 zem1	
纸皮	ji2 péi4	瓦楞纸，纸板
纸皮盒	ji2 péi4 heb6	瓦楞纸盒，纸盒
纸皮石	ji2 péi4 ség6	马赛克，马赛克方块石
纸皮箱	ji2 péi4 sêng1	瓦楞纸箱，纸板箱
仔细	ji2 sei3	
指数	ji2 sou3	
止痛	ji2 tung3	
止痛药	ji2 tung3 yêg6	
止痛剂	ji2 tung3 zei1	
指使	ji2 xi2	
紫色	ji2 xig1	
子孙	ji2 xun1	
子孙满堂	ji2 xun1 mun5 tong4	
指印	ji2 yen3	
纸鹞	ji2 yiu2	风筝
子曰	ji2 yud6	
志愿	ji2 yun6	
至	ji3	最
至	ji3	才
至得	ji3 deg1	才行
致电	ji3 din6	
至多唔系	ji3 do1 m4 hei6	大不了，顶多是…
致富	ji3 fu3	
致富之道	ji3 fu3 ji1 dou6	
至今	ji3 gem1	
致敬	ji3 ging3	
致歉	ji3 hib3	
致贺	ji3 ho6	
…至奇	ji3 kéi4	…才怪
致力	ji3 lig6	
致力于	ji3 lig6 yu1	
致命伤	ji3 ming6 sêng1	
致命性	ji3 ming6 xing3	
致癌	ji3 ngam4	
致癌物	ji3 ngam4 med6	
致癌物质	ji3 ngam4 med6 zed1	
致词	ji3 qi4	
致死	ji3 séi2	
至死不悟	ji3 séi2 bed1 ng6	
致死量	ji3 séi2 lêng6	
智慧	ji3 wei6	
致使	ji3 xi2	
至少	ji3 xiu2	
挚友	ji3 yeo5	
致意	ji3 yi3	
至憎	ji3 zeng1	最讨厌
志在	ji3 zoi6	在乎
志在	ji3 zoi6	目的在于
致谢	ji3 zé6	
智障	ji3 zêng3	
智障人士	ji3 zêng3 yen4 xi6	
字	ji6	五分钟
自不量力	ji6 bed1 lêng6 lig6	
自不然	ji6 bed1 yin4	自然而然
自闭	ji6 bei3	
自闭症	ji6 bei3 jing3	
自保	ji6 bou2	
自暴自弃	ji6 bou6 ji6 héi3	
自卑	ji6 béi1	
自卑感	ji6 béi1 gem2	
自备	ji6 béi6	
自备午餐	ji6 béi6 ng5 can1	
治病	ji6 béng6	
自惭形秽	ji6 cam4 ying4 wei3	
自残	ji6 can4	
自寻烦恼	ji6 cem4 fan4 nou5	
自寻死路	ji6 cem4 séi2 lou6	
痔疮	ji6 cong1	
自从	ji6 cung4	
治邪	ji6 cé4	辟邪，祛邪
自吹	ji6 cêu1	
自吹自擂	ji6 cêu1 ji6 lêu4	
自取其辱	ji6 cêu2 kéi4 yug6	
自取灭亡	ji6 cêu2 mid6 mong4	
自打嘴巴	ji6 da2 zêu2 ba1	
自大	ji6 dai6	
自得其乐	ji6 deg1 kéi4 log6	
字典	ji6 din2	
自蹈法网	ji6 dou6 fad3 mong5	
自导自演	ji6 dou6 ji6 yin2	
自动	ji6 dung6	
自动化	ji6 dung6 fa3	
自发	ji6 fad3	
自费	ji6 fei3	
自费旅行	ji6 fei3 lêu5 heng4	
自焚	ji6 fen4	
字符	ji6 fu4	
自负	ji6 fu6	
自负盈亏	ji6 fu6 ying4 kwei1	
自奉	ji6 fung6	
雉鸡	ji6 gei1	
自甘堕落	ji6 gem1 do6 log6	
字根	ji6 gen1	
自咎	ji6 geo3	
自矜	ji6 ging1	
自觉	ji6 gog3	
自高自大	ji6 gou1 ji6 dai6	
自告奋勇	ji6 gou3 fen5 yung5	
自古	ji6 gu2	
自古以来	ji6 gu2 yi5 loi4	
自供	ji6 gung1	
俟机	ji6 géi1	
自己	ji6 géi2	
自己攞嚟衰	ji6 géi2 lo2 léi4 sêu1	自找麻烦，自讨苦吃，自找倒霉
自己友	ji6 géi2 yeo2	自己人
自行	ji6 heng4	
自行车	ji6 heng4 cé1	
自行解决	ji6 heng4 gai2 küd3	
自行其是	ji6 heng4 kéi4 xi6	
自行决定	ji6 heng4 küd3 ding6	
俟候	ji6 heo6	
自谦	ji6 him1	
自学	ji6 hog6	
自豪	ji6 hou4	
自欺欺人	ji6 héi1 héi1 yen4	
稚气	ji6 héi3	
自诩	ji6 hêu2	
自知	ji6 ji1	
自知之明	ji6 ji1 ji1 ming4	
自知理亏	ji6 ji1 léi5 kwei1	
字纸	ji6 ji2	
自治	ji6 ji6	
自治区	ji6 ji6 kêu1	
自治权	ji6 ji6 kün4	
自治省	ji6 ji6 sang2	
自治市	ji6 ji6 xi5	
自治县	ji6 ji6 yun6	
自治州	ji6 ji6 zeo1	
字迹	ji6 jig1	
字正腔圆	ji6 jing3 hong1 yun4	
自主	ji6 ju2	
自尊	ji6 jun1	
自尊心	ji6 jun1 sem1	
自传	ji6 jun2	
自给自足	ji6 keb1 ji6 zug1	
自夸	ji6 kwa1	
自强不息	ji6 kêng4 bed1 xig1	
自决	ji6 küd3	
自决权	ji6 küd3 kün4	
自立	ji6 lab6	
自力更生	ji6 lig6 geng1 seng1	
自怜	ji6 lin4	
治疗	ji6 liu4	
饲料	ji6 liu6	
自来水	ji6 loi4 sêu2	
治理	ji6 léi5	
自律	ji6 lêd6	
字里行间	ji6 lêu5 hong4 gan1	
字码	ji6 ma5	
自卖自夸	ji6 mai6 ji6 kwa1	
自刎	ji6 men5	
自问	ji6 men6	
自问自答	ji6 men6 ji6 dab3	
字面	ji6 min6	
字面上	ji6 min6 sêng6	
自鸣得意	ji6 ming4 deg1 yi3	
自命不凡	ji6 ming6 bed1 fan4	
自命清高	ji6 ming6 qing1 gou1	
寺庙	ji6 miu6	
字幕	ji6 mog6	
字母	ji6 mou5	
字母表	ji6 mou5 biu2	
自满	ji6 mun5	
自误误人	ji6 ng6 ng6 yen4	
字眼	ji6 ngan5	
自缢	ji6 ngei3	
自我	ji6 ngo5	
自我介绍	ji6 ngo5 gai3 xiu6	
自我检讨	ji6 ngo5 gim2 tou2	
自我中心	ji6 ngo5 zung1 sem1	
自傲	ji6 ngou6	
自爱	ji6 oi3	
自此	ji6 qi2	
字词	ji6 qi4	
自始至终	ji6 qi5 ji3 zung1	
自称	ji6 qing1	
字串	ji6 qun3	
自杀	ji6 sad3	
自杀式袭击	ji6 sad3 xig1 zab6 gig1	
自细	ji6 sei3	从小
自身	ji6 sen1	
自身难保	ji6 sen1 nan4 bou2	
自生自灭	ji6 seng1 ji6 mid6	
自修	ji6 seo1	
自修课	ji6 seo1 fo3	
自首	ji6 seo2	
字首	ji6 seo2	
自扫门前雪	ji6 sou3 mun4 qin4 xud3	
自信	ji6 sên3	
自信心	ji6 sên3 sem1	
自相残杀	ji6 sêng1 can4 sad3	
自相矛盾	ji6 sêng1 mao4 tên5	
自叹不如	ji6 tan3 bed1 yu4	
自叹弗如	ji6 tan3 fed1 yu4	
字体	ji6 tei2	
自投罗网	ji6 teo4 lo4 mong5	
字条	ji6 tiu4	
自讨苦吃	ji6 tou2 fu2 hég3	
自掏腰包	ji6 tou4 yiu1 bao1	
自慰	ji6 wei3	手淫
自慰	ji6 wei3	
自卫	ji6 wei6	
自卫队	ji6 wei6 dêu6	
字汇	ji6 wui6	
自私	ji6 xi1	
自食其果	ji6 xig6 kéi4 gwo2	
自食其力	ji6 xig6 kéi4 lig6	
自食恶果	ji6 xig6 og3 gwo2	
字音	ji6 yem1	
字音表	ji6 yem1 biu2	
自由	ji6 yeo4	
自由自在	ji6 yeo4 ji6 zoi6	
自由主义	ji6 yeo4 ju2 yi6	
自由恋爱	ji6 yeo4 lün2 oi3	
自由贸易	ji6 yeo4 meo6 yig6	
自由散漫	ji6 yeo4 san2 man6	
自由意志	ji6 yeo4 yi3 ji3	
自有主张	ji6 yeo5 ju2 zêng1	
字意	ji6 yi3	
自以为是	ji6 yi5 wei4 xi6	
字义	ji6 yi6	
自燃	ji6 yin4	
自然	ji6 yin4	
自言自语	ji6 yin4 ji6 yu5	
自然环境	ji6 yin4 wan4 ging2	
字型	ji6 ying4	
字形	ji6 ying4	
自娱娱人	ji6 yu4 yu4 yen4	
字元	ji6 yun4	
字源	ji6 yun4	
自圆其说	ji6 yun4 kéi4 xud3	
字元码	ji6 yun4 ma5	
字元组	ji6 yun4 zou2	
自愿	ji6 yun6	
寺院	ji6 yun6	
饲养	ji6 yêng5	
自习	ji6 zab6	
自责	ji6 zag3	
自嘲	ji6 zao1	
自找苦吃	ji6 zao2 fu2 hég3	
自找麻烦	ji6 zao2 ma4 fan4	
自制	ji6 zei3	
自制力	ji6 zei3 lig6	
自助餐厅	ji6 zo6 can1 téng1	
自助式	ji6 zo6 xig1	
自助助人	ji6 zo6 zo6 yen4	
自作聪明	ji6 zog3 cung1 ming4	
自作多情	ji6 zog3 do1 qing4	
自作自受	ji6 zog3 ji6 seo6	
自作主张	ji6 zog3 ju2 zêng1	
自作孽	ji6 zog3 yid6	
自在	ji6 zoi6	
字组	ji6 zou2	
折	jib3	叠
接触	jib3 cug1	
接待处	jib3 doi6 qu3	
接近	jib3 gen6	
接骨	jib3 gwed1	
接力	jib3 lig6	
接龙	jib3 lung4	
接纳	jib3 nab6	
接受	jib3 seo6	
接受唔到	jib3 seo6 m4 dou2	不能接受，接受不了
接获	jib3 wog6	
嗫嚅	jib3 yu4	
擮	jid1	挠，挠痒痒
擮胳肋底	jid1 gag3 lag1 dei2	挠胳肢窝，抓腋下
唧筒	jid1 tung2	
节操	jid3 cou1	
节操	jid3 cou3	
节点	jid3 dim2	
折堕	jid3 do6	作孽，缺德，没良心
栉风沐雨	jid3 fung1 mug6 yu5	
节假日	jid3 ga3 yed6	
节俭	jid3 gim6	
节骨眼	jid3 gwed1 ngan5	
哲学	jid3 hog6	
哲学家	jid3 hog6 ga1	
节气	jid3 héi3	
节肢	jid3 ji1	
节肢动物	jid3 ji1 dung6 med6	
折扣	jid3 keo3	
节礼	jid3 lei5	
节流	jid3 leo4	
节令	jid3 ling6	
节录	jid3 lug6	
节律	jid3 lêd6	
节略	jid3 lêg6	
节目	jid3 mug6	
节目表	jid3 mug6 biu2	
节目单	jid3 mug6 dan1	
节外生枝	jid3 ngoi6 seng1 ji1	
节哀	jid3 oi1	
节哀顺变	jid3 oi1 sên6 bin3	
节拍	jid3 pag3	
节省	jid3 sang2	
折腾	jid3 teng4	
折头	jid3 teo4	折扣
节食	jid3 xig6	
节日	jid3 yed6	
节衣缩食	jid3 yi1 sug1 xig6	
婕妤	jid3 yu4	
节欲	jid3 yug6	
节育	jid3 yug6	
节用	jid3 yung6	
节约	jid3 yêg3	
节制	jid3 zei3	
节奏	jid3 zeo3	
截长补短	jid6 cêng4 bou2 dün2	
截取	jid6 cêu2	
截的士	jid6 dig1 xi2	拦出租车，叫出租车，叫计程车，打的
截夺	jid6 düd6	
截断	jid6 dün6	
截击	jid6 gig1	
截击机	jid6 gig1 géi1	
捷径	jid6 ging3	
截稿	jid6 gou2	
截肢	jid6 ji1	
截止	jid6 ji2	
截趾适履	jid6 ji2 xig1 léi5	
截至	jid6 ji3	
截球	jid6 keo4	
睫毛	jid6 mou4	
截弯取直	jid6 wan1 cêu2 jig6	
捷运	jid6 wen6	
捷运系统	jid6 wen6 hei6 tung2	
截获	jid6 wog6	
截然不同	jid6 yin4 bed1 tung4	
捷足先登	jid6 zug1 xin1 deng1	
积	jig1	勾，丁
积	jig1	疳积，疳积病
织	jig1	编，织
渍	jig1	污垢
即便	jig1 bin6	
织布	jig1 bou3	
积蓄	jig1 cug1	
积极	jig1 gig6	
积极分子	jig1 gig6 fen6 ji2	
即管	jig1 gun2	尽管
即刻	jig1 heg1	马上，立刻
即系	jig1 hei6	就是
即系话	jig1 hei6 wa6	就是说
即兴	jig1 hing3	
即可	jig1 ho2	
织蓆	jig1 jig6	编席子
即席	jig1 jig6	
职权	jig1 kün4	
织冷衫	jig1 lang1 sam1	打毛衣
织箩	jig1 lo4	编箩筐
积埋啲钱	jig1 mai4 di1 qin4	把钱攒下来
积木	jig1 mug6	
积钱	jig1 qin4	攒钱
即位	jig1 wei6	
即使	jig1 xi2	
即时	jig1 xi4	
即食面	jig1 xig6 min6	方便面，泡面
积少成多	jig1 xiu2 xing4 do1	
即日	jig1 yed6	
即日起	jig1 yed6 héi2	
积阴功	jig1 yem1 gung1	积德，积福，积阴德
职业	jig1 yib6	
即映即有	jig1 ying2 jig1 yeo5	现拍现看
鲫鱼	jig1 yu4	
职员	jig1 yun4	
积滞	jig1 zei6	消化不良
织蟀	jig1 zêd1	蟋蟀
即将	jig1 zêng1	
迹象	jig1 zêng6	
脊梁	jig3 lêng4	
炙手可热	jig3 seo2 ho2 yid6	
炙热	jig3 yid6	
席不暇暖	jig6 bed1 ha6 nün5	
直笔甩	jig6 bed1 led1	笔直的，直挺挺
直播	jig6 bo3	
直尺	jig6 cég3	
直肠	jig6 cêng4	
直肠癌	jig6 cêng4 ngam4	
直达	jig6 dad6	
值得	jig6 deg1	
值得嘅	jig6 deg1 gé3	值得的
直笛	jig6 dég6	
席地	jig6 déi6	
直呼	jig6 fu1	
直呼其名	jig6 fu1 kéi4 ming4	
席丰履厚	jig6 fung1 léi5 heo5	
席间	jig6 gan1	
直谏	jig6 gan3	
直径	jig6 ging3	
直角	jig6 gog3	
直觉	jig6 gog3	
直角三角形	jig6 gog3 sam1 gog3 ying4	
直角座标	jig6 gog3 zo6 biu1	
借故	jig6 gu3	
籍贯	jig6 gun3	
席卷	jig6 gün2	
席卷天下	jig6 gün2 tin1 ha6	
席卷一空	jig6 gün2 yed1 hung1	
直行	jig6 hang4	直走
直辖	jig6 hed6	
直辖市	jig6 hed6 xi5	
直系	jig6 hei6	
直系亲属	jig6 hei6 cen1 sug6	
借口	jig6 heo2	
直航	jig6 hong4	
直至	jig6 ji3	
直接	jig6 jib3	
直截了当	jig6 jid6 liu5 dong3	
夕照	jig6 jiu3	
值勤	jig6 ken4	
直立	jig6 lab6	
直流	jig6 leo4	
直流电	jig6 leo4 din6	
直流发电	jig6 leo4 fad3 din6	
寂寥	jig6 liu4	
直落	jig6 log6	
直来直往	jig6 loi4 jig6 wong5	
植物	jig6 med6	
殖民	jig6 men4	
殖民地	jig6 men4 déi6	
殖民主义	jig6 men4 ju2 yi6	
殖民者	jig6 men4 zé2	
寂寞	jig6 mog6	
直脾气	jig6 péi4 héi3	
席次	jig6 qi3	
值情	jig6 qing4	简直
值情唔记得咗	jig6 qing4 m4 géi3 deg1 zo2	完全忘了
直爽	jig6 song2	
直头	jig6 teo4	简直，一直，直接
席位	jig6 wei6	
直视	jig6 xi6	
直线	jig6 xin3	
直升机	jig6 xing1 géi1	
直性子	jig6 xing3 ji2	
直销	jig6 xiu1	
直选	jig6 xun2	
直译	jig6 yig6	
直言	jig6 yin4	
直言不讳	jig6 yin4 bed1 wei5	
夕阳	jig6 yêng4	
夕阳工业	jig6 yêng4 gung1 yib6	
夕阳西下	jig6 yêng4 sei1 ha6	
尖笔甩	jim1 bed1 led1	尖尖的
沾不上边	jim1 bed1 sêng6 bin1	
沾边	jim1 bin1	
占卜	jim1 bug1	
櫼队	jim1 dêu2	加塞儿，插队
沾花惹草	jim1 fa1 yé5 cou2	
尖叫	jim1 giu3	
占卦	jim1 gwa3	
沾光	jim1 gwong1	
沾沾自喜	jim1 jim1 ji6 héi2	
谵妄	jim1 mong5	
瞻望	jim1 mong6	
沾湿	jim1 seb1	
占筮	jim1 sei6	
沾手	jim1 seo2	
沾上	jim1 sêng6	
沾水	jim1 sêu2	
沾污	jim1 wu1	
占星	jim1 xing1	
沾染	jim1 yim5	
占多数	jim3 do1 sou3	
占据	jim3 gêu3	
占领	jim3 ling5	
占领地	jim3 ling5 déi6	
占领军	jim3 ling5 gwen1	
占领区	jim3 ling5 kêu1	
占便宜	jim3 pin4 yi4	
占上风	jim3 sêng6 fung1	
占为	jim3 wei4	
占为己有	jim3 wei4 géi2 yeo5	
占位	jim3 wei6	
占线	jim3 xin3	
占优势	jim3 yeo1 sei3	
占有	jim3 yeo5	
占有权	jim3 yeo5 kün4	
占有率	jim3 yeo5 lêd6	
占有欲	jim3 yeo5 yug6	
占用	jim3 yung6	
占尽	jim3 zên6	
渐渐	jim6 jim6	
氊	jin1	毯子
煎堆	jin1 dêu1	麻团
膻味	jin1 méi6	
煎熬	jin1 ngou4	
煎pan	jin1 pén1	平底锅
腱	jin2	腱子，腱子肉
辗毙	jin2 bei6	
展品	jin2 ben2	
剪綵	jin2 coi2	
展出	jin2 cêd1	
剪刀	jin2 dou1	
辗过	jin2 gwo3	
展开	jin2 hoi1	
辗转	jin2 jun2	
辗转反侧	jin2 jun2 fan2 zeg1	
辗转流传	jin2 jun2 leo4 qun4	
辗转相告	jin2 jun2 sêng1 gou3	
展览	jin2 lam5	
展览品	jin2 lam5 ben2	
展览馆	jin2 lam5 gun2	
展览厅	jin2 lam5 ting1	
展览会	jin2 lam5 wui2	
展览会场	jin2 lam5 wui6 cêng4	
展露	jin2 lou6	
展露头角	jin2 lou6 teo4 gog3	
辗米	jin2 mei5	
辗米厂	jin2 mei5 cong2	
阐明	jin2 ming4	
展望	jin2 mong6	
展望未来	jin2 mong6 méi6 loi4	
辗平	jin2 ping4	
展翅	jin2 qi3	
展翅高飞	jin2 qi3 gou1 féi1	
阐述	jin2 sêd6	
展示	jin2 xi6	
展示出	jin2 xi6 cêd1	
阐释	jin2 xig1	
展延	jin2 yin4	
展现	jin2 yin6	
荐	jin3	垫，垫子
战败	jin3 bai6	
战败国	jin3 bai6 gwog3	
饯别	jin3 bid6	
战车	jin3 cé1	
战场	jin3 cêng4	
颤抖	jin3 deo2	
战斗	jin3 deo3	
战斗机	jin3 deo3 géi1	
战斗区	jin3 deo3 kêu1	
战斗力	jin3 deo3 lig6	
战斗意志	jin3 deo3 yi3 ji3	
战刀	jin3 dou1	
颤动	jin3 dung6	
战犯	jin3 fan2	
战火	jin3 fo2	
战况	jin3 fong3	
战俘	jin3 fu1	
战斧	jin3 fu2	
战歌	jin3 go1	
荐高	jin3 gou1	垫高一点
战鼓	jin3 gu2	
战果	jin3 gwo2	
战国	jin3 gwog3	
战国时代	jin3 gwog3 xi4 doi6	
战国时期	jin3 gwog3 xi4 kéi4	
战机	jin3 géi1	
战机机师	jin3 géi1 géi1 xi1	
饯行	jin3 heng4	
战壕	jin3 hou4	
荐起	jin3 héi2	垫起来
战战兢兢	jin3 jin3 ging1 ging1	
箭猪	jin3 ju1	豪猪
战区	jin3 kêu1	
战舰	jin3 lam6	
战力	jin3 lig6	
战利品	jin3 léi6 ben2	
战栗	jin3 lêd6	
颤栗	jin3 lêd6	
战略	jin3 lêg6	
战略轰炸	jin3 lêg6 gweng1 za3	
战略性	jin3 lêg6 xing3	
战乱	jin3 lün6	
战马	jin3 ma5	
战无不胜	jin3 mou4 bed1 xing3	
战袍	jin3 pou4	
战神	jin3 sen4	
战死	jin3 séi2	
战死沙场	jin3 séi2 sa1 cêng4	
战术	jin3 sêd6	
荐枱脚	jin3 toi2 gêg3	垫桌腿
战云	jin3 wen4	
战云密布	jin3 wen4 med6 bou3	
战祸	jin3 wo6	
战士	jin3 xi6	
战事	jin3 xi6	
战线	jin3 xin3	
颤声	jin3 xing1	
战胜	jin3 xing3	
战船	jin3 xun4	
战友	jin3 yeo5	
战役	jin3 yig6	
荐褥	jin3 yug6	褥子
战争	jin3 zeng1	
箭镞	jin3 zug6	
贱格	jin6 gag3	下贱
侦办	jing1 ban6	
精品	jing1 ben2	
侦查	jing1 ca4	
侦察	jing1 cad3	
侦察兵	jing1 cad3 bing1	
侦察机	jing1 cad3 géi1	
侦缉	jing1 ceb1	
侦测	jing1 ceg1	
贞操	jing1 cou1	
祯祥	jing1 cêng4	
蒸发	jing1 fad3	
征伐	jing1 fed6	
征服	jing1 fug6	
蒸气	jing1 héi3	
精子	jing1 ji2	
怔住	jing1 ju6	
旌旗	jing1 kéi4	
蒸馏水	jing1 leo6 sêu2	
蒸笼	jing1 lung4	
征粮	jing1 lêng4	
侦问	jing1 men6	
征募	jing1 mou6	
精辟	jing1 pig1	
侦破	jing1 po3	
精神	jing1 sen4	
精神病	jing1 sen4 béng6	
精神分裂	jing1 sen4 fen1 lid6	
精神爽利	jing1 sen4 song2 léi6	精神饱满，心情舒畅，精神奕奕
精神为之一振	jing1 sen4 wei4 ji1 yed1 zen3	
精神焕发	jing1 sen4 wun6 fad3	
晶石	jing1 ség6	
侦讯	jing1 sên3	
精髓	jing1 sêu5	
精邃	jing1 sêu6	
精粹	jing1 sêu6	
侦探	jing1 tam3	
侦探小说	jing1 tam3 xiu2 xud3	
侦听	jing1 ting1	
侦听器	jing1 ting1 héi3	
侦听台	jing1 ting1 toi4	
侦听员	jing1 ting1 yun4	
精华	jing1 wa4	
征兆	jing1 xiu6	
精选	jing1 xun2	
精选	jing1 xun2	
晶莹	jing1 ying4	
正月	jing1 yud6	
正月初三	jing1 yud6 co1 sam1	
正月初一	jing1 yud6 co1 yed1	
正月初二	jing1 yud6 co1 yi6	
精湛	jing1 zam3	
整	jing2	弄，修
整齐	jing2 cei4	
整亲	jing2 cen1	弄伤，受伤
整车	jing2 cé1	修理汽车
整出嚟	jing2 cêd1 léi4	弄出来
井底之蛙	jing2 dei2 ji1 wa1	
整定	jing2 ding6	注定
整翻	jing2 fan1	修理
整翻几味	jing2 fan1 géi2 méi6	弄几道菜，弄几个菜
整翻好	jing2 fan1 hou2	修理好，修好
整饭	jing2 fan6	煮饭
整洁	jing2 gid3	
整古	jing2 gu2	作弄，捉弄，陷害
整古弄怪	jing2 gu2 lung6 gwai3	做鬼脸，故意出洋相，做小动作
整古做怪	jing2 gu2 zou6 gwai3	装神弄鬼
整鬼	jing2 gwei2	搞鬼
