開放粵語詞典（國際音標版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［國際音標］	［國語解釋］
明眸皓齒	mɪŋ˨˩ mɐu˨˩ hou˨ tsʰi:˧˥	
名望	mɪŋ˨˩ mɔ:ŋ˨	
明明	mɪŋ˨˩ mɪŋ˨˩	
冥冥	mɪŋ˨˩ mɪŋ˨˩	
明明白白	mɪŋ˨˩ mɪŋ˨˩ pa:k˨ pa:k˨	
冥冥之中	mɪŋ˨˩ mɪŋ˨˩ tsi:˥ tsʊŋ˥	
明目	mɪŋ˨˩ mʊk˨	
名目	mɪŋ˨˩ mʊk˨	
瞑目	mɪŋ˨˩ mʊk˨	
名目繁多	mɪŋ˨˩ mʊk˨ fa:n˨˩ tɔ:˥	
明目張膽	mɪŋ˨˩ mʊk˨ tsœ:ŋ˥ ta:m˧˥	
明唔明	mɪŋ˨˩ m̩˨˩ mɪŋ˨˩	懂不懂
明年	mɪŋ˨˩ ni:n˨˩	
明擺	mɪŋ˨˩ pa:i˧˥	
明擺著	mɪŋ˨˩ pa:i˧˥ tsœ:k˨	
明白	mɪŋ˨˩ pa:k˨	
明白人	mɪŋ˨˩ pa:k˨ jɐn˨˩	
名錶	mɪŋ˨˩ pi:u˥	
名不符實	mɪŋ˨˩ pɐt˥ fu:˨˩ sɐt˨	
名不虛傳	mɪŋ˨˩ pɐt˥ hɵy˥ tsʰy:n˨˩	
名不正則言不順	mɪŋ˨˩ pɐt˥ tsɪŋ˧ tsɐk˥ ji:n˨˩ pɐt˥ sɵn˨	
名牌	mɪŋ˨˩ pʰa:i˨˩	
名牌嘢	mɪŋ˨˩ pʰa:i˨˩ jɛ:˩˧	名牌貨
名牌店	mɪŋ˨˩ pʰa:i˨˩ ti:m˧	
名片	mɪŋ˨˩ pʰi:n˧	
冥思	mɪŋ˨˩ si:˥	
名師	mɪŋ˨˩ si:˥	
名師出高徒	mɪŋ˨˩ si:˥ tsʰɵt˥ kou˥ tʰou˨˩	
明示	mɪŋ˨˩ si:˨	
冥想	mɪŋ˨˩ sœ:ŋ˧˥	
明細	mɪŋ˨˩ sɐi˧	
明細表	mɪŋ˨˩ sɐi˧ pi:u˧˥	
明細帳	mɪŋ˨˩ sɐi˧ tsœ:ŋ˧	
明心見性	mɪŋ˨˩ sɐm˥ ki:n˧ sɪŋ˧	
明晰	mɪŋ˨˩ sɪk˥	
名聲	mɪŋ˨˩ sɪŋ˥	
明星	mɪŋ˨˩ sɪŋ˥	
名聲遠播	mɪŋ˨˩ sɪŋ˥ jy:n˩˧ pɔ:˧	
明升暗降	mɪŋ˨˩ sɪŋ˥ ɐm˧ kɔ:ŋ˧	
名勝	mɪŋ˨˩ sɪŋ˧	
名勝古跡	mɪŋ˨˩ sɪŋ˧ ku:˧˥ tsɪk˥	
明信片	mɪŋ˨˩ sɵn˧ pʰi:n˧˥	
名垂青史	mɪŋ˨˩ sɵy˨˩ tsʰɪŋ˥ si:˧˥	
名單	mɪŋ˨˩ ta:n˥	
冥誕	mɪŋ˨˩ ta:n˧	
名節	mɪŋ˨˩ tsi:t˧	
明哲	mɪŋ˨˩ tsi:t˧	
明哲保身	mɪŋ˨˩ tsi:t˧ pou˧˥ sɐn˥	
明知	mɪŋ˨˩ tsi:˥	
明知故犯	mɪŋ˨˩ tsi:˥ ku:˧ fa:n˨	
明知故問	mɪŋ˨˩ tsi:˥ ku:˧ mɐn˨	
明志	mɪŋ˨˩ tsi:˧	
明智	mɪŋ˨˩ tsi:˧	
明智之舉	mɪŋ˨˩ tsi:˧ tsi:˥ kɵy˧˥	
冥紙	mɪŋ˨˩ tsi:˧˥	
名字	mɪŋ˨˩ tsi:˨	
明珠	mɪŋ˨˩ tsy:˥	
明珠暗投	mɪŋ˨˩ tsy:˥ ɐm˧ tʰɐu˨˩	
名著	mɪŋ˨˩ tsy:˧	
名將	mɪŋ˨˩ tsœ:ŋ˧	
名酒	mɪŋ˨˩ tsɐu˧˥	
明爭	mɪŋ˨˩ tsɐŋ˥	
明爭暗鬥	mɪŋ˨˩ tsɐŋ˥ ɐm˧ tɐu˧	
明證	mɪŋ˨˩ tsɪŋ˧	
明政	mɪŋ˨˩ tsɪŋ˧	
名正言順	mɪŋ˨˩ tsɪŋ˧ ji:n˨˩ sɵn˨	
明淨	mɪŋ˨˩ tsɪŋ˨	
名嘴	mɪŋ˨˩ tsɵy˧˥	
明察	mɪŋ˨˩ tsʰa:t˧	
明察秋毫	mɪŋ˨˩ tsʰa:t˧ tsʰɐu˥ hou˨˩	
明察暗訪	mɪŋ˨˩ tsʰa:t˧ ɐm˧ fɔ:ŋ˧˥	
冥鈔	mɪŋ˨˩ tsʰa:u˥	
明查暗訪	mɪŋ˨˩ tsʰa:˨˩ ɐm˧ fɔ:ŋ˧˥	
冥錢	mɪŋ˨˩ tsʰi:n˨˩	
明澈	mɪŋ˨˩ tsʰi:t˧	
明澈如鏡	mɪŋ˨˩ tsʰi:t˧ jy:˨˩ kɛ:ŋ˧	
明朝	mɪŋ˨˩ tsʰi:u˨˩	
名次	mɪŋ˨˩ tsʰi:˧	
名次表	mɪŋ˨˩ tsʰi:˧ pi:u˧˥	
名詞	mɪŋ˨˩ tsʰi:˨˩	
名存實亡	mɪŋ˨˩ tsʰy:n˨˩ sɐt˨ mɔ:ŋ˨˩	
名廚	mɪŋ˨˩ tsʰy:˨˩	
明槍易躲	mɪŋ˨˩ tsʰœ:ŋ˥ ji:˨ tɔ:˧˥	
明槍易躲暗箭難防	mɪŋ˨˩ tsʰœ:ŋ˥ ji:˨ tɔ:˧˥ ɐm˧ tsi:n˧ na:n˨˩ fɔ:ŋ˨˩	
明窗淨几	mɪŋ˨˩ tsʰœ:ŋ˥ tsɪŋ˨ kei˥	
明槍暗箭	mɪŋ˨˩ tsʰœ:ŋ˥ ɐm˧ tsi:n˧	
名菜	mɪŋ˨˩ tsʰɔ:i˧	
名車	mɪŋ˨˩ tsʰɛ:˥	
名稱	mɪŋ˨˩ tsʰɪŋ˥	
明斷	mɪŋ˨˩ ty:n˨	
明燈	mɪŋ˨˩ tɐŋ˥	
明代	mɪŋ˨˩ tɔ:i˨	
明天	mɪŋ˨˩ tʰi:n˥	
名堂	mɪŋ˨˩ tʰɔ:ŋ˨˩	
名諱	mɪŋ˨˩ wɐi˩˧	
冥王星	mɪŋ˨˩ wɔ:ŋ˨˩ sɪŋ˥	
名額	mɪŋ˨˩ ŋa:k˨	
明眼人	mɪŋ˨˩ ŋa:n˩˧ jɐn˨˩	
明暗	mɪŋ˨˩ ɐm˧	
酩酊大醉	mɪŋ˩˧ tɪŋ˧˥ ta:i˨ tsɵy˧	
木	mʊk˨	木頭
木	mʊk˨	呆頭呆腦，木訥
木筏	mʊk˨ fɐt˨	
木方	mʊk˨ fɔ:ŋ˥	木板
木器	mʊk˨ hei˧	
木刻	mʊk˨ hɐk˥	
木刻術	mʊk˨ hɐk˥ sɵt˨	
木口木面	mʊk˨ hɐu˧˥ mʊk˨ mi:n˨	呆呆的，表情呆滯
木糠	mʊk˨ hɔ:ŋ˥	鋸末
目空一切	mʊk˨ hʊŋ˥ jɐt˥ tsʰɐi˧	
木已成舟	mʊk˨ ji:˩˧ sɪŋ˨˩ tsɐu˥	
木魚	mʊk˨ jy:˨˩	
牧羊	mʊk˨ jœ:ŋ˨˩	
牧羊犬	mʊk˨ jœ:ŋ˨˩ hy:n˧˥	
牧羊人	mʊk˨ jœ:ŋ˨˩ jɐn˨˩	
牧人	mʊk˨ jɐn˨˩	
木人	mʊk˨ jɐn˨˩	
木人石心	mʊk˨ jɐn˨˩ sɛ:k˨ sɐm˥	
沐浴	mʊk˨ jʊk˨	
木俑	mʊk˨ jʊŋ˧˥	
木劍	mʊk˨ ki:m˧	
木嚿	mʊk˨ kɐu˨	木塊
牧歌	mʊk˨ kɔ:˥	
目擊	mʊk˨ kɪk˥	
目擊者	mʊk˨ kɪk˥ tsɛ:˧˥	
木屐	mʊk˨ kʰɛ:k˨	
仫佬族	mʊk˨ lou˧˥ tsʊk˨	
牧郎	mʊk˨ lɔ:ŋ˨˩	
目錄	mʊk˨ lʊk˨	
牧馬	mʊk˨ ma:˩˧	
木馬	mʊk˨ ma:˩˧	
牧馬中原	mʊk˨ ma:˩˧ tsʊŋ˥ jy:n˨˩	
牧民	mʊk˨ mɐn˨˩	
木乃伊	mʊk˨ na:i˩˧ ji:˥	
木吶	mʊk˨ na:p˨	
木訥	mʊk˨ nɵt˨	
木板	mʊk˨ pa:n˧˥	
目標	mʊk˨ pi:u˥	
木屑	mʊk˨ si:t˧	
牧師	mʊk˨ si:˥	
穆斯林	mʊk˨ si:˥ lɐm˨˩	
木蝨	mʊk˨ sɐt˥	臭蟲
木星	mʊk˨ sɪŋ˥	
木碎	mʊk˨ sɵy˧	鋸末
苜蓿	mʊk˨ sʊk˥	
目睹	mʊk˨ tou˧˥	
木匠	mʊk˨ tsœ:ŋ˨	
木嘴	mʊk˨ tsɵy˧˥	呆子，傻子，白癡
目前	mʊk˨ tsʰi:n˨˩	
目前為止	mʊk˨ tsʰi:n˨˩ wɐi˨˩ tsi:˧˥	
牧草	mʊk˨ tsʰou˧˥	
牧草地	mʊk˨ tsʰou˧˥ tei˨	
牧場	mʊk˨ tsʰœ:ŋ˨˩	
木材	mʊk˨ tsʰɔ:i˨˩	
木材業	mʊk˨ tsʰɔ:i˨˩ ji:p˨	
木槌	mʊk˨ tsʰɵy˨˩	
目瞪口呆	mʊk˨ tɐŋ˨ hɐu˧˥ ŋɔ:i˨˩	
牧笛	mʊk˨ tɛ:k˨	
木獨	mʊk˨ tʊk˨	愣，遲鈍
木炭	mʊk˨ tʰa:n˧	
木頭	mʊk˨ tʰɐu˨˩	
木枱	mʊk˨ tʰɔ:i˧˥	木桌，木頭桌子
木桶	mʊk˨ tʰʊŋ˧˥	
牧童	mʊk˨ tʰʊŋ˨˩	
木壞山頹	mʊk˨ wa:i˨ sa:n˥ tʰɵy˨˩	
牧牛	mʊk˨ ŋɐu˨˩	
牧牛業	mʊk˨ ŋɐu˨˩ ji:p˨	
牧牛區	mʊk˨ ŋɐu˨˩ kʰɵy˥	
木偶	mʊk˨ ŋɐu˩˧	
木偶戲	mʊk˨ ŋɐu˩˧ hei˧	
懵	mʊŋ˧˥	糊涂
懵吓懵吓	mʊŋ˧˥ ha:˩˧ mʊŋ˧˥ ha:˩˧	傻傻的
懵佬	mʊŋ˧˥ lou˧˥	傻瓜
懵閉閉	mʊŋ˧˥ pɐi˧ pɐi˧	懵懂，糊里糊塗，懵懵懂懂，蒙在鼓裡，不明真相
懵上心口	mʊŋ˧˥ sœ:ŋ˩˧ sɐm˥ hɐu˧˥	糊塗之極，非常糊塗，糊塗到家了
懵盛盛	mʊŋ˧˥ sɪŋ˨ sɪŋ˨	懵然不知，混然無知，懵懵懂懂，糊里糊塗，太過糊塗，渾渾噩噩，混混沌沌
懵到上心口	mʊŋ˧˥ tou˧ sœ:ŋ˩˧ sɐm˥ hɐu˧˥	糊塗之極，非常糊塗，糊塗到家了
懵仔	mʊŋ˧˥ tsɐi˧˥	傻瓜
夢鄉	mʊŋ˨ hœ:ŋ˥	
夢魘	mʊŋ˨ ji:m˧˥	
夢語	mʊŋ˨ jy:˩˧	
夢遊	mʊŋ˨ jɐu˨˩	
夢遊症	mʊŋ˨ jɐu˨˩ tsɪŋ˧	
夢見	mʊŋ˨ ki:n˧	
夢境	mʊŋ˨ kɪŋ˧˥	
夢寐以求	mʊŋ˨ mei˨ ji:˩˧ kʰɐu˨˩	
夢想	mʊŋ˨ sœ:ŋ˧˥	
夢醒	mʊŋ˨ sɛ:ŋ˧˥	
夢到	mʊŋ˨ tou˧˥	
夢中	mʊŋ˨ tsʊŋ˥	
夢中人	mʊŋ˨ tsʊŋ˥ jɐn˨˩	
梦幻	mʊŋ˨ wa:n˨	
夢幻	mʊŋ˨ wa:n˨	
夢話	mʊŋ˨ wa:˧˥	
夢遺	mʊŋ˨ wɐi˨˩	
夢囈	mʊŋ˨ ŋɐi˨	
矇	mʊŋ˨˩	模糊
蒙	mʊŋ˨˩	模糊
蒙恩	mʊŋ˨˩ jɐn˥	
朦朧	mʊŋ˨˩ lʊŋ˨˩	
曚曨	mʊŋ˨˩ lʊŋ˨˩	
濛濛細雨	mʊŋ˨˩ mʊŋ˨˩ sɐi˧ jy:˩˧	
矇查查	mʊŋ˨˩ tsʰa:˨˩ tsʰa:˨˩	頭腦不清
懵然	mʊŋ˩˧ ji:n˨˩	
懵懂	mʊŋ˩˧ tʊŋ˧˥	
唔	m̩˨˩	不
唔發市	m̩˨˩ fa:t˧ si:˩˧	沒人光顧
唔化	m̩˨˩ fa:˧	固執，不開通，不覺醒，食古不化
唔化算	m̩˨˩ fa:˧ sy:n˧	划不來，不划算，不合算
唔忿氣	m̩˨˩ fɐn˨ hei˧	不服氣
唔方便	m̩˨˩ fɔ:ŋ˥ pi:n˨	不方便
唔鹹唔淡	m̩˨˩ ha:m˨˩ m̩˨˩ tʰa:m˩˧	有口音，不標準
唔行得開	m̩˨˩ ha:ŋ˨˩ tɐk˥ hɔ:i˥	走不開，離不開
唔行得埋	m̩˨˩ ha:ŋ˨˩ tɐk˥ ma:i˨˩	合不来
唔好	m̩˨˩ hou˧˥	不好
唔好意思	m̩˨˩ hou˧˥ ji:˧ si:˧	不好意思
唔好意頭	m̩˨˩ hou˧˥ ji:˧ tʰɐu˨˩	不吉利
唔好飲	m̩˨˩ hou˧˥ jɐm˧˥	不好喝
唔好食	m̩˨˩ hou˧˥ sɪk˨	不好吃
唔好睇	m̩˨˩ hou˧˥ tʰɐi˧˥	不好看
唔好聽	m̩˨˩ hou˧˥ tʰɛ:ŋ˥	不好聽
唔响度	m̩˨˩ hœ:ŋ˧˥ tou˨	不在，不在這裡，不在那裡
唔喺度	m̩˨˩ hɐi˧˥ tou˨	去世
唔喺度	m̩˨˩ hɐi˧˥ tou˨	不在
唔喺屋企	m̩˨˩ hɐi˧˥ ŋʊk˥ kʰei˧˥	不在家
唔係	m̩˨˩ hɐi˨	不是
唔係呀嘛	m̩˨˩ hɐi˨ a:˧ ma:˧	真的嗎？
唔係呀話	m̩˨˩ hɐi˨ a:˧ wa:˧˥	不會吧？
唔係好合	m̩˨˩ hɐi˨ hou˧˥ ka:p˧	不大合得來
唔係幾	m̩˨˩ hɐi˨ kei˧˥	不大…，不怎麼…
唔係幾似	m̩˨˩ hɐi˨ kei˧˥ tsʰi:˩˧	不大像，不怎麼像
唔係啩	m̩˨˩ hɐi˨ kwa:˧	不是吧
唔係噉話	m̩˨˩ hɐi˨ kɐm˧˥ wa:˧˥	哪裡，哪裡
唔係噉話，你過獎喇	m̩˨˩ hɐi˨ kɐm˧˥ wa:˧˥ nei˩˧ kwɔ:˧ tsœ:ŋ˧˥ la:˧	哪裡，哪裡，你過獎了
唔係嘅話	m̩˨˩ hɐi˨ kɛ:˧ wa:˨	不然的話，要不，否則，要不然
唔係路	m̩˨˩ hɐi˨ lou˨	不對勁兒，不對頭，有問題
唔合法	m̩˨˩ hɐp˨ fa:t˧	不合法
唔合理	m̩˨˩ hɐp˨ lei˩˧	不合理
唔合適	m̩˨˩ hɐp˨ sɪk˥	不合適
唔開心	m̩˨˩ hɔ:i˥ sɐm˥	不開心
唔開胃	m̩˨˩ hɔ:i˥ wɐi˨	倒胃口，吃不下，胃口不好，討厭，不順眼
唔可以	m̩˨˩ hɔ:˧˥ ji:˩˧	不可以
唔可能	m̩˨˩ hɔ:˧˥ nɐŋ˨˩	不可能
唔興	m̩˨˩ hɪŋ˥	不流行，不時興
唔要	m̩˨˩ ji:u˧	不要
唔要得	m̩˨˩ ji:u˧ tɐk˥	要不得
唔易做	m̩˨˩ ji:˨ tsou˨	不好辦
唔一定	m̩˨˩ jɐt˥ tɪŋ˨	不一定
唔憂	m̩˨˩ jɐu˥	不愁
唔憂食，唔憂著	m̩˨˩ jɐu˥ sɪk˨ m̩˨˩ jɐu˥ tsœ:k˧	不愁吃，不愁穿
唔應該	m̩˨˩ jɪŋ˥ kɔ:i˥	不應該
唔認數	m̩˨˩ jɪŋ˨ sou˧	不認帳
唔認得	m̩˨˩ jɪŋ˨ tɐk˥	認不得
唔喐得	m̩˨˩ jʊk˥ tɐk˥	動不了，不能動
唔容易	m̩˨˩ jʊŋ˨˩ ji:˨	不容易
唔合	m̩˨˩ ka:p˧	合不來
唔記得	m̩˨˩ kei˧ tɐk˥	忘記，不記得
唔記得咗	m̩˨˩ kei˧ tɐk˥ tsɔ:˧˥	忘了
唔見咗	m̩˨˩ ki:n˧ tsɔ:˧˥	不見了
唔見得人	m̩˨˩ ki:n˧ tɐk˥ jɐn˨˩	見不得人
唔見得光	m̩˨˩ ki:n˧ tɐk˥ kwɔ:ŋ˥	見不得光
唔高興	m̩˨˩ kou˥ hɪŋ˧	不高興
唔怪乎	m̩˨˩ kwa:i˧ fu:˨˩	怪不得，難怪
唔怪之得	m̩˨˩ kwa:i˧ tsi:˥ tɐk˥	怪不得，難怪
唔關你事	m̩˨˩ kwa:n˥ nei˩˧ si:˨	事情跟你無關
唔關事	m̩˨˩ kwa:n˥ si:˨	跟這沒關系
唔關…事	m̩˨˩ kwa:n˥ si:˨	與…無關，跟…無關，跟…沒有關系
唔關我事	m̩˨˩ kwa:n˥ ŋɔ:˩˧ si:˨	與我無關
唔計帶	m̩˨˩ kɐi˧ ta:i˧	不在意，不介意，不計較
唔敢	m̩˨˩ kɐm˧˥	不敢
唔緊要	m̩˨˩ kɐn˧˥ ji:u˧	不要緊，不重要
唔夠	m̩˨˩ kɐu˧	不夠
唔夠瞓	m̩˨˩ kɐu˧ fɐn˧	睡眠不足，沒睡好，睡不夠
唔夠quali	m̩˨˩ kɐu˧ kʰɔ:˥ li:˧˥	不夠格，沒有資格
唔夠佢嚟	m̩˨˩ kɐu˧ kʰɵy˩˧ lei˨˩	比不過他，比不上他
唔夠佢打	m̩˨˩ kɐu˧ kʰɵy˩˧ ta:˧˥	打不過他
唔夠佢爭	m̩˨˩ kɐu˧ kʰɵy˩˧ tsa:ŋ˥	搶不過他
唔夠佢鬥	m̩˨˩ kɐu˧ kʰɵy˩˧ tɐu˧	鬥不過他
唔夠力	m̩˨˩ kɐu˧ lɪk˨	力氣不夠
唔夠攝牙罅	m̩˨˩ kɐu˧ si:p˧ ŋa:˨˩ la:˧	不夠塞牙縫兒，不夠塞牙縫的
唔夠埞方	m̩˨˩ kɐu˧ tɛ:ŋ˨ fɔ:ŋ˥	地方不夠
唔該	m̩˨˩ kɔ:i˥	謝謝，有勞
唔該晒	m̩˨˩ kɔ:i˥ sa:i˧	謝謝，有勞
唔該借歪	m̩˨˩ kɔ:i˥ tsɛ:˧ mɛ:˧˥	借光，借過一下
唔覺意	m̩˨˩ kɔ:k˧ ji:˧	沒留意，不留神，不小心
唔覺眼	m̩˨˩ kɔ:k˧ ŋa:n˩˧	沒注意，沒留意，沒注意到
唔經唔覺	m̩˨˩ kɪŋ˥ m̩˨˩ kɔ:k˧	不知不覺
唔公平	m̩˨˩ kʊŋ˥ pʰɪŋ˨˩	不公平
唔禁	m̩˨˩ kʰɐm˥	不耐久，不耐用，不結實
唔禁著	m̩˨˩ kʰɐm˥ tsœ:k˧	不耐穿
唔禁等	m̩˨˩ kʰɐm˥ tɐŋ˧˥	禁不起等
唔近	m̩˨˩ kʰɐn˩˧	不近
唔理	m̩˨˩ lei˩˧	不管，不理
唔撈	m̩˨˩ lou˥	不幹了，辭職
唔落得手	m̩˨˩ lɔ:k˨ tɐk˥ sɐu˧˥	下不了手
唔論	m̩˨˩ lɵn˨	不論
唔明	m̩˨˩ mɪŋ˨˩	不懂
唔難	m̩˨˩ na:n˨˩	不難
唔挐耕	m̩˨˩ na:˥ ka:ŋ˥	毫不相干，毫無關係，不著邊際，一點兒也不沾邊
唔能	m̩˨˩ nɐŋ˨˩	不能
唔耐	m̩˨˩ nɔ:i˨	不久
唔耐煩	m̩˨˩ nɔ:i˨ fa:n˨˩	不耐煩
唔怕	m̩˨˩ pʰa:˧	不怕
唔怕醜	m̩˨˩ pʰa:˧ tsʰɐu˧˥	不害羞
…唔晒	m̩˨˩ sa:i˧	…不完
唔生性	m̩˨˩ sa:ŋ˥ sɪŋ˧	不懂事，沒出息
唔少	m̩˨˩ si:u˧˥	不少
唔小心	m̩˨˩ si:u˧˥ sɐm˥	不小心
唔少得	m̩˨˩ si:u˧˥ tɐk˥	少不了，少不得
唔舒服	m̩˨˩ sy:˥ fʊk˨	不舒服
唔相信	m̩˨˩ sœ:ŋ˥ sɵn˧	不相信
唔想	m̩˨˩ sœ:ŋ˧˥	不想
唔使	m̩˨˩ sɐi˧˥	不用，不需要
唔使慌	m̩˨˩ sɐi˧˥ fɔ:ŋ˥	不要怕
唔使客氣	m̩˨˩ sɐi˧˥ ha:k˧ hei˧	不用客氣，別客氣
唔使一陣	m̩˨˩ sɐi˧˥ jɐt˥ tsɐn˨	不久
唔使憂	m̩˨˩ sɐi˧˥ jɐu˥	不用擔心，不用擔憂，用不著操心
唔使咁火滾	m̩˨˩ sɐi˧˥ kɐm˧ fɔ:˧˥ kwɐn˧˥	用不著那麼生氣
唔使咁謙噃	m̩˨˩ sɐi˧˥ kɐm˧ hi:m˥ pɔ:˧	不用那麼謙虛啦
唔使講	m̩˨˩ sɐi˧˥ kɔ:ŋ˧˥	不用說，用不著說，不用提，不必說了
唔使驚	m̩˨˩ sɐi˧˥ kɛ:ŋ˥	不要怕，別怕，別害怕
唔使問阿貴	m̩˨˩ sɐi˧˥ mɐn˨ a:˧ kwɐi˧	還用問？
唔使唔該	m̩˨˩ sɐi˧˥ m̩˨˩ kɔ:i˥	不謝
唔使送呀	m̩˨˩ sɐi˧˥ sʊŋ˧ a:˧	不用送了
唔使指擬	m̩˨˩ sɐi˧˥ tsi:˧˥ ji:˩˧	別指望，別癡心妄想
唔使做	m̩˨˩ sɐi˧˥ tsou˨	不用工作了
唔實際	m̩˨˩ sɐt˨ tsɐi˧	不實際
唔受得	m̩˨˩ sɐu˨ tɐk˥	受不了
唔聲	m̩˨˩ sɛ:ŋ˥	不說話
唔捨得	m̩˨˩ sɛ:˧˥ tɐk˥	捨不得
唔識	m̩˨˩ sɪk˥	不會
唔識佢	m̩˨˩ sɪk˥	不認識他
唔識	m̩˨˩ sɪk˥	不認識
唔識路	m̩˨˩ sɪk˥ lou˨	不認識路
唔識死	m̩˨˩ sɪk˥ sei˧˥	不知天高地厚，不知道利害，不懂得事情危急
唔識衰	m̩˨˩ sɪk˥ sɵy˥	不知好歹
唔識字	m̩˨˩ sɪk˥ tsi:˨	不識字
唔識轉彎	m̩˨˩ sɪk˥ tsy:n˧˥ wa:n˥	不靈活，不會拐彎
唔識唱歌	m̩˨˩ sɪk˥ tsʰœ:ŋ˧ kɔ:˥	不會唱歌
唔識睇	m̩˨˩ sɪk˥ tʰɐi˧˥	看不懂
唔識聽	m̩˨˩ sɪk˥ tʰɛ:ŋ˥	聽不懂
唔食力	m̩˨˩ sɪk˨ lɪk˨	吃不住勁
唔食雜	m̩˨˩ sɪk˨ tsa:p˨	不吃葷
唔信	m̩˨˩ sɵn˧	不相信
唔需要	m̩˨˩ sɵy˥ ji:u˧	不需要
唔衰攞嚟衰	m̩˨˩ sɵy˥ lɔ:˧˥ lei˨˩ sɵy˥	沒事找事，自討苦吃，自找麻煩
唔衰得	m̩˨˩ sɵy˥ tɐk˥	好勝，不服輸
唔單止	m̩˨˩ ta:n˥ tsi:˧˥	不但
唔單止噉	m̩˨˩ ta:n˥ tsi:˧˥ kɐm˧˥	不僅如此，不但如此
唔搭界	m̩˨˩ ta:p˧ ka:i˧	沒關係
唔打得都睇得	m̩˨˩ ta:˧˥ tɐk˥ tou˥ tʰɐi˧˥ tɐk˥	中看不中用
唔掂	m̩˨˩ ti:m˨	不行，不妥
唔掂諗到掂為止	m̩˨˩ ti:m˨ lɐm˧˥ tou˧ ti:m˨ wɐi˨˩ tsi:˧˥	有事好商量
唔到你	m̩˨˩ tou˧ nei˩˧	輪不到你，不能由你
唔到你唔…	m̩˨˩ tou˧ nei˩˧ m̩˨˩	不由得你不…
唔道德	m̩˨˩ tou˨ tɐk˥	不道德
唔盞	m̩˨˩ tsa:n˧˥	不好
唔習慣	m̩˨˩ tsa:p˨ kwa:n˧	不習慣
唔知	m̩˨˩ tsi:˥	不知道
唔知好醜	m̩˨˩ tsi:˥ hou˧˥ tsʰɐu˧˥	不知好歹
唔知死	m̩˨˩ tsi:˥ sei˧˥	不知天高地厚，不知道利害，不懂得事情危急
唔知道	m̩˨˩ tsi:˥ tou˨	不知道
唔知醜	m̩˨˩ tsi:˥ tsʰɐu˧˥	沒羞，沒羞沒臊
唔至於	m̩˨˩ tsi:˧ jy:˥	不至於
唔志在	m̩˨˩ tsi:˧ tsɔ:i˨	不在乎
唔止	m̩˨˩ tsi:˧˥	不但，不光是
唔止…仲…	m̩˨˩ tsi:˧˥ tsʊŋ˨	不但…還…
唔止…仲…添	m̩˨˩ tsi:˧˥ tsʊŋ˨ tʰi:m˥	不但…還…
唔做	m̩˨˩ tsou˨	不幹
唔制	m̩˨˩ tsɐi˧	不願意，不幹
唔制得過	m̩˨˩ tsɐi˧ tɐk˥ kwɔ:˧	划不來，不划算
唔走得	m̩˨˩ tsɐu˧˥ tɐk˥	跑不了，不能走
唔…就有鬼	m̩˨˩ tsɐu˨ jɐu˩˧ kwɐi˧˥	不…才怪呢
唔…就有鬼囉	m̩˨˩ tsɐu˨ jɐu˩˧ kwɐi˧˥ lɔ:˧	不…那就很奇怪
唔…就假	m̩˨˩ tsɐu˨ ka:˧˥	不…才怪呢
唔…就假嘅	m̩˨˩ tsɐu˨ ka:˧˥ kɛ:˧	不…才怪呢
唔在講	m̩˨˩ tsɔ:i˨ kɔ:ŋ˧˥	不但，不用說，不消說
唔值得	m̩˨˩ tsɪk˨ tɐk˥	不值得
唔正常	m̩˨˩ tsɪŋ˧ sœ:ŋ˨˩	不正常
唔准	m̩˨˩ tsɵn˧˥	不准
唔鍾意	m̩˨˩ tsʊŋ˥ ji:˧	不喜歡
唔中用	m̩˨˩ tsʊŋ˥ jʊŋ˨	不管用，不頂用，不中用，不行，無能
唔重要	m̩˨˩ tsʊŋ˨ ji:u˧	不重要
唔切	m̩˨˩ tsʰi:t˧	來不及
唔似	m̩˨˩ tsʰi:˩˧	不像
唔似樣	m̩˨˩ tsʰi:˩˧ jœ:ŋ˧˥	不像樣，不像話
唔睬佢	m̩˨˩ tsʰɔ:i˧˥ kʰɵy˩˧	不理他
唔錯	m̩˨˩ tsʰɔ:˧	不錯
唔清楚	m̩˨˩ tsʰɪŋ˥ tsʰɔ:˧˥	不清楚
唔出聲	m̩˨˩ tsʰɵt˥ sɛ:ŋ˥	不吭聲
唔抵	m̩˨˩ tɐi˧˥	不值得，不划算
唔抵幫	m̩˨˩ tɐi˧˥ pɔ:ŋ˥	不值得幫忙
唔得	m̩˨˩ tɐk˥	不行
唔得閒	m̩˨˩ tɐk˥ ha:n˨˩	忙，沒空
唔得掂	m̩˨˩ tɐk˥ ti:m˨	不得了，不可收拾
唔得切	m̩˨˩ tɐk˥ tsʰi:t˧	來不及
唔等使	m̩˨˩ tɐŋ˧˥ sɐi˧˥	不切實際的，無關緊要的，無濟於事的，用不上的，用不著的，沒用的，不頂用的，無益的
唔多	m̩˨˩ tɔ:˥	不多
唔定	m̩˨˩ tɪŋ˧˥	說不定
唔對路	m̩˨˩ tɵy˧ lou˨	不對勁，不對頭
