开放粤语词典（耶鲁拼音调符调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［耶鲁拼音］	［国语解释］
牵强附会	hīn keúhng fuh wuih	
牵拉	hīn lāai	
牵累	hīn léuih	
牵连	hīn lìhn	
牵牛	hīn ngàuh	
牵牛花	hīn ngàuh fā	
牵念	hīn nihm	
牵手	hīn sáu	
牵线	hīn sin	
牵线人	hīn sin yàhn	
牵涉	hīn sip	
牵引	hīn yáhn	
牵引机	hīn yáhn gēi	
牵引力	hīn yáhn lihk	
牵一发而动全身	hīn yāt faat yìh duhng chyùhn sān	
显出	hín cheūt	
显得	hín dāk	
显赫	hín hāak	
显学	hín hohk	
谴责	hín jaak	
显像	hín jeuhng	
显微镜	hín mèih geng	
显明	hín mìhng	
显示	hín sih	
显而易见	hín yìh yih gin	
显然	hín yìhn	
显影	hín yíng	
显影剂	hín yíng jāi	
显影纸	hín yíng jí	
显影液	hín yíng yihk	
献宝	hin bóu	
献策	hin chaak	
献丑	hin cháu	
献出	hin cheūt	
献词	hin chìh	
献辞	hin chìh	
献花	hin fā	
献计	hin gai	
献金	hin gām	
献技	hin geih	
献酒	hin jáu	
献拙	hin jyut	
献给	hin kāp	
献旗	hin kèih	
献礼	hin láih	
献媚	hin meih	
献艺	hin ngaih	
献世	hin sai	败家，现世，现眼
献身	hin sān	
献上	hin seuhng	
献诗	hin sī	
献殷勤	hin yān kàhn	
献言	hin yìhn	
兴	hīng	流行，时兴
轻压	hīng aat	
兴办	hīng baahn	
轻便	hīng bihn	
兴兵	hīng bīng	
轻兵	hīng bīng	
轻薄	hīng bohk	
轻脆	hīng cheui	
轻重	hīng chúhng	
兄弟	hīng daih	
轻敌	hīng dihk	
轻度	hīng douh	
兴奋	hīng fáhn	
轻放	hīng fong	
轻风	hīng fūng	
兴革	hīng gaak	
轻金属	hīng gām suhk	
轻机枪	hīng gēi cheūng	
轻举妄动	hīng géui móhng duhng	
兴建	hīng gin	
兴工	hīng gūng	
轻功	hīng gūng	
轻工	hīng gūng	
轻工业	hīng gūng yihp	
轻巧	hīng háau	
轻巧方便	hīng háau fōng bihn	
兴起	hīng héi	
氢气	hīng hei	
馨香	hīng heūng	
轻轻	hīng hīng	
卿卿我我	hīng hīng ngóh ngóh	
轻轻松松	hīng hīng sūng sūng	
轻捷	hīng jiht	
轻装	hīng jōng	
轻骑	hīng kèh	
轻骑兵	hīng kèh bīng	
兴隆	hīng lùhng	
轻慢	hīng maahn	
轻微	hīng mèih	
轻蔑	hīng miht	
轻描淡写	hīng miùh daahm sé	
轻妙	hīng miuh	
兴亡	hīng mòhng	
轻武器	hīng móuh hei	
轻飘	hīng piū	
轻心	hīng sām	
轻生	hīng sāng	
兴修	hīng sāu	
兴衰	hīng sēui	
轻信	hīng seun	
轻伤	hīng seūng	
轻视	hīng sih	
轻声	hīng sīng	
兴盛	hīng sihng	
轻松愉快	hīng sūng yùh faai	
兴旺	hīng wohng	
轻音乐	hīng yām ngohk	
轻易	hīng yih	
轻型	hīng yìhng	
轻如羽毛	hīng yùh yúh mòuh	
焮	hing	热闹
焮	hing	热，烫
焮	hing	生气，发怒
罄笔难书	hing bāt nàahn syū	
焮亲	hing chān	烫伤
兴趣	hing cheui	
兴趣盎然	hing cheui ngong yìhn	
兴冲冲	hing chūng chūng	
庆典	hing dín	
焮干	hing gōn	烤干，烘干
兴高采烈	hing gōu chói liht	
庆功	hing gūng	
庆功会	hing gūng wuih	
庆功宴	hing gūng yin	
焮烚烚	hing hahp hahp	热辣辣，热烘烘
焮起嚟	hing héi lèih	来劲，劲头来，热乎
庆贺	hing hoh	
兴致	hing ji	
兴致勃勃	hing ji buht buht	
庆祝	hing jūk	
罄竹难书	hing jūk nàahn syū	
兴味	hing meih	
兴味无穷	hing meih mòuh kùhng	
兴味索然	hing meih saak yìhn	
庆生	hing sāng	
庆生会	hing sāng wuih	
焮热	hing yiht	烤热
胫骨	híhng gwāt	
胁迫	hip bāak	
怯场	hip cheùhng	
挟持	hip chìh	
协助	hip joh	
怯懦	hip noh	
怯生生	hip sāng sāng	
怯头怯脑	hip tàuh hip nóuh	
协调	hip tiùh	
协会	hip wuih	
怯弱	hip yeuhk	
怯意	hip yi	
协议	hip yíh	
惬意	hihp yi	
蠍	hit	蝎子
歇手	hit sáu	停手
浇花	hiū fā	
侥幸	hiū hahng	
侥幸获胜	hiū hahng wohk sing	
骁悍	hiū hohn	
骁雄	hiū hùhng	
嚣张	hiū jeūng	
骁将	hiū jeung	
浇水	hiū séui	
骁勇	hiū yúhng	
骁勇善战	hiū yúhng sihn jin	
晓	hiú	懂，会
晓得	hiú dāk	
晓以大义	hiú yíh daaih yih	
晓谕	hiú yuh	
窍门	hiu mùhn	
苛刻	hō hāk	
呵气	hō hei	
呵呵	hō hō	
诃子	hō jí	
呵护	hō wuh	
河	hó	沙河粉
可悲	hó bēi	
可怖	hó bou	
可取	hó chéui	
可耻	hó chí	
可大可小	hó daaih hó siu	
可多可少	hó dō hó siú	
可否	hó fáu	
可耕地	hó gāang deih	
可歌可泣	hó gō hó yāp	
可观	hó gūn	
可供	hó gūng	
可供参考	hó gūng chāam háau	
可贵	hó gwai	
可恨	hó hahn	
可喜可贺	hó héi hó hoh	
可可	hó hó	
可可豆	hó hó dauh	
可可粉	hó hó fán	
可可树	hó hó syuh	
可圈可点	hó hyūn hó dím	
可卡因	hó kā yān	
可兰经	hó làahn gīng	
可怜	hó lìhn	
可怜虫	hó lìhn chùhng	
可唔可以	hó m̀h hó yíh	可不可以
可望而不可及	hó mohng yìh bāt hó kahp	
可能	hó nàhng	
可能性	hó nàhng sing	
可爱	hó oi	
可怕	hó pa	
可佩	hó pui	
可信	hó seun	
可信度	hó seun douh	
可惜	hó sīk	
可塑	hó sou	
可塑性	hó sou sing	
可谓	hó waih	
可恶	hó wu	
可以	hó yíh	
可遇而不可求	hó yuh yìh bāt hó kàuh	
荷包	hòh bāau	
荷包	hòh bāau	钱包
荷包蛋	hòh bāau daahn	
荷包倒吊	hòh bāau dou diu	挥霍钱财，乱花钱，挥霍
荷包糠	hòh bāau hóng	钱少，身边没有现钱
荷包糠糠哋	hòh bāau hóng hóng déi	身边没有现钱
荷包仔	hòh bāau jái	扒手，偷钱包的小偷
荷包乱揈	hòh bāau lyún fihng	挥霍钱财，花钱无度
荷包友	hòh bāau yáu	扒手，偷钱包的小偷
何必	hòh bīt	
何必当初	hòh bīt dōng chō	
何必如此	hòh bīt yùh chí	
河坣	hòh bok	河堤
河畔	hòh buhn	
河涌	hòh chūng	小河，河沟，河汊子
何处	hòh chyu	
何德何能	hòh dāk hòh nàhng	
何等	hòh dáng	
河东狮吼	hòh dūng sī hau	
荷花	hòh fā	
河粉	hòh fán	沙河粉
何况	hòh fong	
何妨	hòh fòhng	
何苦来哉	hòh fú lòih jōi	
何去何从	hòh heui hòh chùhng	
何者	hòh jé	
何止	hòh jí	
何至于此	hòh ji yū chí	
何足挂齿	hòh jūk gwa chí	
何奇不有	hòh kèih bāt yáuh	
荷兰豆	hòh lāan dáu	豌豆
荷兰水	hòh lāan séui	汽水
荷兰薯	hòh lāan syùh	马铃薯
河流	hòh làuh	
何乐而不为	hòh lohk yìh bāt wàih	
河马	hòh máh	
何难之有	hòh nàahn jī yáuh	
何须	hòh sēui	
河水	hòh séui	
河水不犯井水	hòh séui bāt faahn jíng séui	
何尝	hòh seùhng	
何时何地	hòh sìh hòh deih	
何事	hòh sih	
河堤	hòh tàih	
荷塘	hòh tòhng	
河豚	hòh tyùhn	
何为	hòh wàih	
何谓	hòh waih	
何人	hòh yàhn	
何以	hòh yíh	
何以自处	hòh yíh jih chyúh	
荷尔蒙	hòh yíh mùhng	
荷叶	hòh yihp	
荷枪实弹	hoh cheūng saht dáan	
荷锄	hoh chòh	
荷重	hoh chúhng	
荷载	hoh joi	
贺咭	hoh kāt	贺卡
荷里活	hoh léih wuht	好莱坞
贺年咭	hoh nìhn kāt	贺年卡
贺岁	hoh seui	
开班	hōi bāan	
开办	hōi baahn	
开便	hōi bihn	外面，外头，外边
开埠	hōi bouh	
开车	hōi chē	
开除	hōi chèuih	
开春	hōi cheūn	
开春大吉	hōi cheūn daaih gāt	
开枪	hōi cheūng	
开窗	hōi cheūng	
开场	hōi cheùhng	
开场白	hōi cheùhng baahk	
开出	hōi cheūt	
开始	hōi chí	
开设	hōi chit	
开采	hōi chói	
开赛	hōi choi	
开创	hōi chong	
开打	hōi dá	
开低	hōi dāi	
开低走高	hōi dāi jáu gōu	
开灯	hōi dāng	
开裆裤	hōi dóng fu	
开刀	hōi dōu	
开刀手术	hōi dōu sáu seuht	
开到通顶	hōi dou tūng déng	开到天亮
开道	hōi douh	
开花	hōi fā	
开花结果	hōi fā git gwó	
开花季	hōi fā gwai	
开花期	hōi fā kèih	
开化	hōi fa	
开快车	hōi faai chē	
开发	hōi faat	
开发中国家	hōi faat jūng gwok gā	
开荤	hōi fān	
开训	hōi fan	
开火	hōi fó	
开荒	hōi fōng	
开放	hōi fong	
开放电路	hōi fong dihn louh	
开放政策	hōi fong jing chaak	
开放式	hōi fong sīk	
开阔	hōi fut	
开价	hōi ga	
开戒	hōi gaai	
开机	hōi gēi	
开港	hōi góng	
开高	hōi gōu	
开高走低	hōi gōu jáu dāi	
开工	hōi gūng	
开公数	hōi gūng sou	由公司开支，由公家开支
开关	hōi gwāan	
开国	hōi gwok	
开卷有益	hōi gyún yáuh yīk	
开垦	hōi hán	
开垦地	hōi hán deih	
开口	hōi háu	
开窍	hōi hiu	
开学	hōi hohk	
开学典礼	hōi hohk dín láih	
开学日	hōi hohk yaht	
开腔	hōi hōng	
开航	hōi hòhng	
开斋	hōi jāai	开始有所收获
开铡	hōi jaat	
开走	hōi jáu	
开罪	hōi jeuih	
开张大吉	hōi jeūng daaih gāt	
开支	hōi jī	
开支票	hōi jī piu	
开展	hōi jín	
开战	hōi jin	
开启	hōi kái	
开球	hōi kàuh	
开矿	hōi kwong	
开例	hōi laih	
开裂	hōi liht	
开溜	hōi liū	
开朗	hōi lóhng	
开浪裤	hōi lohng fu	开裆裤
开路	hōi louh	
开路先锋	hōi louh sīn fūng	
开幕	hōi mohk	
开幕典礼	hōi mohk dín láih	
开幕式	hōi mohk sīk	
开门	hōi mùhn	
开门见山	hōi mùhn gin sāan	
开门受徒	hōi mùhn sauh tòuh	
开蒙	hōi mùhng	
开O.T.	hōi ōu tī	加班，超时
开拍	hōi paak	
开跑	hōi páau	
开炮	hōi paau	
开辟	hōi pīk	
开辟	hōi pīk	
开片	hōi pín	打群架，厮杀，动刀动武
开票	hōi piu	
开铺	hōi pou	开门，开市，开门营业
开盘	hōi pún	开始做买卖
开盘	hōi pùhn	
开心	hōi sām	
开心到飞起	hōi sām dou fēi héi	非常开心
开心果	hōi sām gwó	
开身	hōi sān	开船，启航，开行，开动
开射	hōi seh	
开声	hōi sēng	作声，吭声
开信刀	hōi seun dōu	
开市	hōi síh	
开诚布公	hōi sìhng bouh gūng	
开销	hōi siū	
开锁	hōi só	
开锁匠	hōi só jeuhng	
开船	hōi syùhn	
开头	hōi tàuh	
开天辟地	hōi tīn pīk deih	
开天辟地	hōi tīn pīk deih	
开庭	hōi tìhng	
开枱食饭	hōi tói sihk faahn	摆桌子吃饭
开拓	hōi tok	
开通	hōi tūng	
开怀	hōi wàaih	
开怀大笑	hōi wàaih daaih siu	
开玩笑	hōi wàahn siu	
开胃	hōi waih	
开胃	hōi waih	胃口好，欲望大，要求大，妄想，异想天开
开胃菜	hōi waih choi	
开胃酒	hōi waih jáu	
开胃咯	hōi waih lok	别妄想
开运	hōi wahn	
开镬	hōi wohk	性交
开会	hōi wuih	
开会地点	hōi wuih deih dím	
开会时间	hōi wuih sìh gāan	
开恩	hōi yān	
开药	hōi yeuhk	
开药方	hōi yeuhk fōng	
开演	hōi yín	
开业	hōi yihp	
开源	hōi yùhn	
开源节流	hōi yùhn jit làuh	
海鸥	hói āu	
海滨	hói bān	
海拔	hói baht	
海边	hói bīn	
海报	hói bou	
海贝	hói bui	
海贼	hói chaahk	海盗
海产	hói cháan	
海獭	hói chaat	
海潮	hói chiùh	
海菜	hói choi	
海床	hói chòhng	
海草	hói chóu	
海带	hói daai	
海胆	hói dáam	
海底	hói dái	
海底捞针	hói dái làuh jām	
海底捞月	hói dái làuh yuht	
海岛	hói dóu	
海盗	hói douh	
海盗船	hói douh syùhn	
海防	hói fòhng	
海防部队	hói fòhng bouh deuih	
海枯石烂	hói fū sehk laahn	
海阔天空	hói fut tīn hūng	
海岬	hói gaap	
铠甲	hói gaap	
海禁	hói gam	
海狗	hói gáu	
海景	hói gíng	
凯歌	hói gō	
海角天涯	hói gok tīn ngàaih	
海港	hói góng	
海怪	hói gwaai	
海关	hói gwāan	
海关人员	hói gwāan yàhn yùhn	
海龟	hói gwāi	
海军	hói gwān	
海军基地	hói gwān gēi deih	
海军陆战队	hói gwān luhk jin deuih	
海军医院	hói gwān yī yuhn	
海蟹	hói háaih	
海峡	hói haahp	
海峡两岸	hói haahp leúhng ngohn	
海象	hói jeuhng	
海战	hói jin	
海蜇	hói jit	
海葬	hói jong	
海藻	hói jóu	
海沟	hói kāu	
海葵	hói kwàih	
海缆	hói laahm	
海狸	hói lèih	
海里	hói léih	
海轮	hói leùhn	
海量	hói leuhng	
海洛英	hói lok yīng	海洛因
海浪	hói lohng	
海路	hói louh	
海陆空	hói luhk hūng	
海马	hói máh	
海鳗	hói màahn	
海味	hói méi	干海产，海产干货
海绵	hói mìhn	
海纳百川	hói naahp baak chyūn	
海牛	hói ngàuh	
海外	hói ngoih	
海外侨胞	hói ngoih kiùh bāau	
海岸	hói ngohn	
海岸公路	hói ngohn gūng louh	
海岸线	hói ngohn sin	
海鸟	hói niúh	
海豹	hói paau	
海皮	hói pèih	海边，海滨，河边，河滨，江边
海平面	hói pìhng mihn	
海平线	hói pìhng sin	
海誓山盟	hói saih sāan màhng	
海神	hói sàhn	
海生	hói sāng	
海兽	hói sau	
海蛇	hói sèh	
海水	hói séui	
海水不可斗量	hói séui bāt hó dáu leùhng	
海水浴	hói séui yuhk	
海水浴场	hói séui yuhk cheùhng	
海上	hói seuhng	
海狮	hói sī	
海市蜃楼	hói síh sahn làuh	
海鲜	hói sīn	
海扇	hói sin	
海星	hói sīng	
海啸	hói siu	
凯旋	hói syùhn	
海船	hói syùhn	
凯旋归来	hói syùhn gwāi lòih	
凯旋门	hói syùhn mùhn	
海滩	hói tāan	
海堤	hói tàih	
海苔	hói tòih	
海棠	hói tòhng	
海涛	hói tòuh	
海豚	hói tyùhn	
海湾	hói wāan	
海运	hói wahn	
海运公司	hói wahn gūng sī	
海域	hói wihk	
海王星	hói wòhng sīng	
海洋	hói yeùhng	
海洋学	hói yeùhng hohk	
海盐	hói yìhm	
海燕	hói yin	
海鱼	hói yùh	
海碗	hói yún	
害怕	hoih pa	
学	hohk	像，模仿，效仿
学报	hohk bou	
学似	hohk chíh	像，模仿，效仿
学前	hohk chìhn	
学前教育	hohk chìhn gaau yuhk	
学弟	hohk daih	
学费	hohk fai	
学分	hohk fahn	
学非所用	hohk fēi só yuhng	
学科	hohk fō	
学府	hohk fú	
学界	hohk gaai	
学校	hohk haauh	
学校成绩	hohk haauh sìhng jīk	
学校同学	hohk haauh tùhng hohk	
学系	hohk haih	
学海无涯	hohk hói mòuh ngàaih	
学好	hohk hóu	
学习	hohk jaahp	
学习计划	hohk jaahp gai waahk	
学姐	hohk jé	
学者	hohk jé	
学长	hohk jeúng	
学子	hohk jí	
学期	hohk kèih	
学区	hohk kēui	
鹤立鸡群	hohk laahp gāi kwàhn	
学历	hohk lihk	
学龄	hohk lìhng	
学龄前	hohk lìhng chìhn	
学龄儿童	hohk lìhng yìh tùhng	
学问	hohk mahn	
学名	hohk mìhng	
学无止境	hohk mòuh jí gíng	
学务处	hohk mouh chyu	
学妹	hohk muih	
学门	hohk mùhn	
学艺	hohk ngaih	
学年	hohk nìhn	
学派	hohk paai	
学生	hohk sāang	
学生哥	hohk sāang gō	年轻学生
学生证	hohk sāang jing	
学生手册	hohk sāang sáu chaak	
学生运动	hohk sāang wahn duhng	
学生会	hohk sāang wuih	
学舍	hohk se	
学社	hohk séh	
学术	hohk seuht	
学术界	hohk seuht gaai	
学术界人士	hohk seuht gaai yàhn sih	
学术研究	hohk seuht yìhn gau	
学士	hohk sih	
学士学位	hohk sih hohk waih	
学成归国	hohk sìhng gwāi gwok	
学说	hohk syut	
学堂	hohk tóng	学校
学堂	hohk tòhng	
学徒	hohk tòuh	
学徒工	hohk tòuh gūng	
学徒制	hohk tòuh jai	
学童	hohk tùhng	
学坏	hohk waaih	
学位	hohk wái	学额
学位	hohk waih	
学运	hohk wahn	
学运领袖	hohk wahn líhng jauh	
学会	hohk wuih	
学人	hohk yàhn	
学友	hohk yáuh	
学嘢	hohk yéh	学习
学医	hohk yī	
学而不思	hohk yìh bāt sī	
学而优则仕	hohk yìh yāu jāk sih	
学以致用	hohk yíh ji yuhng	
学然后知不足	hohk yìhn hauh jī bāt jūk	
学业	hohk yihp	
学如逆水行舟	hohk yùh yihk séui hàhng jāu	
学院	hohk yún	
学员	hohk yùhn	
学园	hohk yùhn	
看更	hōn gāang	守夜，门卫，管理员，护卫员
看护	hōn wuh	护士
刊登	hón dāng	
刊登广告	hón dāng gwóng gou	
罕见	hón gin	
侃侃而谈	hón hón yìh tàahm	
刊载	hón joi	
汉朝	hon chiùh	
汉奸	hon gāan	
看见	hon gin	
汉人	hon yàhn	
邯郸学步	hòhn dāan hohk bouh	
寒假	hòhn ga	
寒噤	hòhn gam	
韩国菜	hòhn gwok choi	
韩国货	hòhn gwok fo	
韩国泡菜	hòhn gwok paau choi	
韩国话	hòhn gwok wá	
韩国人	hòhn gwok yàhn	
寒暄	hòhn hyūn	
寒冷	hòhn láahng	
鼾声	hòhn sēng	
鼾声如雷	hòhn sīng yùh lèuih	
寒暑表	hòhn syú biú	温度计
韩裔	hòhn yeuih	
旱灾	hóhn jōi	
汗臭	hohn chau	
悍将	hohn jeung	
汗渍	hohn jīk	
汗迹	hohn jīk	
汗珠	hohn jyū	
翰林	hohn làhm	
汗流浃背	hohn làuh jip buih	
汗马功劳	hohn máh gūng lòuh	
汗毛	hohn mòuh	
汗颜	hohn ngàahn	
汗牛充栋	hohn ngàuh chūng dung	
汗衫	hohn sāam	
汗水	hohn séui	
汗腺	hohn sin	
汗宿	hohn sūk	汗臭，汗馊味
捍卫	hohn waih	
汗如雨下	hohn yùh yúh hah	
腔调	hōng diuh	
康复	hōng fuhk	
康乃馨	hōng náaih hīng	
糠	hóng	干燥
糠	hóng	发霉变质，陈米的气味
糠	hóng	钱少
慷慨	hóng koi	
慷慨陈词	hóng koi chàhn chìh	
慷慨解囊	hóng koi gáai nòhng	
慷慨激昂	hóng koi gīk ngòhng	
慷慨就义	hóng koi jauh yih	
糠米	hóng máih	发霉的米
慷他人之慨	hóng tā yàhn jī koi	
行情	hòhng chìhng	
行货	hòhng fo	大路货，普通产品，一般产品
降服	hòhng fuhk	
行家	hòhng gā	
行行出状元	hòhng hòhng cheūt johng yùhn	
航空公司	hòhng hūng gūng sī	
行列	hòhng liht	
行伍	hòhng ńgh	
行市	hòhng síh	
吭声	hòhng sīng	
行话	hòhng wá	
航运	hòhng wahn	
行业	hòhng yihp	
巷笃	hohng dūk	街巷的尽头
项链	hohng lìhn	
项目	hohng muhk	
喝茶	hot chàh	
喝斥	hot chīk	
喝醉	hot jeui	
渴望	hot mohng	
渴市	hot síh	商品紧俏，供不应求，缺货
褐色	hot sīk	
薅草	hōu chóu	
好	hóu	很
好吖！	hóu ā	好的！
好呀	hóu a	好吧
好逼人	hóu bīk yàhn	很拥挤
好波	hóu bō	好球
好榜样	hóu bóng yeuhng	
好斜	hóu che	很陡
好似	hóu chíh	好像
好似…噉	hóu chíh gám	像…似的，好像…一样
好似系	hóu chíh haih	好像是，似乎是
好彩	hóu chói	幸亏，幸好
好彩数	hóu chói sou	运气好
好彩数	hóu chói sou	运气好
好处	hóu chyu	
好歹	hóu dáai	
好大数	hóu daaih sou	数目很大
好抵	hóu dái	很合算，很划算，很便宜
好地地	hóu deih deih	好好的，好端端的死
好啲	hóu dī	好一点，比较好
好多潺	hóu dō sàahn	黏液很多
好翻	hóu fāan	好起来，康复，痊癒，和好
好瞓	hóu fan	睡得香
好friend	hóu fēn	很要好
好合	hóu gaap	合得来
好计仔	hóu gái jái	好主意
好劲	hóu gihng	很厉害，很了不起，很棒，很不错
好癐	hóu guih	很累
好焗	hóu guhk	很闷
好鬼死	hóu gwái séi	非常
好鬼死难顶	hóu gwái séi làahn díng	真受不了
好high	hóu hāai	很兴奋
好闲	hóu hàahn	很平常的，很容易办，没什么
好闲噶啫	hóu hàahn ga jē	没什么，没关系
好行	hóu hàahng	慢走，好走
毫克	hóu hāk	
好口码	hóu háu máh	好口才
好气	hóu hei	罗嗦，健谈
好汉	hóu hon	
好看	hóu hon	
好汉不吃眼前亏	hóu hon bāt hek ngáahn chìhn kwāi	
好好	hóu hóu	很好
好好味	hóu hóu meih	很好吃，很美味，味道好极了
好好睇睇	hóu hóu tái tái	体面，有声有色，很像样
好盏	hóu jáan	很好，很棒，很妙
好在	hóu joih	幸好，幸亏，还好
好做得	hóu jouh dāk	很能干
好近	hóu káhn	很近
好逑	hóu kàuh	
好叻	hóu lēk	很聪明
好靓	hóu leng	很漂亮
好唔掂	hóu m̀h dihm	真不顺当，真不好
好唔好	hóu m̀h hóu	好不好
好味	hóu meih	好吃，可口，美味
好命	hóu mehng	命好
好冇心机	hóu móuh sām gēi	很不专心
好啱key	hóu ngāam kī	很投机
好眼	hóu ngáahn	眼力好
好耐	hóu noih	很久
好耐好耐之前	hóu noih hóu noih jī chìhn	很久很久以前
好耐冇见	hóu noih móuh gin	好久不见
好朋友	hóu pàhng yáuh	
好晒	hóu saai	很曝晒
好细声	hóu sai sēng	声音很小
好心情	hóu sām chìhng	
好心着雷劈	hóu sām jeuhk lèuih pek	不领情，好心不得好报，好心反被当恶意
好心着雷劈	hóu sām jeuhk lèuih pek	冤枉，好心不得好报
好心你	hóu sām néih	劳驾，拜讬你，劳您驾
好死不如赖活	hóu séi bāt yùh laaih wuht	
好声	hóu sēng	小心，当心
好声好气	hóu sēng hóu hei	心平气和，好言好语，和声细气
好衰噶	hóu sēui ga	讨厌，真次，真坏
好衰唔衰	hóu sēui m̀h sēui	更糟糕的是…，真倒霉
好相与	hóu seūng yúh	好商量，脾气好
好食	hóu sihk	好吃
好消息	hóu siū sīk	
好少少	hóu siú siú	好点了，好了一点儿
好笑	hóu siu	
好兆头	hóu siuh tàuh	
好嗍气	hóu sok hei	很吃力，很费力，很费劲，很辛苦
好睇	hóu tái	好看
好睇过睇戏	hóu tái gwo tái hei	很精彩，非常好看
好头好尾	hóu tàuh hóu méih	有始有终，善始善终，有头有尾
好听	hóu tēng	
好天	hóu tīn	晴天
好肚饿	hóu tóuh ngoh	很饿，肚子很饿
好话为	hóu wah wàih	好办，好商量
好玩	hóu wáan	
好运	hóu wahn	
好喫	hóu yaak	好吃
好阴功	hóu yām gūng	很可怜
好友	hóu yáuh	
好嘢	hóu yéh	很好，很棒
好夜	hóu yeh	很晚
好意头	hóu yi tàuh	吉利
好易话为	hóu yih wah wàih	很容易办的事，好商量，好说，好办
好用	hóu yuhng	
耗材	hou chòih	
耗电	hou dihn	
耗费	hou fai	
好高骛远	hou gōu mouh yùhn	
好管闲事	hou gún hàahn sih	
犒军	hou gwān	
耗尽	hou jeuhn	
耗资	hou jī	
好奇	hou kèih	
好奇心	hou kèih sām	
耗力	hou lihk	
犒劳	hou lòuh	
犒赏	hou seúng	
耗时	hou sìh	
好食懒飞	hou sihk láahn fēi	好吃懒做
耗损	hou syún	
耗用	hou yuhng	
蚝	hòuh	牡蛎
豪奢	hòuh chē	
毫发不爽	hòuh faat bāt sóng	
豪杰	hòuh giht	
嗥叫	hòuh giu	
豪兴	hòuh hing	
豪宅	hòuh jaahk	
豪猪	hòuh jyū	
壕沟	hòuh kāu	
壕沟战	hòuh kāu jin	
毫毛	hòuh mòuh	
毫无	hòuh mòuh	
毫无办法	hòuh mòuh baahn faat	
毫无保留	hòuh mòuh bóu làuh	
毫无道理	hòuh mòuh douh léih	
毫无价值	hòuh mòuh ga jihk	
毫无共同之处	hòuh mòuh guhng tùhng jī chyu	
毫无可取之处	hòuh mòuh hó chéui jī chyu	
毫无诚意	hòuh mòuh sìhng yi	
毫无疑问	hòuh mòuh yìh mahn	
毫无用处	hòuh mòuh yuhng chyu	
毫末	hòuh muht	
蚝豉	hòuh sí	牡蛎干，干牡蛎肉
毫升	hòuh sīng	
嚎啕	hòuh tòuh	
号啕	hòuh tòuh	
豪华	hòuh wàh	
蚝油菜薳	hòuh yàuh choi yúhn	蠔油炒嫩菜心
皓齿	houh chí	
皓发	houh faat	
浩劫	houh gip	
皓洁	houh git	
浩瀚	houh hohn	
皓皓	houh houh	
号码	houh máh	
皓首	houh sáu	
皓首穷经	houh sáu kùhng gīng	
皓天	houh tīn	
皓然	houh yìhn	
皓月	houh yuht	
皓月当空	houh yuht dōng hūng	
哭泣	hūk yāp	
酷热	huhk yiht	
空白	hūng baahk	
胸部	hūng bouh	
凶残	hūng chàahn	
烘底	hūng dái	先在烤箱里烘过的三明治
空格	hūng gaak	
空格键	hūng gaak gihn	
空间	hūng gāan	
胸甲	hūng gaap	
胸肌	hūng gēi	
空军	hūng gwān	
胸骨	hūng gwāt	
空闲	hūng hàahn	
胸口	hūng háu	
箜篌	hūng hàuh	
空气	hūng hei	
空虚	hūng hēui	
胸腔	hūng hōng	
胸罩	hūng jaau	
空载	hūng joi	
胸襟	hūng kām	
胸鳍	hūng kèih	
空旷	hūng kwong	
胸无大志	hūng mòuh daaih ji	
空无一物	hūng mòuh yāt maht	
空无一人	hūng mòuh yāt yàhn	
胸脯	hūng pòuh	
空心菜	hūng sām choi	
凶神恶	hūng sàhn ngok	很凶
凶神恶杀	hūng sàhn ngok sāat	很凶
凶手	hūng sáu	
空手掉空臂	hūng sáu diuh hūng bei	无事可做，手中无东西，无所事事
空调	hūng tiùh	
胸膛	hūng tòhng	
凶徒	hūng tòuh	
崆峒	hūng tùhng	
胸怀	hūng wàaih	
胸怀大志	hūng wàaih daaih ji	
胸围	hūng wàih	胸罩，乳罩
胸有成竹	hūng yáuh sìhng jūk	
汹涌	hūng yúng	
汹涌澎湃	hūng yúng pāang paai	
恐怖	húng bou	
恐怖电影	húng bou dihn yíng	
恐怖分子	húng bou fahn jí	
恐怖症	húng bou jing	
恐怖主义	húng bou jyú yih	
恐怖片	húng bou pín	
恐慌	húng fōng	
恐惧	húng geuih	
恐惧	húng geuih	
恐惧感	húng geuih gám	
恐吓	húng haak	
恐吓罪	húng haak jeuih	
恐吓信	húng haak seun	
恐吓性	húng haak sing	
孔雀	húng jeuk	
孔雀开屏	húng jeuk hōi píng	
恐龙	húng lùhng	
恐龙蛋	húng lùhng daahn	
恐龙骨	húng lùhng gwāt	
孔孟	húng maahng	
孔孟之道	húng maahng jī douh	
孔庙	húng miuh	
恐怕	húng pa	
恐水病	húng séui bihng	
孔融让梨	húng yùhng yeuhng lèih	
烘焙	hung buih	
控告	hung gou	
控告人	hung gou yàhn	
控股	hung gú	
控管	hung gún	
控制	hung jai	
控制板	hung jai báan	
控制键	hung jai gihn	
控制站	hung jai jaahm	
控制住	hung jai jyuh	
控制权	hung jai kyùhn	
控制力	hung jai lihk	
控制室	hung jai sāt	
控制塔	hung jai taap	
控罪	hung jeuih	
