开放粤语词典（国际音标版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［国际音标］	［国语解释］
啤啤车	pi:˨˩ pi:˥ tsʰɛ:˥	婴儿车
煲	pou˥	煮
煲饭	pou˥ fa:n˨	煮饭
煲咖啡	pou˥ ka:˧ fɛ:˥	煮咖啡
煲凉茶	pou˥ lœ:ŋ˨˩ tsʰa:˨˩	煮去火汤药，煮清凉茶
晡礼	pou˥ lɐi˩˧	
煲冇米粥	pou˥ mou˩˧ mɐi˩˧ tsʊk˥	说没影儿的事
煲冇米粥，水汪汪	pou˥ mou˩˧ mɐi˩˧ tsʊk˥ sɵy˧˥ wɔ:ŋ˥ wɔ:ŋ˥	三十晚上走夜路，没影儿的事
煲水	pou˥ sɵy˧˥	瞎编，无中生有
煲水	pou˥ sɵy˧˥	烧水
煲电话粥	pou˥ ti:n˨ wa:˧˥ tsʊk˥	打电话聊大天，打马拉松电话，长篇大论，打电话聊天
煲仔饭	pou˥ tsɐi˧˥ fa:n˨	砂锅饭
煲粥	pou˥ tsʊk˥	煮粥
煲茶	pou˥ tsʰa:˨˩	熬药
煲呔	pou˥ tʰa:i˥	领结
煲汤	pou˥ tʰɔ:ŋ˥	煮汤
报刊	pou˧ hɔ:n˧˥	
报告	pou˧ kou˧	
布告栏	pou˧ kou˧ la:n˨˩	
布褂	pou˧ kwa:˧	
报警	pou˧ kɪŋ˧˥	
布冧	pou˧ lɐm˥	洋李子
报名	pou˧ mɪŋ˨˩	
布帛	pou˧ pa:k˨	
报仇	pou˧ sɐu˨˩	
布甸	pou˧ ti:n˥	布丁
报导	pou˧ tou˨	
报道	pou˧ tou˨	
布置	pou˧ tsi:˧	
报纸	pou˧ tsi:˧˥	
报纸佬	pou˧ tsi:˧˥ lou˧˥	卖报的，报贩
报载	pou˧ tsɔ:i˧	
报酬	pou˧ tsʰɐu˨˩	
簿	pou˧˥	本子
宝库	pou˧˥ fu:˧	
补课	pou˧˥ fɔ:˧	
补鞋	pou˧˥ ha:i˨˩	
补鞋匠	pou˧˥ ha:i˨˩ tsœ:ŋ˨	
补考	pou˧˥ ha:u˧˥	
保险	pou˧˥ hi:m˧˥	
保险费	pou˧˥ hi:m˧˥ fɐi˧	
保险金	pou˧˥ hi:m˧˥ kɐm˥	
保险公司	pou˧˥ hi:m˧˥ kʊŋ˥ si:˥	
保险丝	pou˧˥ hi:m˧˥ si:˥	
保险箱	pou˧˥ hi:m˧˥ sœ:ŋ˥	
补血	pou˧˥ hy:t˧	
补血药	pou˧˥ hy:t˧ jœ:k˨	
补血剂	pou˧˥ hy:t˧ tsɐi˥	
补空	pou˧˥ hʊŋ˥	
补语	pou˧˥ jy:˩˧	
补药	pou˧˥ jœ:k˨	
保养	pou˧˥ jœ:ŋ˩˧	
补养	pou˧˥ jœ:ŋ˩˧	
保佑	pou˧˥ jɐu˨	
宝鉴	pou˧˥ ka:m˧	
补家用	pou˧˥ ka:˥ jʊŋ˧˥	补贴家里的开支
宝剑	pou˧˥ ki:m˧	
保管	pou˧˥ ku:n˧˥	
保管费	pou˧˥ ku:n˧˥ fɐi˧	
保管箱	pou˧˥ ku:n˧˥ sœ:ŋ˥	
宝贵	pou˧˥ kwɐi˧	
补过	pou˧˥ kwɔ:˧	
宝眷	pou˧˥ ky:n˧	
补救	pou˧˥ kɐu˧	
补缺	pou˧˥ kʰy:t˧	
补给	pou˧˥ kʰɐp˥	
补给品	pou˧˥ kʰɐp˥ pɐn˧˥	
补给站	pou˧˥ kʰɐp˥ tsa:m˨	
宝蓝	pou˧˥ la:m˨˩	
宝蓝色	pou˧˥ la:m˨˩ sɪk˥	
保留	pou˧˥ lɐu˨˩	
堡垒	pou˧˥ lɵy˩˧	
保母	pou˧˥ mou˧˥	
鸨母	pou˧˥ mou˩˧	
保姆	pou˧˥ mou˩˧	
褓姆车	pou˧˥ mou˩˧ tsʰɛ:˥	校车，娃娃车
保密	pou˧˥ mɐt˨	
宝物	pou˧˥ mɐt˨	
保你大	pou˧˥ nei˩˧ ta:i˨	服了你了
保镖	pou˧˥ pi:u˥	
补报	pou˧˥ pou˧	
宝宝	pou˧˥ pou˧˥	
宝贝	pou˧˥ pu:i˧	
宝贝仔	pou˧˥ pu:i˧ tsɐi˧˥	宝贝儿子
补品	pou˧˥ pɐn˧˥	
补票	pou˧˥ pʰi:u˧	
保鲜纸	pou˧˥ si:n˥ tsi:˧˥	玻璃纸
补选	pou˧˥ sy:n˧˥	
补偿	pou˧˥ sœ:ŋ˨˩	
补偿金	pou˧˥ sœ:ŋ˨˩ kɐm˥	
补修	pou˧˥ sɐu˥	
保守	pou˧˥ sɐu˧˥	
保守主义	pou˧˥ sɐu˧˥ tsy:˧˥ ji:˨	
保守党	pou˧˥ sɐu˧˥ tɔ:ŋ˧˥	
宝石	pou˧˥ sɛ:k˨	
补写	pou˧˥ sɛ:˧˥	
保释	pou˧˥ sɪk˥	
补色	pou˧˥ sɪk˥	
补水	pou˧˥ sɵy˧˥	补助费，加班费，补贴
宝地	pou˧˥ tei˨	
宝典	pou˧˥ ti:n˧˥	
宝刀	pou˧˥ tou˥	
宝刀未老	pou˧˥ tou˥ mei˨ lou˩˧	
宝岛	pou˧˥ tou˧˥	
补习	pou˧˥ tsa:p˨	
补习班	pou˧˥ tsa:p˨ pa:n˥	
保障	pou˧˥ tsœ:ŋ˧	
簿仔	pou˧˥ tsɐi˧˥	小本子，笔记本
宝藏	pou˧˥ tsɔ:ŋ˨	
宝座	pou˧˥ tsɔ:˨	
补助费	pou˧˥ tsɔ:˨ fɐi˧	
补助金	pou˧˥ tsɔ:˨ kɐm˥	
补助额	pou˧˥ tsɔ:˨ ŋa:k˨	
保证	pou˧˥ tsɪŋ˧	
补缀	pou˧˥ tsɵy˨	
补足	pou˧˥ tsʊk˥	
保重	pou˧˥ tsʊŋ˨	
宝刹	pou˧˥ tsʰa:t˧	
保持	pou˧˥ tsʰi:˨˩	
保持中立	pou˧˥ tsʰi:˨˩ tsʊŋ˥ la:p˨	
保存	pou˧˥ tsʰy:n˨˩	
补充	pou˧˥ tsʰʊŋ˥	
补充品	pou˧˥ tsʰʊŋ˥ pɐn˧˥	
宝特瓶	pou˧˥ tɐk˨ pʰɪŋ˨˩	
补丁	pou˧˥ tɪŋ˥	
宝塔	pou˧˥ tʰa:p˧	
补贴	pou˧˥ tʰi:p˧	
补胎	pou˧˥ tʰɔ:i˥	
保护	pou˧˥ wu:˨	
保护国	pou˧˥ wu:˨ kwɔ:k˧	
保护主义	pou˧˥ wu:˨ tsy:˧˥ ji:˨	
宝位	pou˧˥ wɐi˨	
保卫	pou˧˥ wɐi˨	
补遗	pou˧˥ wɐi˨˩	
补镬	pou˧˥ wɔ:k˨	补救失误
补牙	pou˧˥ ŋa:˨˩	
保安	pou˧˥ ɔ:n˥	
埗	pou˨	码头
哺	pou˨	孵
捕快	pou˨ fa:i˧	
暴发	pou˨ fa:t˧	
暴发户	pou˨ fa:t˧ wu:˨	
暴富	pou˨ fu:˧	
部分	pou˨ fɐn˨	
步伐	pou˨ fɐt˨	
捕风	pou˨ fʊŋ˥	
暴风雨	pou˨ fʊŋ˥ jy:˩˧	
暴风雪	pou˨ fʊŋ˥ sy:t˧	
捕风捉影	pou˨ fʊŋ˥ tsʊk˥ jɪŋ˧˥	
步行	pou˨ hɐŋ˨	
暴行	pou˨ hɐŋ˨˩	
捕鱼	pou˨ jy:˨˩	
捕鱼船	pou˨ jy:˨˩ sy:n˨˩	
暴雨	pou˨ jy:˩˧	
哺乳	pou˨ jy:˩˧	
哺乳动物	pou˨ jy:˩˧ tʊŋ˨ mɐt˨	
暴虐	pou˨ jœ:k˨	
暴饮暴食	pou˨ jɐm˧˥ pou˨ sɪk˨	
步人后尘	pou˨ jɐn˨˩ hɐu˨ tsʰɐn˨˩	
捕役	pou˨ jɪk˨	
捕蝇纸	pou˨ jɪŋ˨˩ tsi:˧˥	
暴君	pou˨ kwɐn˥	
哺鸡仔	pou˨ kɐi˥ tsɐi˧˥	孵小鸡
捕鲸	pou˨ kʰɪŋ˨˩	
捕鲸船	pou˨ kʰɪŋ˨˩ sy:n˨˩	
步履	pou˨ lei˩˧	
步履维艰	pou˨ lei˩˧ wɐi˨˩ ka:n˥	
暴露	pou˨ lou˨	
暴乱	pou˨ ly:n˨	
捕捞	pou˨ lɐu˨˩	
部落	pou˨ lɔ:k˨	
暴力	pou˨ lɪk˨	
暴龙	pou˨ lʊŋ˨˩	
部门	pou˨ mu:n˨˩	
暴民	pou˨ mɐn˨˩	
捕拿	pou˨ na:˨˩	
暴怒	pou˨ nou˨	
步步	pou˨ pou˨	
步步高升	pou˨ pou˨ kou˥ sɪŋ˥	
步步为营	pou˨ pou˨ wɐi˨˩ jɪŋ˨˩	
步兵	pou˨ pɪŋ˥	
捕杀	pou˨ sa:t˧	
步哨	pou˨ sa:u˧	
捕鼠器	pou˨ sy:˧˥ hei˧	
捕手	pou˨ sɐu˧˥	
暴泻	pou˨ sɛ:˧	急速下滑
捕食	pou˨ sɪk˨	
暴跌	pou˨ ti:t˧	
步调	pou˨ ti:u˨	
报纸档	pou˨ tsi:˧˥ tɔ:ŋ˧	报摊
部长	pou˨ tsœ:ŋ˧˥	
步骤	pou˨ tsɐu˨	
暴政	pou˨ tsɪŋ˧	
捕捉	pou˨ tsʊk˥	
暴躁	pou˨ tsʰou˧	
部署	pou˨ tsʰy:˩˧	
步枪	pou˨ tsʰœ:ŋ˥	
捕虫	pou˨ tsʰʊŋ˨˩	
步队	pou˨ tɵy˨	
暴动	pou˨ tʊŋ˨	
暴殄天物	pou˨ tʰi:n˩˧ tʰi:n˥ mɐt˨	
暴跳如雷	pou˨ tʰi:u˧ jy:˨˩ lɵy˨˩	
暴徒	pou˨ tʰou˨˩	
埗头	pou˨ tʰɐu˨˩	码头，渡口
步话机	pou˨ wa:˧˥ kei˥	
捕获	pou˨ wɔ:k˨	
杯	pu:i˥	杯子
杯葛	pu:i˥ kɔ:t˧	抵制
杯荐	pu:i˥ tsi:n˧˥	杯垫
背	pu:i˧	背，背部
贝壳	pu:i˧ hɔ:k˧	
背景	pu:i˧ kɪŋ˧˥	
背囊	pu:i˧ nɔ:ŋ˨˩	背包
背叛	pu:i˧ pu:n˨	
背心	pu:i˧ sɐm˥	
脊椎	pu:i˧ tsœ:k˧	脊椎
辈出	pu:i˧ tsʰɵt˥	
悖论	pu:i˨ lɵn˨	
搬翻	pu:n˥ fa:n˥	搬回
搬走	pu:n˥ hɔ:i˥	
搬入	pu:n˥ jɐp˨	搬进
搬迁	pu:n˥ tsʰi:n˥	
搬运	pu:n˥ wɐn˨	
搬屋	pu:n˥ ŋʊk˥	搬家
半肥瘦	pu:n˧ fei˨˩ sɐu˧	半肥不瘦
半封建	pu:n˧ fʊŋ˥ ki:n˧	
半咸淡	pu:n˧ ha:m˨˩ tʰa:m˩˧	南腔北调
半晌	pu:n˧ hœ:ŋ˧˥	
半空	pu:n˧ hʊŋ˥	
半空中	pu:n˧ hʊŋ˥ tsʊŋ˥	
半圆	pu:n˧ jy:n˨˩	
半圆形	pu:n˧ jy:n˨˩ jɪŋ˨˩	
半圆规	pu:n˧ jy:n˨˩ kʰwɐi˥	
半月	pu:n˧ jy:t˨	
半月刊	pu:n˧ jy:t˨ hɔ:n˧˥	
半月形	pu:n˧ jy:t˨ jɪŋ˨˩	
半音	pu:n˧ jɐm˥	
半音阶	pu:n˧ jɐm˥ ka:i˥	
半日制	pu:n˧ jɐt˨ tsɐi˧	
半夜	pu:n˧ jɛ:˨	
半价	pu:n˧ ka:˧	
半斤八两	pu:n˧ kɐn˥ pa:t˧ lœ:ŋ˩˧	
半径	pu:n˧ kɪŋ˧	
半句	pu:n˧ kɵy˧	
半工半读	pu:n˧ kʊŋ˥ pu:n˧ tʊk˨	
半公私	pu:n˧ kʊŋ˥ si:˥	半公半私
半球	pu:n˧ kʰɐu˨˩	
半球形	pu:n˧ kʰɐu˨˩ jɪŋ˨˩	
半路	pu:n˧ lou˨	
半路上	pu:n˧ lou˨ sœ:ŋ˨	
半路出家	pu:n˧ lou˨ tsʰɵt˥ ka:˥	
半两	pu:n˧ lœ:ŋ˧˥	
半面之交	pu:n˧ mi:n˨ tsi:˥ ka:u˥	
半年刊	pu:n˧ ni:n˨˩ hɔ:n˧˥	
半边	pu:n˧ pi:n˥	
半边天	pu:n˧ pi:n˥ tʰi:n˥	
半部	pu:n˧ pou˨	
半波整流	pu:n˧ pɔ:˥ tsɪŋ˧˥ lɐu˨˩	
半波整流器	pu:n˧ pɔ:˥ tsɪŋ˧˥ lɐu˨˩ hei˧	
半瓶醋	pu:n˧ pʰɪŋ˨˩ tsʰou˧	
半山	pu:n˧ sa:n˥	
半山腰	pu:n˧ sa:n˥ ji:u˥	
半生熟	pu:n˧ sa:ŋ˥ sʊk˨	半生不熟
半数	pu:n˧ sou˧	
半世	pu:n˧ sɐi˧	半辈子
半世人	pu:n˧ sɐi˧ jɐn˨˩	半辈子
半身	pu:n˧ sɐn˥	
半新旧	pu:n˧ sɐn˥ kɐu˨	半新不旧
半身不遂	pu:n˧ sɐn˥ pɐt˥ sɵy˨	
半身像	pu:n˧ sɐn˥ tsœ:ŋ˨	
半成品	pu:n˧ sɪŋ˨˩ pɐn˧˥	
半信半疑	pu:n˧ sɵn˧ pu:n˧ ji:˨˩	
半衰期	pu:n˧ sɵy˥ kʰei˨˩	
半点	pu:n˧ ti:m˧˥	
半点钟	pu:n˧ ti:m˧˥ tsʊŋ˥	
半岛	pu:n˧ tou˧˥	
半导体	pu:n˧ tou˨ tʰɐi˧˥	
半截	pu:n˧ tsi:t˨	
半截入土	pu:n˧ tsi:t˨ jɐp˨ tʰou˧˥	
半截裙	pu:n˧ tsi:t˨ kʰwɐn˨˩	裙子
半自动	pu:n˧ tsi:˨ tʊŋ˨	
半制品	pu:n˧ tsɐi˧ pɐn˧˥	
半真半假	pu:n˧ tsɐn˥ pu:n˧ ka:˧	
半殖民地	pu:n˧ tsɪk˨ mɐn˨˩ tei˨	
半亲疏	pu:n˧ tsʰɐn˥ sɔ:˥	半亲不疏
半天吊	pu:n˧ tʰi:n˥ ti:u˧	挂在半空中，不牢靠、不实在，没有依傍，没着落，进退两难
半条人命	pu:n˧ tʰi:u˨˩ jɐn˨˩ mɛ:ŋ˨	半死不活
半条命	pu:n˧ tʰi:u˨˩ mɛ:ŋ˨	半死不活
半途而癈	pu:n˧ tʰou˨˩ ji:˨˩ fɐi˧	
半途而废	pu:n˧ tʰou˨˩ ji:˨˩ fɐi˧	
半透明	pu:n˧ tʰɐu˧ mɪŋ˨˩	
半唐番	pu:n˧ tʰɔ:ŋ˨˩ fa:n˥	半中不西，不土不洋，假洋鬼子
半推半就	pu:n˧ tʰɵy˥ pu:n˧ tsɐu˨	
半统靴	pu:n˧ tʰʊŋ˧˥ hɛ:u˥	
半桶水	pu:n˧ tʰʊŋ˧˥ sɵy˧˥	半瓶醋
畚箕	pu:n˧˥ kei˥	
本来	pu:n˧˥ lɔ:i˨˩	
本来	pu:n˧˥ lɔ:i˨˩	
本末倒置	pu:n˧˥ mu:t˨ tou˧ tsi:˧	
本能	pu:n˧˥ nɐŋ˨˩	
本事	pu:n˧˥ si:˨	本领
本身	pu:n˧˥ sɐn˥	
本息	pu:n˧˥ sɪk˥	
本色	pu:n˧˥ sɪk˥	
本性	pu:n˧˥ sɪŋ˧	
本地姜唔辣	pu:n˧˥ tei˨ kœ:ŋ˥ m̩˨˩ la:t˨	远来的和尚会念经，墙里开花墙外香
本银	pu:n˧˥ ŋɐn˧˥	本金，本钱
叛匪	pu:n˨ fei˧˥	
叛逆	pu:n˨ jɪk˨	
叛军	pu:n˨ kwɐn˥	
叛国	pu:n˨ kwɔ:k˧	
叛国罪	pu:n˨ kwɔ:k˧ tsɵy˨	
绊脚石	pu:n˨ kœ:k˧ sɛ:k˨	
叛离	pu:n˨ lei˨˩	
叛离正轨	pu:n˨ lei˨˩ tsɪŋ˧ kwɐi˧˥	
叛乱	pu:n˨ ly:n˨	
叛乱分子	pu:n˨ ly:n˨ fɐn˨ tsi:˧˥	
叛卖	pu:n˨ ma:i˨	
叛变	pu:n˨ pi:n˧	
绊手绊脚	pu:n˨ sɐu˧˥ pu:n˨ kœ:k˧	
绊倒	pu:n˨ tou˧˥	
绊住	pu:n˨ tsy:˨	
叛将	pu:n˨ tsœ:ŋ˧	
叛贼	pu:n˨ tsʰa:k˨	
叛党	pu:n˨ tɔ:ŋ˧˥	
叛敌	pu:n˨ tɪk˨	
叛徒	pu:n˨ tʰou˨˩	
半年	pu:n˨˩ ni:n˨˩	
钵仔糕	pu:t˧ tsɐi˧˥ kou˥	用小钵蒸的发面糕
勃起	pu:t˨ hei˧˥	
拨号	pu:t˨ hou˨	
渤海	pu:t˨ hɔ:i˧˥	
渤海湾	pu:t˨ hɔ:i˧˥ wa:n˥	
勃然	pu:t˨ ji:n˨˩	
勃然大怒	pu:t˨ ji:n˨˩ ta:i˨ nou˨	
拨冗	pu:t˨ jʊŋ˧˥	
荸荠	pu:t˨ tsʰɐi˨˩	
跛	pɐi˥	瘸
跛脚	pɐi˥ kœ:k˧	瘸脚
跛脚佬	pɐi˥ kœ:k˧ lou˧˥	瘸子，跛子
跛手	pɐi˥ sɐu˧˥	瘸胳膊
闭月羞花	pɐi˧ jy:t˨ sɐu˥ fa:˥	
闭关自守	pɐi˧ kwa:n˥	
闭关	pɐi˧ kwa:n˥	
闭路	pɐi˧ lou˨	
闭路电视	pɐi˧ lou˨ ti:n˨ si:˨	
闭门	pɐi˧ mu:n˨˩	
闭门造车	pɐi˧ mu:n˨˩ tsou˨ tsʰɛ:˥	
闭门谢客	pɐi˧ mu:n˨˩ tsɛ:˨ ha:k˧	
闭幕	pɐi˧ mɔ:k˨	
闭幕式	pɐi˧ mɔ:k˨ sɪk˥	
闭幕典礼	pɐi˧ mɔ:k˨ ti:n˧˥ lɐi˩˧	
闭目	pɐi˧ mʊk˨	
闭目养神	pɐi˧ mʊk˨ jœ:ŋ˩˧ sɐn˨˩	
闭塞	pɐi˧ sɐk˥	
闭会	pɐi˧ wu:i˨	
闭眼	pɐi˧ ŋa:n˩˧	
闭翳	pɐi˧ ŋɐi˧	忧愁，愁闷，发愁，心情抑郁
赑屃	pɐi˧ ɐi˧	
弊	pɐi˨	糟，坏
陛下	pɐi˨ ha:˨	
敝人	pɐi˨ jɐn˨˩	
弊家伙	pɐi˨ ka:˥ fɔ:˧˥	糟糕
弊喇	pɐi˨ la:˧	糟了，完了，坏了，糟糕
敝履	pɐi˨ lei˩˧	
狴犴	pɐi˨ ŋɔ:n˨	
弊案	pɐi˨ ɔ:n˧	
北方	pɐk˥ fɔ:ŋ˥	
北极	pɐk˥ kɪk˨	
北极熊	pɐk˥ kɪk˨ hʊŋ˨˩	
北芪	pɐk˥ kʰei˨˩	黄芪
北佬	pɐk˥ lou˧˥	北方人
北便	pɐk˥ pi:n˨	北边
北部	pɐk˥ pou˨	
北斗星	pɐk˥ tɐu˧˥ sɪŋ˥	
泵气	pɐm˥ hei˧	打气
泵把	pɐm˥ pa:˧˥	保险杆
泵水	pɐm˥ sɵy˧˥	抽水
泵车	pɐm˥ tsʰɛ:˥	抽水车，消防车
奔赴	pɐn˥ fu:˨	
缤纷	pɐn˥ fɐn˥	
奔放	pɐn˥ fɔ:ŋ˧	
奔跃	pɐn˥ jœ:k˨	
宾馆	pɐn˥ ku:n˧˥	
宾佬	pɐn˥ lou˧˥	菲律宾人
槟榔	pɐn˥ lɔ:ŋ˨˩	
槟榔汁	pɐn˥ lɔ:ŋ˨˩ tsɐp˥	
奔马	pɐn˥ ma:˩˧	
宾妹	pɐn˥ mu:i˥	菲律宾少女；菲佣，菲籍女佣
奔命	pɐn˥ mɪŋ˨	
彬彬有礼	pɐn˥ pɐn˥ jɐu˩˧ lɐi˩˧	
奔流	pɐn˥ pɔ:˥	
奔波	pɐn˥ pɔ:˥	
奔跑	pɐn˥ pʰa:u˧˥	
宾婆	pɐn˥ pʰɔ:˧˥	菲律宾人
奔丧	pɐn˥ sɔ:ŋ˥	
宾仔	pɐn˥ tsɐi˧˥	菲律宾少年
奔走	pɐn˥ tsɐu˧˥	
奔驰	pɐn˥ tsʰi:˨˩	
奔逃	pɐn˥ tʰou˨˩	
奔腾	pɐn˥ tʰɐŋ˨˩	
鬓发	pɐn˧ fa:t˧	
鬓发皓然	pɐn˧ fa:t˧ hou˨ ji:n˨˩	
鬓发皆白	pɐn˧ fa:t˧ ka:i˥ pa:k˨	
摈弃	pɐn˧ hei˧	
殡仪馆	pɐn˧ ji:˨˩ ku:n˧˥	
鬓角	pɐn˧ kɔ:k˧	
殡殓	pɐn˧ li:m˩˧	
鬓边	pɐn˧ pi:n˥	
鬓霜	pɐn˧ sœ:ŋ˥	
品行	pɐn˧˥ hɐŋ˨	
品学	pɐn˧˥ hɔ:k˨	
品学兼优	pɐn˧˥ hɔ:k˨ ki:m˥ jɐu˥	
品红	pɐn˧˥ hʊŋ˨˩	
品格	pɐn˧˥ ka:k˧	
品格高尚	pɐn˧˥ ka:k˧ kou˥ sœ:ŋ˨	
品管	pɐn˧˥ ku:n˧˥	
品级	pɐn˧˥ kʰɐp˥	
品蓝	pɐn˧˥ la:m˨˩	
品类	pɐn˧˥ lɵy˨	
品绿	pɐn˧˥ lʊk˨	
品貌	pɐn˧˥ ma:u˨	
品貌双全	pɐn˧˥ ma:u˨ sœ:ŋ˥ tsʰy:n˨˩	
品貌出众	pɐn˧˥ ma:u˨ tsʰɵt˥ tsʊŋ˧	
品味	pɐn˧˥ mei˨	
品茗	pɐn˧˥ mɪŋ˩˧	
品目	pɐn˧˥ mʊk˨	
品牌	pɐn˧˥ pʰa:i˨˩	
品评	pɐn˧˥ pʰɪŋ˨˩	
品嚐	pɐn˧˥ sœ:ŋ˨˩	
品性	pɐn˧˥ sɪŋ˧	
品质	pɐn˧˥ tsɐt˥	
品质管制	pɐn˧˥ tsɐt˥ ku:n˧˥ tsɐi˧	
品种	pɐn˧˥ tsʊŋ˧˥	
品种改良	pɐn˧˥ tsʊŋ˧˥ kɔ:i˧˥ lœ:ŋ˨˩	
品茶	pɐn˧˥ tsʰa:˨˩	
品德	pɐn˧˥ tɐk˥	
品头论足	pɐn˧˥ tʰɐu˨˩ lɵn˨ tsʊk˥	
品位	pɐn˧˥ wɐi˨	
笨拙	pɐn˨ tsy:t˧	
笨猪跳	pɐn˨ tsy:˥ tʰi:u˧	蹦极跳，高空弹跳
[抔]	pɐt˥	舀，盛
[抔]饭	pɐt˥ fa:n˨	盛饭
不凡	pɐt˥ fa:n˨˩	
不负众望	pɐt˥ fu:˨ tsʊŋ˧ mɔ:ŋ˨	
不费吹灰之力	pɐt˥ fɐi˧ tsʰɵy˥ fu:i˥ tsi:˥ lɪk˨	
不分轩轾	pɐt˥ fɐn˥ hi:n˥ tsi:˧	
不分轻重缓急	pɐt˥ fɐn˥ hɪŋ˥ tsʰʊŋ˩˧ wu:n˨ kɐp˥	
不分男女老幼	pɐt˥ fɐn˥ na:m˨˩ nɵy˩˧ lou˩˧ jɐu˧	
不分彼此	pɐt˥ fɐn˥ pei˧˥ tsʰi:˧˥	
不分皂白	pɐt˥ fɐn˥ tsou˨ pa:k˨	
不分昼夜	pɐt˥ fɐn˥ tsɐu˧ jɛ:˨	
不分青红皂白	pɐt˥ fɐn˥ tsʰɪŋ˥ hʊŋ˨˩ tsou˨ pa:k˨	
不乏其人	pɐt˥ fɐt˨ kʰei˨˩ jɐn˨˩	
不慌不忙	pɐt˥ fɔ:ŋ˥ pɐt˥ mɔ:ŋ˨˩	
不妨	pɐt˥ fɔ:ŋ˨˩	
不孝	pɐt˥ ha:u˧	
不孝有三	pɐt˥ ha:u˧ jɐu˩˧ sa:m˥	
不孝子	pɐt˥ ha:u˧ tsi:˧˥	
不喜欢	pɐt˥ hei˧˥ fu:n˥	
不好	pɐt˥ hou˧˥	
不堪	pɐt˥ hɐm˥	
不堪入耳	pɐt˥ hɐm˥ jɐp˨ ji:˩˧	
不堪入目	pɐt˥ hɐm˥ jɐp˨ mʊk˨	
不堪一击	pɐt˥ hɐm˥ jɐt˥ kɪk˥	
不堪设想	pɐt˥ hɐm˥ tsʰi:t˧ sœ:ŋ˧˥	
不含	pɐt˥ hɐm˨˩	
不含税	pɐt˥ hɐm˨˩ sɵy˧	
不含糊	pɐt˥ hɐm˨˩ wu:˨˩	
不合	pɐt˥ hɐp˨	
不合规定	pɐt˥ hɐp˨ kʰwɐi˥ tɪŋ˨	
不合标准	pɐt˥ hɐp˨ pi:u˥ tsɵn˧˥	
不合时宜	pɐt˥ hɐp˨ si:˨˩ ji:˨˩	
不合作	pɐt˥ hɐp˨ tsɔ:k˧	
不幸	pɐt˥ hɐŋ˨	
不幸中之大幸	pɐt˥ hɐŋ˨ tsʊŋ˥ tsi:˥ ta:i˨ hɐŋ˨	
不学无术	pɐt˥ hɔ:k˨ mou˨˩ sɵt˨	
不寒而栗	pɐt˥ hɔ:n˨˩ ji:˨˩ lɵt˨	
不吭一声	pɐt˥ hɔ:ŋ˨˩ jɐt˥ sɪŋ˥	
不吭声	pɐt˥ hɔ:ŋ˨˩ sɪŋ˥	
不可限量	pɐt˥ hɔ:˧˥ ha:n˨ lœ:ŋ˨	
不可开交	pɐt˥ hɔ:˧˥ hɔ:i˥ ka:u˥	
不可言喻	pɐt˥ hɔ:˧˥ ji:n˨˩ jy:˨	
不可逾越	pɐt˥ hɔ:˧˥ jy:˨˩ jy:t˨	
不可一世	pɐt˥ hɔ:˧˥ jɐt˥ sɐi˧	
不可告人	pɐt˥ hɔ:˧˥ kou˧ jɐn˨˩	
不可救药	pɐt˥ hɔ:˧˥ kɐu˧ jœ:k˨	
不可理喻	pɐt˥ hɔ:˧˥ lei˩˧ jy:˨	
不可磨灭	pɐt˥ hɔ:˧˥ mɔ:˨˩ mi:t˨	
不可名状	pɐt˥ hɔ:˧˥ mɪŋ˨˩ tsɔ:ŋ˨	
不可能	pɐt˥ hɔ:˧˥ nɐŋ˨˩	
不可避免	pɐt˥ hɔ:˧˥ pei˨ mi:n˩˧	
不可旁贷	pɐt˥ hɔ:˧˥ pʰɔ:ŋ˨˩ tʰa:i˧	
不可思议	pɐt˥ hɔ:˧˥ si:˥ ji:˩˧	
不可数	pɐt˥ hɔ:˧˥ sou˧˥	
不可想像	pɐt˥ hɔ:˧˥ sœ:ŋ˧˥ tsœ:ŋ˨	
不可收拾	pɐt˥ hɔ:˧˥ sɐu˥ sɐp˨	
不可战胜	pɐt˥ hɔ:˧˥ tsi:n˧ sɪŋ˧	
不可知论	pɐt˥ hɔ:˧˥ tsi:˥ lɵn˨	
不可捉摸	pɐt˥ hɔ:˧˥ tsʊk˥ mɔ:˧˥	
不可终日	pɐt˥ hɔ:˧˥ tsʊŋ˥ jɐt˨	
不可多得	pɐt˥ hɔ:˧˥ tɔ:˥ tɐk˥	
不可同日而语	pɐt˥ hɔ:˧˥ tʰʊŋ˨˩ jɐt˨ ji:˨˩ jy:˩˧	
不可或缺	pɐt˥ hɔ:˧˥ wa:k˨ kʰy:t˧	
不可讳言	pɐt˥ hɔ:˧˥ wɐi˩˧ ji:n˨˩	
不厌其烦	pɐt˥ ji:m˧ kʰei˨˩ fa:n˨˩	
不厌其详	pɐt˥ ji:m˧ kʰei˨˩ tsʰœ:ŋ˨˩	
不然	pɐt˥ ji:n˨˩	
不言而喻	pɐt˥ ji:n˨˩ ji:˨˩ jy:˨	
毕业	pɐt˥ ji:p˨	
