開放粵語詞典（劉錫祥版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［劉錫祥拼音］	［國語解釋］
叻仔	lek1 jai2	聰明人，好樣的
叻唔切	lek1 m4 chit3	愛出風頭，自作聰明，自以為是
叻女	lek1 nui5	聰明的女人，女強人
舐	lem2	舔
舐嘴	lem2 jui2	舔嘴唇
僆	leng1	年輕，年少，未成年
僆仔	leng1 jai2	小子，年輕人，小伙子，少男
靚仔	leng1 jai2	小子，臭小子
僆琼	leng1 keng1	小子，小傢伙
僆模	leng1 mo4	少女模特兒
僆妹	leng1 mooi1	小丫頭，少女，姑娘，女孩子
僆女	leng1 nui2	少女，姑娘，女孩子
靚	leng3	美，漂亮，好看，美麗，好
靚歌	leng3 goh1	好聽的歌
靚仔	leng3 jai2	美男子，俊男，漂亮的小伙子，漂亮的男孩
靚仔有型	leng3 jai2 yau5 ying4	英俊瀟灑
靚女	leng3 nui2	美女，漂亮的女人
靚衫	leng3 saam1	漂亮衣服
靚嘢	leng3 ye5	好東西，好貨，上等貨
靚嘢唔平	leng3 ye5 m4 peng4	好貨不便宜
領當	leng5 dong3	上當
領呔	leng5 taai1	領帶
領嘢	leng5 ye5	上當，上當了
漯	leuh1	吐
漯飯	leuh1 faan6	吐飯，噴飯
漯飯應	leuh1 faan6 ying3	立刻答應，忙不迭地答應，回答得很迅速，正合心意
漯蔗渣	leuh1 je3 ja2	吐甘蔗渣
掠水	leuk1 sui2	騙錢，騙財
略帶	leuk6 daai3	
掠奪	leuk6 duet6	
略加	leuk6 ga1	
略見一斑	leuk6 gin3 yat1 baan1	
略過	leuk6 gwoh3	
略去	leuk6 hui3	
略知	leuk6 ji1	
略知皮毛	leuk6 ji1 pei4 mo4	
略知一二	leuk6 ji1 yat1 yi6	
略略	leuk6 leuk6	稍微，略微，稍稍
略微	leuk6 mei4	
略勝一籌	leuk6 sing3 yat1 chau4	
略同	leuk6 tung4	
略有	leuk6 yau5	
略有出入	leuk6 yau5 chut1 yap6	
略語	leuk6 yue5	
糧	leung4	薪水
涼茶	leung4 cha4	清涼茶，去火湯藥
涼茶舖	leung4 cha4 po2	賣清涼茶的店
良策	leung4 chaak3	
莨綢	leung4 chau4	
涼風	leung4 fung1	
良家	leung4 ga1	
良家婦女	leung4 ga1 foo5 nui5	
良久	leung4 gau2	
良機	leung4 gei1	
量角	leung4 gok3	
量角規	leung4 gok3 kwai1	
良好	leung4 ho2	
良知	leung4 ji1	
良禽擇木而棲	leung4 kam4 jaak6 muk6 yi4 chai1	
良民	leung4 man4	
涼麵	leung4 min6	
梁山	leung4 saan1	
良心	leung4 sam1	
良辰吉日	leung4 san4 gat1 yat6	
良師益友	leung4 si1 yik1 yau5	
糧食	leung4 sik6	
良性	leung4 sing3	
良宵	leung4 siu1	
涼爽	leung4 song2	涼快
涼亭	leung4 ting4	
良藥	leung4 yeuk6	
良藥苦口	leung4 yeuk6 foo2 hau2	
兩敗俱傷	leung5 baai6 kui1 seung1	
兩邊倒	leung5 bin1 do2	
兩棲	leung5 chai1	
兩棲部隊	leung5 chai1 bo6 dui6	
兩棲登陸	leung5 chai1 dang1 luk6	
兩棲動物	leung5 chai1 dung6 mat6	
兩棲作戰	leung5 chai1 jok3 jin3	
兩棲類	leung5 chai1 lui6	
兩全其美	leung5 chuen4 kei4 mei5	
兩點	leung5 dim2	
兩點鐘	leung5 dim2 jung1	
兩度散手	leung5 do6 saan2 sau2	兩下子
兩方面	leung5 fong1 min6	
兩虎相鬥	leung5 foo2 seung1 dau3	
兩虎相鬥必有一傷	leung5 foo2 seung1 dau3 bit1 yau5 yat1 seung1	
兩訖	leung5 gat1	
兩極	leung5 gik6	
兩極化	leung5 gik6 fa3	
兩極管	leung5 gik6 goon2	
兩個字	leung5 goh3 ji6	十分鍾
兩公婆	leung5 gung1 poh4	夫妻倆，兩夫婦
兩兄妹	leung5 hing1 mooi6	兄妹兩個人，兄妹倆
兩害相權取其輕	leung5 hoi6 seung1 kuen4 chui2 kei4 hing1	
兩仔乸	leung5 jai2 na2	母子倆，娘兒倆
兩仔爺	leung5 jai2 ye4	父子倆，兩父子
兩袖清風	leung5 jau6 ching1 fung1	
兩者	leung5 je2	
兩者缺一不可	leung5 je2 kuet3 yat1 bat1 hoh2	
兩面	leung5 min6	
兩母女	leung5 mo5 nui5	母女倆
兩眼濕濕	leung5 ngaan5 sap1 sap1	淚汪汪，含著眼淚，熱淚盈眶，眼眶濕潤，淚盈於睫，眼淚汪汪的，滿臉淚痕，眼睛紅紅的
兩岸	leung5 ngon6	
兩岸關係	leung5 ngon6 gwaan1 hai6	
兩倍	leung5 pooi5	
兩手空空	leung5 sau2 hung1 hung1	
兩性	leung5 sing3	
兩小無猜	leung5 siu2 mo4 chaai1	
兩頭蛇	leung5 tau4 se4	兩面派
兩院	leung5 yuen6	
兩院制	leung5 yuen6 jai3	
兩粵	leung5 yuet6	
量產	leung6 chaan2	
踉蹌	leung6 cheung3	
量詞	leung6 chi4	
諒解	leung6 gaai2	
亮光	leung6 gwong1	
量力	leung6 lik6	
量力而行	leung6 lik6 yi4 hang4	
量力而為	leung6 lik6 yi4 wai4	
量入為出	leung6 yap6 wai4 chut1	
哩哩啦啦	li1 li1 la1 la1	
叻幣	lik1 bai6	新加坡貨幣
瀝青	lik1 ching1	
叻埠	lik1 fau6	新加坡
叻架	lik1 ga2	清漆
礫石	lik1 sek6	
力場	lik6 cheung4	
歷程	lik6 ching4	
力道	lik6 do6	
力度	lik6 do6	
歷代	lik6 doi6	
歷屆	lik6 gaai3	
歷久	lik6 gau2	
歷久不衰	lik6 gau2 bat1 sui1	
歷經	lik6 ging1	
歷經滄桑	lik6 ging1 chong1 song1	
力行雞	lik6 haang4 gai1	來亨雞
力氣	lik6 hei3	
歷險	lik6 him2	
歷險記	lik6 him2 gei3	
力戰	lik6 jin3	
歷盡	lik6 jun6	
歷盡滄桑	lik6 jun6 chong1 song1	
歷盡艱難	lik6 jun6 gaan1 naan4	
歷盡艱辛	lik6 jun6 gaan1 san1	
力量	lik6 leung6	
歷來	lik6 loi4	
歷史	lik6 si2	
歷史觀	lik6 si2 goon1	
歷史系	lik6 si2 hai6	
歷史學	lik6 si2 hok6	
歷史學家	lik6 si2 hok6 ga1	
歷時	lik6 si4	
力所不及	lik6 soh2 bat1 kap6	
力所能及	lik6 soh2 nang4 kap6	
力透紙背	lik6 tau3 ji2 booi3	
力挽狂瀾	lik6 waan5 kwong4 laan4	
歷任	lik6 yam6	
鐮刀	lim4 do1	
廉價	lim4 ga3	
廉記	lim4 gei3	廉政公署
臉頰	lim5 gaap3	
臉面	lim5 min6	
襝衽	lim6 yam6	
連敗	lin4 baai6	
連本帶利	lin4 boon2 daai3 lei6	
連詞	lin4 chi4	
連串	lin4 chuen3	
連隨	lin4 chui4	隨即，接著，跟著
連隊	lin4 dui6	
蓮花	lin4 fa1	
連結	lin4 git3	
連結	lin4 git3	鏈接
連貫	lin4 goon3	
憐香惜玉	lin4 heung1 sik1 yuk6	
蓮荷	lin4 hoh4	
連長	lin4 jeung2	
連接	lin4 jip3	
鏈接	lin4 jip3	
連載	lin4 joi3	
連載小說	lin4 joi3 siu2 suet3	
連珠	lin4 jue1	
連珠炮	lin4 jue1 paau3	
連續	lin4 juk6	
連續劇	lin4 juk6 kek6	
連累	lin4 lui5	
憐憫	lin4 man5	
連綿	lin4 min4	
連綿不絕	lin4 min4 bat1 juet6	
連名帶姓	lin4 ming4 daai3 sing3	
連忙	lin4 mong4	
蓮藕	lin4 ngau5	
連年	lin4 nin4	
連年豐收	lin4 nin4 fung1 sau1	
憐愛	lin4 oi3	
蓮蓬	lin4 pung4	
憐惜	lin4 sik1	
連線	lin4 sin3	
連城	lin4 sing4	
連鎖	lin4 soh2	
連鎖店	lin4 soh2 dim3	
連鎖反應	lin4 soh2 faan2 ying3	
連同	lin4 tung4	
連環	lin4 waan4	
連任	lin4 yam6	
連夜	lin4 ye6	
漣漪	lin4 yi1	
攆出去	lin5 chut1 hui3	
攆走	lin5 jau2	
練波	lin6 boh1	練球
煉鋼	lin6 gong3	
練習	lin6 jaap6	
煉鐵	lin6 tit3	
炩	ling3	鋥亮，光滑得發亮
炩擸擸	ling3 laap3 laap3	鋥亮，發亮，繃亮
凌遲	ling4 chi4	
零錢	ling4 chin4	
零點	ling4 dim2	
伶仃	ling4 ding1	
零度	ling4 do6	
零度以下	ling4 do6 yi5 ha6	
零度以上	ling4 do6 yi5 seung6	
零分	ling4 fan6	
靈灰	ling4 fooi1	骨灰
靈感	ling4 gam2	
靈柩	ling4 gau3	
零件	ling4 gin6	
菱角	ling4 gok3	
棱角	ling4 gok3	
零工	ling4 gung1	
零下	ling4 ha6	
零下溫度	ling4 ha6 wan1 do6	
凌空	ling4 hung1	
鯪鯉	ling4 lei5	
伶俐	ling4 lei6	
凌亂	ling4 luen6	
零亂	ling4 luen6	
玲瓏	ling4 lung4	
玲瓏浮突	ling4 lung4 fau4 dat6	玲瓏剔透
玲瓏剔透	ling4 lung4 tik1 tau3	
陵墓	ling4 mo6	
凌晨	ling4 san4	
零售	ling4 sau6	
零售店	ling4 sau6 dim3	
零售價	ling4 sau6 ga3	
零售商	ling4 sau6 seung1	
零售業	ling4 sau6 yip6	
零舍	ling4 se3	特別，格外，分外
鈴聲	ling4 seng1	
零時	ling4 si4	
零食	ling4 sik6	
零星	ling4 sing1	
靈醒	ling4 sing2	聰明伶俐，反應敏捷
靈水	ling4 sui2	聰明，機敏
聆聽	ling4 teng1	
凌雲	ling4 wan4	
靈魂	ling4 wan4	
凌雲壯志	ling4 wan4 jong3 ji3	
靈魂深處	ling4 wan4 sam1 chue3	
令狐	ling4 woo4	
凌虐	ling4 yeuk6	
羚羊	ling4 yeung4	
菱形	ling4 ying4	
鯪魚	ling4 yue4	
囹圄	ling4 yue5	
凌辱	ling4 yuk6	
零用	ling4 yung6	
零用錢	ling4 yung6 chin4	
領導	ling5 do6	
領導人	ling5 do6 yan4	
領銜	ling5 haam4	
領空	ling5 hung1	
領袖	ling5 jau6	
領略	ling5 leuk6	
嶺南	ling5 naam4	
領悟	ling5 ng6	
領事館	ling5 si6 goon2	
領先	ling5 sin1	
領土	ling5 to2	
領域	ling5 wik6	
另行通知	ling6 hang4 tung1 ji1	
另起爐灶	ling6 hei2 lo4 jo3	
另開一張	ling6 hoi1 yat1 jeung1	
愣住	ling6 jue6	
令尊	ling6 juen1	
令郎	ling6 long2	
另謀出路	ling6 mau4 chut1 lo6	
另眼相待	ling6 ngaan5 seung1 doi6	
另眼相看	ling6 ngaan5 seung1 hon3	
另外	ling6 ngoi6	
令愛	ling6 oi3	
令堂	ling6 tong4	
另有	ling6 yau5	
另有企圖	ling6 yau5 kei5 to4	
猎	lip1	電梯
鬣狗	lip6 gau2	
獵犬	lip6 huen2	
纈	lit3	結，結子，節
列表	lit6 biu2	
列車	lit6 che1	
列島	lit6 do2	
列隊	lit6 dui6	
列隊歡迎	lit6 dui6 foon1 ying4	
裂縫	lit6 fung4	
列舉	lit6 gui2	
列國	lit6 gwok3	
裂痕	lit6 han4	
裂開	lit6 hoi1	
列席	lit6 jik6	
列席代表	lit6 jik6 doi6 biu2	
列祖列宗	lit6 jo2 lit6 jung1	
列強	lit6 keung4	
裂紋	lit6 man4	
列寧主義	lit6 ning4 jue2 yi6	
烈士	lit6 si6	
列為	lit6 wai4	
烈焰	lit6 yim6	
撩	liu1	挖，掏
撩鼻屎	liu1 bei6 si2	挖鼻孔
溜出	liu1 chut1	
了哥	liu1 goh1	八哥
溜開	liu1 hoi1	
溜走	liu1 jau2	
溜之大吉	liu1 ji1 daai6 gat1	
撩耳	liu1 yi5	掏耳朵
撩耳仔	liu1 yi5 jai2	掏耳朵
撩耳屎	liu1 yi5 si2	挖耳垢
料	liu2	布料
嫽	liu4	逗，招惹，挑逗
遼朝	liu4 chiu4	
嫽到	liu4 do2	惹得
鐐銬	liu4 kaau3	
嘹亮	liu4 leung6	
寥寥無幾	liu4 liu4 mo4 gei2	
繚亂	liu4 luen6	
瞭望	liu4 mong6	
瞭望台	liu4 mong6 toi4	
獠牙	liu4 nga4	
嫽女仔	liu4 nui5 jai2	調戲女孩子，逗女生
聊勝於無	liu4 sing3 yue1 mo4	
聊天	liu4 tin1	
療養	liu4 yeung5	
繚繞	liu4 yiu2	
瞭如指掌	liu4 yue4 ji2 jeung2	
燎原	liu4 yuen4	
了不得	liu5 bat1 dak1	
了不得	liu5 bat1 dak1	了不起
了不起	liu5 bat1 hei2	
潦草	liu5 cho2	
了得	liu5 dak1	了不起
了得	liu5 dak1	
了解	liu5 gaai2	
瞭解	liu5 gaai2	
了結	liu5 git3	
了卻	liu5 keuk3	
撈	lo1	混日子，混
撈	lo1	混，攪，拌，混合，合，搞到一起
撈本	lo1 boon2	
撈到風生水起	lo1 do3 fung1 saang1 sui2 hei2	混得很好
撈飯	lo1 faan6	拌飯，泡飯
撈家	lo1 ga1	老油子，慣家，流氓
撈靜水	lo1 jing6 sui2	池獨門兒
撈亂咗	lo1 luen6 joh2	弄亂了
撈麵	lo1 min6	拌麵，乾麵
撈拿	lo1 na4	滑旱冰
撈女	lo1 nui2	女流氓，妓女，暗娼
撈世界	lo1 sai3 gaai3	混日子，謀生，混事，闖江湖
撈一票	lo1 yat1 piu3	
佬	lo2	男人，漢子，…人，…子
驢	lo4	驢子
牢不可破	lo4 bat1 hoh2 poh3	
癆病	lo4 beng6	
勞保	lo4 bo2	
嘮嘈	lo4 cho4	說話聲音大
顱頂骨	lo4 ding2 gwat1	
嘮叨	lo4 do1	
勞動	lo4 dung6	
勞動保險	lo4 dung6 bo2 him2	
勞動保護	lo4 dung6 bo2 woo6	
勞動產品	lo4 dung6 chaan2 ban2	
勞動法	lo4 dung6 faat3	
勞動者	lo4 dung6 je2	
勞動節	lo4 dung6 jit3	
勞動模範	lo4 dung6 mo4 faan6	
勞動生產	lo4 dung6 sang1 chaan2	
勞動生產力	lo4 dung6 sang1 chaan2 lik6	
勞動生產率	lo4 dung6 sang1 chaan2 lut6	
勞動條件	lo4 dung6 tiu4 gin6	
勞方	lo4 fong1	
牢房	lo4 fong4	
勞苦	lo4 foo2	
牢記	lo4 gei3	
牢記在心	lo4 gei3 joi6 sam1	
勞改	lo4 goi2	
勞改營	lo4 goi2 ying4	
牢固	lo4 goo3	
勞工	lo4 gung1	
顱骨	lo4 gwat1	
勞氣	lo4 hei3	費話，多說話，白費唇舌，費神
勞氣	lo4 hei3	動怒，生氣，動氣
勞資	lo4 ji1	
爐竈	lo4 jo3	
牢靠	lo4 kaau3	
勞力士錶	lo4 lik6 si6 biu1	
臚列	lo4 lit6	
勞累	lo4 lui6	
勞碌	lo4 luk1	
勞模	lo4 mo4	
勞心者治人	lo4 sam1 je2 ji6 yan4	
勞心者治人，勞力者治於人	lo4 sam1 je2 ji6 yan4 lo4 lik6 je2 ji6 yue1 yan4	
牢騷	lo4 so1	
蘆薈	lo4 wai3	
蘆葦	lo4 wai5	
勞役	lo4 yik6	
勞役地租	lo4 yik6 dei6 jo1	
勞燕分飛	lo4 yin3 fan1 fei1	
鱸魚	lo4 yue4	
牢獄	lo4 yuk6	
老百姓	lo5 baak3 sing3	
老闆	lo5 baan2	
老闆娘	lo5 baan2 neung4	
老表	lo5 biu2	表親
老鴇	lo5 bo2	
老僕	lo5 buk6	
老襯	lo5 chan3	傻瓜，笨
老抽	lo5 chau1	濃醬油
老千	lo5 chin1	騙子
老前輩	lo5 chin4 booi3	
滷菜	lo5 choi3	
滷蛋	lo5 daan6	
老豆	lo5 dau6	父親，爸爸，爹
老豆老母	lo5 dau6 lo5 mo2	爹媽，爸爸媽媽，爸媽，父母
老爹	lo5 de1	
老點	lo5 dim2	作弄，胡吹，瞎騙
老頂	lo5 ding2	老闆，上司，最高層人員
老頂	lo5 ding2	老闆，上司
老定	lo5 ding6	鎮定，冷靜，沉住氣
老調重彈	lo5 diu6 chung4 taan4	
老到巢皮咪孟	lo5 do3 chaau4 pei4 mi1 mang1	老得皮膚皺皺的
擄奪	lo5 duet6	
老番	lo5 faan1	洋鬼子，老外
老番冬	lo5 faan1 dung1	聖誕節
老番涼茶	lo5 faan1 leung4 cha4	啤酒
老番睇榜第一	lo5 faan1 tai2 bong2 dai6 jat1	倒數第一，最後一名
老虎	lo5 foo2	
老虎公	lo5 foo2 gung1	公老虎
老虎仔	lo5 foo2 jai2	小老虎
老虎乸	lo5 foo2 na2	母老虎
滷雞肉	lo5 gai1 yuk6	
老薑	lo5 geung1	
老公仔	lo5 gung1 jai2	對年輕丈夫或男朋友的暱稱
魯凱族	lo5 hoi2 juk6	
老行專	lo5 hong4 juen1	專家
滷製	lo5 jai3	
滷汁	lo5 jap1	
老積	lo5 jik1	老成，老氣，老到，老練，老氣橫秋的
老積仔	lo5 jik1 jai2	老成的少年
老祖	lo5 jo2	祖先
老宗	lo5 jung1	本家
老驥伏櫪	lo5 kei3 fuk6 lik1	
擄掠	lo5 leuk6	
姥姥	lo5 lo5	
鹵味	lo5 mei2	醬肉，滷肉
滷味	lo5 mei6	
滷麵	lo5 min6	
老母	lo5 mo2	母親，媽媽，媽
鹵莽	lo5 mong4	
魯莽	lo5 mong4	
魯莽行事	lo5 mong4 hang4 si6	
老衲	lo5 naap6	
老泥	lo5 nai4	汗垢
老朋友	lo5 pang4 yau5	
老編	lo5 pin1	編輯
老婆仔	lo5 poh4 jai2	老婆
老細	lo5 sai3	老闆
老實講句	lo5 sat6 gong2 gui3	老實說
老死	lo5 sei2	老友，死黨
老死	lo5 sei2	
老死不相往來	lo5 sei2 bat1 seung1 wong5 loi4	
老師	lo5 si1	
鹵素	lo5 so3	
老鼠	lo5 sue2	
老鼠貨	lo5 sue2 foh3	賊贓
老鼠拉龜	lo5 sue2 laai1 gwai1	無計可施
老鼠窿	lo5 sue2 lung1	老鼠洞
鹵水	lo5 sui2	
滷水	lo5 sui2	
老土	lo5 to2	土氣，過時，不時髦，不入時，不合時宜
老撾	lo5 woh1	
老人癡呆	lo5 yan4 chi1 ngoi4	
老友	lo5 yau5	老友，老朋友
老友記	lo5 yau5 gei3	老朋友，老兄，老相識
老爺車	lo5 ye4 che1	舊車，舊式的車
老嘢	lo5 ye5	老傢伙，老東西
老而不	lo5 yi4 bat1	老不正經，老而不死，老王八蛋
老鷹	lo5 ying1	
老嫗	lo5 yue2	
魯魚亥豕	lo5 yue4 hoi6 chi2	
滷肉	lo5 yuk6	
滷肉飯	lo5 yuk6 faan6	
老翁	lo5 yung1	
路不拾遺	lo6 bat1 sap6 wai4	
路邊	lo6 bin1	
路邊攤	lo6 bin1 taan1	
路程	lo6 ching4	
露出	lo6 chut1	
路燈	lo6 dang1	
路況	lo6 fong3	
勞軍	lo6 gwan1	
路過	lo6 gwoh3	
路障	lo6 jeung3	
澇災	lo6 joi1	
路面	lo6 min6	
路牌	lo6 paai4	
路上	lo6 seung6	
路線	lo6 sin3	
路線圖	lo6 sin3 to4	
路數	lo6 so3	門路，路子，法子，機會
露水	lo6 sui2	
路途	lo6 to4	
露台	lo6 toi4	陽台
路人	lo6 yan4	
路人皆知	lo6 yan4 gaai1 ji1	
路遙知馬力	lo6 yiu4 ji1 ma5 lik6	
路遙知馬力，日久見人心	lo6 yiu4 ji1 ma5 lik6 yat6 gau2 gin3 yan4 sam1	
囖	loh1	籮筐，手提小籮，小籃子
囉	loh1	了，啊
囉氣	loh1 hei3	勞神
囉囉攣	loh1 loh1 luen1	鬧，哭鬧，鬧騰，焦躁不安
囉攣	loh1 luen1	鬧，哭鬧，啼哭，不舒服
囉柚	loh1 yau2	屁股
攞	loh2	拿
螺	loh2	螺螄，田螺
籮	loh2	斗
攞籌	loh2 chau2	掛號
攞車	loh2 che1	取車
攞錢	loh2 chin2	提錢，領錢
攞彩	loh2 choi2	貪威，炫耀，露臉，增光，出風頭，表現自己
擺出嚟	loh2 chut1 lei4	拿出來
攞出來	loh2 chut1 lei4	拿出來
攞到	loh2 do2	拿到
攞翻	loh2 faan1	拿回，取回，拿回來
攞翻公道	loh2 faan1 gung1 do6	討回公道，取回公道
攞翻去	loh2 faan1 hui3	拿回去
攞苦嚟辛	loh2 foo2 lei4 san1	自討苦吃，自找麻煩，自找苦吃
攞景	loh2 ging2	取景，抓鏡頭
攞景	loh2 ging2	揶揄，諷刺，起閧，故意氣人
攞個籌掛號	loh2 goh3 chau2 gwa3 ho6	拿個牌兒掛號
攞過嚟	loh2 gwoh3 lei4	拿過來
攞起	loh2 hei2	拿起
攞走	loh2 jau2	拿掉，拿走，拿了
攞獎	loh2 jeung2	獲獎，得獎，領獎
攞嚟	loh2 lei4	拿來，用來
攞嚟攪嘅	loh2 lei4 gaau2 ge3	自找麻煩，自討苦吃
攞嚟講	loh2 lei4 gong2	隨便說說
攞嚟講嘅啫	loh2 lei4 gong2 ge3 je1	隨便說說而已，隨便說說罷了
攞嚟賤	loh2 lei4 jin6	自找麻煩，自討苦吃
攞嚟衰	loh2 lei4 sui1	自找麻煩，自討苦吃
攞嚟睇睇	loh2 lei4 tai2 tai2	拿來看看
裸露	loh2 lo6	
攞落嚟	loh2 lok6 lei4	拿下來
攞唔定主意	loh2 m4 ding6 jue2 yi3	拿不定主意
攞命	loh2 meng6	要命
攞便宜	loh2 pin4 yi4	討便宜
攞晒彩	loh2 saai3 choi2	十分威風，出盡風頭
攞晒翻去	loh2 saai3 faan1 hui3	全拿回去，全部拿回去
饠	loh3	煳味，燒焦味，火煙味
囉	loh3	了，啦，吧
囉噃	loh3 boh3	了
籮	loh4	籮筐，小簍子，小手提籃子
羅	loh4	啦
蘿蔔	loh4 baak6	
蘿蔔乾	loh4 baak6 gon1	
邏輯	loh4 chap1	
邏輯學	loh4 chap1 hok6	
邏輯思維	loh4 chap1 si1 wai4	
邏輯性	loh4 chap1 sing3	
羅經	loh4 gaang1	羅盤，羅庚，指南針
鑼鼓	loh4 goo2	
羅漢齋	loh4 hon3 jaai1	素什錦
籮筐	loh4 hong1	
螺絲	loh4 si1	
螺絲釘	loh4 si1 ding1	
螺絲批	loh4 si1 pai1	螺絲起子
羅唆	loh4 soh1	
羅嗦	loh4 soh1	
螺旋	loh4 suen4	
來賓	loi4 ban1	
來電	loi4 din6	
來電顯示	loi4 din6 hin2 si6	
來福槍	loi4 fuk1 cheung1	
來福線	loi4 fuk1 sin3	
來勁	loi4 ging3	
來客	loi4 haak3	
來者	loi4 je2	
來者不拒	loi4 je2 bat1 kui5	
來者不善	loi4 je2 bat1 sin6	
來者不善善者不來	loi4 je2 bat1 sin6 sin6 je2 bat1 loi4	
來之不易	loi4 ji1 bat1 yi6	
來自	loi4 ji6	
來歷	loi4 lik6	
來歷不明	loi4 lik6 bat1 ming4	
來路	loi4 lo2	外來的，進口的
來路貨	loi4 lo2 foh3	進口貨，外國貨，洋貨
來路嘢	loi4 lo2 ye5	洋貨
來路	loi4 lo6	
來路不明	loi4 lo6 bat1 ming4	
來來往往	loi4 loi4 wong5 wong5	
來龍去脈	loi4 lung4 hui3 mak6	
來勢	loi4 sai3	
來世	loi4 sai3	
來勢洶洶	loi4 sai3 hung1 hung1	
來書	loi4 sue1	
來信	loi4 sun3	
來往	loi4 wong5	
來回	loi4 wooi4	
來回票	loi4 wooi4 piu3	
來日	loi4 yat6	
來日方長	loi4 yat6 fong1 cheung4	
來日無多	loi4 yat6 mo4 doh1	
來意	loi4 yi3	
來意不明	loi4 yi3 bat1 ming4	
來源	loi4 yuen4	
珞巴族	lok3 ba1 juk6	
駱馬	lok3 ma5	
駱駝	lok3 toh4	
駱駝峰	lok3 toh4 fung1	
絡繹不絕	lok3 yik6 bat1 juet6	
落班	lok6 baan1	下班
樂不思蜀	lok6 bat1 si1 suk6	
落本	lok6 boon2	下本錢
落差	lok6 cha1	
落車	lok6 che1	下車
落斜	lok6 che3	下坡
樂此不疲	lok6 chi2 bat1 pei4	
樂趣	lok6 chui3	
落大雨	lok6 daai6 yue5	下大雨
落單	lok6 daan1	下定單
落得一場空	lok6 dak1 yat1 cheung4 hung1	
落地	lok6 dei6	
落地窗	lok6 dei6 cheung1	
落地生根	lok6 dei6 sang1 gan1	
落地扇	lok6 dei6 sin3	
落定	lok6 deng6	下定金，給定錢，交定錢
落袋	lok6 doi2	放進口袋裡
落袋	lok6 doi2	進帳，進了腰包
落毒	lok6 duk6	下毒
落毒	lok6 duk6	下毒
落藥	lok6 duk6	下毒藥
落花流水	lok6 fa1 lau4 sui2	
落飛機	lok6 fei1 gei1	下飛機
落肥	lok6 fei4	施肥
落荒而逃	lok6 fong1 yi4 to4	
落街	lok6 gaai1	到街上，外出
落更	lok6 gaang1	下班
落機	lok6 gei1	下飛機
落腳	lok6 geuk3	
落腳	lok6 geuk3	停留下來
落腳處	lok6 geuk3 chue3	
樂極生悲	lok6 gik6 sang1 bei1	
樂觀	lok6 goon1	
樂觀主義	lok6 goon1 jue2 yi6	
落客	lok6 haak3	讓乘客下車
樂合彩	lok6 hap6 choi2	
落口供	lok6 hau2 gung1	錄口供，問話，錄取供詞
落後	lok6 hau6	
落鄉	lok6 heung1	下鄉
落去	lok6 hui3	下去
落空	lok6 hung1	
落井下石	lok6 jing2 ha6 sek6	
樂在其中	lok6 joi6 kei4 jung1	
落妝	lok6 jong1	卸妝
落注	lok6 jue3	下賭注
落注	lok6 jue3	下注
落樓	lok6 lau2	下樓
落嚟	lok6 lei4	下來
落力	lok6 lik6	賣力，努力，認真，賣力氣，賣勁兒
落淚	lok6 lui6	
落蚊帳	lok6 man1 jeung3	把蚊帳掛起來
落臉	lok6 min2	丟臉
落面	lok6 min2	丟臉
落寞	lok6 mok6	
落幕	lok6 mok6	
落網	lok6 mong5	
落伍	lok6 ng5	
落實	lok6 sat6	
落手	lok6 sau2	下手
落手落腳	lok6 sau2 lok6 geuk3	親自動手
落石級	lok6 sek6 kap1	下台階
樂善好施	lok6 sin6 ho3 si1	
落剩	lok6 sing6	剩下
落選	lok6 suen2	
落船	lok6 suen4	上船
落雪	lok6 suet3	下雪
落雪珠	lok6 suet3 jue1	下冰雹，下雹子
落雪水	lok6 suet3 sui2	下很冷的小雨
落水	lok6 sui2	
落水狗	lok6 sui2 gau2	
樂透	lok6 tau3	
樂透彩	lok6 tau3 choi2	
樂天	lok6 tin1	
樂天知命	lok6 tin1 ji1 ming6	
樂天派	lok6 tin1 paai3	
落台	lok6 toi4	下台
落湯雞	lok6 tong1 gai1	
落堂	lok6 tong4	下課
落畫	lok6 wa2	結束放映
落戶	lok6 woo6	
落日	lok6 yat6	
樂意	lok6 yi3	
樂而不淫	lok6 yi4 bat1 yam4	
樂而忘返	lok6 yi4 mong4 faan2	
樂而忘形	lok6 yi4 mong4 ying4	
樂以忘憂	lok6 yi5 mong4 yau1	
落葉	lok6 yip6	
落葉歸根	lok6 yip6 gwai1 gan1	
落葉喬木	lok6 yip6 kiu4 muk6	
落葉樹	lok6 yip6 sue6	
樂於	lok6 yue1	
樂於助人	lok6 yue1 joh6 yan4	
落雨	lok6 yue5	下雨
落雨溦	lok6 yue5 mei1	下毛毛雨
落雨濕濕	lok6 yue5 sap1 sap1	下雨路滑
落雨絲濕	lok6 yue5 si1 sap1	下雨路滑
啷	long2	涮洗，涮
啷口	long2 hau2	漱口
啷口盅	long2 hau2 jung1	漱口杯
狼	long4	狠，兇，兇猛
狼狽	long4 booi3	
鋃鐺	long4 dong1	
莨菪	long4 dong6	
狼獾	long4 foon1	
郎君	long4 gwan1	
狼藉	long4 jik6	
狼命	long4 meng6	狠，兇，兇猛
狼忙	long4 mong4	匆忙，急忙
