開放粵語詞典（粵語拼音字調符調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［粵語拼音］	［國語解釋］
政協	jênk hîb	
正好	jênk hõw	
正則	jênk jäk	
正则表达式	jênk jäk bĩu dàd sëk	
正则化	jênk jäk fâ	
正值	jênk jèk	
正正經經	jênk jênk gënk gënk	
正正確確	jênk jênk kôg kôg	
政績	jênk jëk	
正字	jênk jì	
政治	jênk jì	
政治部	jênk jì bòw	
正字法	jênk jì fâd	
政治犯	jênk jì fãn	
政治界	jênk jì gâi	
政治家	jênk jì gä	
政治經濟	jênk jì gënk jây	
政治學	jênk jì hòg	
政治學家	jênk jì hòg gä	
政治權利	jênk jì keun lèy	
證照	jênk jîu	
正在	jênk jòi	
症狀	jênk jòng	
正中	jênk jönk	
正中間	jênk jönk gän	
正中下懷	jênk jönk hà wai	
正中央	jênk jönk yeöng	
政權	jênk keun	
正規	jênk kuäy	
正規軍	jênk kuäy guänt	
正楷	jênk kãi	
正確	jênk kôg	
正確性	jênk kôg sênk	
正離子	jênk ley jĩ	
政論	jênk lònt	
正文	jênk mant	
證明	jênk menk	
正名	jênk menk	
證明文件	jênk menk mant gìn	
證明書	jênk menk seü	
正門	jênk mun	
證物	jênk màt	
正面	jênk mìn	
政務	jênk mòw	
政務官	jênk mòw gün	
正顏厲色	jênk ngan lày sëk	
正牌	jênk pai	
正派	jênk pâi	
正常	jênk seong	
正常化	jênk seong fâ	
證書	jênk seü	
證實	jênk sàt	
正色	jênk sëk	
正式	jênk sëk	
正視	jênk sì	
正是如此	jênk sì yeu cĩ	
正數	jênk sôw	
正史	jênk sĩ	
政壇	jênk tan	
正題	jênk tay	
正途	jênk tow	
正體	jênk tãy	
正體字	jênk tãy jì	
正統	jênk tõnk	
正話	jênk wà	剛才，剛剛，正在，正，正要
政委	jênk wãy	
政委會	jênk wãy wùi	
正人	jênk yant	
證人	jênk yant	
正人君子	jênk yant guänt jĩ	
證人席	jênk yant jèk	
證言	jênk yin	
正弦	jênk yin	
正弦波	jênk yin bö	
正弦定理	jênk yin dènk léy	
正弦規	jênk yin kuäy	
正弦曲線	jênk yin kök sîn	
正因	jênk yänt	
正一	jênk yät	真正
正義	jênk yì	
正義感	jênk yì gãmp	
證驗	jênk yìm	
政要	jênk yîu	
正午	jênk ńg	
正誤	jênk ǹg	
正誤表	jênk ǹg bĩu	
遮	jë	雨傘
…姐	jë	姐
遮	jë	擋
啫	jë	而已
遮蔽	jë bây	
遮柄	jë bêng	傘桿兒；傘桿兒的尖端
遮骨	jë guät	傘枝，傘的骨架，傘的金屬條
啫喱	jë lẽy	果凍
遮掩	jë yĩm	
jacket	jëg kèg	夾克
漬	jëk	污垢
積	jëk	勾，丁
織	jëk	編，織
積	jëk	疳積，疳積病
即便	jëk bìn	
織布	jëk bôw	
積錢	jëk cin	攢錢
積蓄	jëk cök	
積極	jëk gèk	
積極份子	jëk gèk fànt jĩ	
即管	jëk gũn	儘管
即係	jëk hày	就是
即係話	jëk hày wà	就是說
即刻	jëk häk	馬上，立刻
即興	jëk hênk	
即可	jëk hõ	
跡象	jëk jeòng	
即將	jëk jeöng	
積滯	jëk jày	消化不良
即席	jëk jèk	
織蓆	jëk jèk	編席子
織蟀	jëk jöt	蟋蟀
職權	jëk keun	
織籮	jëk lo	編籮筐
織冷衫	jëk läng säm	打毛衣
積埋啲錢	jëk mai dï cin	把錢攢下來
積木	jëk mòk	
即時	jëk si	
即食麵	jëk sèk mìn	方便麵，泡麵
即使	jëk sĩ	
積少成多	jëk sĩu senk dö	
即位	jëk wày	
鯽魚	jëk yeu	
職員	jëk yeun	
即日	jëk yàt	
即日起	jëk yàt hẽy	
積陰功	jëk yämp gönk	積德，積福，積陰德
職業	jëk yìb	
即映即有	jëk yẽnk jëk yáw	現拍現看
占	jëm	果醬
精	jëng	機靈，聰明
精	jëng	自私，取巧，狡猾，愛耍小聰明
精出骨	jëng cöt guät	自私，狡猾
精仔	jëng jãy	投機取巧的人，精明能幹的人，精於計算的人
精叻	jëng lëg	聰明能幹，精明
精埋一便	jëng mai yät bìn	專把聰明用在做壞事或為自己打算上
偵辦	jënk bàn	
精品	jënk bãnt	
偵查	jënk ca	
禎祥	jënk ceong	
偵察	jënk câd	
偵察兵	jënk câd bënk	
偵察機	jënk câd gëy	
偵測	jënk cäk	
偵緝	jënk cäp	
貞操	jënk cöw	
征伐	jënk fàt	
蒸發	jënk fâd	
征服	jënk fòk	
蒸氣	jënk hêy	
怔住	jënk jeù	
精湛	jënk jâm	
精子	jënk jĩ	
旌旗	jënk key	
徵糧	jënk leong	
蒸籠	jënk lonk	
蒸餾水	jënk làw sõy	
偵問	jënk mànt	
徵募	jënk mòw	
精辟	jënk pëk	
偵破	jënk pô	
精神	jënk sant	
精神病	jënk sant bèng	
精神分裂	jënk sant fänt lìd	
精神爽利	jënk sant sõng lèy	精神飽滿，心情舒暢，精神奕奕
精神為之一振	jënk sant way jï yät jânt	
精神煥發	jënk sant wùn fâd	
精选	jënk seũn	
精選	jënk seũn	
晶石	jënk sèg	
徵兆	jënk sìu	
精邃	jënk sòy	
精粹	jënk sòy	
精髓	jënk sóy	
偵訊	jënk sônt	
偵探	jënk tâm	
偵探小說	jënk tâm sĩu seûd	
偵聽	jënk tënk	
偵聽器	jënk tënk hêy	
偵聽台	jënk tënk toi	
偵聽員	jënk tënk yeun	
精華	jënk wa	
晶瑩	jënk yenk	
正月	jënk yeùd	
正月初三	jënk yeùd cö säm	
正月初一	jënk yeùd cö yät	
正月初二	jënk yeùd cö yì	
字	jì	五分鍾
自閉	jì bây	
自閉症	jì bây jênk	
自不量力	jì bät leòng lèk	
自不然	jì bät yin	自然而然
治病	jì bèng	
自備	jì bèy	
自備午餐	jì bèy ńg cän	
自卑	jì bëy	
自卑感	jì bëy gãmp	
自暴自棄	jì bòw jì hêy	
自保	jì bõw	
自慚形穢	jì cam yenk wây	
自尋煩惱	jì camp fan nów	
自尋死路	jì camp sẽy lòw	
自殘	jì can	
治邪	jì ce	闢邪，祛邪
字串	jì ceûn	
字詞	jì ci	
自從	jì conk	
自稱	jì cënk	
自始至終	jì cí jî jönk	
自取其辱	jì cõy key yòk	
自取滅亡	jì cõy mìd mong	
痔瘡	jì cöng	
自吹	jì cöy	
自吹自擂	jì cöy jì loy	
自此	jì cĩ	
自大	jì dài	
自打嘴巴	jì dã jõy bä	
自得其樂	jì däk key lòg	
自動	jì dònk	
自動化	jì dònk fâ	
自蹈法網	jì dòw fâd móng	
自導自演	jì dòw jì yĩn	
字典	jì dĩn	
自焚	jì fant	
字符	jì fu	
自發	jì fâd	
自費	jì fây	
自費旅行	jì fây lóy hank	
自奉	jì fònk	
自負	jì fù	
自負盈虧	jì fù yenk kuäy	
自咎	jì gâw	
自甘墮落	jì gämp dò lòg	
字根	jì gänt	
雉雞	jì gäy	
自矜	jì gënk	
俟機	jì gëy	
自覺	jì gôg	
自告奮勇	jì gôw fánt yónk	
自供	jì gönk	
自高自大	jì göw jì dài	
自古	jì gũ	
自古以來	jì gũ yí loi	
自己	jì gẽy	
自己攞嚟衰	jì gẽy lõ ley söy	自找麻煩，自討苦吃，自找倒霉
自己友	jì gẽy yãw	自己人
自行	jì hank	
自行車	jì hank cë	
自行解決	jì hank gãi keûd	
自行其是	jì hank key sì	
自行決定	jì hank keûd dènk	
自豪	jì how	
俟候	jì hàw	
稚氣	jì hêy	
自欺欺人	jì hëy hëy yant	
自謙	jì hïm	
自學	jì hòg	
自詡	jì hõy	
自尊	jì jeün	
自尊心	jì jeün sämp	
自主	jì jeũ	
自傳	jì jeũn	
自習	jì jàb	
自責	jì jâg	
自製	jì jây	
自制力	jì jây lèk	
自找苦吃	jì jãu fũ hêg	
自找麻煩	jì jãu ma fan	
自嘲	jì jäu	
字正腔圓	jì jênk höng yeun	
字跡	jì jëk	
自治	jì jì	
自治州	jì jì jäw	
自治權	jì jì keun	
自治區	jì jì köy	
自治省	jì jì sãng	
自治市	jì jì sí	
自治縣	jì jì yeùn	
自知	jì jï	
自知之明	jì jï jï menk	
自知理虧	jì jï léy kuäy	
自助餐廳	jì jò cän tëng	
自助助人	jì jò jò yant	
自助式	jì jò sëk	
自在	jì jòi	
自作聰明	jì jôg cönk menk	
自作多情	jì jôg dö cenk	
自作主張	jì jôg jeũ jeöng	
自作自受	jì jôg jì sàw	
自作孽	jì jôg yìd	
字組	jì jõw	
字紙	jì jĩ	
自強不息	jì keong bät sëk	
自決	jì keûd	
自決權	jì keûd keun	
自誇	jì kuä	
自給自足	jì käp jì jök	
自憐	jì lin	
治療	jì liu	
自來水	jì loi sõy	
自立	jì làb	
自力更生	jì lèk gänk sänk	
治理	jì léy	
飼料	jì lìu	
自律	jì lòt	
字裡行間	jì lóy hong gän	
自鳴得意	jì menk däk yî	
自賣自誇	jì mài jì kuä	
自問	jì mànt	
自問自答	jì mànt jì dâb	
字碼	jì má	
自刎	jì mánt	
自命不凡	jì mènk bät fan	
自命清高	jì mènk cënk göw	
字面	jì mìn	
字面上	jì mìn seòng	
寺廟	jì mìu	
字幕	jì mòg	
字母	jì mów	
字母表	jì mów bĩu	
自滿	jì mún	
字眼	jì ngán	
自縊	jì ngây	
自傲	jì ngòw	
自我	jì ngó	
自我介紹	jì ngó gâi sìu	
自我檢討	jì ngó gĩm tõw	
自我中心	jì ngó jönk sämp	
自相殘殺	jì seöng can sâd	
自相矛盾	jì seöng mau tónt	
自殺	jì sâd	
自殺式襲擊	jì sâd sëk jàb gëk	
自細	jì sây	從小
字首	jì sãw	
自首	jì sãw	
自生自滅	jì sänk jì mìd	
自身	jì sänt	
自身難保	jì sänt nan bõw	
自修	jì säw	
自修課	jì säw fô	
自食其果	jì sèk key guõ	
自食其力	jì sèk key lèk	
自食惡果	jì sèk ôg guõ	
自私	jì sï	
自信	jì sônt	
自信心	jì sônt sämp	
自掃門前雪	jì sôw mun cin seûd	
自投羅網	jì taw lo móng	
字條	jì tiu	
自掏腰包	jì tow yïu bäu	
自歎不如	jì tân bät yeu	
自歎弗如	jì tân fät yeu	
字體	jì tãy	
自討苦吃	jì tõw fũ hêg	
自衛	jì wày	
自衛隊	jì wày dòy	
自慰	jì wây	
自慰	jì wây	手淫
字彙	jì wùi	
自由	jì yaw	
自由主義	jì yaw jeũ yì	
自由自在	jì yaw jì jòi	
自由戀愛	jì yaw leũn ôi	
自由貿易	jì yaw màw yèk	
自由散漫	jì yaw sãn màn	
自由意志	jì yaw yî jî	
字型	jì yenk	
字形	jì yenk	
自娛娛人	jì yeu yeu yant	
字元	jì yeun	
字源	jì yeun	
字元組	jì yeun jõw	
自圓其說	jì yeun key seûd	
字元碼	jì yeun má	
飼養	jì yeóng	
寺院	jì yeùn	
自願	jì yeùn	
自然	jì yin	
自燃	jì yin	
自言自語	jì yin jì yeú	
自然環境	jì yin wan gẽnk	
自有主張	jì yáw jeũ jeöng	
字音	jì yämp	
字音表	jì yämp bĩu	
字義	jì yì	
自以為是	jì yí way sì	
字意	jì yî	
自愛	jì ôi	
自誤誤人	jì ǹg ǹg yant	
截長補短	jìd ceong bõw deũn	
截取	jìd cõy	
截奪	jìd deùd	
截斷	jìd deùn	
截的士	jìd dëk sĩ	攔出租車，叫出租車，叫計程車，打的
捷徑	jìd gênk	
截擊	jìd gëk	
截擊機	jìd gëk gëy	
截稿	jìd gõw	
截至	jìd jî	
截肢	jìd jï	
捷足先登	jìd jök sïn dänk	
截止	jìd jĩ	
截趾適履	jìd jĩ sëk léy	
截球	jìd kaw	
睫毛	jìd mow	
捷運	jìd wànt	
捷運系統	jìd wànt hày tõnk	
截彎取直	jìd wän cõy jèk	
截獲	jìd wòg	
截然不同	jìd yin bät tonk	
漸漸	jìm jìm	
賤格	jìn gâg	下賤
摷	jìu	狠揍，痛打
噍	jìu	嚼
噍吹波膠	jìu cöy bö gäu	嚼泡泡糖
召妓	jìu gèy	
召見	jìu gîn	
召開	jìu höi	
召集	jìu jàb	
召集人	jìu jàb yant	
召之即來	jìu jï jëk loi	
召回	jìu wui	
召喚	jìu wùn	
摷一輪	jìu yät lont	痛打一頓
至	jî	最
至	jî	才
致詞	jî ci	
至得	jî däk	才行
致電	jî dìn	
至多唔係	jî dö m hày	大不了，頂多是…
致富	jî fû	
致富之道	jî fû jï dòw	
至今	jî gämp	
致敬	jî gênk	
致歉	jî hîb	
致賀	jî hò	
智障	jî jeông	
智障人士	jî jeông yant sì	
至憎	jî jänk	最討厭
致謝	jî jè	
志在	jî jòi	在乎
志在	jî jòi	目的在於
…至奇	jî key	…才怪
致力	jî lèk	
致力於	jî lèk yeü	
致命傷	jî mènk seöng	
致命性	jî mènk sênk	
致癌	jî ngam	
致癌物	jî ngam màt	
致癌物質	jî ngam màt jät	
致使	jî sĩ	
至少	jî sĩu	
致死	jî sẽy	
至死不悟	jî sẽy bät ǹg	
致死量	jî sẽy leòng	
智慧	jî wày	
摯友	jî yáw	
致意	jî yî	
折	jîb	疊
接觸	jîb cök	
接待處	jîb dòi ceû	
接骨	jîb guät	
接近	jîb gànt	
接龍	jîb lonk	
接力	jîb lèk	
接納	jîb nàb	
接受	jîb sàw	
接受唔到	jîb sàw m dõw	不能接受，接受不了
接獲	jîb wòg	
囁嚅	jîb yeu	
節操	jîd côw	
節操	jîd cöw	
折墮	jîd dò	作孽，缺德，沒良心
節點	jîd dĩm	
櫛風沐雨	jîd fönk mòk yeú	
節骨眼	jîd guät ngán	
節假日	jîd gâ yàt	
節儉	jîd gìm	
節氣	jîd hêy	
哲學	jîd hòg	
哲學家	jîd hòg gä	
節奏	jîd jâw	
節制	jîd jây	
節肢	jîd jï	
節肢動物	jîd jï dònk màt	
折扣	jîd kâw	
節流	jîd law	
節略	jîd leòg	
節禮	jîd láy	
節令	jîd lènk	
節錄	jîd lòk	
節律	jîd lòt	
節目	jîd mòk	
節目表	jîd mòk bĩu	
節目單	jîd mòk dän	
節外生枝	jîd ngòi sänk jï	
節拍	jîd pâg	
節省	jîd sãng	
節食	jîd sèk	
折騰	jîd tank	
折頭	jîd taw	折扣
婕妤	jîd yeu	
節約	jîd yeôg	
節日	jîd yàt	
節衣縮食	jîd yï sök sèk	
節慾	jîd yòk	
節育	jîd yòk	
節用	jîd yònk	
節哀	jîd öi	
節哀順變	jîd öi sònt bîn	
佔多數	jîm dö sôw	
佔據	jîm gôy	
佔盡	jîm jònt	
佔領	jîm lénk	
佔領地	jîm lénk dèy	
佔領軍	jîm lénk guänt	
佔領區	jîm lénk köy	
佔便宜	jîm pin yi	
佔上風	jîm seòng fönk	
佔線	jîm sîn	
佔為	jîm way	
佔為己有	jîm way gẽy yáw	
佔位	jîm wày	
佔有	jîm yáw	
佔有權	jîm yáw keun	
佔有率	jîm yáw lòt	
佔有慾	jîm yáw yòk	
佔優勢	jîm yäw sây	
佔用	jîm yònk	
薦	jîn	墊，墊子
戰敗	jîn bài	
戰敗國	jîn bài guôg	
餞別	jîn bìd	
戰場	jîn ceong	
戰車	jîn cë	
戰鬥	jîn dâw	
戰鬥機	jîn dâw gëy	
戰鬥區	jîn dâw köy	
戰鬥力	jîn dâw lèk	
戰鬥意志	jîn dâw yî jî	
顫抖	jîn dãw	
顫動	jîn dònk	
戰刀	jîn döw	
戰犯	jîn fãn	
戰況	jîn fông	
戰火	jîn fõ	
戰俘	jîn fü	
戰斧	jîn fũ	
戰國	jîn guôg	
戰國時代	jîn guôg si dòi	
戰國時期	jîn guôg si key	
戰果	jîn guõ	
戰機	jîn gëy	
戰機機師	jîn gëy gëy sï	
戰歌	jîn gö	
薦高	jîn göw	墊高一點
戰鼓	jîn gũ	
餞行	jîn hank	
戰壕	jîn how	
薦起	jîn hẽy	墊起來
箭豬	jîn jeü	豪豬
戰爭	jîn jänk	
戰戰兢兢	jîn jîn gënk gënk	
箭鏃	jîn jòk	
戰區	jîn köy	
戰略	jîn leòg	
戰略轟炸	jîn leòg guänk jâ	
戰略性	jîn leòg sênk	
戰亂	jîn leùn	
戰艦	jîn làm	
戰力	jîn lèk	
戰利品	jîn lèy bãnt	
顫慄	jîn lòt	
戰慄	jîn lòt	
戰無不勝	jîn mow bät sênk	
戰馬	jîn má	
戰袍	jîn pow	
戰神	jîn sant	
戰船	jîn seun	
戰勝	jîn sênk	
顫聲	jîn sënk	
戰士	jîn sì	
戰事	jîn sì	
戰線	jîn sîn	
戰術	jîn sòt	
戰死	jîn sẽy	
戰死沙場	jîn sẽy sä ceong	
薦枱腳	jîn tõi geôg	墊桌腿
戰雲	jîn want	
戰雲密佈	jîn want màt bôw	
戰禍	jîn wò	
戰友	jîn yáw	
戰役	jîn yèk	
薦褥	jîn yòk	褥子
照	jîu	照樣，照舊
照	jîu	當，對著，迎
詔告	jîu gôw	
照顧	jîu gû	
詔旨	jîu jĩ	
詔令	jîu lènk	
照明	jîu menk	
照明設備	jîu menk cîd bèy	
照明燈	jîu menk dänk	
詔命	jîu mènk	
詔書	jîu seü	
照殺	jîu sâd	照做不誤
詔示	jîu sì	
照彈	jîu tan	照樣受到批評，照舊遭指責
照頭淋	jîu taw lamp	迎頭澆
照頭一棍	jîu taw yät guânt	當頭一棒
詔諭	jîu yeù	
照X光	jîu ëk si guöng	
詔安	jîu ön	
知	jï	知道
之不過	jï bät guô	但是，不過
資本	jï bũn	
資本家	jï bũn gä	
資本主義	jï bũn jeũ yì	
資本主義國家	jï bũn jeũ yì guôg gä	
資本主義社會	jï bũn jeũ yì sé wùi	
資本論	jï bũn lònt	
知情	jï cenk	
知情不報	jï cenk bät bôw	
支持	jï ci	
支持者	jï ci jẽ	
之前	jï cin	
資產	jï cãn	
資產階級	jï cãn gäi käp	
知醜	jï cãw	知恥
支撐	jï cäng	
輜重	jï cónk	
輜重團中尉	jï cónk teun jönk wây	
知趣	jï côy	
之初	jï cö	
支出	jï cöt	
支出費用	jï cöt fây yònk	
齜出牙	jï cöt nga	
知恥近乎勇	jï cĩ gànt fu yónk	
知道	jï dòw	
支隊	jï dòy	
支隊長	jï dòy jeõng	
知到	jï dôw	知道
之乎者也	jï fu jẽ yá	
知法犯法	jï fâd fàn fâd	
脂肪	jï föng	
支付	jï fù	
資格	jï gâg	
支解	jï gãi	
資金	jï gämp	
之間	jï gän	
知覺	jï gôg	
知己知彼	jï gẽy jï bẽy	
之下	jï hà	
之後	jï hàw	
知慳識儉	jï hän sëk gìm	精打細算，懂得節儉，會過日子，懂得勤儉節約
支氣管	jï hêy gũn	
支氣管炎	jï hêy gũn yim	
蜘蛛	jï jeü	
蜘蛛網	jï jeü móng	
之際	jï jây	
吱吱叫	jï jï gîu	
支支整整	jï jï jẽnk jẽnk	過份講究打扮
支支吾吾	jï jï ng ng	
知足	jï jök	
知足常樂	jï jök seong lòg	
之中	jï jönk	
姿整	jï jẽnk	講究
知其不可為而為之	jï key bät hõ way yi way jï	
知其一不知其二	jï key yät bät jï key yì	
支流	jï law	
支離	jï ley	
支離破碎	jï ley pô sôy	
資料	jï lìu	
資料庫	jï lìu fû	
支路	jï lòw	
之類	jï lòy	
知唔知	jï m jï	知不知道
芝麻	jï ma	
知無不言	jï mow bät yin	
支脈	jï màk	
之嘛	jï má	而已，罷了
滋味	jï mèy	
知難而退	jï nan yi tôy	
齜牙	jï nga	
齜牙咧嘴	jï nga lẽ jõy	
之外	jï ngòi	
之內	jï nòi	
支派	jï pâi	
支票	jï pîu	
支票簿	jï pîu bòw	
支配	jï pûi	
支承	jï senk	
之上	jï seòng	
知書達禮	jï seü dàd láy	
姿勢	jï sây	
知心	jï sämp	
知心朋友	jï sämp pank yáw	
知心話	jï sämp wã	
知心人	jï sämp yant	
知識	jï sëk	
知悉	jï sëk	
知識青年	jï sëk cënk nin	
知識份子	jï sëk fànt jĩ	
知識化	jï sëk fâ	
知識階級	jï sëk gäi käp	
知識性	jï sëk sênk	
吱聲	jï sënk	
資訊	jï sônt	
之所以	jï sõ yí	
知衰	jï söy	知錯，認錯
芝士	jï sĩ	奶酪，乳酪
支使	jï sĩ	
知死	jï sẽy	後悔莫及，知道利害
姿態	jï tâi	
肢體	jï tãy	
肢體語言	jï tãy yeú yin	
支援	jï wun	
知人知面不知心	jï yant jï mìn bät jï sämp	
資源	jï yeun	
知音	jï yämp	
知恩圖報	jï yänt tow bôw	
滋潤	jï yònt	
擮	jïd	撓，撓癢癢
擮胳肋底	jïd gâg läg dãy	撓胳肢窩，抓腋下
唧筒	jïd tõnk	
尖筆甩	jïm bät lät	尖尖的
沾不上邊	jïm bät seòng bïn	
沾邊	jïm bïn	
占卜	jïm bök	
櫼隊	jïm dõy	加塞兒，插隊
沾花惹草	jïm fä yé cõw	
占卦	jïm guâ	
沾光	jïm guöng	
尖叫	jïm gîu	
沾沾自喜	jïm jïm jì hẽy	
瞻望	jïm mòng	
譫妄	jïm móng	
沾上	jïm seòng	
占筮	jïm sày	
沾手	jïm sãw	
沾濕	jïm säp	
占星	jïm sënk	
沾水	jïm sõy	
沾污	jïm wü	
沾染	jïm yím	
氊	jïn	毯子
煎堆	jïn döy	麻團
羶味	jïn mèy	
煎熬	jïn ngow	
煎pan	jïn pën	平底鍋
招待所	jïu dòi sõ	
朝暉	jïu fäy	
招呼	jïu fü	
招呼唔到	jïu fü m dõw	招待不周
招供	jïu gönk	
招積	jïu jëk	誇耀
朝朝	jïu jïu	每天早上
朝早	jïu jõw	早上，早晨
招徠	jïu loi	
招攬	jïu lám	
朝露	jïu lòw	
焦慮	jïu lòy	
招募	jïu mòw	
朝暮	jïu mòw	
招牌	jïu pai	
蕉皮	jïu pey	香蕉皮
招聘	jïu pênk	
朝頭早	jïu taw jõw	早上，早晨
焦炭	jïu tân	
招魂	jïu want	
招惹	jïu yé	
坐	jò	放
坐低	jò däy	放下
坐喺	jò hãy	放在，擺在
助興	jò hênk	
助紂為虐	jò jàw way yeòg	
助理	jò léy	
坐禪	jò sim	
坐視不理	jò sì bät léy	
座位	jò wày	
助人為樂	jò yant way lòg	
座右銘	jò yàw menk	
作陪	jòg pui	
在乎	jòi fu	
在生	jòi säng	活著，在世
在意	jòi yî	
濁	jòk	嗆
俗不可耐	jòk bät hõ nòi	
濁親	jòk cänt	嗆著了
俗稱	jòk cënk	
逐次	jòk cî	
逐出	jòk cöt	
贖錢	jòk cĩn	找錢，找換
俗到死	jòk dôw sẽy	俗不可耐，俗氣得要命
俗骨	jòk guät	俗氣
逐個	jòk gô	
逐句	jòk gôy	
逐客	jòk hâg	
逐客令	jòk hâg lènk	
俗氣	jòk hêy	
逐項	jòk hòng	
續集	jòk jàb	
逐字	jòk jì	
逐字逐句	jòk jì jòk gôy	
逐漸	jòk jìm	
族群	jòk kuant	
妯娌	jòk léy	
逐年	jòk nin	
軸承	jòk senk	
濁水	jòk sõy	
逐條	jòk tiu	
逐月	jòk yeùd	
俗語	jòk yeú	
俗語話	jòk yeú wà	俗話說
逐日	jòk yàt	
逐一	jòk yät	
族裔	jòk yòy	
撞板	jòng bãn	碰釘子，碰壁
撞車	jòng cë	車禍
撞彩	jòng cõi	碰運氣
狀況	jòng fông	
臟腑	jòng fũ	
撞棍	jòng guânt	騙子
撞見	jòng gîn	碰見
藏族	jòng jòk	
藏族人	jòng jòk yant	
撞蹺	jòng kĩu	碰巧
藏文	jòng mant	
藏獒	jòng ngow	
撞啱	jòng ngäm	碰巧
狀師	jòng sï	律師
狀態	jòng tâi	
藏人	jòng yant	
藏語	jòng yeú	
仲	jònk	還
頌詞	jònk ci	
重大	jònk dài	
頌德	jònk däk	
誦讀	jònk dòk	
重點	jònk dĩm	
仲兼	jònk gïm	還，而且還
頌歌	jònk gö	
仲係	jònk hày	還是
頌讚	jònk jân	
仲唔落雨就弊咯	jònk m lòg yeú jàw bày lôg	再不下雨就糟了
仲未	jònk mèy	還沒
仲未到	jònk mèy dôw	還沒到
仲冇咁嬲	jònk mów gâmp näw	還不如…，與其…不如…
重臣	jònk sant	
仲生	jònk säng	還活著
頌詩	jònk sï	
仲話	jònk wà	還說
頌揚	jònk yeong	
重要	jònk yîu	
重要性	jònk yîu sênk	
盡興	jònt hênk	
盡力	jònt lèk	
盡頭	jònt taw	
盡人皆知	jònt yant gäi jï	
盡人事聽天命	jònt yant sì tënk tïn mènk	
造	jòw	旺季
造	jòw	茬
造幣	jòw bày	
造幣廠	jòw bày cõng	
做把戲	jòw bã hêy	耍把戲
造詞	jòw ci	
造詞法	jòw ci fâd	
造次	jòw cî	
做錯	jòw cô	做錯
做錯嘢	jòw cô yé	做錯事
造出	jòw cöt	
做大戲	jòw dài hêy	演粵劇
做得	jòw däk	能幹
做低	jòw däy	幹掉，搞垮
做電燈膽	jòw dìn dänk dãm	做電燈泡
做到金睛火眼	jòw dôw gämp jënk fõ ngán	忙得不亦樂乎
做到死死吓	jòw dôw sẽy sẽy hã	沒命地幹，累死了
做到嘢	jòw dõw yé	能幹
做冬	jòw dönk	過冬至節
造化	jòw fâ	
做法	jòw fâd	
造反	jòw fãn	
做飛數	jòw fëy sow	做面部美容
造訪	jòw fõng	
造福	jòw fök	
造福人類	jòw fök yant lòy	
做龜公	jòw guäy gönk	當王八，戴綠帽子
造價	jòw gâ	
造假	jòw gã	
做雞	jòw gäy	當妓女，做妓女，做暗娼
做極都唔掂	jòw gèk döw m dìm	怎麼做也做不過來
造句	jòw gôy	
造句法	jòw gôy fâd	
做戲	jòw hêy	演戲
做戲做全套	jòw hêy jòw ceun tôw	演戲演到底，一不做二不休
造就	jòw jàw	
造作	jòw jôg	
造紙	jòw jĩ	
造紙廠	jòw jĩ cõng	
造紙工業	jòw jĩ gönk yìb	
造紙術	jòw jĩ sòt	
造紙業	jòw jĩ yìb	
造橋	jòw kiu	
造橋工程	jòw kiu gönk cenk	
造林	jòw lamp	
做落去	jòw lòg hôy	做下去
做唔切	jòw m cîd	來不及做
做唔到	jòw m dõw	辦不到，做不到
做唔晒	jòw m sâi	做不完
做埋老襯	jòw mai lów cânt	對了親家
造物	jòw màt	
造物主	jòw màt jeũ	
做媽咪	jòw mä mî	當媽媽
做乜	jòw mät	幹嘛，幹什麼
做咩	jòw më	幹嘛，幹什麼
造詣	jòw ngày	
做鴨	jòw ngâb	當男妓，做男妓
做part-time	jòw päg täi	做兼職工作
造成	jòw senk	
造船	jòw seun	
造船廠	jòw seun cõng	
造船工業	jòw seun gönk yìb	
造船業	jòw seun yìb	
造勢	jòw sây	
做散使	jòw sãn sãy	做零用
做手信	jòw sãw sônt	做禮物，送人
做先生	jòw sïn säng	當老師
做數	jòw sôw	做賬，整理賬目
做騷	jòw söw	作秀，表演
造田	jòw tin	
做廳長	jòw tëng jeõng	在客廳睡覺，在客廳過夜，睡地板
造型	jòw yenk	
造謠	jòw yiu	
造謠生事	jòw yiu sänk sì	
造謠惑眾	jòw yiu wàg jônk	
造謠言	jòw yiu yin	
做嘢	jòw yé	幹活，辦事
造孽	jòw yìd	
罪不可赦	jòy bät hõ sê	
罪不容誅	jòy bät yonk jeü	
敘別	jòy bìd	
聚苯乙烯	jòy bũn yeùd hëy	
敘情	jòy cenk	
罪大惡極	jòy dài ôg gèk	
墜地	jòy dèy	
罪魁禍首	jòy füi wò sãw	
聚腳	jòy geôg	聚首
聚腳地	jòy geôg dèy	聚首的地方
敘舊	jòy gàw	
敘家常	jòy gä seong	
墜機	jòy gëy	
罪行	jòy hànk	
聚集	jòy jàb	
墜樓	jòy law	
墜落	jòy lòg	
罪名	jòy menk	
罪惡	jòy ngôg	
敘說	jòy seûd	
敘事	jòy sì	
敘事文	jòy sì mant	
敘事詩	jòy sì sï	
敘事體	jòy sì tãy	
聚酰亞胺	jòy sïn ngâ ön	
