开放粤语词典（粤语拼音字调符调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［粤语拼音］	［国语解释］
喜讯	hẽy sônt	
起诉	hẽy sôw	
起死回生	hẽy sẽy wui sänk	
起头	hẽy taw	起初，最初，开头
囍帖	hẽy tîb	
起镬	hẽy wòg	出锅，上碟，起锅儿
起镬	hẽy wòg	炝锅
喜形于色	hẽy yenk yeü sëk	
喜洋洋	hẽy yeong yeong	
起源	hẽy yeun	
喜悦	hẽy yeùd	
起疑	hẽy yi	
起疑心	hẽy yi sämp	
喜筵	hẽy yin	
岂有	hẽy yáw	
岂有此理	hẽy yáw cĩ léy	
起因	hẽy yänt	
起义	hẽy yì	
喜宴	hẽy yîn	
起用	hẽy yònk	
喜爱	hẽy ôi	
橡皮筋	jeong pey gänt	
着笔	jeòg bät	
着灯	jeòg dänk	开灯
着地	jeòg dèy	
着地点	jeòg dèy dĩm	
着火	jeòg fõ	
着火点	jeòg fõ dĩm	
着慌	jeòg föng	
着急	jeòg gäp	
着重	jeòg jònk	
着凉	jeòg leong	
着力	jeòg lèk	
着力点	jeòg lèk dĩm	
着落	jeòg lòg	
着陆	jeòg lòk	
着迷	jeòg may	
着魔	jeòg mö	
着眼	jeòg ngán	
着眼点	jeòg ngán dĩm	
着想	jeòg seõng	
着手	jeòg sãw	
着手成春	jeòg sãw senk cönt	
着手于	jeòg sãw yeü	
着色	jeòg sëk	
着数	jeòg sôw	好处，便宜，有利，合算
着意	jeòg yî	
象拔	jeòng bàt	象鼻子
象鼻	jeòng bèy	
象鼻虫	jeòng bèy conk	
象笏	jeòng fät	
橡筋	jeòng gänt	橡皮圈，橡皮筋
橡胶	jeòng gäu	
象箸	jeòng jeù	
象征	jeòng jënk	
象征主义	jeòng jënk jeũ yì	
象征性	jeòng jënk sênk	
象棋	jeòng key	
丈母娘	jeòng mów neong	
象牙	jeòng nga	
象牙塔	jeòng nga tâb	
橡树	jeòng seù	
橡实	jeòng sàt	
丈人	jeòng yant	
象形字	jeòng yenk jì	
象形文字	jeòng yenk mant jì	
着	jeôg	穿
酌办	jeôg bàn	
雀斑	jeôg bän	
嚼不烂	jeôg bät làn	
鹊报	jeôg bôw	
鹊巢鸠占	jeôg cau gäw jîm	
酌情	jeôg cenk	
酌情处理	jeôg cenk ceú léy	
雀窦	jeôg dâw	鸟窝
着紧	jeôg gãnt	穿着
着好	jeôg hõw	穿好
灼灼	jeôg jeôg	
雀仔	jeôg jãy	鸟儿，小鸟
雀仔窦	jeôg jãy dâw	鸟窝
着褛	jeôg läw	穿大衣
着名牌	jeôg menk pai	穿名牌
雀屏	jeôg pẽnk	
灼伤	jeôg seöng	
着衫	jeôg säm	穿衣服
爵士	jeôg sì	
爵士音乐	jeôg sì yämp ngòg	
嚼舌	jeôg sîd	
灼烧	jeôg sïu	
灼痛	jeôg tônk	
雀跃	jeôg yeòg	
着鸳鸯袜	jeôg yeün yeöng màt	穿错袜子
灼热	jeôg yìd	
仗	jeông	次，回，趟
将兵	jeông bënk	
帐单	jeông dän	
将校	jeông gâu	
将官	jeông gün	
瘴气	jeông hêy	
帐号	jeông hòw	
将令	jeông lènk	
将领	jeông lénk	
将门虎子	jeông mun fũ jĩ	
帐面	jeông mìn	
障眼法	jeông ngán fâd	
障碍	jeông ngòi	
帐篷	jeông ponk	
将相	jeông seông	
将士	jeông sì	
将帅	jeông sôy	
帐户	jeông wù	
账户	jeông wù	
酱油	jeông yaw	
雀	jeõg	鸟
奖	jeõng	奖励
奖品	jeõng bãnt	
长辈	jeõng bûi	
长大	jeõng dài	
长得	jeõng däk	
奖券	jeõng heûn	
奖学金	jeõng hòg gämp	
长子	jeõng jĩ	
奖励	jeõng lày	
长老	jeõng lów	
桨橹	jeõng lów	
长老教会	jeõng lów gâu wùi	
长老会	jeõng lów wùi	
长满	jeõng mún	
长男	jeõng nam	
长女	jeõng nóy	
掌上压	jeõng seòng âd	俯卧撑，伏地挺身
长相	jeõng seông	
长幼	jeõng yâw	
长幼有序	jeõng yâw yáw jòy	
掌握	jeõng äk	
将	jeöng	把
将次	jeöng cî	
将错就错	jeöng cô jàw cô	
将军	jeöng guänt	
将近	jeöng gànt	
将近	jeöng gànt	快要，快
将计就计	jeöng gây jàw gây	
将功折罪	jeöng gönk jîd jôy	
将功赎罪	jeöng gönk sòk jòy	
张开	jeöng höi	
将就	jeöng jàw	
将来	jeöng loi	
蟑螂	jeöng long	
樟木	jeöng mòk	
樟脑	jeöng nów	
樟树	jeöng seù	
张三李四	jeöng säm léy sêy	
将心比心	jeöng sämp bẽy sämp	
将息	jeöng sëk	
将信将疑	jeöng sônt jeöng yi	
獐头鼠目	jeöng taw seũ mòk	
张贴	jeöng tîb	
章鱼	jeöng yeu	
将养	jeöng yeóng	
将要	jeöng yîu	
住响	jeù heõng	住在
住客	jeù hâg	房客，租客
住喺	jeù hãy	住在
住宅	jeù jàg	
住宅区	jeù jàg köy	
住户	jeù wù	
绝版	jeùd bãn	
绝版书	jeùd bãn seü	
绝不	jeùd bät	
绝笔	jeùd bät	
绝情	jeùd cenk	无情，不够朋友
绝处逢生	jeùd ceû fonk sänk	
绝大部分	jeùd dài bòw fànt	
绝大多数	jeùd dài dö sôw	
绝地	jeùd dèy	
绝代	jeùd dòi	
绝代佳人	jeùd dòi gäi yant	
绝代美女	jeùd dòi méy nóy	
绝对	jeùd dôy	
绝对零度	jeùd dôy lenk dòw	
绝对湿度	jeùd dôy säp dòw	
绝对性	jeùd dôy sênk	
绝对温度	jeùd dôy wänt dòw	
绝对优势	jeùd dôy yäw sây	
绝顶	jeùd dẽnk	
绝顶聪明	jeùd dẽnk cönk menk	
绝非	jeùd fëy	
绝佳	jeùd gäi	
绝交	jeùd gäu	
绝技	jeùd gèy	
绝句	jeùd gôy	
绝境	jeùd gẽnk	
绝响	jeùd heõng	
绝后	jeùd hàw	
绝口	jeùd hãw	
绝口不提	jeùd hãw bät tay	
绝学	jeùd hòg	
绝症	jeùd jênk	
绝迹	jeùd jëk	
绝招	jeùd jïu	
绝种	jeùd jõnk	
绝子绝孙	jeùd jĩ jeùd seün	
绝伦	jeùd lont	
绝路	jeùd lòw	
绝无	jeùd mow	
绝无仅有	jeùd mow gãnt yáw	
绝命	jeùd mènk	
绝命书	jeùd mènk seü	
绝妙	jeùd mìu	
绝望	jeùd mòng	
绝艺	jeùd ngày	
绝配	jeùd pûi	
绝世	jeùd sây	
绝食	jeùd sèk	
绝食抗议	jeùd sèk kông yí	
绝色	jeùd sëk	
绝缘	jeùd yeun	
绝缘材料	jeùd yeun coi lìu	
绝缘物	jeùd yeun màt	
绝缘线	jeùd yeun sîn	
绝缘体	jeùd yeun tãy	
绝热	jeùd yìd	
绝育	jeùd yòk	
绝育法	jeùd yòk fâd	
注册	jeû câg	
著称	jeû cënk	
驻防	jeû fong	
注脚	jeû geôg	
驻军	jeû guänt	
驻紮	jeû jâd	
驻扎	jeû jâd	
着作	jeû jôg	
著作权	jeû jôg keun	
驻足	jeû jök	
驻留	jeû law	
着名	jeû menk	
著名人物	jeû menk yant màt	
蛀牙	jeû nga	
驻颜有术	jeû ngan yáw sòt	
驻外	jeû ngòi	
著书	jeû seü	
著书立说	jeû seü làb seûd	
驻守	jeû sãw	
注射	jeû sè	
著述	jeû sòt	
驻屯	jeû teun	
驻华	jeû wa	
注意	jeû yî	
辍学	jeûd hòg	
茁壮	jeûd jông	
拙劣	jeûd leûd	
啜饮	jeûd yãmp	
啜泣	jeûd yäp	
钻戒	jeûn gâi	
转左	jeûn jõ	左转
钻石	jeûn sèg	
转右	jeûn yàw	右转
珠宝	jeü bõw	
珠宝店	jeü bõw dîm	
珠宝行	jeü bõw hong	
珠宝商	jeü bõw seöng	
猪窦	jeü dâw	猪窝
诸多	jeü dö	
猪脚	jeü geôg	猪蹄子，猪蹄，猪后腿
珠光宝气	jeü guöng bõw hêy	
珠玑	jeü gëy	
猪公	jeü gönk	公猪
猪膏	jeü göw	猪油
朱古力	jeü gü lëk	巧克力
朱古力雪糕	jeü gü lëk seûd göw	巧克力冰淇淋
朱古力新地	jeü gü lëk sänt dẽy	巧克力圣代
诸侯	jeü haw	
诸侯国	jeü haw guôg	
猪红	jeü honk	猪血
猪仔包	jeü jãy bäu	短法国面包
猪踭	jeü jäng	猪肘子，猪蹄膀，猪后腿
猪踭肉	jeü jäng yòk	猪肘子，猪蹄膀，猪后腿
诸子百家	jeü jĩ bâg gä	
珠联璧合	jeü leun bëk hàb	
珠帘	jeü lim	
猪猡	jeü lo	
侏罗纪	jeü lo gẽy	
猪笼入水	jeü lonk yàp sõy	喩钱财从多方面进来
猪脷	jeü lèy	猪舌头，口条
猪唛	jeü mäk	愚蠢，笨
珠母	jeü mów	
猪乸	jeü nã	母猪
猪朋狗友	jeü pank gãw yáw	坏朋友，狐朋狗友
猪扒	jeü pã	猪排
猪扒包	jeü pã bäu	猪排包
猪扒饭	jeü pã fàn	猪排饭
珠蚌	jeü póng	
珠算	jeü seûn	
猪手	jeü sãw	猪前腿
蛛丝马迹	jeü sï má jëk	
侏儒	jeü yeu	
诸如	jeü yeu	
茱萸	jeü yeu	
诸如此类	jeü yeu cĩ lòy	
侏儒症	jeü yeu jênk	
珠圆玉润	jeü yeun yòk yònt	
尊卑	jeün bëy	
尊卑不分	jeün bëy bät fänt	
专情	jeün cenk	
专程	jeün cenk	
专长	jeün ceong	
专唱	jeün ceông	
专辑	jeün cäp	
专车	jeün cë	
尊称	jeün cënk	
专断	jeün deùn	
专登	jeün dänk	故意，特意，刻意
砖块	jeün fâi	
专访	jeün fõng	
专科	jeün fö	
专科学校	jeün fö hòg hàu	
专柜	jeün guày	
尊贵	jeün guây	
尊驾	jeün gâ	
专家	jeün gä	
尊敬	jeün gênk	
专机	jeün gëy	
专攻	jeün gönk	
专向	jeün heông	
专校	jeün hàu	
专刊	jeün hõn	
专著	jeün jeû	
专注	jeün jeû	
专制	jeün jây	
专政	jeün jênk	
专职	jeün jëk	
专职人员	jeün jëk yant yeun	
专精	jeün jënk	
专治	jeün jì	
尊重	jeün jònk	
专权	jeün keun	
专区	jeün köy	
专栏	jeün lan	
专栏作家	jeün lan jôg gä	
专利	jeün lèy	
专利品	jeün lèy bãnt	
专利法	jeün lèy fâd	
专利权	jeün lèy keun	
专利税	jeün lèy sôy	
专文	jeün mant	
专名	jeün menk	
专门	jeün mun	
专门化	jeün mun fâ	
专门知识	jeün mun jï sëk	
专卖	jeün mài	
专卖店	jeün mài dîm	
尊命	jeün mènk	
专书	jeün seü	
尊崇	jeün sonk	
专心	jeün sämp	
专心一意	jeün sämp yät yî	
专修	jeün säw	
尊姓大名	jeün sênk dài menk	
专线	jeün sîn	
专线电话	jeün sîn dìn wã	
专司	jeün sï	
尊师	jeün sï	
尊师重道	jeün sï jònk dòw	
专属	jeün sòk	
砖头	jeün taw	
专题	jeün tay	
专题报告	jeün tay bôw gôw	
专题研究	jeün tay yin gâw	
专同…拗颈	jeün tonk ngâu gẽng	专门跟…抬杠
专为	jeün way	
尊荣	jeün wenk	
尊位	jeün wày	
专营	jeün yenk	
鳟鱼	jeün yeu	
专员	jeün yeun	
尊严	jeün yim	
专任	jeün yàmp	
专有	jeün yáw	
专有名词	jeün yáw menk ci	
专一	jeün yät	
专业	jeün yìb	
专业化	jeün yìb fâ	
专业教育	jeün yìb gâu yòk	
专业精神	jeün yìb jënk sant	
专业知识	jeün yìb jï sëk	
专业组织	jeün yìb jõw jëk	
专业性	jeün yìb sênk	
专业人士	jeün yìb yant sì	
专用	jeün yònk	
专用品	jeün yònk bãnt	
颛顼	jeün yök	
专案	jeün ôn	
专案处理	jeün ôn ceú léy	
专案小组	jeün ôn sĩu jõw	
主仆	jeũ bòk	
主仆关系	jeũ bòk guän hày	
主播	jeũ bô	
主场	jeũ ceong	
主厨	jeũ ceu	
主唱	jeũ ceông	
主持	jeũ ci	
主持正义	jeũ ci jênk yì	
主持人	jeũ ci yant	
主从	jeũ conk	
主从关系	jeũ conk guän hày	
主动	jeũ dònk	
主动权	jeũ dònk keun	
主动脉	jeũ dònk màk	
煮到埋嚟先食	jeũ dõw mai ley sïn sèk	吃现成儿，不到时候不着急
主帆	jeũ fan	
煮饭	jeũ fàn	
煮饭	jeũ fàn	做饭
煮饭仔	jeũ fàn jãy	过家家
煮沸	jeũ fây	
主犯	jeũ fãn	
主峰	jeũ fönk	
主妇	jeũ fú	
煮咖啡	jeũ gâ fë	
主机	jeũ gëy	
主机板	jeũ gëy bãn	
主角	jeũ gôg	
主句	jeũ gôy	
主观	jeũ gün	
主张	jeũ jeöng	
主席	jeũ jèk	
主席台	jeũ jèk toi	
主治	jeũ jì	
主治医生	jeũ jì yï sänk	
主宰	jeũ jõi	
主宰权	jeũ jõi keun	
主旨	jeũ jĩ	
主权	jeũ keun	
主权国	jeũ keun guôg	
主权国家	jeũ keun guôg gä	
主权在民	jeũ keun jòi mant	
主流	jeũ law	
主流派	jeũ law pâi	
主流社会	jeũ law sé wùi	
主力	jeũ lèk	
主力军	jeũ lèk guänt	
煮燶饭	jeũ lönk fàn	煮煳了饭
主旋律	jeũ seun lòt	
主修	jeũ säw	
主修科目	jeũ säw fö mòk	
煮食	jeũ sèk	煮饭吃
煮餸	jeũ sônk	做菜
主帅	jeũ sôy	
主使	jeũ sĩ	
主题	jeũ tay	
主人	jeũ yant	
主人公	jeũ yant gönk	
主人翁	jeũ yant yönk	
主嫌	jeũ yim	
主任	jeũ yàmp	
主因	jeũ yänt	
主页	jeũ yìb	
主意	jeũ yî	
主要	jeũ yîu	
主演	jeũ yĩn	
转败为胜	jeũn bài way sênk	
转变	jeũn bîn	
转播	jeũn bô	
转车	jeũn cë	
转发	jeũn fâd	
转寄	jeũn gêy	
传记	jeũn gêy	
转角	jeũn gôg	
转角处	jeũn gôg ceû	
转行	jeũn hong	转业，改行
转吓眼	jeũn há ngán	一转眼
转帐	jeũn jeông	
转赠	jeũn jànk	
转战	jeũn jîn	
转载	jeũn jôi	
转租	jeũn jöw	
转捩点	jeũn lìd dĩm	
转卖	jeũn mài	
转眼	jeũn ngán	
转眼间	jeũn ngán gän	
转眼之间	jeũn ngán jï gän	
转念	jeũn nìm	
转念之间	jeũn nìm jï gän	
转身	jeũn sänt	
转述	jeũn sòt	
转送	jeũn sônk	
转瞬	jeũn sônt	
转头	jeũn taw	回头，一会儿，回头再
转头见	jeũn taw gîn	回头见
转头嚟过	jeũn taw ley guô	回头再来
转軚	jeũn tái	改变立场
转弯	jeũn wän	
转弯抹角	jeũn wän mûd gôg	
转祸为福	jeũn wò way fök	
转换	jeũn wùn	
转换器	jeũn wùn hêy	
转让	jeũn yeòng	
转移	jeũn yi	
拃	jà	把
杂	jàb	荤的，荤食
闸	jàb	栅栏，门，剪票口
杂菜	jàb côi	荤菜
杂草	jàb cõw	
杂肥	jàb fey	
杂费	jàb fây	
杂货	jàb fô	
杂货店	jàb fô dîm	
杂货铺	jàb fô põw	杂货店，副食店
习惯	jàb guân	
钑骨	jàb guät	锁边
什锦	jàb gãmp	
什锦炒面	jàb gãmp cãu mìn	
什锦菜	jàb gãmp côi	
什锦面	jàb gãmp mìn	
杂交	jàb gäu	
杂技	jàb gèy	
杂技表演	jàb gèy bũi yĩn	
杂技场	jàb gèy ceong	
杂技团	jàb gèy teun	
杂记	jàb gêy	
袭击	jàb gëk	
集结	jàb gîd	
集合	jàb hàb	
闸口	jàb hãw	剪票口
杂项	jàb hòng	
闸住	jàb jeù	住口，打住，别说，停止
闸住把口	jàb jeù bã hãw	住口
习字	jàb jì	
习字帖	jàb jì tîb	
杂志	jàb jî	
杂志社	jàb jî sé	
习俗	jàb jòk	
杂种	jàb jõnk	
杂种狗	jàb jõnk gãw	
集中	jàb jönk	
杂粮	jàb leong	
杂乱	jàb leùn	
闸门	jàb mun	
杂物	jàb màt	
杂唛	jàb mäk	杂牌，杂牌儿
杂务	jàb mòw	
杂念	jàb nìm	
杂树林	jàb seù lamp	
杂耍	jàb sã	
习性	jàb sênk	
杂事	jàb sì	
杂事缠身	jàb sì cin sänt	
杂税	jàb sôy	
习题	jàb tay	
集团	jàb teun	
集体	jàb tãy	
杂烩	jàb wùi	
集邮	jàb yaw	
杂音	jàb yämp	
杂役	jàb yèk	
集腋成裘	jàb yèk senk kaw	
习以为常	jàb yí way seong	
摘	jàg	采
宅第	jàg dày	
踯躅	jàg jòk	
择使	jàg sãy	麻烦，难办，伤脑筋，不好使用
择食	jàg sèk	偏食，挑吃
錾刀	jàm döw	
站岗	jàm göng	
站立	jàm làb	
暂时	jàm si	
暂停	jàm tenk	
站台	jàm toi	
沉	jàmp	淹，溺
朕	jàmp	股，阵
鸩酒	jàmp jãw	
沉死	jàmp sẽy	淹死，溺死
赚钱	jàn cĩn	
撰稿	jàn gõw	
撰稿人	jàn gõw yant	
绽开	jàn höi	
撰著	jàn jeû	
撰序	jàn jòy	
赚唔到钱	jàn m dõw cĩn	赚不了钱
撰文	jàn mant	
撰书	jàn seü	
撰述	jàn sòt	
撰写	jàn sẽ	
撰拟	jàn yí	
挣	jàng	塞，挤
挣满晒	jàng mún sâi	塞满了
赠品	jànk bãnt	
赠券	jànk heûn	
赠庆	jànk hênk	凑热闹，道贺
阵间	jànt gän	一会，一会儿，等一会儿
阵间先讲	jànt gän sïn gõng	一会再说吧
阵间会讲	jànt gän wúi gõng	等一会儿会说
阵雨	jànt yeú	
侄	jàt	侄子，侄儿
窒	jàt	害怕，恐慌
疾病	jàt bèng	
疾驰	jàt ci	
蛰虫	jàt conk	
嫉妒	jàt dôw	
蛰伏	jàt fòk	
疾风	jàt fönk	
疾风知劲草	jàt fönk jï gènk cõw	
疾风迅雷	jàt fönk sônt loy	
疾呼	jàt fü	
窒脚	jàt geôg	走路时突然停一下
桎梏	jàt gök	
蛰居	jàt göy	
窒口窒舌	jàt hãw jàt sìd	结结巴巴，语无伦次
窒住	jàt jeù	停住，突然停止
疾走	jàt jãw	
侄仔	jàt jãy	侄子，侄儿
疾雷	jàt loy	
疾书	jàt seü	
窒手	jàt sãw	缩手，突然停手
侄心抱	jàt sämp pów	侄媳妇
窒息	jàt sëk	
窒人	jàt yant	损人
疾言厉色	jàt yin lày sëk	
嫉恶如仇	jàt ôg yeu saw	
棹忌	jàu gèy	忌，忌讳
就	jàw	将要
就	jàw	迁就
就寝	jàw cãmp	
就脚	jàw geôg	方便
就假嘅	jàw gã gê	才怪呢
就噉啦	jàw gãmp lä	就这样吧
就系	jàw hày	就是
就系讲	jàw hày gõng	就是说
就吓佢	jàw há kóy	迁就他一下
袖口	jàw hãw	
就嚟	jàw ley	快，快要，就快
就算	jàw seûn	即使，就算
就手	jàw sãw	顺利
骤雨	jàw yeú	
骤然	jàw yin	
就业	jàw yìb	
滞	jày	难消化
制裁	jày coi	
滞口	jày hãw	胃口不好
滞留	jày law	
咋	jâ	…而已呀
诈	jâ	装，假装，佯装
诈病	jâ bèng	装病
榨菜	jâ côi	
榨取	jâ cõy	
诈谛	jâ dây	装蒜，假装，装作
炸弹	jâ dãn	
乍得	jâ däk	
诈癫扮傻	jâ dïn bàn so	装疯卖傻，假装糊涂，装傻充愣
诈癫卖戆	jâ dïn mài ngòng	装疯卖傻
诈瞓	jâ fânt	假装睡着了
诈假意	jâ gä yï	假装，佯做，闹着玩，假意做
诈奸	jâ gän	耍奸，耍滑，耍赖
炸鸡	jâ gäy	
炸鸡肉	jâ gäy yòk	
诈娇	jâ gïu	撒娇
诈娇弄嗲	jâ gïu lònk dẽ	撒娇
榨干	jâ gön	
乍看之下	jâ hôn jï hà	
炸酱面	jâ jeông mìn	
诈诈谛谛	jâ jâ dây dây	装模装样
榨汁	jâ jäp	
榨汁机	jâ jäp gëy	
诈聋扮哑	jâ lonk bàn ngã	装聋作哑
炸烂	jâ làn	
炸裂	jâ lìd	
诈唔知	jâ m jï	假装不知道
蚱蜢	jâ máng	
诈妈娇	jâ mä gïu	撒娇
炸面	jâ mìn	油条
诈懵	jâ mõnk	装糊涂
诈呆诈吽	jâ ngoi jâ ngàw	装傻，装愚笨
诈戆	jâ ngòng	装傻
诈骗	jâ pîn	
炸破	jâ pô	
炸伤	jâ seöng	
诈傻	jâ so	装傻，装糊涂，装疯卖傻
诈傻扮懵	jâ so bàn mõnk	装疯卖傻，装糊涂，扮傻
炸碎	jâ sôy	
炸粟米	jâ sök máy	爆米花
诈死	jâ sẽy	装死
炸死	jâ sẽy	
乍听之下	jâ tënk jï hà	
炸毁	jâ wãy	
榨油	jâ yaw	
榨油机	jâ yaw gëy	
诈型	jâ yenk	摆架子，装腔作势，自高自大
炸药	jâ yeòg	
乍雨乍晴	jâ yeú jâ cenk	
诈耳聋	jâ yí lonk	装聋作哑
匝道	jâb dòw	
咂嘴	jâb jõy	
眨眼	jâb ngán	
砸坏	jâb wài	
紮	jâd	束
铡草	jâd cõw	
铡刀	jâd döw	
扎根	jâd gänt	
扎扎跳	jâd jâd tîu	活蹦乱跳
拶指	jâd jĩ	
扎马	jâd má	扎马步，站好马步，准备打架
扎孖辫	jâd mä bïn	扎着双辫
扎破	jâd pô	
扎实	jâd sàt	
扎醒	jâd sẽng	惊醒
责	jâg	压
窄	jâg	狭窄
责备	jâg bèy	
责怪	jâg guâi	
责住	jâg jeù	压着
责令	jâg lènk	
责无旁贷	jâg mow pong tâi	
责骂	jâg mà	
责问	jâg mànt	
窄搣搣	jâg mìd mìd	窄窄的，紧紧的
责难	jâg nàn	
责实啲	jâg sàt dï	压紧一点
责死	jâg sẽy	压死
责任	jâg yàmp	
责任感	jâg yàmp gãmp	
责任心	jâg yàmp sämp	
债款	jâi fũn	
债券	jâi heûn	
债主	jâi jeũ	
债权	jâi keun	
债权国	jâi keun guôg	
债权人	jâi keun yant	
债务	jâi mòw	
债务国	jâi mòw guôg	
债务人	jâi mòw yant	
债台高筑	jâi toi göw jök	
债户	jâi wù	
湛蓝	jâm lam	
赞美	jâm méy	
浸	jâmp	泡
浸礼	jâmp láy	
浸泡	jâmp pâu	
浸湿	jâmp säp	
浸信会	jâmp sônt wùi	
浸水	jâmp sõy	
浸透	jâmp tâw	
浸入	jâmp yàp	
浸染	jâmp yím	
赞	jân	称赞，夸奖，表扬
赞助	jân jò	
赞颂	jân jônk	
赞美	jân méy	
赞成	jân senk	
赞扬	jân yeong	
震	jânt	发抖，哆嗦，颤动
镇定	jânt dènk	
赈款	jânt fũn	
震撼	jânt hàmp	
振兴	jânt hënk	
赈济	jânt jây	
镇静	jânt jènk	
震颤	jânt jîn	
赈灾	jânt jöi	
振聋发聩	jânt lonk fâd kũi	
震慑	jânt sîb	
罩袍	jâu pow	
罩衣	jâu yï	
奏效	jâw hàu	
奏捷	jâw jìd	
皱眉	jâw mey	
奏乐	jâw ngòg	
咒语	jâw yeú	
昼夜	jâw yè	
制	jây	限制
掣	jây	电钮，开关
制	jây	愿意
制得过	jây däk guô	划得来
制度	jây dòw	
掣住架车	jây jeù gâ cë	把车刹住
祭祀	jây jì	
制造	jây jòw	
制作	jây jôg	
祭祖	jây jõw	
制唔过	jây m guô	划不来
制唔制	jây m jây	愿不愿意
济贫	jây pant	
制水	jây sõy	自来水定时供应，限制供水，定量供水
际遇	jây yeù	
鲊	jã	质量差，水平低
渣	jã	渣滓，残渣，碎渣
鲊斗	jã dãw	质量差，水平低
鲊皮	jã pey	质量差，水平低
斩	jãm	砍
斩吓眼	jãm há ngán	一眨眼
斩吓眼就…	jãm há ngán jàw	一眨眼就…
崭露头角	jãm lòw taw gôg	
斩眼	jãm ngán	眨眼
斩伤	jãm seöng	砍伤
斩树	jãm seù	砍树
崭新	jãm sänt	
斩头	jãm tãw	砍头，斩首
斩头鬼	jãm tãw guãy	该死的
枕	jãmp	茧子，趼子，老茧
枕长	jãmp ceong	经常，长期
枕住	jãmp jeù	经常，长期
怎么	jãmp mö	
枕头	jãmp taw	
枕头包	jãmp taw bäu	方面包
枕头袋	jãmp taw dõi	枕头套
枕头肉	jãmp taw yòk	枕芯，枕头芯子
枕肉	jãmp yòk	枕心儿
盏	jãn	好，棒，妥当，惬意，写意，有意思
趱	jãn	走，赶，颤动，跳动，催促
赚	jãn	徒劳，白白地，徒然，白费
攒钱	jãn cin	
赚得	jãn däk	空有，徒然，只落得
赚得个	jãn däk gô	空有，只落得，只能得到
盏鬼	jãn guãy	好，美好，美妙，有趣，好玩，有意思
赚搅	jãn gãu	白忙活，白干，徒劳
趱行	jãn hank	
赚做	jãn jòw	白干一场
赚嘥气	jãn säi hêy	白费劲，白费力气，白费口舌，白搭
赚衰	jãn söy	自找倒霉
盏嘢	jãn yé	好东西
轸宿	jãnt sâw	
诊所	jãnt sõ	
轸怀	jãnt wai	
抓	jãu	缠绕，捆扎，捆绑
找碴	jãu ca	
找茬	jãu ca	
找钱	jãu cin	
抓住	jãu jeù	捆着
找赎	jãu jòk	找钱，找换
抓实	jãu sàt	捆好
找数	jãu sôw	找钱
找换	jãu wùn	兑换
找换外币	jãu wùn ngòi bày	兑换外币
走	jãw	跑
走	jãw	不加
酒吧	jãw bä	
走笔疾书	jãw bät jàt seü	
走宝	jãw bõw	吃亏
酒保	jãw bõw	
酒杯	jãw büi	
酒埕	jãw cenk	酒坛
酒池肉林	jãw ci yòk lamp	
酒钱	jãw cin	
酒菜	jãw côi	
走出去	jãw cöt hôy	跑出去
走出嚟	jãw cöt ley	跑出来
走蛋	jãw dãn	不加鸡蛋，不加蛋
走得	jãw däk	可以走
走得几快吖	jãw däk gẽy fâi â	能跑多快呀？
走趯	jãw dêg	走动，跑腿，奔波
走电	jãw dìn	跑电，漏电
酒店	jãw dîm	
走都走唔切	jãw döw jãw m cîd	逃跑也来不及了
酒逢知己千杯少	jãw fonk jï gẽy cïn büi sĩu	
走埠	jãw fàw	走江湖
走法律罅	jãw fâd lòt lâ	鑽法律空子
走粉	jãw fãnt	走私白粉，走私海洛因
走火入魔	jãw fõ yàp mö	
酒鬼	jãw guãy	
走过嚟	jãw guô ley	跑过来
酒过三巡	jãw guô sâm cont	
走鸡	jãw gäy	吃亏，错过机会
酒馆	jãw gũn	
酒酣耳热	jãw hamp yí yìd	
酒后	jãw hàw	
走后门	jãw hàw mun	
酒后失态	jãw hàw sät tâi	
酒后失言	jãw hàw sät yin	
酒后吐真言	jãw hàw tôw jänt yin	
酒兴	jãw hênk	
酒气	jãw hêy	
酒气熏人	jãw hêy fänt yant	
走去	jãw hôy	跑去
走好运	jãw hõw wànt	
走开	jãw höi	
走趱	jãw jãn	回旋，周转，松动
酒精	jãw jënk	
酒精中毒	jãw jënk jônk dòk	
走资派	jãw jï pâi	
酒醉	jãw jôy	
酒足饭饱	jãw jök fàn bãu	
酒盅	jãw jönk	
走禽	jãw kamp	
酒楼	jãw law	
酒量	jãw leòng	
酒帘	jãw lim	
走廊	jãw long	
走漏	jãw làw	
走漏风声	jãw làw fönk sënk	
走漏消息	jãw làw sïu sëk	
走甩	jãw lät	逃脱
走甩咗	jãw lät jõ	逃脱了，跑掉了
酒令	jãw lènk	
走路	jãw lõw	逃亡，逃跑
走唔切	jãw m cîd	跑不掉，走不掉
走唔起	jãw m hẽy	跑不动，跑不快
走唔甩	jãw m lät	逃不掉，跑不掉
走埋嚟	jãw mai ley	撞过来
走马灯	jãw má dänk	
走马看花	jãw má hôn fä	
走难	jãw nàn	逃难
酒凹	jãw näp	酒窝，笑靥
酒牌	jãw pai	经营酒类生意的执照
酒神	jãw sant	
走兽	jãw sâw	
走散	jãw sãn	
酒色	jãw sëk	
酒色财气	jãw sëk coi hêy	
酒色之徒	jãw sëk jï tow	
