開放粵語詞典（耶魯拼音數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［耶魯拼音］	［國語解釋］
落大雨	lok9 daai6 yu5	下大雨
落單	lok9 daan1	下定單
落得一場空	lok9 dak7 yat7 cheung4 hung1	
落地	lok9 dei6	
落地窗	lok9 dei6 cheung1	
落地生根	lok9 dei6 sang1 gan1	
落地扇	lok9 dei6 sin3	
落定	lok9 deng6	下定金，給定錢，交定錢
落袋	lok9 doi2	放進口袋裡
落袋	lok9 doi2	進帳，進了腰包
落毒	lok9 duk9	下毒
落毒	lok9 duk9	下毒
落藥	lok9 duk9	下毒藥
落花流水	lok9 fa1 lau4 seui2	
落飛機	lok9 fei1 gei1	下飛機
落肥	lok9 fei4	施肥
落荒而逃	lok9 fong1 yi4 tou4	
落街	lok9 gaai1	到街上，外出
落更	lok9 gaang1	下班
落機	lok9 gei1	下飛機
落腳	lok9 geuk8	
落腳	lok9 geuk8	停留下來
落腳處	lok9 geuk8 chyu3	
樂極生悲	lok9 gik9 sang1 bei1	
樂觀	lok9 gun1	
樂觀主義	lok9 gun1 jyu2 yi6	
落客	lok9 haak8	讓乘客下車
樂合彩	lok9 hap9 choi2	
落口供	lok9 hau2 gung1	錄口供，問話，錄取供詞
落後	lok9 hau6	
落去	lok9 heui3	下去
落鄉	lok9 heung1	下鄉
落空	lok9 hung1	
落井下石	lok9 jing2 ha6 sek9	
樂在其中	lok9 joi6 kei4 jung1	
落妝	lok9 jong1	卸妝
落注	lok9 jyu3	下注
落注	lok9 jyu3	下賭注
落樓	lok9 lau2	下樓
落嚟	lok9 lei4	下來
落淚	lok9 leui6	
落力	lok9 lik9	賣力，努力，認真，賣力氣，賣勁兒
落蚊帳	lok9 man1 jeung3	把蚊帳掛起來
落臉	lok9 min2	丟臉
落面	lok9 min2	丟臉
落寞	lok9 mok9	
落幕	lok9 mok9	
落網	lok9 mong5	
落伍	lok9 ng5	
落實	lok9 sat9	
落手	lok9 sau2	下手
落手落腳	lok9 sau2 lok9 geuk8	親自動手
落石級	lok9 sek9 kap7	下台階
落水	lok9 seui2	
落水狗	lok9 seui2 gau2	
樂善好施	lok9 sin6 hou3 si1	
落剩	lok9 sing6	剩下
落選	lok9 syun2	
落船	lok9 syun4	上船
落雪	lok9 syut8	下雪
落雪珠	lok9 syut8 jyu1	下冰雹，下雹子
落雪水	lok9 syut8 seui2	下很冷的小雨
樂透	lok9 tau3	
樂透彩	lok9 tau3 choi2	
樂天	lok9 tin1	
樂天知命	lok9 tin1 ji1 ming6	
樂天派	lok9 tin1 paai3	
落台	lok9 toi4	下台
落湯雞	lok9 tong1 gai1	
落堂	lok9 tong4	下課
落畫	lok9 wa2	結束放映
落戶	lok9 wu6	
落日	lok9 yat9	
樂意	lok9 yi3	
樂而不淫	lok9 yi4 bat7 yam4	
樂而忘返	lok9 yi4 mong4 faan2	
樂而忘形	lok9 yi4 mong4 ying4	
樂以忘憂	lok9 yi5 mong4 yau1	
落葉	lok9 yip9	
落葉歸根	lok9 yip9 gwai1 gan1	
落葉喬木	lok9 yip9 kiu4 muk9	
落葉樹	lok9 yip9 syu6	
樂於	lok9 yu1	
樂於助人	lok9 yu1 jo6 yan4	
落雨	lok9 yu5	下雨
落雨溦	lok9 yu5 mei1	下毛毛雨
落雨濕濕	lok9 yu5 sap7 sap7	下雨路滑
落雨絲濕	lok9 yu5 si1 sap7	下雨路滑
啷	long2	涮洗，涮
啷口	long2 hau2	漱口
啷口盅	long2 hau2 jung1	漱口杯
狼	long4	狠，兇，兇猛
狼狽	long4 bui3	
鋃鐺	long4 dong1	
莨菪	long4 dong6	
狼獾	long4 fun1	
郎君	long4 gwan1	
狼藉	long4 jik9	
狼命	long4 meng6	狠，兇，兇猛
狼忙	long4 mong4	匆忙，急忙
狼吞虎嚥	long4 tan1 fu2 yin3	
榔頭	long4 tau4	
狼胎	long4 toi1	狠，兇，不要命
朗讀	long5 duk9	
朗誦	long5 jung6	
浪	long6	襠
浪費	long6 fai3	
晾乾	long6 gon1	
浪琴錶	long6 kam4 biu1	
浪漫	long6 maan6	
晾曬	long6 saai3	
晾衫架	long6 saam1 ga2	晾衣架
浪濤	long6 tou4	
晾衣服	long6 yi1 fuk9	
撈	lou1	混日子，混
撈	lou1	混，攪，拌，混合，合，搞到一起
撈本	lou1 bun2	
撈到風生水起	lou1 dou3 fung1 saang1 seui2 hei2	混得很好
撈飯	lou1 faan6	拌飯，泡飯
撈家	lou1 ga1	老油子，慣家，流氓
撈靜水	lou1 jing6 seui2	池獨門兒
撈亂咗	lou1 lyun6 jo2	弄亂了
撈麵	lou1 min6	拌麵，乾麵
撈拿	lou1 na4	滑旱冰
撈女	lou1 neui2	女流氓，妓女，暗娼
撈世界	lou1 sai3 gaai3	混日子，謀生，混事，闖江湖
撈一票	lou1 yat7 piu3	
佬	lou2	男人，漢子，…人，…子
驢	lou4	驢子
牢不可破	lou4 bat7 ho2 po3	
癆病	lou4 beng6	
勞保	lou4 bou2	
嘮嘈	lou4 chou4	說話聲音大
顱頂骨	lou4 ding2 gwat7	
嘮叨	lou4 dou1	
勞動	lou4 dung6	
勞動保險	lou4 dung6 bou2 him2	
勞動保護	lou4 dung6 bou2 wu6	
勞動產品	lou4 dung6 chaan2 ban2	
勞動法	lou4 dung6 faat8	
勞動者	lou4 dung6 je2	
勞動節	lou4 dung6 jit8	
勞動模範	lou4 dung6 mou4 faan6	
勞動生產	lou4 dung6 sang1 chaan2	
勞動生產率	lou4 dung6 sang1 chaan2 leut9	
勞動生產力	lou4 dung6 sang1 chaan2 lik9	
勞動條件	lou4 dung6 tiu4 gin6	
勞方	lou4 fong1	
牢房	lou4 fong4	
勞苦	lou4 fu2	
牢記	lou4 gei3	
牢記在心	lou4 gei3 joi6 sam1	
勞改	lou4 goi2	
勞改營	lou4 goi2 ying4	
牢固	lou4 gu3	
勞工	lou4 gung1	
顱骨	lou4 gwat7	
勞氣	lou4 hei3	動怒，生氣，動氣
勞氣	lou4 hei3	費話，多說話，白費唇舌，費神
勞資	lou4 ji1	
爐竈	lou4 jou3	
牢靠	lou4 kaau3	
勞累	lou4 leui6	
勞力士錶	lou4 lik9 si6 biu1	
臚列	lou4 lit9	
勞碌	lou4 luk7	
勞模	lou4 mou4	
勞心者治人	lou4 sam1 je2 ji6 yan4	
勞心者治人，勞力者治於人	lou4 sam1 je2 ji6 yan4 lou4 lik9 je2 ji6 yu1 yan4	
牢騷	lou4 sou1	
蘆薈	lou4 wai3	
蘆葦	lou4 wai5	
勞役	lou4 yik9	
勞役地租	lou4 yik9 dei6 jou1	
勞燕分飛	lou4 yin3 fan1 fei1	
鱸魚	lou4 yu4	
牢獄	lou4 yuk9	
老百姓	lou5 baak8 sing3	
老闆	lou5 baan2	
老闆娘	lou5 baan2 neung4	
老表	lou5 biu2	表親
老鴇	lou5 bou2	
老僕	lou5 buk9	
老襯	lou5 chan3	傻瓜，笨
老抽	lou5 chau1	濃醬油
老千	lou5 chin1	騙子
老前輩	lou5 chin4 bui3	
滷菜	lou5 choi3	
滷蛋	lou5 daan6	
老豆	lou5 dau6	父親，爸爸，爹
老豆老母	lou5 dau6 lou5 mou2	爹媽，爸爸媽媽，爸媽，父母
老爹	lou5 de1	
老點	lou5 dim2	作弄，胡吹，瞎騙
老頂	lou5 ding2	老闆，上司
老頂	lou5 ding2	老闆，上司，最高層人員
老定	lou5 ding6	鎮定，冷靜，沉住氣
老調重彈	lou5 diu6 chung4 taan4	
老到巢皮咪孟	lou5 dou3 chaau4 pei4 mi1 mang1	老得皮膚皺皺的
擄奪	lou5 dyut9	
老番	lou5 faan1	洋鬼子，老外
老番冬	lou5 faan1 dung1	聖誕節
老番涼茶	lou5 faan1 leung4 cha4	啤酒
老番睇榜第一	lou5 faan1 tai2 bong2 dai6 jat7	倒數第一，最後一名
老虎	lou5 fu2	
老虎公	lou5 fu2 gung1	公老虎
老虎仔	lou5 fu2 jai2	小老虎
老虎乸	lou5 fu2 na2	母老虎
滷雞肉	lou5 gai1 yuk9	
老薑	lou5 geung1	
老公仔	lou5 gung1 jai2	對年輕丈夫或男朋友的暱稱
魯凱族	lou5 hoi2 juk9	
老行專	lou5 hong4 jyun1	專家
滷製	lou5 jai3	
滷汁	lou5 jap7	
老積	lou5 jik7	老成，老氣，老到，老練，老氣橫秋的
老積仔	lou5 jik7 jai2	老成的少年
老祖	lou5 jou2	祖先
老宗	lou5 jung1	本家
老驥伏櫪	lou5 kei3 fuk9 lik7	
擄掠	lou5 leuk9	
姥姥	lou5 lou5	
鹵味	lou5 mei2	醬肉，滷肉
滷味	lou5 mei6	
滷麵	lou5 min6	
魯莽	lou5 mong4	
鹵莽	lou5 mong4	
魯莽行事	lou5 mong4 hang4 si6	
老母	lou5 mou2	母親，媽媽，媽
老衲	lou5 naap9	
老泥	lou5 nai4	汗垢
老朋友	lou5 pang4 yau5	
老編	lou5 pin1	編輯
老婆仔	lou5 po4 jai2	老婆
老細	lou5 sai3	老闆
老實講句	lou5 sat9 gong2 geui3	老實說
老死	lou5 sei2	
老死	lou5 sei2	老友，死黨
老死不相往來	lou5 sei2 bat7 seung1 wong5 loi4	
滷水	lou5 seui2	
鹵水	lou5 seui2	
老師	lou5 si1	
鹵素	lou5 sou3	
老鼠	lou5 syu2	
老鼠貨	lou5 syu2 fo3	賊贓
老鼠拉龜	lou5 syu2 laai1 gwai1	無計可施
老鼠窿	lou5 syu2 lung1	老鼠洞
老土	lou5 tou2	土氣，過時，不時髦，不入時，不合時宜
老撾	lou5 wo1	
老人癡呆	lou5 yan4 chi1 ngoi4	
老友	lou5 yau5	老友，老朋友
老友記	lou5 yau5 gei3	老朋友，老兄，老相識
老爺車	lou5 ye4 che1	舊車，舊式的車
老嘢	lou5 ye5	老傢伙，老東西
老而不	lou5 yi4 bat7	老不正經，老而不死，老王八蛋
老鷹	lou5 ying1	
老嫗	lou5 yu2	
魯魚亥豕	lou5 yu4 hoi6 chi2	
滷肉	lou5 yuk9	
滷肉飯	lou5 yuk9 faan6	
老翁	lou5 yung1	
路不拾遺	lou6 bat7 sap9 wai4	
路邊	lou6 bin1	
路邊攤	lou6 bin1 taan1	
露出	lou6 cheut7	
路程	lou6 ching4	
路燈	lou6 dang1	
路況	lou6 fong3	
勞軍	lou6 gwan1	
路過	lou6 gwo3	
路障	lou6 jeung3	
澇災	lou6 joi1	
路面	lou6 min6	
路牌	lou6 paai4	
露水	lou6 seui2	
路上	lou6 seung6	
路線	lou6 sin3	
路線圖	lou6 sin3 tou4	
路數	lou6 sou3	門路，路子，法子，機會
露台	lou6 toi4	陽台
路途	lou6 tou4	
路人	lou6 yan4	
路人皆知	lou6 yan4 gaai1 ji1	
路遙知馬力	lou6 yiu4 ji1 ma5 lik9	
路遙知馬力，日久見人心	lou6 yiu4 ji1 ma5 lik9 yat9 gau2 gin3 yan4 sam1	
轆	luk7	滾
轆	luk7	軲轆，輪子
碌大眼	luk7 daai6 ngaan5	睜大雙眼
碌地	luk7 dei2	在地上打滾
碌地沙	luk7 dei6 sa1	在地上打滾
碌架床	luk7 ga2 chong4	雙層床，架子床
轆咗落嚟	luk7 jo2 lok9 lei4	滾了下來
轆咭	luk7 kat7	刷卡
轆轤	luk7 lou4	
碌碌	luk7 luk7	
碌碌半生	luk7 luk7 bun3 sang1	
碌士	luk7 si2	筆記
碌柚	luk7 yau2	柚子
戮	luk9	踐踏，踩
淥	luk9	燙，泡，涮
六親	luk9 chan1	
淥親	luk9 chan1	燙傷，燙著
六親不認	luk9 chan1 bat7 ying6	
淥親手指	luk9 chan1 sau2 ji2	燙傷了指頭
綠草如茵	luk9 chou2 yu4 yan1	
綠豆水	luk9 dau6 seui2	綠豆湯
陸地	luk9 dei6	
六點	luk9 dim2	
六點鐘	luk9 dim2 jung1	
六道輪迴	luk9 dou6 leun4 wui4	
碌碡	luk9 duk9	
氯化銨	luk9 fa3 on1	
六個字	luk9 go3 ji6	三十分鍾
淥個麵	luk9 go3 min6	泡一個麵吃
六角	luk9 gok8	
六角形	luk9 gok8 ying4	
錄供	luk9 gung1	
陸軍	luk9 gwan1	
六合彩	luk9 hap9 choi4	
綠洲	luk9 jau1	
陸續	luk9 juk9	
六級	luk9 kap7	
六年級	luk9 nin4 kap7	
六神無主	luk9 san4 mou4 jyu2	
六十	luk9 sap9	
綠色	luk9 sik7	
淥熟	luk9 suk9	燙熟，泡熟
淥熟晒	luk9 suk9 saai3	被開水泡熟了
錄音帶	luk9 yam1 daai2	
錄音機	luk9 yam1 gei1	
錄影帶	luk9 ying2 daai2	
錄影機	luk9 ying2 gei1	
淥魚片	luk9 yu4 pin2	涮魚片
鹿茸	luk9 yung4	
六月	luk9 yut9	
六月份	luk9 yut9 fan6	
六月雪	luk9 yut9 syut8	
窿	lung1	窟窿，孔，洞
窿仔	lung1 jai2	小洞
窿路	lung1 lou6	門路
籠	lung4	籠子
龍床	lung4 chong4	
龍燈	lung4 dang1	
隆冬	lung4 dung1	
龍飛鳳舞	lung4 fei1 fung6 mou5	
龍虎	lung4 fu2	
龍鳳	lung4 fung6	
龍鳳呈祥	lung4 fung6 ching4 cheung4	
龍鳳鈪	lung4 fung6 ngaak8	龍鳳鐲
龍鳳配	lung4 fung6 pui3	
龍鳳胎	lung4 fung6 toi1	雙胞胎
龍肝鳳髓	lung4 gon1 fung6 seui5	
龍宮	lung4 gung1	
龍骨	lung4 gwat7	
龍蝦	lung4 ha1	
龍蝦肉	lung4 ha1 yuk9	
龍行虎步	lung4 haang4 fu2 bou6	
隆厚	lung4 hau5	
隆起	lung4 hei2	
龍兄虎弟	lung4 hing1 fu2 dai6	
隆胸	lung4 hung1	豐乳
龍爭虎鬥	lung4 jang1 fu2 dau3	
龍舟	lung4 jau1	
龍舟賽	lung4 jau1 choi3	
龍舟競賽	lung4 jau1 ging6 choi3	
龍精虎猛	lung4 jing1 fu2 maang5	生龍活虎
龍井茶	lung4 jing2 cha4	
龍鍾	lung4 jung1	
籠中之鳥	lung4 jung1 ji1 niu5	
龍種	lung4 jung2	
隆重	lung4 jung6	
龍珠	lung4 jyu1	
龍脈	lung4 mak9	
龍門	lung4 mun4	球門
聾啞	lung4 nga2	
龍顏	lung4 ngaan4	
龍眼	lung4 ngaan5	
龍眼乾	lung4 ngaan5 gon1	
龍年	lung4 nin4	
龍腦	lung4 nou5	
龍袍	lung4 pou4	
龍袍加身	lung4 pou4 ga1 san1	
龍蟠虎踞	lung4 pun4 fu2 geui3	
龍生龍鳳生鳳	lung4 sang1 lung4 fung6 sang1 fung6	
龍蛇混雜	lung4 se4 wan6 jaap9	
龍舌蘭	lung4 sit8 laan4	
龍鬚	lung4 sou1	
龍鬚菜	lung4 sou1 choi3	
龍鬚草	lung4 sou1 chou2	
龍船	lung4 syun4	龍舟
龍船賽	lung4 syun4 choi3	
龍船競賽	lung4 syun4 ging6 choi3	
龍潭虎穴	lung4 taam4 fu2 yut9	
龍體	lung4 tai2	
龍騰虎躍	lung4 tang4 fu2 yeuk9	
龍頭	lung4 tau4	
龍吟虎嘯	lung4 yam4 fu2 siu3	
隆乳	lung4 yu5	
槓	lung5	箱子，籠箱
壟斷	lung5 dyun3	
壟斷市場	lung5 dyun3 si5 cheung4	
籠罩	lung5 jaau3	
籠絡	lung5 lok8	
籠絡人心	lung5 lok8 yan4 sam1	
籠籠統統	lung5 lung5 tung2 tung2	
籠統	lung5 tung2	
弄錯	lung6 cho3	
弄皺	lung6 jau3	
弄璋	lung6 jeung1	
弄瓦	lung6 nga5	
攣	lyun1	彎，彎曲
攣捐	lyun1 gyun1	彎彎曲曲
攣曲	lyun1 kuk7	彎曲
攣毛	lyun1 mou1	鬈髮
戀情	lyun2 ching4	
戀舊	lyun2 gau6	
臠割	lyun2 got8	
戀棧	lyun2 jaan6	
亂嚟	lyun2 lei4	胡來，亂來
亂龍	lyun2 lung4	亂，亂了套，亂七八糟
戀戀不捨	lyun2 lyun2 bat7 se2	
戀物	lyun2 mat9	
戀慕	lyun2 mou6	
亂諗	lyun2 nam2	亂想
戀愛	lyun2 oi3	
戀糖	lyun2 tong2	黏糖
戀人	lyun2 yan4	
聯	lyun4	縫
聯邦	lyun4 bong1	
聯邦制	lyun4 bong1 jai3	
聯邦政府	lyun4 bong1 jing3 fu2	
聯賽	lyun4 choi3	
聯系	lyun4 hai6	
聯繫	lyun4 hai6	
聯合國	lyun4 hap9 gwok8	
聯絡	lyun4 lok8	
聯袂	lyun4 mai6	
聯袂飾演	lyun4 mai6 sik7 yin2	
聯盟	lyun4 mang4	
聯衫	lyun4 saam1	縫衣服
孿生	lyun4 sang1	
孿生兄弟	lyun4 sang1 hing1 dai6	
聯誼	lyun4 yi4	
亂扠	lyun6 cha5	亂塗
亂抄	lyun6 chaau3	亂翻
亂七八糟	lyun6 chat7 baat8 jou1	
亂車	lyun6 che1	胡吹，瞎扯，胡說
亂車廿四	lyun6 che1 ya6 sei3	亂吹一氣，瞎扯一通
亂闖	lyun6 chong2	
亂打	lyun6 da2	
亂趯	lyun6 dek8	亂跑
亂動	lyun6 dung6	
亂髮	lyun6 faat8	
亂揈	lyun6 fing6	揮霍，亂花錢
亂揈錢	lyun6 fing6 chin2	揮霍，亂花錢
亂咁舂	lyun6 gam3 jung1	亂闖，亂碰亂躥，到處亂躥躥
亂講嘢	lyun6 gong2 ye5	胡說八道
亂估	lyun6 gu2	亂猜，瞎猜
亂軍	lyun6 gwan1	
亂真	lyun6 jan1	
亂象	lyun6 jeung6	
亂作一團	lyun6 jok8 yat7 tyun4	
亂撞	lyun6 jong6	亂闖
亂立立	lyun6 lap9 lap9	亂糟糟
亂流	lyun6 lau4	
亂倫	lyun6 leun4	
亂來	lyun6 loi4	
亂碼	lyun6 ma5	
亂諗嘢	lyun6 nam2 ye5	胡思亂想
亂噏	lyun6 ngap7	胡說，亂說
亂噏廿四	lyun6 ngap7 ya6 sei3	胡說八道
亂噏嘢	lyun6 ngap7 ye5	亂說話
亂爬	lyun6 pa4	
亂晒大龍	lyun6 saai3 daai6 lung4	亂七八糟
亂晒坑	lyun6 saai3 haang1	亂，亂了套，亂七八糟
亂世	lyun6 sai3	
亂世佳人	lyun6 sai3 gaai1 yan4	
亂臣	lyun6 san4	
亂寫	lyun6 se2	
亂食嘢	lyun6 sik9 ye5	亂吃東西
亂成一團	lyun6 sing4 yat7 tyun4	
亂用	lyun6 yung6	
劣品	lyut8 ban2	
劣等	lyut8 dang2	
劣等品	lyut8 dang2 ban2	
劣根	lyut8 gan1	
劣根性	lyut8 gan1 sing3	
劣質	lyut8 jat7	
劣勢	lyut8 sai3	
劣性	lyut8 sing3	
唔	m4	不
唔出聲	m4 cheut7 seng1	不吭聲
唔似	m4 chi5	不像
唔似樣	m4 chi5 yeung2	不像樣，不像話
唔清楚	m4 ching1 cho2	不清楚
唔切	m4 chit8	來不及
唔錯	m4 cho3	不錯
唔睬佢	m4 choi2 keui5	不理他
唔打得都睇得	m4 da2 dak7 dou1 tai2 dak7	中看不中用
唔單止	m4 daan1 ji2	不但
唔單止噉	m4 daan1 ji2 gam2	不僅如此，不但如此
唔搭界	m4 daap8 gaai3	沒關係
唔抵	m4 dai2	不值得，不划算
唔抵幫	m4 dai2 bong1	不值得幫忙
唔得	m4 dak7	不行
唔得切	m4 dak7 chit8	來不及
唔得掂	m4 dak7 dim6	不得了，不可收拾
唔得閒	m4 dak7 haan4	忙，沒空
唔等使	m4 dang2 sai2	不切實際的，無關緊要的，無濟於事的，用不上的，用不著的，沒用的，不頂用的，無益的
唔對路	m4 deui3 lou6	不對勁，不對頭
唔掂	m4 dim6	不行，不妥
唔掂諗到掂為止	m4 dim6 lam2 dou3 dim6 wai4 ji2	有事好商量
唔定	m4 ding2	說不定
唔多	m4 do1	不多
唔到你	m4 dou3 nei5	輪不到你，不能由你
唔到你唔…	m4 dou3 nei5 m4	不由得你不…
唔道德	m4 dou6 dak7	不道德
唔化	m4 fa3	固執，不開通，不覺醒，食古不化
唔化算	m4 fa3 syun3	划不來，不划算，不合算
唔發市	m4 faat8 si5	沒人光顧
唔忿氣	m4 fan6 hei3	不服氣
唔方便	m4 fong1 bin6	不方便
唔合	m4 gaap8	合不來
唔計帶	m4 gai3 daai3	不在意，不介意，不計較
唔敢	m4 gam2	不敢
唔緊要	m4 gan2 yiu3	不要緊，不重要
唔夠	m4 gau3	不夠
唔夠埞方	m4 gau3 deng6 fong1	地方不夠
唔夠瞓	m4 gau3 fan3	睡眠不足，沒睡好，睡不夠
唔夠佢打	m4 gau3 keui5 da2	打不過他
唔夠佢鬥	m4 gau3 keui5 dau3	鬥不過他
唔夠佢爭	m4 gau3 keui5 jaang1	搶不過他
唔夠佢嚟	m4 gau3 keui5 lei4	比不過他，比不上他
唔夠quali	m4 gau3 ko1 li2	不夠格，沒有資格
唔夠力	m4 gau3 lik9	力氣不夠
唔夠攝牙罅	m4 gau3 sip8 nga4 la3	不夠塞牙縫兒，不夠塞牙縫的
唔記得	m4 gei3 dak7	忘記，不記得
唔記得咗	m4 gei3 dak7 jo2	忘了
唔見得光	m4 gin3 dak7 gwong1	見不得光
唔見得人	m4 gin3 dak7 yan4	見不得人
唔見咗	m4 gin3 jo2	不見了
唔經唔覺	m4 ging1 m4 gok8	不知不覺
唔該	m4 goi1	謝謝，有勞
唔該借歪	m4 goi1 je3 me2	借光，借過一下
唔該晒	m4 goi1 saai3	謝謝，有勞
唔覺眼	m4 gok8 ngaan5	沒注意，沒留意，沒注意到
唔覺意	m4 gok8 yi3	沒留意，不留神，不小心
唔高興	m4 gou1 hing3	不高興
唔公平	m4 gung1 ping4	不公平
唔怪乎	m4 gwaai3 fu4	怪不得，難怪
唔怪之得	m4 gwaai3 ji1 dak7	怪不得，難怪
唔關你事	m4 gwaan1 nei5 si6	事情跟你無關
唔關我事	m4 gwaan1 ngo5 si6	與我無關
唔關…事	m4 gwaan1 si6	與…無關，跟…無關，跟…沒有關系
唔關事	m4 gwaan1 si6	跟這沒關系
唔鹹唔淡	m4 haam4 m4 taam5	有口音，不標準
唔行得開	m4 haang4 dak7 hoi1	走不開，離不開
唔行得埋	m4 haang4 dak7 maai4	合不来
唔喺度	m4 hai2 dou6	不在
唔喺度	m4 hai2 dou6	去世
唔喺屋企	m4 hai2 nguk7 kei2	不在家
唔係	m4 hai6	不是
唔係呀嘛	m4 hai6 a3 ma3	真的嗎？
唔係呀話	m4 hai6 a3 wa2	不會吧？
唔係噉話	m4 hai6 gam2 wa2	哪裡，哪裡
唔係噉話，你過獎喇	m4 hai6 gam2 wa2 nei5 gwo3 jeung2 la3	哪裡，哪裡，你過獎了
唔係嘅話	m4 hai6 ge3 wa6	不然的話，要不，否則，要不然
唔係幾	m4 hai6 gei2	不大…，不怎麼…
唔係幾似	m4 hai6 gei2 chi5	不大像，不怎麼像
唔係啩	m4 hai6 gwa3	不是吧
唔係好合	m4 hai6 hou2 gaap8	不大合得來
唔係路	m4 hai6 lou6	不對勁兒，不對頭，有問題
唔合法	m4 hap9 faat8	不合法
唔合理	m4 hap9 lei5	不合理
唔合適	m4 hap9 sik7	不合適
唔响度	m4 heung2 dou6	不在，不在這裡，不在那裡
唔興	m4 hing1	不流行，不時興
唔可能	m4 ho2 nang4	不可能
唔可以	m4 ho2 yi5	不可以
唔開心	m4 hoi1 sam1	不開心
唔開胃	m4 hoi1 wai6	倒胃口，吃不下，胃口不好，討厭，不順眼
唔好	m4 hou2	不好
唔好食	m4 hou2 sik9	不好吃
唔好睇	m4 hou2 tai2	不好看
唔好聽	m4 hou2 teng1	不好聽
唔好飲	m4 hou2 yam2	不好喝
唔好意思	m4 hou2 yi3 si3	不好意思
唔好意頭	m4 hou2 yi3 tau4	不吉利
唔盞	m4 jaan2	不好
唔習慣	m4 jaap9 gwaan3	不習慣
唔制	m4 jai3	不願意，不幹
唔制得過	m4 jai3 dak7 gwo3	划不來，不划算
唔走得	m4 jau2 dak7	跑不了，不能走
唔…就假	m4 jau6 ga2	不…才怪呢
唔…就假嘅	m4 jau6 ga2 ge3	不…才怪呢
唔…就有鬼	m4 jau6 yau5 gwai2	不…才怪呢
唔…就有鬼囉	m4 jau6 yau5 gwai2 lo3	不…那就很奇怪
唔准	m4 jeun2	不准
唔知	m4 ji1	不知道
唔知醜	m4 ji1 chau2	沒羞，沒羞沒臊
唔知道	m4 ji1 dou6	不知道
唔知好醜	m4 ji1 hou2 chau2	不知好歹
唔知死	m4 ji1 sei2	不知天高地厚，不知道利害，不懂得事情危急
唔止	m4 ji2	不但，不光是
唔止…仲…	m4 ji2 jung6	不但…還…
唔止…仲…添	m4 ji2 jung6 tim1	不但…還…
唔志在	m4 ji3 joi6	不在乎
唔至於	m4 ji3 yu1	不至於
唔值得	m4 jik9 dak7	不值得
唔正常	m4 jing3 seung4	不正常
唔在講	m4 joi6 gong2	不但，不用說，不消說
唔做	m4 jou6	不幹
唔鍾意	m4 jung1 yi3	不喜歡
唔中用	m4 jung1 yung6	不管用，不頂用，不中用，不行，無能
唔重要	m4 jung6 yiu3	不重要
唔禁	m4 kam1	不耐久，不耐用，不結實
唔禁等	m4 kam1 dang2	禁不起等
唔禁著	m4 kam1 jeuk8	不耐穿
唔近	m4 kan5	不近
唔理	m4 lei5	不管，不理
唔論	m4 leun6	不論
唔落得手	m4 lok9 dak7 sau2	下不了手
唔撈	m4 lou1	不幹了，辭職
唔明	m4 ming4	不懂
唔挐耕	m4 na1 gaang1	毫不相干，毫無關係，不著邊際，一點兒也不沾邊
唔難	m4 naan4	不難
唔能	m4 nang4	不能
唔啱	m4 ngaam1	不對
唔啱咀形	m4 ngaam1 jeui2 ying4	合不來
唔啱傾	m4 ngaam1 king1	談不攏
唔啱數	m4 ngaam1 sou3	數目不對
唔安樂	m4 ngon1 lok9	心裡不安，心裡不舒暢，不放心
唔耐	m4 noi6	不久
唔耐煩	m4 noi6 faan4	不耐煩
唔安全	m4 on1 chyun4	不安全
唔怕	m4 pa3	不怕
唔怕醜	m4 pa3 chau2	不害羞
…唔晒	m4 saai3	…不完
唔生性	m4 saang1 sing3	不懂事，沒出息
唔使	m4 sai2	不用，不需要
唔使慌	m4 sai2 fong1	不要怕
唔使咁火滾	m4 sai2 gam3 fo2 gwan2	用不著那麼生氣
唔使咁謙噃	m4 sai2 gam3 him1 bo3	不用那麼謙虛啦
唔使驚	m4 sai2 geng1	不要怕，別怕，別害怕
唔使講	m4 sai2 gong2	不用說，用不著說，不用提，不必說了
唔使客氣	m4 sai2 haak8 hei3	不用客氣，別客氣
唔使指擬	m4 sai2 ji2 yi5	別指望，別癡心妄想
唔使做	m4 sai2 jou6	不用工作了
唔使唔該	m4 sai2 m4 goi1	不謝
唔使問阿貴	m4 sai2 man6 a3 gwai3	還用問？
唔使送呀	m4 sai2 sung3 a3	不用送了
唔使一陣	m4 sai2 yat7 jan6	不久
唔使憂	m4 sai2 yau1	不用擔心，不用擔憂，用不著操心
唔實際	m4 sat9 jai3	不實際
唔受得	m4 sau6 dak7	受不了
唔捨得	m4 se2 dak7	捨不得
唔聲	m4 seng1	不說話
唔衰得	m4 seui1 dak7	好勝，不服輸
唔衰攞嚟衰	m4 seui1 lo2 lei4 seui1	沒事找事，自討苦吃，自找麻煩
唔需要	m4 seui1 yiu3	不需要
唔信	m4 seun3	不相信
唔相信	m4 seung1 seun3	不相信
唔想	m4 seung2	不想
唔識	m4 sik7	不會
唔識	m4 sik7	不認識
唔識佢	m4 sik7	不認識他
唔識唱歌	m4 sik7 cheung3 go1	不會唱歌
唔識字	m4 sik7 ji6	不識字
