开放粤语词典（耶鲁拼音数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［耶鲁拼音］	［国语解释］
执茶	jap7 cha4	抓药，配药，取药，买药
执齐	jap7 chai4	收拾好，收集好
执齐啲嘢	jap7 chai4 di1 ye5	把东西收拾好
执齐行李	jap7 chai4 hang4 lei5	收拾好行李
执筹	jap7 chau2	抓阄，抽签
执床	jap7 chong4	收拾床铺
执定	jap7 ding6	收拾好
执碟	jap7 dip9	收拾碗筷，收拾碗碟
汁都捞埋	jap7 dou1 lou1 maai4	有甚么好处就自己全吞了，据为已有
执到	jap7 dou2	捡到
执番条命	jap7 faan1 tiu4 meng6	侥幸逃生
执吓张床	jap7 ha5 jeung1 chong4	收拾一下床铺
执行李	jap7 hang4 lei5	收拾行李
执起	jap7 hei2	捡起
执起嚟	jap7 hei2 lei4	捡起来
执仔	jap7 jai2	接生
执仔婆	jap7 jai2 po2	接生婆，助产士
执滞	jap7 jai6	死板，不灵活
执字粒	jap7 ji6 lap7	排字
执政党	jap7 jing3 dong2	
执照	jap7 jiu3	
执笠	jap7 lap7	倒闭，停业，破产，停止营业
执漏	jap7 lau6	补漏，检漏，修理瓦漏
执迷不悟	jap7 mai4 bat7 ng6	
执屋	jap7 nguk7	打扫房子
执平嘢	jap7 peng4 ye5	买便宜货
执山草药	jap7 saan1 chou2 yeuk9	抓草药
执生	jap7 saang1	看着办，随机应变；补救，弥补缺陷
执拾	jap7 sap9	收拾
执拾干净	jap7 sap9 gon1 jeng6	收拾干净
执拾好行李	jap7 sap9 hou2 hang4 lei5	收拾好行李
执手尾	jap7 sau2 mei5	善后，收拾残局
执死鸡	jap7 sei2 gai1	拣到便宜
执死鸡仔	jap7 sei2 gai1 jai2	拣到便宜
执尸	jap7 si1	收尸，收拾死尸
执私	jap7 si1	缉私，没收私货
执输	jap7 syu1	占下风，吃亏
执输过人	jap7 syu1 gwo3 yan4	比人差，比人差一等
执枱	jap7 toi2	收拾桌子
执人口水溦	jap7 yan4 hau2 seui2 mei1	学舌，拾人牙慧
执赢	jap7 yeng4	占上风，占便宜
执药	jap7 yeuk9	抓药，配药，取药，买药
执二摊	jap7 yi6 taan1	买旧货，捡人家的剩货，用别人用过的东西，捡人家破烂
汁液	jap7 yik9	
枳	jat7	塞，塞进；塞子
枳	jat7	随便放
质地	jat7 dei2	质料
质量	jat7 leung6	
质量不灭定律	jat7 leung6 bat7 mit9 ding6 leut9	
质料	jat7 liu6	
质问	jat7 man6	
枳入	jat7 yap9	塞进
质疑	jat7 yi4	
侄	jat9	侄子，侄儿
窒	jat9	害怕，恐慌
疾病	jat9 beng6	
疾驰	jat9 chi4	
蛰虫	jat9 chung4	
嫉妒	jat9 dou3	
疾呼	jat9 fu1	
蛰伏	jat9 fuk9	
疾风	jat9 fung1	
疾风知劲草	jat9 fung1 ji1 ging6 chou2	
疾风迅雷	jat9 fung1 seun3 leui4	
蛰居	jat9 geui1	
窒脚	jat9 geuk8	走路时突然停一下
桎梏	jat9 guk7	
窒口窒舌	jat9 hau2 jat9 sit9	结结巴巴，语无伦次
侄仔	jat9 jai2	侄子，侄儿
疾走	jat9 jau2	
窒住	jat9 jyu6	停住，突然停止
疾雷	jat9 leui4	
嫉恶如仇	jat9 ok8 yu4 sau4	
侄心抱	jat9 sam1 pou5	侄媳妇
窒手	jat9 sau2	缩手，突然停手
窒息	jat9 sik7	
疾书	jat9 syu1	
窒人	jat9 yan4	损人
疾言厉色	jat9 yin4 lai6 sik7	
周边	jau1 bin1	
周边设备	jau1 bin1 chit8 bei6	
周报	jau1 bou3	
周详	jau1 cheung4	
周长	jau1 cheung4	
揪出	jau1 cheut7	
周朝	jau1 chiu4	
周到	jau1 dou3	
周街	jau1 gaai1	满街
周街系人	jau1 gaai1 hai6 yan4	满街都是人
周街走	jau1 gaai1 jau2	满街跑
周刊	jau1 hon2	
洲际	jau1 jai3	
洲际飞弹	jau1 jai3 fei1 daan6	
舟楫	jau1 jip8	
周遭	jau1 jou1	
周转	jau1 jyun2	
周期	jau1 kei4	
周期表	jau1 kei4 biu2	
周期表	jau1 kei4 biu2	
周期律	jau1 kei4 leut9	
周期性	jau1 kei4 sing3	
周率	jau1 leut9	
周六	jau1 luk9	
周末	jau1 mut9	
周五	jau1 ng5	
周年	jau1 nin4	
周年纪念	jau1 nin4 gei2 nim6	
周年庆	jau1 nin4 hing3	
周三	jau1 saam1	
周薪	jau1 san1	
周身	jau1 san1	
周身	jau1 san1	全身，浑身
周身刀冇张利	jau1 san1 dou1 mou5 jeung1 lei6	什么都会一点但没有专长
周身冇力	jau1 san1 mou5 lik9	浑身软绵绵的，一点力气也没有
周身蚁	jau1 san1 ngai5	惹了很多麻烦
周身酸痛	jau1 san1 syun1 tung3	浑身酸疼
周四	jau1 sei3	
周岁	jau1 seui3	
周时	jau1 si4	常，时常，经常，常常，随时
周时无日	jau1 si4 mou4 yat9	经常，时常，没有一天不
周处	jau1 syu3	到处
周围	jau1 wai4	
周围	jau1 wai4	到处，四处，四周
周一	jau1 yat7	
周日	jau1 yat9	
周休	jau1 yau1	
周游	jau1 yau4	
周游世界	jau1 yau4 sai3 gaai3	
周而复始	jau1 yi4 fuk9 chi5	
周二	jau1 yi6	
走	jau2	不加
走	jau2	跑
酒吧	jau2 ba1	
走笔疾书	jau2 bat7 jat9 syu1	
酒保	jau2 bou2	
走宝	jau2 bou2	吃亏
酒杯	jau2 bui1	
走出去	jau2 cheut7 heui3	跑出去
走出嚟	jau2 cheut7 lei4	跑出来
酒池肉林	jau2 chi4 yuk9 lam4	
酒钱	jau2 chin4	
酒埕	jau2 ching4	酒坛
酒菜	jau2 choi3	
走蛋	jau2 daan2	不加鸡蛋，不加蛋
走得	jau2 dak7	可以走
走得几快吖	jau2 dak7 gei2 faai3 a3	能跑多快呀？
走趯	jau2 dek8	走动，跑腿，奔波
酒店	jau2 dim3	
走电	jau2 din6	跑电，漏电
走都走唔切	jau2 dou1 jau2 m4 chit8	逃跑也来不及了
走法律罅	jau2 faat8 leut9 la3	鑽法律空子
走粉	jau2 fan2	走私白粉，走私海洛因
走埠	jau2 fau6	走江湖
走火入魔	jau2 fo2 yap9 mo1	
酒逢知己千杯少	jau2 fung4 ji1 gei2 chin1 bui1 siu2	
走鸡	jau2 gai1	吃亏，错过机会
酒馆	jau2 gun2	
酒鬼	jau2 gwai2	
走过嚟	jau2 gwo3 lei4	跑过来
酒过三巡	jau2 gwo3 saam3 cheun4	
酒酣耳热	jau2 ham4 yi5 yit9	
酒后	jau2 hau6	
走后门	jau2 hau6 mun4	
酒后失态	jau2 hau6 sat7 taai3	
酒后失言	jau2 hau6 sat7 yin4	
酒后吐真言	jau2 hau6 tou3 jan1 yin4	
酒气	jau2 hei3	
酒气熏人	jau2 hei3 fan1 yan4	
走去	jau2 heui3	跑去
酒兴	jau2 hing3	
走开	jau2 hoi1	
走好运	jau2 hou2 wan6	
走趱	jau2 jaan2	回旋，周转，松动
酒醉	jau2 jeui3	
走资派	jau2 ji1 paai3	
酒精	jau2 jing1	
酒精中毒	jau2 jing1 jung3 duk9	
酒足饭饱	jau2 juk7 faan6 baau2	
酒盅	jau2 jung1	
走禽	jau2 kam4	
走甩	jau2 lat7	逃脱
走甩咗	jau2 lat7 jo2	逃脱了，跑掉了
酒楼	jau2 lau4	
走漏	jau2 lau6	
走漏风声	jau2 lau6 fung1 sing1	
走漏消息	jau2 lau6 siu1 sik7	
酒量	jau2 leung6	
酒帘	jau2 lim4	
酒令	jau2 ling6	
走廊	jau2 long4	
走路	jau2 lou2	逃亡，逃跑
走唔切	jau2 m4 chit8	跑不掉，走不掉
走唔起	jau2 m4 hei2	跑不动，跑不快
走唔甩	jau2 m4 lat7	逃不掉，跑不掉
走马灯	jau2 ma5 dang1	
走马看花	jau2 ma5 hon3 fa1	
走埋嚟	jau2 maai4 lei4	撞过来
走难	jau2 naan6	逃难
酒凹	jau2 nap7	酒窝，笑靥
酒牌	jau2 paai4	经营酒类生意的执照
走散	jau2 saan2	
酒神	jau2 san4	
走兽	jau2 sau3	
走私	jau2 si1	
酒色	jau2 sik7	
酒色财气	jau2 sik7 choi4 hei3	
酒色之徒	jau2 sik7 ji1 tou4	
走先	jau2 sin1	告辞，先走
走投无路	jau2 tau4 mou4 lou6	
走堂	jau2 tong4	翘课，旷课，逃学，缺课
走糖	jau2 tong4	不加糖
酒晕	jau2 wan6	
酒窝	jau2 wo1	
走人	jau2 yan4	走，溜
走入去	jau2 yap9 heui3	跑进去
走入嚟	jau2 yap9 lei4	跑进来
走样	jau2 yeung6	
走肉	jau2 yuk9	不加肉，素的
酒肉朋友	jau2 yuk9 pang4 yau5	
奏效	jau3 haau6	
奏捷	jau3 jit9	
皱眉	jau3 mei4	
奏乐	jau3 ngok9	
昼夜	jau3 ye6	
咒语	jau3 yu5	
就	jau6	将要
就	jau6	迁就
就寝	jau6 cham2	
就假嘅	jau6 ga2 ge3	才怪呢
就噉啦	jau6 gam2 la1	就这样吧
就脚	jau6 geuk8	方便
就吓佢	jau6 ha5 keui5	迁就他一下
就系	jau6 hai6	就是
就系讲	jau6 hai6 gong2	就是说
袖口	jau6 hau2	
就嚟	jau6 lei4	快，快要，就快
就手	jau6 sau2	顺利
就算	jau6 syun3	即使，就算
骤然	jau6 yin4	
就业	jau6 yip9	
骤雨	jau6 yu5	
…姐	je1	…姐
啫	je1	而已
遮	je1	挡
遮	je1	雨伞
遮蔽	je1 bai3	
遮柄	je1 beng3	伞杆儿；伞杆儿的尖端
遮骨	je1 gwat7	伞枝，伞的骨架，伞的金属条
啫喱	je1 lei2	果冻
遮掩	je1 yim2	
…姐	je2	…姐
姐姐	je2 je2	
蔗	je3	甘蔗
借畀	je3 bei2	借给
借钱	je3 chin2	
借啲意	je3 di1 yi2	趁机
借刀杀人	je3 dou1 saat8 yan4	
借读	je3 duk9	
借花献佛	je3 fa1 hin3 fat7	
借火	je3 fo2	
借鉴	je3 gaam3	
借镜	je3 geng3	
借债	je3 jaai3	
蔗汁	je3 jap7	甘蔗汁
借借	je3 je3	借光，劳鴐，请让一让，请让路
借作	je3 jok8	
借力打力	je3 lik9 da2 lik9	顺势而为
借力打力	je3 lik9 da2 lik9	顺势而为
蔗缬	je3 lit8	甘蔗节
借问声	je3 man6 seng1	请问一下，请问
借问一声	je3 man6 yat7 seng1	请问一下
借歪	je3 me2	借光，借过一下，请让一让
借歪啲	je3 me2 di1	借光，借过一下，请让一让
蔗水	je3 seui2	甘蔗汤
借书	je3 syu1	
借书证	je3 syu1 jing3	
借贷	je3 taai3	
借题	je3 tai4	
借题发挥	je3 tai4 faat8 fai1	
蔗糖	je3 tong4	
借一借	je3 yat7 je3	借光，借过一下，请让一让
借用	je3 yung6	
借阅	je3 yut9	
这般	je5 bun1	
这个	je5 go3	
这里	je5 leui5	
这么	je5 mo1	
这厮	je5 si1	
这样	je5 yeung6	
谢谢	je6 je6	
谢绝	je6 jyut9	
jacket	jek7 kek9	夹克
只抽	jek8 chau1	单挑，一个对一个，单打独斗
只抽只	jek8 chau1 jek8	单打独斗
只眼开只眼闭	jek8 ngaan5 hoi1 jek8 ngaan5 bai3	睁一只眼闭一只眼
只身	jek8 san1	
占	jem1	果酱
精	jeng1	机灵，聪明
精	jeng1	自私，取巧，狡猾，爱耍小聪明
精出骨	jeng1 cheut7 gwat7	自私，狡猾
精仔	jeng1 jai2	投机取巧的人，精明能干的人，精于计算的人
精叻	jeng1 lek7	聪明能干，精明
精埋一便	jeng1 maai4 yat7 bin6	专把聪明用在做坏事或为自己打算上
正	jeng3	棒
正斗	jeng3 dau2	正牌，地道，好，美
正斗货	jeng3 dau2 fo3	正牌货，地道货
正斗嘢	jeng3 dau2 ye5	正牌货，地道货
正牌	jeng3 paai4	正宗的，真正的
正晒	jeng3 saai3	正好，再好不过，很棒
正嘢	jeng3 ye5	正牌货，好东西
郑重	jeng6 jung6	
追兵	jeui1 bing1	
追捕	jeui1 bou2	
追补	jeui1 bou2	
追本溯源	jeui1 bun2 sou3 yun4	
追查	jeui1 cha4	
追寻	jeui1 cham4	
追缉	jeui1 chap7	
追随	jeui1 cheui4	
追随者	jeui1 cheui4 je2	
蛆虫	jeui1 chung4	
追打	jeui1 da2	
追敌	jeui1 dik9	
追悼	jeui1 dou6	
追封	jeui1 fung1	
追加	jeui1 ga1	
追根究底	jeui1 gan1 gau3 dai2	
追根究柢	jeui1 gan1 gau3 dai2	
追究	jeui1 gau3	
追究责任	jeui1 gau3 jaak8 yam6	
狙击	jeui1 gik7	
追击	jeui1 gik7	
狙击手	jeui1 gik7 sau2	
追赶	jeui1 gon2	
追剿	jeui1 jiu2	
追逐	jeui1 juk9	
追求	jeui1 kau4	
追恋	jeui1 lyun2	
追问	jeui1 man6	
追女仔	jeui1 neui5 jai2	泡妞
追念	jeui1 nim6	
追索	jeui1 saak8	
追杀	jeui1 saat8	
追想	jeui1 seung2	
追思会	jeui1 si1 wui6	
追溯	jeui1 sou3	
追诉	jeui1 sou3	
追数	jeui1 sou3	追债，讨账，追讨欠款
追讨	jeui1 tou2	
追忆	jeui1 yik7	
追忆往事	jeui1 yik7 wong5 si6	
追认	jeui1 ying6	
咀	jeui2	亲吻
嘴	jeui2	嘴巴
嘴角喵起	jeui2 gok8 miu2 hei2	看不起人
咀嚼	jeui2 jeuk8	
嘴喵喵	jeui2 miu2 miu2	撇撇嘴，嘴角对人，轻视别人
沮丧	jeui2 song3	
咀一啖	jeui2 yat7 daam6	亲一下
龃龉	jeui2 yu5	
最长	jeui3 cheung4	
最初	jeui3 cho1	
最大	jeui3 daai6	
最低	jeui3 dai1	
最多	jeui3 do1	
最短	jeui3 dyun2	
最佳	jeui3 gaai1	
最近	jeui3 gan6	
最高	jeui3 gou1	
最高峰	jeui3 gou1 fung1	
最高温度	jeui3 gou1 wan1 dou6	
最后	jeui3 hau6	
最后审判	jeui3 hau6 sam2 pun3	
最后通牒	jeui3 hau6 tung1 dip9	
最好	jeui3 hou2	
醉酒	jeui3 jau2	
醉酒佬	jeui3 jau2 lou2	醉汉，醉鬼
醉猫	jeui3 maau1	醉鬼，醉汉，酒鬼
最屘	jeui3 mei1	最末尾，最后
最细	jeui3 sai3	最小
最新	jeui3 san1	
醉生梦死	jeui3 sang1 mung6 sei2	
赘述	jeui3 seut9	
最少	jeui3 siu2	
醉翁	jeui3 yung1	
醉翁之意不在酒	jeui3 yung1 ji1 yi3 bat7 joi3 jau2	
罪不可赦	jeui6 bat7 ho2 se3	
罪不容诛	jeui6 bat7 yung4 jyu1	
叙别	jeui6 bit9	
聚苯乙烯	jeui6 bun2 yut9 hei1	
叙情	jeui6 ching4	
罪大恶极	jeui6 daai6 ok8 gik9	
坠地	jeui6 dei6	
罪魁祸首	jeui6 fui1 wo6 sau2	
叙家常	jeui6 ga1 seung4	
叙旧	jeui6 gau6	
坠机	jeui6 gei1	
聚脚	jeui6 geuk8	聚首
聚脚地	jeui6 geuk8 dei6	聚首的地方
罪行	jeui6 hang6	
聚集	jeui6 jaap9	
坠楼	jeui6 lau4	
坠落	jeui6 lok9	
罪名	jeui6 ming4	
罪恶	jeui6 ngok8	
罪恶感	jeui6 ok8 gam2	
罪恶滔天	jeui6 ok8 tou1 tin1	
聚氨酯	jeui6 on1 ji2	
叙述	jeui6 seut9	
叙事	jeui6 si6	
叙事文	jeui6 si6 man4	
叙事诗	jeui6 si6 si1	
叙事体	jeui6 si6 tai2	
聚酰亚胺	jeui6 sin1 nga3 on1	
叙说	jeui6 syut8	
坠毁	jeui6 wai2	
罪人	jeui6 yan4	
罪嫌	jeui6 yim4	
序言	jeui6 yin4	
罪孽	jeui6 yit9	
罪孽深重	jeui6 yit9 sam1 jung6	
聚乙烯	jeui6 yut9 hei1	
雀	jeuk2	鸟
着	jeuk8	穿
雀斑	jeuk8 baan1	
酌办	jeuk8 baan6	
嚼不烂	jeuk8 bat7 laan6	
鹊报	jeuk8 bou3	
鹊巢鸠占	jeuk8 chaau4 gau1 jim3	
酌情	jeuk8 ching4	
酌情处理	jeuk8 ching4 chyu5 lei5	
雀窦	jeuk8 dau3	鸟窝
着紧	jeuk8 gan2	穿着
着好	jeuk8 hou2	穿好
雀仔	jeuk8 jai2	鸟儿，小鸟
雀仔窦	jeuk8 jai2 dau3	鸟窝
灼灼	jeuk8 jeuk8	
着褛	jeuk8 lau1	穿大衣
着名牌	jeuk8 ming4 paai4	穿名牌
雀屏	jeuk8 ping2	
着衫	jeuk8 saam1	穿衣服
灼伤	jeuk8 seung1	
爵士	jeuk8 si6	
爵士音乐	jeuk8 si6 yam1 ngok9	
嚼舌	jeuk8 sit8	
灼烧	jeuk8 siu1	
灼痛	jeuk8 tung3	
雀跃	jeuk8 yeuk9	
灼热	jeuk8 yit9	
着鸳鸯袜	jeuk8 yun1 yeung1 mat9	穿错袜子
着笔	jeuk9 bat7	
着灯	jeuk9 dang1	开灯
着地	jeuk9 dei6	
着地点	jeuk9 dei6 dim2	
着火	jeuk9 fo2	
着火点	jeuk9 fo2 dim2	
着慌	jeuk9 fong1	
着急	jeuk9 gap7	
着重	jeuk9 jung6	
着凉	jeuk9 leung4	
着力	jeuk9 lik9	
着力点	jeuk9 lik9 dim2	
着落	jeuk9 lok9	
着陆	jeuk9 luk9	
着迷	jeuk9 mai4	
着魔	jeuk9 mo1	
着眼	jeuk9 ngaan5	
着眼点	jeuk9 ngaan5 dim2	
着手	jeuk9 sau2	
着手成春	jeuk9 sau2 sing4 cheun1	
着手于	jeuk9 sau2 yu1	
着想	jeuk9 seung2	
着色	jeuk9 sik7	
着数	jeuk9 sou3	好处，便宜，有利，合算
着意	jeuk9 yi3	
樽	jeun1	瓶子
樽颈	jeun1 geng2	瓶颈，卡口
樽枳	jeun1 jat7	瓶塞，软木塞
谆谆教诲	jeun1 jeun1 gaau3 fui3	
谆谆告诫	jeun1 jeun1 gou3 gaai3	
津津有味	jeun1 jeun1 yau5 mei6	
樽装	jeun1 jong1	瓶装
樽装啤酒	jeun1 jong1 be1 jau2	瓶装啤酒
樽装水	jeun1 jong1 seui2	瓶装水
榛实	jeun1 sat9	
榛树	jeun1 syu6	
准备	jeun2 bei6	
尽快	jeun2 faai3	
尽管	jeun2 gun2	
准许	jeun2 heui2	
准确	jeun2 kok8	
尽量	jeun2 leung6	
准时	jeun2 si4	
进兵	jeun3 bing1	
进步	jeun3 bou6	
进餐	jeun3 chaan1	
进取	jeun3 cheui2	
进出口	jeun3 cheut7 hau2	
进出口贸易	jeun3 cheut7 hau2 mau6 yik9	
进出口商	jeun3 cheut7 hau2 seung1	
进程	jeun3 ching4	
峻峭	jeun3 chiu3	
晋朝	jeun3 chiu4	
进度	jeun3 dou6	
进度表	jeun3 dou6 biu2	
进化	jeun3 fa3	
进化论	jeun3 fa3 leun6	
进化史	jeun3 fa3 si2	
进犯	jeun3 faan6	
进犯边境	jeun3 faan6 bin1 ging2	
进发	jeun3 faat8	
进价	jeun3 ga3	
进谏	jeun3 gaan3	
进京	jeun3 ging1	
进京赴考	jeun3 ging1 fu6 haau2	
俊杰	jeun3 git9	
竣工	jeun3 gung1	
进攻	jeun3 gung1	
进贡	jeun3 gung3	
进军	jeun3 gwan1	
进行	jeun3 hang4	
进行清盘	jeun3 hang4 ching1 pun2	结业，结清账目
进行攻击	jeun3 hang4 gung1 gik7	
进行曲	jeun3 hang4 kuk7	
进行式	jeun3 hang4 sik7	
进口	jeun3 hau2	
进口货	jeun3 hau2 fo3	
进口港	jeun3 hau2 gong2	
进口税	jeun3 hau2 seui3	
进口商	jeun3 hau2 seung1	
进香	jeun3 heung1	
进爵	jeun3 jeuk8	
进占	jeun3 jim3	
进展	jeun3 jin2	
进驻	jeun3 jyu3	
进来	jeun3 loi4	
骏马	jeun3 ma5	
俊美	jeun3 mei5	
俊男	jeun3 naam4	
缙绅	jeun3 san1	
进修	jeun3 sau1	
进修班	jeun3 sau1 baan1	
俊秀	jeun3 sau3	
进士	jeun3 si6	
进食	jeun3 sik9	
进退两难	jeun3 teui3 leung5 naan4	
俊伟	jeun3 wai5	
进位	jeun3 wai6	
进入	jeun3 yap9	
进一步	jeun3 yat7 bou6	
进而	jeun3 yi4	
进言	jeun3 yin4	
进谒	jeun3 yit8	
进用	jeun3 yung6	
尽兴	jeun6 hing3	
尽力	jeun6 lik9	
尽头	jeun6 tau4	
尽人皆知	jeun6 yan4 gaai1 ji1	
尽人事听天命	jeun6 yan4 si6 ting1 tin1 ming6	
将	jeung1	把
将次	jeung1 chi3	
将错就错	jeung1 cho3 jau6 cho3	
将计就计	jeung1 gai3 jau6 gai3	
将近	jeung1 gan6	
将近	jeung1 gan6	快要，快
将功折罪	jeung1 gung1 jit8 jeui3	
将功赎罪	jeung1 gung1 suk9 jeui6	
将军	jeung1 gwan1	
张开	jeung1 hoi1	
将就	jeung1 jau6	
将来	jeung1 loi4	
蟑螂	jeung1 long4	
樟木	jeung1 muk9	
樟脑	jeung1 nou5	
张三李四	jeung1 saam1 lei5 sei3	
将心比心	jeung1 sam1 bei2 sam1	
将信将疑	jeung1 seun3 jeung1 yi4	
将息	jeung1 sik7	
樟树	jeung1 syu6	
獐头鼠目	jeung1 tau4 syu2 muk9	
张贴	jeung1 tip8	
将养	jeung1 yeung5	
将要	jeung1 yiu3	
章鱼	jeung1 yu4	
奖	jeung2	奖励
掌握	jeung2 ak7	
奖品	jeung2 ban2	
长辈	jeung2 bui3	
长大	jeung2 daai6	
长得	jeung2 dak7	
奖学金	jeung2 hok9 gam1	
奖券	jeung2 hyun3	
长子	jeung2 ji2	
奖励	jeung2 lai6	
桨橹	jeung2 lou5	
长老	jeung2 lou5	
长老教会	jeung2 lou5 gaau3 wui6	
长老会	jeung2 lou5 wui6	
长满	jeung2 mun5	
长男	jeung2 naam4	
长女	jeung2 neui5	
长相	jeung2 seung3	
掌上压	jeung2 seung6 aat8	俯卧撑，伏地挺身
长幼	jeung2 yau3	
长幼有序	jeung2 yau3 yau5 jeui6	
仗	jeung3	次，回，趟
将兵	jeung3 bing1	
帐单	jeung3 daan1	
将校	jeung3 gaau3	
将官	jeung3 gun1	
瘴气	jeung3 hei3	
帐号	jeung3 hou6	
将领	jeung3 ling5	
将令	jeung3 ling6	
帐面	jeung3 min6	
将门虎子	jeung3 mun4 fu2 ji2	
障眼法	jeung3 ngaan5 faat8	
障碍	jeung3 ngoi6	
帐篷	jeung3 pung4	
将帅	jeung3 seui3	
将相	jeung3 seung3	
将士	jeung3 si6	
帐户	jeung3 wu6	
账户	jeung3 wu6	
酱油	jeung3 yau4	
橡皮筋	jeung4 pei4 gan1	
象拔	jeung6 bat9	象鼻子
象鼻	jeung6 bei6	
象鼻虫	jeung6 bei6 chung4	
象笏	jeung6 fat7	
橡胶	jeung6 gaau1	
橡筋	jeung6 gan1	橡皮圈，橡皮筋
象征	jeung6 jing1	
象征主义	jeung6 jing1 jyu2 yi6	
象征性	jeung6 jing1 sing3	
象箸	jeung6 jyu6	
象棋	jeung6 kei4	
丈母娘	jeung6 mou5 neung4	
象牙	jeung6 nga4	
象牙塔	jeung6 nga4 taap8	
橡实	jeung6 sat9	
橡树	jeung6 syu6	
丈人	jeung6 yan4	
象形字	jeung6 ying4 ji6	
象形文字	jeung6 ying4 man4 ji6	
捽	jeut7	搓，擦，揉
蟀	jeut7	蟋蟀
捽脚	jeut7 geuk8	搓脚
卒之	jeut7 ji1	终于
捽老泥	jeut7 lou5 nai4	搓汗垢，搓污垢
捽唔甩	jeut7 m4 lat7	擦不掉
怵目惊心	jeut7 muk9 ging1 sam1	
怵惕	jeut7 tik7	
怵然	jeut7 yin4	
知	ji1	知道
之不过	ji1 bat7 gwo3	但是，不过
资本	ji1 bun2	
资本家	ji1 bun2 ga1	
资本主义	ji1 bun2 jyu2 yi6	
资本主义国家	ji1 bun2 jyu2 yi6 gwok8 ga1	
资本主义社会	ji1 bun2 jyu2 yi6 se5 wui6	
资本论	ji1 bun2 leun6	
资产	ji1 chaan2	
资产阶级	ji1 chaan2 gaai1 kap7	
支撑	ji1 chaang1	
知丑	ji1 chau2	知耻
知趣	ji1 cheui3	
支出	ji1 cheut7	
支出费用	ji1 cheut7 fai3 yung6	
龇出牙	ji1 cheut7 nga4	
知耻近乎勇	ji1 chi2 gan6 fu4 yung5	
支持	ji1 chi4	
支持者	ji1 chi4 je2	
之前	ji1 chin4	
知情	ji1 ching4	
知情不报	ji1 ching4 bat7 bou3	
之初	ji1 cho1	
辎重	ji1 chung5	
辎重团中尉	ji1 chung5 tyun4 jung1 wai3	
支队	ji1 deui6	
支队长	ji1 deui6 jeung2	
知到	ji1 dou3	知道
知道	ji1 dou6	
知法犯法	ji1 faat8 faan6 faat8	
脂肪	ji1 fong1	
之乎者也	ji1 fu4 je2 ya5	
支付	ji1 fu6	
支解	ji1 gaai2	
资格	ji1 gaak8	
之间	ji1 gaan1	
资金	ji1 gam1	
知己知彼	ji1 gei2 ji1 bei2	
知觉	ji1 gok8	
之下	ji1 ha6	
知悭识俭	ji1 haan1 sik7 gim6	精打细算，懂得节俭，会过日子，懂得勤俭节约
之后	ji1 hau6	
支气管	ji1 hei3 gun2	
支气管炎	ji1 hei3 gun2 yim4	
之际	ji1 jai3	
吱吱叫	ji1 ji1 giu3	
支支整整	ji1 ji1 jing2 jing2	过份讲究打扮
支支吾吾	ji1 ji1 ng4 ng4	
姿整	ji1 jing2	讲究
知足	ji1 juk7	
知足常乐	ji1 juk7 seung4 lok9	
之中	ji1 jung1	
蜘蛛	ji1 jyu1	
蜘蛛网	ji1 jyu1 mong5	
知其不可为而为之	ji1 kei4 bat7 ho2 wai4 yi4 wai4 ji1	
知其一不知其二	ji1 kei4 yat7 bat7 ji1 kei4 yi6	
支流	ji1 lau4	
支离	ji1 lei4	
支离破碎	ji1 lei4 po3 seui3	
之类	ji1 leui6	
资料	ji1 liu6	
资料库	ji1 liu6 fu3	
支路	ji1 lou6	
知唔知	ji1 m4 ji1	知不知道
芝麻	ji1 ma4	
之嘛	ji1 ma5	而已，罢了
支脉	ji1 mak9	
滋味	ji1 mei6	
知无不言	ji1 mou4 bat7 yin4	
知难而退	ji1 naan4 yi4 teui3	
龇牙	ji1 nga4	
龇牙咧嘴	ji1 nga4 le2 jeui2	
之外	ji1 ngoi6	
之内	ji1 noi6	
支派	ji1 paai3	
支票	ji1 piu3	
支票簿	ji1 piu3 bou6	
支配	ji1 pui3	
姿势	ji1 sai3	
知心	ji1 sam1	
知心朋友	ji1 sam1 pang4 yau5	
知心话	ji1 sam1 wa2	
知心人	ji1 sam1 yan4	
知死	ji1 sei2	后悔莫及，知道利害
知衰	ji1 seui1	知错，认错
资讯	ji1 seun3	
之上	ji1 seung6	
支使	ji1 si2	
芝士	ji1 si2	奶酪，乳酪
知悉	ji1 sik7	
知识	ji1 sik7	
知识青年	ji1 sik7 ching1 nin4	
知识化	ji1 sik7 fa3	
知识分子	ji1 sik7 fan6 ji2	
知识阶级	ji1 sik7 gaai1 kap7	
知识性	ji1 sik7 sing3	
吱声	ji1 sing1	
支承	ji1 sing4	
之所以	ji1 so2 yi5	
知书达礼	ji1 syu1 daat9 lai5	
姿态	ji1 taai3	
肢体	ji1 tai2	
肢体语言	ji1 tai2 yu5 yin4	
支援	ji1 wun4	
知音	ji1 yam1	
知恩图报	ji1 yan1 tou4 bou3	
知人知面不知心	ji1 yan4 ji1 min6 bat7 ji1 sam1	
滋润	ji1 yeun6	
资源	ji1 yun4	
纸	ji2	证件，证书，证明书
纸	ji2	钞票
只不过	ji2 bat7 gwo3	
咫尺	ji2 chek8	
