開放粵語詞典（黃錫凌調符調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［黃錫凌拼音］	［國語解釋］
切實有效	¯tsit _sɐt ˏjɐu _hau	
切換	¯tsit _wun	
設計	¯tsit ¯gɐi	
切割	¯tsit ¯gɔt	
切割機	¯tsit ¯gɔt 'gei	
切片	¯tsit ¯pin	
切削	¯tsit ¯sœk	
切削速度	¯tsit ¯sœk 'tsʊk _dou	
切削用量	¯tsit ¯sœk _jʊŋ _lœŋ	
切削力	¯tsit ¯sœk _lik	
切碎	¯tsit ¯sœy	
切餸	¯tsit ¯sʊŋ	切菜
切菜	¯tsit ¯tsɔi	
切菜刀	¯tsit ¯tsɔi 'dou	
撤退	¯tsit ¯tœy	
徹底	¯tsit ´dɐi	
切口	¯tsit ´hɐu	
撤離	¯tsit ˌlei	
切除	¯tsit ˌtsœy	
切題	¯tsit ˌtɐi	
切奶	¯tsit ˏnai	斷奶
切斷	¯tsit ˏtyn	
肖像	¯tsiu _dzœŋ	
俏麗	¯tsiu _lɐi	
俏皮	¯tsiu ˌpei	
躁	¯tsou	煩躁，急躁，暴躁，粗暴
躁	¯tsou	煩躁
躁	¯tsou	燥，燥熱，容易上火的
噪音	¯tsou 'jɐm	
措施	¯tsou 'si	
醋酸	¯tsou 'syn	
躁暴	¯tsou _bou	性急
躁火	¯tsou ´fɔ	性急
糙米	¯tsou ˏmɐi	
處所	¯tsy ´sɔ	
串	¯tsyn	拼
串	¯tsyn	囂張
串供	¯tsyn 'gʊŋ	
寸陰	¯tsyn 'jɐm	
寸絲不掛	¯tsyn 'si 'bɐt ¯gwa	
寸心	¯tsyn 'sɐm	
竄出	¯tsyn 'tsœt	
串通	¯tsyn 'tʊŋ	
寸步	¯tsyn _bou	
寸步不讓	¯tsyn _bou 'bɐt _jœŋ	
寸步不離	¯tsyn _bou 'bɐt ˌlei	
寸步難行	¯tsyn _bou ˌnan ˌhaŋ	
寸步難移	¯tsyn _bou ˌnan ˌji	
寸斷	¯tsyn _dyn	
串仔	¯tsyn ´dzɐi	流氓，阿飛，不良少年
竄改	¯tsyn ´gɔi	
串演	¯tsyn ´jin	
串女	¯tsyn ´nœy	女流氓，流氓女生
寸土	¯tsyn ´tou	
寸土必爭	¯tsyn ´tou 'bit 'dzɐŋ	
寸土寸金	¯tsyn ´tou ¯tsyn 'gɐm	
寸草	¯tsyn ´tsou	
寸草不生	¯tsyn ´tsou 'bɐt 'sɐŋ	
寸草不留	¯tsyn ´tsou 'bɐt ˌlɐu	
寸草春暉	¯tsyn ´tsou 'fɐi	
串聯	¯tsyn ˌlyn	
串門	¯tsyn ˌmun	
竄逃	¯tsyn ˌtou	
寸長	¯tsyn ˌtsœŋ	
寸腸	¯tsyn ˌtsœŋ	
寸縷	¯tsyn ˏlœy	
踅身離去	¯tsyt 'sɐn ˌlei ¯hœy	
灼	¯tsœk	涮，汆
戳穿	¯tsœk 'tsyn	
卓絕	¯tsœk _dzyt	
綽號	¯tsœk _hou	
卓越	¯tsœk _jyt	
戳記	¯tsœk ¯gei	
戳印	¯tsœk ¯jɐn	
戳破	¯tsœk ¯pɔ	
脆卜卜	¯tsœy 'bɔk 'bɔk	脆脆的
脆弱	¯tsœy _jœk	
焠鍊	¯tsœy _lin	
淬礪	¯tsœy _lɐi	
翠綠	¯tsœy _lʊk	
趣味	¯tsœy _mei	
趣致	¯tsœy ¯dzi	逗，有趣，逗人喜歡的
趣怪	¯tsœy ¯gwai	有趣，有意思，新奇有趣，別緻
啐唾沫	¯tsœy ¯mut	
暢	¯tsœŋ	破開
唱	¯tsœŋ	胡說，批評，貶損，背後議論，到處說某人的壞話
唱高調	¯tsœŋ 'gou _diu	
唱歌	¯tsœŋ 'gɔ	
唱K	¯tsœŋ 'kei	唱卡拉OK
唱詩班	¯tsœŋ 'si 'ban	
暢銷	¯tsœŋ 'siu	
暢銷書	¯tsœŋ 'siu 'sy	
唱衰	¯tsœŋ 'sœy	到處說人壞話，到處說别人的不是，到處去詆毀別人，背後議論他人
唱衰佢	¯tsœŋ 'sœy ˏkœy	到處說他的不是，到處說他的壞話，到處詆毀他
倡導	¯tsœŋ _dou	
倡導者	¯tsœŋ _dou ´dzɛ	
唱碟	¯tsœŋ ´dip	專輯，唱片，音樂專輯
唱反調	¯tsœŋ ´fan _diu	
唱片	¯tsœŋ ´pin	
暢散紙	¯tsœŋ ´san ´dzi	破零票，換零票
暢錢	¯tsœŋ ´tsin	找零錢給別人
倡言	¯tsœŋ ˌjin	
暢唔開	¯tsœŋ ˌm̩ 'hɔi	破不開，找不開
倡議	¯tsœŋ ˏji	
悵惘	¯tsœŋ ˏmɔŋ	
砌圖	¯tsɐi ˌtou	拼圖
沏茶	¯tsɐi ˌtsa	
譖	¯tsɐm	羅嗦，囉唆，嘮叨
譖趙	¯tsɐm _dziu	羅嗦，囉唆，嘮叨
譖醉	¯tsɐm ¯dzœy	羅嗦，囉唆，嘮叨
譖氣	¯tsɐm ¯hei	羅嗦，囉唆，嘮叨
讖言	¯tsɐm ˌjin	
襯	¯tsɐn	配，合適
趁風使艃	¯tsɐn 'fʊŋ ´sɐi ˏlei	見風使舵，趁熱打鐵
趁機	¯tsɐn 'gei	
趁機行事	¯tsɐn 'gei ˌhɐŋ _si	
趁高興	¯tsɐn 'gou ¯hɪŋ	湊熱鬧
趁墟	¯tsɐn 'hœy	趕集
趁墟打市	¯tsɐn 'hœy ´da ˏsi	趕集
趁虛而入	¯tsɐn 'hœy ˌji _jɐp	
襯衫	¯tsɐn 'sam	
趁熱	¯tsɐn _jit	
趁熱鬧	¯tsɐn _jit _nau	湊熱鬧
趁熱食	¯tsɐn _jit _sik	趁熱吃
趁熱打鐵	¯tsɐn _jit ´da ¯tit	
趁勢	¯tsɐn ¯sɐi	
襯托	¯tsɐn ¯tɔk	
趁早	¯tsɐn ´dzou	
趁火打劫	¯tsɐn ´fɔ ´da ¯gip	
趁手	¯tsɐn ´sɐu	順手
趁人之危	¯tsɐn ˌjɐn 'dzi ˌŋɐi	
趁佢病，攞佢命	¯tsɐn ˏkœy _bɛŋ ´lɔ ˏkœy _mɛŋ	趁他病取他命，落井下石，打落水狗
襯裏	¯tsɐn ˏlei	裏子，衣服的內層
湊	¯tsɐu	照顧，照料
臭烹烹	¯tsɐu 'bɐŋ 'bɐŋ	臭臭的，臭烘烘
臭亨亨	¯tsɐu 'hɐŋ 'hɐŋ	臭臭的，臭烘烘
湊啱	¯tsɐu 'ŋam	恰巧，剛好
湊大	¯tsɐu _dai	帶大，養大
臭豆腐	¯tsɐu _dɐu _fu	
湊合	¯tsɐu _hɐp	
臭鼬	¯tsɐu _jɐu	
臭罵	¯tsɐu _ma	
臭味	¯tsɐu _mei	
糗事	¯tsɐu _si	
臭饠	¯tsɐu ¯lɔ	焦臭，煳味
湊細蚊仔	¯tsɐu ¯sɐi 'mɐn ´dzɐi	照料小孩
湊仔	¯tsɐu ´dzɐi	照顧孩子
湊蹺	¯tsɐu ´kiu	碰巧
湊埋	¯tsɐu ˌmai	湊夠，湊齊
臭錢	¯tsɐu ˌtsin	
臭氧	¯tsɐu ˏjœŋ	
臭美	¯tsɐu ˏmei	
銼刀	¯tsɔ 'dou	
挫敗	¯tsɔ _bai	
錯蕩	¯tsɔ _dɔŋ	什麼風把你吹來了？
錯誤	¯tsɔ _ŋ̩	
挫折	¯tsɔ ¯dzit	
錯過	¯tsɔ ¯gwɔ	
菜單	¯tsɔi 'dan	
菜刀	¯tsɔi 'dou	
菜花	¯tsɔi 'fa	
菜瓜	¯tsɔi 'gwa	
菜乾	¯tsɔi 'gɔn	乾菜
菜脯	¯tsɔi 'pou	蘿蔔乾
菜色	¯tsɔi 'sik	
賽車	¯tsɔi 'tsɛ	
賽車選手	¯tsɔi 'tsɛ ´syn ´sɐu	
賽車場	¯tsɔi 'tsɛ ˌtsœŋ	
菜地	¯tsɔi _dei	
菜豆	¯tsɔi _dɐu	
賽璐珞	¯tsɔi _lou ¯lɔk	
菜圃	¯tsɔi ´bou	
菜籽	¯tsɔi ´dzi	
菜館	¯tsɔi ´gun	
賽狗	¯tsɔi ´gɐu	
賽狗場	¯tsɔi ´gɐu ˌtsœŋ	
菜園	¯tsɔi ´jyn	
菜牌	¯tsɔi ´pai	菜單
賽跑	¯tsɔi ´pau	
賽跑選手	¯tsɔi ´pau ´syn ´sɐu	
菜農	¯tsɔi ˌnʊŋ	
賽船	¯tsɔi ˌsyn	
菜田	¯tsɔi ˌtin	
賽場	¯tsɔi ˌtsœŋ	
菜場	¯tsɔi ˌtsœŋ	
賽程	¯tsɔi ˌtsɪŋ	
菜餚	¯tsɔi ˌŋau	
菜薳	¯tsɔi ˏjyn	嫩菜薹，嫩菜心
賽馬	¯tsɔi ˏma	
賽馬場	¯tsɔi ˏma ˌtsœŋ	
菜鳥	¯tsɔi ˏniu	
菜市	¯tsɔi ˏsi	
菜市場	¯tsɔi ˏsi ˌtsœŋ	
剒	¯tsɔk	拽，用力拉，猛然拉動
剒樣	¯tsɔk ´jœŋ	耍帥
創辦	¯tsɔŋ _ban	
創辦人	¯tsɔŋ _ban ˌjɐn	
創造	¯tsɔŋ _dzou	
創造力	¯tsɔŋ _dzou _lik	
創意	¯tsɔŋ ¯ji	
斜	¯tsɛ	陡，傾斜
赤	¯tsɛk	痛，疼痛
赤足	¯tsɛk 'dzʊk	
赤色	¯tsɛk 'sik	
赤心	¯tsɛk 'sɐm	
赤身	¯tsɛk 'sɐn	
赤身露體	¯tsɛk 'sɐn _lou ´tɐi	
赤道	¯tsɛk _dou	
赤字	¯tsɛk _dzi	
赤衛軍	¯tsɛk _wɐi 'gwɐn	
赤衛隊	¯tsɛk _wɐi _dœy	
赤膊	¯tsɛk ¯bɔk	
赤腳	¯tsɛk ¯gœk	
赤腳醫生	¯tsɛk ¯gœk 'ji 'sɐŋ	
赤膽	¯tsɛk ´dam	
赤子	¯tsɛk ´dzi	
赤子之心	¯tsɛk ´dzi 'dzi 'sɐm	
赤裸	¯tsɛk ´lɔ	
赤裸裸	¯tsɛk ´lɔ ´lɔ	
赤手	¯tsɛk ´sɐu	
赤手空拳	¯tsɛk ´sɐu 'hʊŋ ˌkyn	
赤誠	¯tsɛk ˌsɪŋ	
赤條條	¯tsɛk ˌtiu ˌtiu	
掅	¯tsɪŋ	提，拎，抽起
秤	¯tsɪŋ	磅秤
稱職	¯tsɪŋ 'dzik	
稱心	¯tsɪŋ 'sɐm	
稱心如意	¯tsɪŋ 'sɐm ˌjy ¯ji	
掅住	¯tsɪŋ _dzy	提著
掅住一袋嘢	¯tsɪŋ _dzy 'jɐt _dɔi ˏjɛ	提著一袋東西
掅起	¯tsɪŋ ´hei	提起，拎起
掅起身	¯tsɪŋ ´hei 'sɐn	提起來
脫	¯tyt	套，身
脫脂	¯tyt 'dzi	
脫脂棉	¯tyt 'dzi ˌmin	
脫脂乳	¯tyt 'dzi ˏjy	
脫脂奶粉	¯tyt 'dzi ˏnai ´fɐn	
脫膠	¯tyt 'gau	
脫韁之馬	¯tyt 'gœŋ 'dzi ˏma	
脫韁野馬	¯tyt 'gœŋ ˏjɛ ˏma	
脫衣	¯tyt 'ji	
脫衣舞	¯tyt 'ji ˏmou	
脫粒	¯tyt 'nɐp	
脫粒機	¯tyt 'nɐp 'gei	
脫色	¯tyt 'sik	
脫色劑	¯tyt 'sik 'dzɐi	
脫身	¯tyt 'sɐn	
脫星	¯tyt 'sɪŋ	
脫出	¯tyt 'tsœt	
脫胎	¯tyt 'tɔi	
脫胎換骨	¯tyt 'tɔi _wun 'gwɐt	
脫罪	¯tyt _dzœy	
脫俗	¯tyt _dzʊk	
脫漏	¯tyt _lɐu	
脫落	¯tyt _lɔk	
脫位	¯tyt _wɐi	
脫穎而出	¯tyt _wɪŋ ˌji 'tsœt	
脫節	¯tyt ¯dzit	
脫髮	¯tyt ¯fat	
脫髮劑	¯tyt ¯fat 'dzɐi	
脫去	¯tyt ¯hœy	
脫殼	¯tyt ¯hɔk	
脫困	¯tyt ¯kwɐn	
脫臭	¯tyt ¯tsɐu	
脫稿	¯tyt ´gou	
脫軌	¯tyt ´gwɐi	
脫險	¯tyt ´him	
脫口而出	¯tyt ´hɐu ˌji 'tsœt	
脫水	¯tyt ´sœy	
脫水機	¯tyt ´sœy 'gei	
脫手	¯tyt ´sɐu	
脫產	¯tyt ´tsan	
脫離	¯tyt ˌlei	
脫離關係	¯tyt ˌlei 'gwan _hɐi	
脫離險境	¯tyt ˌlei ´him ´gɪŋ	
脫毛	¯tyt ˌmou	
脫毛劑	¯tyt ˌmou 'dzɐi	
脫皮	¯tyt ˌpei	
脫逃	¯tyt ˌtou	
脫腸	¯tyt ˌtsœŋ	
脫氧核糖核酸	¯tyt ˏjœŋ _hɐt ˌtɔŋ _hɐt 'syn	
脫臼	¯tyt ˏkɐu	
彖辭	¯tœn ˌtsi	
退兵	¯tœy 'bɪŋ	
退兵之計	¯tœy 'bɪŋ 'dzi ¯gɐi	
退租	¯tœy 'dzou	
退一步海闊天空	¯tœy 'jɐt _bou ´hɔi ¯fut 'tin 'hʊŋ	
退休	¯tœy 'jɐu	
退休金	¯tœy 'jɐu 'gɐm	
退休年齡	¯tœy 'jɐu ˌnin ˌlɪŋ	
退燒	¯tœy 'siu	
退燒藥	¯tœy 'siu _jœk	
退縮	¯tœy 'sʊk	
退出	¯tœy 'tsœt	
退出去	¯tœy 'tsœt ¯hœy	
退敗	¯tœy _bai	
退避	¯tœy _bei	
退步	¯tœy _bou	
退敵	¯tœy _dik	
退敵之計	¯tœy _dik 'dzi ¯gɐi	
退後	¯tœy _hɐu	
退學	¯tœy _hɔk	
退役	¯tœy _jik	
退役軍人	¯tœy _jik 'gwɐn ˌjɐn	
退熱	¯tœy _jit	
退讓	¯tœy _jœŋ	
退入	¯tœy _jɐp	
退路	¯tœy _lou	
退換	¯tœy _wun	
退還	¯tœy _wun	
退位	¯tœy _wɐi	
蛻變	¯tœy ¯bin	
退訂	¯tœy ¯dɪŋ	
退化	¯tœy ¯fa	
退貨	¯tœy ¯fɔ	
退去	¯tœy ¯hœy	
退焮	¯tœy ¯hɪŋ	退燒，退熱
退稅	¯tœy ¯sœy	
退黨	¯tœy ´dɔŋ	
退款	¯tœy ´fun	
退火	¯tœy ´fɔ	
退隱	¯tœy ´jɐn	
退選	¯tœy ´syn	
退水	¯tœy ´sœy	
退房	¯tœy ˌfɔŋ	
退而求其次	¯tœy ˌji ˌkɐu ˌkei ¯tsi	
退離	¯tœy ˌlei	
退錢	¯tœy ˌtsin	
退潮	¯tœy ˌtsiu	
退場	¯tœy ˌtsœŋ	
退伍	¯tœy ˏŋ̩	
退伍軍人	¯tœy ˏŋ̩ 'gwɐn ˌjɐn	
剃鬚	¯tɐi 'sou	刮鬍子
涕淚	¯tɐi _lœy	
剃面	¯tɐi _min	刮臉
替換	¯tɐi _wun	
剃眼眉	¯tɐi ˏŋan ˌmei	使人當眾出醜
嗿	¯tɐm	哄，哄騙
嗿細蚊仔	¯tɐm ¯sɐi 'mɐn ´dzɐi	哄小孩
嗿人	¯tɐm ˌjɐn	哄人，逗人
嗿人歡喜	¯tɐm ˌjɐn 'fun ´hei	哄人高兴
褪	¯tɐn	退，挪，移動，後退
褪色	¯tɐn 'sik	
褪步	¯tɐn _bou	退步
褪後	¯tɐn _hɐu	退後
褪後啲	¯tɐn _hɐu 'di	退後一點
褪過去	¯tɐn ¯gwɔ ¯hœy	挪過去
褪幾步	¯tɐn ´gei _bou	退後幾步
褪舦	¯tɐn ˏtai	退縮，打退堂鼓
投標	¯tɐu 'biu	
透風	¯tɐu 'fʊŋ	
透骨	¯tɐu 'gwɐt	
透光	¯tɐu 'gwɔŋ	
透析	¯tɐu 'sik	
透析法	¯tɐu 'sik ¯fat	
投書	¯tɐu 'sy	
透心	¯tɐu 'sɐm	
透心涼	¯tɐu 'sɐm ˌlœŋ	寒心，非常失望
透出	¯tɐu 'tsœt	
透汗	¯tɐu _hɔn	
透熱	¯tɐu _jit	
透熱性	¯tɐu _jit ¯sɪŋ	
透露	¯tɐu _lou	
透漏	¯tɐu _lɐu	
透視	¯tɐu _si	
透視度	¯tɐu _si _dou	
透視力	¯tɐu _si _lik	
透視鏡	¯tɐu _si ¯gɛŋ	
透視圖	¯tɐu _si ˌtou	
透射	¯tɐu _sɛ	
透過	¯tɐu ¯gwɔ	通過
透過	¯tɐu ¯gwɔ	
透氣	¯tɐu ¯hei	
透氣性	¯tɐu ¯hei ¯sɪŋ	
投案自首	¯tɐu ¯ɔn _dzi ´sɐu	
透頂	¯tɐu ´dɪŋ	
透水	¯tɐu ´sœy	
透水性	¯tɐu ´sœy ¯sɪŋ	
透爐	¯tɐu ˌlou	生爐子
透明	¯tɐu ˌmɪŋ	
透明漆	¯tɐu ˌmɪŋ 'tsɐt	
透明度	¯tɐu ˌmɪŋ _dou	
透明體	¯tɐu ˌmɪŋ ´tɐi	
唾罵	¯tɔ _ma	
唾沫	¯tɔ ¯mut	
唾手可得	¯tɔ ´sɐu ´hɔ 'dɐk	
拓荒	¯tɔk 'fɔŋ	
拓展	¯tɔk ´dzin	
拓墾	¯tɔk ´hɐn	
拓墾荒地	¯tɔk ´hɐn 'fɔŋ _dei	
托水龍	¯tɔk ´sœy ˌlʊŋ	代人付款不把錢付出、代人收款不把錢交給原主，全部自己吞沒
熨斗	¯tɔŋ ´dɐu	
蹚水	¯tɔŋ ´sœy	
踢波	¯tɛk 'bɔ	踢球，踢足球
踢爆	¯tɛk ¯bau	揭穿
踢腳	¯tɛk ¯gœk	陷入窘境，陷入困境，難辦；手忙腳亂
踢晒腳	¯tɛk ¯sai ¯gœk	陷入困境，手忙腳亂，非常忙碌
踢館	¯tɛk ´gun	尋釁
聽	¯tɪŋ	等著，聽候
聽殃	¯tɪŋ 'jœŋ	等著倒楣，禍到臨頭
聽衰	¯tɪŋ 'sœy	等著倒霉，禍到臨頭
聽鬧	¯tɪŋ _nau	等著捱罵
聽死	¯tɪŋ ´sei	等著死，等死
聽捱打	¯tɪŋ ˌŋai ´da	等著捱打
痛	¯tʊŋ	疼，痛
痛不欲生	¯tʊŋ 'bɐt _jʊk 'sɐŋ	
痛風	¯tʊŋ 'fʊŋ	
痛擊	¯tʊŋ 'gik	
痛哭	¯tʊŋ 'hʊk	
痛哭失聲	¯tʊŋ 'hʊk 'sɐt 'sɪŋ	
痛哭流涕	¯tʊŋ 'hʊk ˌlɐu ¯tɐi	
痛批	¯tʊŋ 'pɐi	
痛心	¯tʊŋ 'sɐm	
痛心疾首	¯tʊŋ 'sɐm _dzɐt ´sɐu	
痛斥	¯tʊŋ 'tsik	
痛恨	¯tʊŋ _hɐn	
痛入骨髓	¯tʊŋ _jɐp 'gwɐt ˏsœy	
痛閾	¯tʊŋ _wik	
痛到死	¯tʊŋ ¯dou ´sei	痛死了，痛得要死，痛得要命
痛到死死吓	¯tʊŋ ¯dou ´sei ´sei ´ha	痛得要命
痛快	¯tʊŋ ¯fai	
痛悔	¯tʊŋ ¯fui	
痛腳	¯tʊŋ ¯gœk	把柄，弱點
痛覺	¯tʊŋ ¯gɔk	
痛錫	¯tʊŋ ¯sɛk	疼愛，疼，愛惜
痛痛快快	¯tʊŋ ¯tʊŋ ¯fai ¯fai	
痛打	¯tʊŋ ´da	
痛苦	¯tʊŋ ´fu	
痛改前非	¯tʊŋ ´gɔi ˌtsin 'fei	
痛飲	¯tʊŋ ´jɐm	
痛楚	¯tʊŋ ´tsɔ	
痛癢	¯tʊŋ ˏjœŋ	
挖東牆補西牆	¯wat 'dʊŋ ˌtsœŋ ´bou 'sɐi ˌtsœŋ	
挖洞	¯wat _dʊŋ	
挖掘	¯wat _gwɐt	
挖肉補瘡	¯wat _jʊk ´bou 'tsɔŋ	
挖苦	¯wat ´fu	
挖泥	¯wat ˌnɐi	
挖泥機	¯wat ˌnɐi 'gei	
挖泥船	¯wat ˌnɐi ˌsyn	
斡旋	¯wat ˌsyn	
挖牆腳	¯wat ˌtsœŋ ¯gœk	
慰安婦	¯wɐi 'ɔn ˏfu	
畏懼	¯wɐi _gœy	
慰問	¯wɐi _mɐn	
慰問金	¯wɐi _mɐn 'gɐm	
慰問信	¯wɐi _mɐn ¯sœn	
喂食	¯wɐi _sik	
薈萃	¯wɐi _sœy	
蔚藍	¯wɐi ˌlam	
慰勞	¯wɐi ˌlou	
慰留	¯wɐi ˌlɐu	
喂奶	¯wɐi ˏnai	
韞	¯wɐn	監禁，關起來
韞黑房	¯wɐn 'hɐk ´fɔŋ	關禁閉
慍色	¯wɐn 'sik	
醞釀	¯wɐn _jœŋ	
韞入黑房	¯wɐn _jɐp 'hɐk ´fɔŋ	關禁閉，關進黑房
慍怒	¯wɐn _nou	
蘊含	¯wɐn ˌhɐm	
喎	¯wɔ	喔
嗌	¯ŋai	喊，罵，喊叫
嗌交	¯ŋai 'gau	吵架
嗌通街	¯ŋai 'tʊŋ 'gai	愛罵街的人
嗌救命	¯ŋai ¯gɐu _mɛŋ	喊救命
嗌痛	¯ŋai ¯tʊŋ	叫痛
嗌名	¯ŋai ˌmɛŋ	點名，喊名字
嗌嘢	¯ŋai ˏjɛ	叫東西吃
嗌嘢食	¯ŋai ˏjɛ _sik	叫東西吃
鈪	¯ŋak	鐲子，手鐲
晏	¯ŋan	晚，遲
晏	¯ŋan	午飯
晏晝	¯ŋan ¯dzɐu	中午
晏晝飯	¯ŋan ¯dzɐu _fan	午飯
晏覺	¯ŋan ¯gau	午覺
押	¯ŋap	掖，綰，捲
鴨	¯ŋap	男妓
鴨	¯ŋap	鴨子
押高衫袖	¯ŋap 'gou 'sam _dzɐu	挽起袖子，綰起袖子
押高褲腳	¯ŋap 'gou ¯fu ¯gœk	捲起褲管，捲起褲腿兒
鴨春	¯ŋap 'tsœn	鴨蛋
押後	¯ŋap _hɐu	延期
押後處理	¯ŋap _hɐu ˏtsy ˏlei	待以後再處理
鴨咀帽	¯ŋap ´dzœy ´mou	鴨舌帽
押屎片	¯ŋap ´si ´pin	掖尿布
餲	¯ŋat	臊臭
餲堪堪	¯ŋat 'hɐm 'hɐm	臊臊的
拗	¯ŋau	爭辯，爭論
拗撬	¯ŋau _giu	衝突，矛盾，爭吵
拗氣	¯ŋau ¯hei	鬥氣
拗頸	¯ŋau ´gɛŋ	抬杠，抬扛
拗口	¯ŋau ´hɐu	
懊悔	¯ŋou ¯fui	
懊悔不已	¯ŋou ¯fui 'bɐt ˏji	
懊喪	¯ŋou ¯sɔŋ	
懊惱	¯ŋou ˏnou	
翳	¯ŋɐi	陰暗，昏暗，煩悶，憋氣
翳滯	¯ŋɐi _dzɐi	胃口不好的感覺
翳焗	¯ŋɐi _gʊk	悶，悶熱
翳熱	¯ŋɐi _jit	悶熱
翳氣	¯ŋɐi ¯hei	心中氣悶，憋氣
暗啞抵	¯ŋɐm ´ŋa ´dɐi	吃啞巴虧，暗自忍受
凹凸	¯ŋɐu _dɐt	
愛	¯ŋɔi	要
愛錫	¯ŋɔi ¯sɛk	疼愛
惡	¯ŋɔk	兇
惡亨亨	¯ŋɔk 'hɐŋ 'hɐŋ	兇兇的
惡爺	¯ŋɔk 'jɛ	惡少，兇惡
惡爺頭	¯ŋɔk 'jɛ ´tɐu	惡少
惡作	¯ŋɔk ¯dzɔk	難辦，難處理
惡頂	¯ŋɔk ´dɪŋ	難相處，難以忍受，受不了
惡鯁	¯ŋɔk ´kɐŋ	難吃，難下嚥
惡死	¯ŋɔk ´sei	兇惡
惡死能登	¯ŋɔk ´sei ˌnɐŋ 'dɐŋ	惡狠狠，氣勢洶洶，十分兇狠的樣子
按	¯ŋɔn	押，抵押，典當
案底	¯ŋɔn ´dɐi	前科
蕹菜	¯ŋɔŋ ¯tsɔi	空心菜
甕缸	¯ŋʊŋ 'gɔŋ	大缸
暗礁	¯ɐm 'dziu	
暗瘡	¯ɐm 'tsɔŋ	粉刺，青春痘
暗喻	¯ɐm _jy	
暗示	¯ɐm _si	
暗戀	¯ɐm ´lyn	
凹地	¯ɐu _dei	
凹凸不平	¯ɐu _dɐt 'bɐt ˌpɪŋ	
凹凸鏡	¯ɐu _dɐt ¯gɛŋ	
凹洞	¯ɐu _dʊŋ	
凹陷	¯ɐu _ham	
凹鏡	¯ɐu ¯gɛŋ	
慪氣	¯ɐu ¯hei	
凹處	¯ɐu ¯tsy	
凹透鏡	¯ɐu ¯tɐu ¯gɛŋ	
凹凹凸凸	¯ɐu ¯ɐu _dɐt _dɐt	
凹形	¯ɐu ˌjɪŋ	
凹槽	¯ɐu ˌtsou	
愛不釋手	¯ɔi 'bɐt 'sik ´sɐu	
愛滋病	¯ɔi 'dzi _bɛŋ	
愛滋病人	¯ɔi 'dzi _bɛŋ ˌjɐn	
愛家	¯ɔi 'ga	
愛惜	¯ɔi 'sik	
愛心	¯ɔi 'sɐm	
愛妻	¯ɔi 'tsɐi	
愛屋及烏	¯ɔi 'ʊk _kɐp 'wu	
愛恨	¯ɔi _hɐn	
愛慕	¯ɔi _mou	
愛莫能助	¯ɔi _mɔk ˌnɐŋ _dzɔ	
愛上	¯ɔi _sœŋ	
愛護	¯ɔi _wu	
愛戴	¯ɔi ¯dai	
愛國	¯ɔi ¯gwɔk	
愛國心	¯ɔi ¯gwɔk 'sɐm	
愛國主義	¯ɔi ¯gwɔk ´dzy _ji	
愛國者	¯ɔi ¯gwɔk ´dzɛ	
愛國人士	¯ɔi ¯gwɔk ˌjɐn _si	
愛好	¯ɔi ¯hou	
愛好者	¯ɔi ¯hou ´dzɛ	
愛意	¯ɔi ¯ji	
愛靚唔愛命	¯ɔi ¯lɛŋ ˌm̩ ¯ɔi _mɛŋ	貪圖漂亮的形象而損害健康
愛妾	¯ɔi ¯tsip	
愛子	¯ɔi ´dzi	
愛撫	¯ɔi ´fu	
愛管閒事	¯ɔi ´gun ˌhan _si	
愛犬	¯ɔi ´hyn	
愛戀	¯ɔi ´lyn	
愛玩	¯ɔi ´wan	
愛人	¯ɔi ˌjɐn	
愛憐	¯ɔi ˌlin	
愛神	¯ɔi ˌsɐn	
愛情	¯ɔi ˌtsɪŋ	
愛情觀	¯ɔi ˌtsɪŋ 'gun	
愛理不理	¯ɔi ˏlei 'bɐt ˏlei	
愛女	¯ɔi ˏnœy	
惡魔	¯ɔk 'mɔ	
噁心	¯ɔk 'sɐm	
惡習	¯ɔk _dzap	
惡俗	¯ɔk _dzʊk	
惡毒	¯ɔk _dʊk	
惡罵	¯ɔk _ma	
惡夢	¯ɔk _mʊŋ	
惡念	¯ɔk _nim	
惡兆	¯ɔk _siu	
惡霸	¯ɔk ¯ba	
惡報	¯ɔk ¯bou	
惡戰	¯ɔk ¯dzin	
惡作劇	¯ɔk ¯dzɔk _kɛk	
惡鬥	¯ɔk ¯dɐu	
惡化	¯ɔk ¯fa	
惡貫滿盈	¯ɔk ¯gun ˏmun ˌjɪŋ	
惡棍	¯ɔk ¯gwɐn	
惡意	¯ɔk ¯ji	
惡劣	¯ɔk ¯lyt	
惡少	¯ɔk ¯siu	
惡勢力	¯ɔk ¯sɐi _lik	
惡性	¯ɔk ¯sɪŋ	
惡性循環	¯ɔk ¯sɪŋ ˌtsœn ˌwan	
惡臭	¯ɔk ¯tsɐu	
惡搞	¯ɔk ´gau	
惡鬼	¯ɔk ´gwɐi	
惡果	¯ɔk ´gwɔ	
惡感	¯ɔk ´gɐm	
惡犬	¯ɔk ´hyn	
惡狠狠	¯ɔk ´hɐn ´hɐn	
惡言	¯ɔk ˌjin	
惡人	¯ɔk ˌjɐn	
惡名	¯ɔk ˌmɪŋ	
