开放粤语词典（黄锡凌数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［黄锡凌拼音］	［国语解释］
言之有理	jin4 dzi1 jɐu5 lei5	
言之有物	jin4 dzi1 jɐu5 mɐt9	
言之无物	jin4 dzi1 mou4 mɐt9	
言之成理	jin4 dzi1 sɪŋ4 lei5	
筵席	jin4 dzik9	
言者	jin4 dzɛ2	
言者谆谆	jin4 dzɛ2 dzœn1 dzœn1	
言者谆谆，听者藐藐	jin4 dzɛ2 dzœn1 dzœn1 tɪŋ1 dzɛ2 miu5 miu5	
言者无罪	jin4 dzɛ2 mou4 dzœy6	
言者无罪，闻者足戒	jin4 dzɛ2 mou4 dzœy6 mɐn4 dzɛ2 dzʊk7 gai3	
言者无心，听者有意	jin4 dzɛ2 mou4 sɐm1 tɪŋ1 dzɛ2 jɐu5 ji3	
延续	jin4 dzʊk9	
言多必失	jin4 dɔ1 bit7 sɐt7	
延宕	jin4 dɔŋ6	
燃放	jin4 fɔŋ3	
言简意赅	jin4 gan2 ji3 gɔi1	
言教不如身教	jin4 gau3 bɐt7 jy4 sɐn1 gau3	
言归正传	jin4 gwɐi1 dzɪŋ3 dzyn6	
言归于好	jin4 gwɐi1 jy1 hou2	
言过其实	jin4 gwɔ3 kei4 sɐt9	
研究	jin4 gɐu3	
研究员	jin4 gɐu3 jyn4	
研究生	jin4 gɐu3 saŋ1	
研究所	jin4 gɐu3 sɔ2	
言下之意	jin4 ha6 dzi1 ji3	
燃起	jin4 hei2	
然后	jin4 hɐu6	
言行	jin4 hɐŋ6	
言行不符	jin4 hɐŋ6 bɐt7 fu4	
言行不一	jin4 hɐŋ6 bɐt7 jɐt7	
言行举止	jin4 hɐŋ6 gœy2 dzi2	
言行合一	jin4 hɐŋ6 hɐp9 jɐt7	
言行如一	jin4 hɐŋ6 jy4 jɐt7	
言行一致	jin4 hɐŋ6 jɐt7 dzi3	
言而有信	jin4 ji4 jɐu5 sœn3	
言而无信	jin4 ji4 mou4 sœn3	
言语	jin4 jy5	
言人人殊	jin4 jɐn4 jɐn4 sy4	
燃油	jin4 jɐu4	
言犹在耳	jin4 jɐu4 dzɔi6 ji5	
燃料	jin4 liu6	
燃料油	jin4 liu6 jɐu4	
言论	jin4 lœn6	
言论自由	jin4 lœn6 dzi6 jɐu4	
燃眉	jin4 mei4	
燃眉之急	jin4 mei4 dzi1 gɐp7	
言明	jin4 mɪŋ4	
言明在先	jin4 mɪŋ4 dzɔi6 sin1	
研判	jin4 pun3	
燃烧	jin4 siu1	
言谈	jin4 tam4	
言谈举止	jin4 tam4 gœy2 dzi2	
研讨会	jin4 tou2 wui2	
言辞	jin4 tsi4	
言词	jin4 tsi4	
言词辩论	jin4 tsi4 bin6 lœn6	
言传	jin4 tsyn4	
言传身教	jin4 tsyn4 sɐn1 gau3	
言出必行	jin4 tsœt7 bit7 hɐŋ4	
言情小说	jin4 tsɪŋ4 siu2 syt8	
贤惠	jin4 wɐi6	
言和	jin4 wɔ4	
言外之意	jin4 ŋɔi6 dzi1 ji3	
现暂	jin6 dzam6	到目前为止
现象	jin6 dzœŋ6	
现在	jin6 dzɔi6	
现状	jin6 dzɔŋ6	
现代	jin6 dɔi6	
现代化	jin6 dɔi6 fa3	
现代文学	jin6 dɔi6 mɐn4 hɔk9	
现金	jin6 gɐm1	
谚语	jin6 jy5	
现时	jin6 si4	
现身	jin6 sɐn1	
现实	jin6 sɐt9	
现实主义	jin6 sɐt9 dzy2 ji6	
现场	jin6 tsœŋ4	
现场直播	jin6 tsœŋ4 dzik9 bɔ3	
现场节目	jin6 tsœŋ4 dzit8 mʊk9	
苋菜	jin6 tsɔi3	
现银	jin6 ŋɐn2	现金
现银交易	jin6 ŋɐn2 gau1 jik9	现金交易
现银生意	jin6 ŋɐn2 saŋ1 ji3	现金生意
业绩	jip9 dzik7	
业主	jip9 dzy2	
业界	jip9 gai3	
叶茎	jip9 hɐŋ1	
业余	jip9 jy4	
叶绿素	jip9 lʊk9 sou3	
页面	jip9 min6	
叶面	jip9 min6	
业务	jip9 mou6	
业务部	jip9 mou6 bou6	
业务员	jip9 mou6 jyn4	
页数	jip9 sou3	
叶酸	jip9 syn1	
谒见	jit8 gin3	
拽不动	jit9 bɐt7 dʊŋ6	
热带	jit9 dai3	
热带地区	jit9 dai3 dei6 kœy1	
热带植物	jit9 dai3 dzik9 mɐt9	
热带气候	jit9 dai3 hei3 hɐu6	
热带鱼	jit9 dai3 jy4	
热带雨林	jit9 dai3 jy5 lɐm4	
热电	jit9 din6	
热电学	jit9 din6 hɔk9	
热电厂	jit9 din6 tsɔŋ2	
热到飞起	jit9 dou3 fei1 hei2	非常热，热得要命
热到流晒汗	jit9 dou3 lɐu4 sai3 hɔn6	热得直冒汗
热到死	jit9 dou3 sei2	热死了，热得要命，
孽障	jit9 dzœŋ3	
热胀	jit9 dzœŋ3	
热胀冷缩	jit9 dzœŋ3 laŋ5 sʊk7	
热衷	jit9 dzʊŋ1	
热衷于	jit9 dzʊŋ1 jy1	
孽种	jit9 dzʊŋ2	
热痱	jit9 fɐi2	痱子
热火	jit9 fɔ2	
热风	jit9 fʊŋ1	
热风炉	jit9 fʊŋ1 lou4	
热狗	jit9 gɐu2	
热气	jit9 hei3	
热气	jit9 hei3	上火，上焦热，火气，火气大
热气腾腾	jit9 hei3 tɐŋ4 tɐŋ4	
热血	jit9 hyt8	
热血动物	jit9 hyt8 dʊŋ6 mɐt9	
热血沸腾	jit9 hyt8 fɐi3 tɐŋ4	
热核	jit9 hɐt9	
热核反应	jit9 hɐt9 fan2 jɪŋ3	
热热哋	jit9 jit2 dei2	热热的，很热
热热烈烈	jit9 jit9 lit9 lit9	
热源	jit9 jyn4	
热辣辣	jit9 lat7 lat7	很热，很烫
热辣辣	jit9 lat9 lat9	
热力	jit9 lik9	
热力学	jit9 lik9 hɔk9	
热烈	jit9 lit9	
热恋	jit9 lyn2	
热泪	jit9 lœy6	
热泪盈眶	jit9 lœy6 jɪŋ4 hɔŋ1	
热量	jit9 lœŋ6	
热浪	jit9 lɔŋ6	
热卖	jit9 mai6	
热门	jit9 mun4	
热闹	jit9 nau6	
热能	jit9 nɐŋ4	
热柠茶	jit9 nɪŋ4 tsa4	热柠檬茶
热膨胀	jit9 paŋ4 dzœŋ3	
热线	jit9 sin3	
热线电话	jit9 sin3 din6 wa2	
热水	jit9 sœy2	
热水炉	jit9 sœy2 lou4	
热心	jit9 sɐm1	
热心肠	jit9 sɐm1 tsœŋ4	
热忱	jit9 sɐm4	
热身	jit9 sɐn1	
热身运动	jit9 sɐn1 wɐn6 dʊŋ6	
热天	jit9 tin1	夏天
热潮	jit9 tsiu4	
热处理	jit9 tsy5 lei5	
热肠	jit9 tsœŋ4	
热情	jit9 tsɪŋ4	
热情洋溢	jit9 tsɪŋ4 jœŋ4 jɐt9	
热头	jit9 tɐu2	太阳
热腾腾	jit9 tɐŋ4 tɐŋ4	
热爱	jit9 ɔi3	
腰布	jiu1 bou3	
腰部	jiu1 bou6	
腰带	jiu1 dai3	
腰刀	jiu1 dou1	
腰斩	jiu1 dzam2	
腰肢	jiu1 dzi1	
妖精	jiu1 dzɪŋ1	
妖怪	jiu1 gwai3	
腰果	jiu1 gwɔ2	
要挟	jiu1 hip8	
吆喝	jiu1 hɔt8	
妖艳	jiu1 jim6	
妖言惑众	jiu1 jin4 wak9 dzʊŋ3	
妖孽	jiu1 jit9	
妖娆	jiu1 jiu4	
妖冶	jiu1 jɛ5	
腰胯	jiu1 kwa3	
要求	jiu1 kɐu4	
腰力	jiu1 lik9	
妖媚	jiu1 mei6	
妖物	jiu1 mɐt9	
妖魔鬼怪	jiu1 mɔ1 gwɐi2 gwai3	
妖女	jiu1 nœy5	
腰酸	jiu1 syn1	
腰酸背痛	jiu1 syn1 bui3 tʊŋ3	
妖术	jiu1 sœt9	
妖声妖气	jiu1 sɪŋ1 jiu1 hei3	
腰缠万贯	jiu1 tsin4 man6 gun3	
邀请	jiu1 tsɪŋ2	
腰围	jiu1 wɐi4	
夭折	jiu2 dzit8	
扰人清梦	jiu2 jɐn4 tsɪŋ1 mʊŋ6	
扰乱	jiu2 lyn6	
夭亡	jiu2 mɔŋ4	
夭逝	jiu2 sɐi6	
夭寿	jiu2 sɐu6	
窈窕	jiu2 tiu5	
绕弯	jiu2 wan1	
要犯	jiu3 fan2	
要紧	jiu3 gɐn2	
要略	jiu3 lœk9	
要闻	jiu3 mɐn4	
要唔系	jiu3 m̩4 hɐi6	要不然
要唔要	jiu3 m̩4 jiu3	要不要
摇摆	jiu4 bai2	
瑶族	jiu4 dzʊk9	
遥控	jiu4 hʊŋ3	
遥控器	jiu4 hʊŋ3 hei3	
徭役	jiu4 jik9	
谣言	jiu4 jin4	
谣言止于智者	jiu4 jin4 dzi2 jy1 dzi3 dzɛ2	
鳐鱼	jiu4 jy4	
遥远	jiu4 jyn5	
饶沃	jiu4 jʊk7	
摇篮	jiu4 lam4	
摇篮曲	jiu4 lam4 kʊk7	
饶命	jiu4 mɪŋ6	
饶舌	jiu4 sit8	
饶舌歌	jiu4 sit8 gɔ1	
饶恕	jiu4 sy3	
摇身摇势	jiu4 sɐn1 jiu4 sɐi3	身子摇来摇去
鹞鹰	jiu6 jɪŋ1	
耀眼	jiu6 ŋan5	
淤积	jy1 dzik7	
迂腐	jy1 fu6	
淤泥	jy1 nɐi4	
于是	jy1 si6	
于是乎	jy1 si6 fu4	于是
淤塞	jy1 sɐk7	
迂回	jy1 wui4	
瘀	jy2	丢脸，尴尬，丢面子
瘀	jy2	讽刺，挖苦，损毁，取笑
瘀	jy2	瘀血，瘀伤，伤痕，出瘀血，青一块紫一块
瘀咗	jy2 dzɔ2	皮肤青肿，青一块紫一块，出瘀血了
瘀血	jy2 hyt8	
瘀黑	jy2 hɐk7	因瘀血而发黑
伛偻	jy2 lɐu4	
瘀晒	jy2 sai3	被撞得青一块紫一块的
酗酒	jy3 dzɐu2	
酗酒闹事	jy3 dzɐu2 nau6 si6	
愚笨	jy4 bɐn6	
瑜不掩瑕	jy4 bɐt7 jim2 ha4	
孺子	jy4 dzi2	
鱼子	jy4 dzi2	
鱼子酱	jy4 dzi2 dzœŋ3	
孺子可教	jy4 dzi2 hɔ2 gau3	
孺子可教也	jy4 dzi2 hɔ2 gau3 ja5	
如箭在弦	jy4 dzin3 dzɔi6 jin4	
如箭在弦，一触即发	jy4 dzin3 dzɔi6 jin4 jɐt7 tsʊk7 dzik7 fat8	
如坠五里雾中	jy4 dzœy6 ŋ̩5 lœy5 mou6 dzʊŋ1	
余震	jy4 dzɐn3	
余震不断	jy4 dzɐn3 bɐt7 dyn6	
儒者	jy4 dzɛ2	
鱼种	jy4 dzʊŋ2	
愚钝	jy4 dœn6	
余党	jy4 dɔŋ2	
蠕动	jy4 dʊŋ6	
如花似玉	jy4 fa1 tsi5 jʊk9	
愉快	jy4 fai3	
鱼贩	jy4 fan3	
如法炮制	jy4 fat8 pau3 dzɐi3	
愚夫愚妇	jy4 fu1 jy4 fu5	
如虎添翼	jy4 fu2 tin1 jik9	
余辉	jy4 fɐi1	
如火如荼	jy4 fɔ2 jy4 tou4	
如风过耳	jy4 fʊŋ1 gwɔ3 ji5	
瑜珈	jy4 ga1	
儒家	jy4 ga1	
如假包换	jy4 ga2 bau1 wun6	
如胶似漆	jy4 gau1 tsi5 tsɐt7	
儒教	jy4 gau3	
如饥似渴	jy4 gei1 tsi5 hɔt8	
娱记	jy4 gei3	跑娱乐新闻的记者
如故	jy4 gu3	
鱼贯	jy4 gun3	
鱼贯而入	jy4 gun3 ji4 jɐp9	
鱼骨	jy4 gwɐt7	
鱼骨	jy4 gwɐt7	鱼刺
如果	jy4 gwɔ2	
如今	jy4 gɐm1	
儒艮	jy4 gɐn3	
鱼钩	jy4 gɐu1	
鱼肝	jy4 gɔn1	
鱼肝油	jy4 gɔn1 jɐu4	
鱼缸	jy4 gɔŋ1	水族馆，鱼缸
鱼缸	jy4 gɔŋ1	
愚公移山	jy4 gʊŋ1 ji4 san1	
如下	jy4 ha6	
余下	jy4 ha6	
如下所述	jy4 ha6 sɔ2 sœt9	
余香	jy4 hœŋ1	
鱼香茄子	jy4 hœŋ1 kɛ2 dzi2	
如何	jy4 hɔ4	
如何是好	jy4 hɔ4 si6 hou2	
儒学	jy4 hɔk9	
余兴	jy4 hɪŋ3	
如意	jy4 ji3	
如意算盘	jy4 ji3 syn3 pun4	
余孽	jy4 jit9	
如鱼得水	jy4 jy4 dɐk7 sœy2	
鱼与熊掌	jy4 jy5 hʊŋ4 dzœŋ2	
鱼与熊掌不可兼得	jy4 jy5 hʊŋ4 dzœŋ2 bɐt7 hɔ2 gim1 dɐk7	
鱼丸	jy4 jyn2	鱼肉丸子
鱼丸	jy4 jyn4	
鱼丸汤	jy4 jyn4 tɔŋ1	
如愿	jy4 jyn6	
如愿以偿	jy4 jyn6 ji5 sœŋ4	
娱悦	jy4 jyt9	
如约	jy4 jœk8	
如若	jy4 jœk9	
如若不然	jy4 jœk9 bɐt7 jin4	
余音绕梁	jy4 jɐm1 jiu2 lœŋ4	
余音犹在	jy4 jɐm1 jɐu4 dzɔi6	
渔人	jy4 jɐn4	
愚人	jy4 jɐn4	
愚人节	jy4 jɐn4 dzit8	
如人饮水冷暖自知	jy4 jɐn4 jɐm2 sœy2 laŋ5 nyn5 dzi6 dzi1	
如泣如诉	jy4 jɐp7 jy4 sou3	
如入无人之境	jy4 jɐp9 mou4 jɐn4 dzi1 gɪŋ2	
如日中天	jy4 jɐt9 dzʊŋ1 tin1	
鱼油	jy4 jɐu4	
鱼游釜中	jy4 jɐu4 fu2 dzʊŋ1	
如影随形	jy4 jɪŋ2 tsœy4 jɪŋ4	
鱼肉	jy4 jʊk9	
鱼肉乡里	jy4 jʊk9 hœŋ1 lei5	
鱼肉人民	jy4 jʊk9 jɐn4 mɐn4	
愚勇	jy4 jʊŋ5	
鱼鳍	jy4 kei4	
逾期	jy4 kei4	
如期	jy4 kei4	
如期完成	jy4 kei4 jyn4 sɪŋ4	
鱼群	jy4 kwɐn4	
如履薄冰	jy4 lei5 bɔk9 bɪŋ1	
如履平地	jy4 lei5 pɪŋ4 dei6	
鱼鳞	jy4 lœn4	
鱼鳞片	jy4 lœn4 pin3	
鱼鳞癣	jy4 lœn4 sin2	
舆论	jy4 lœn6	
鱼雷	jy4 lœy4	
如雷贯耳	jy4 lœy4 gun3 ji5	
鱼雷艇	jy4 lœy4 tɪŋ5	
鱼类	jy4 lœy6	
鱼类学	jy4 lœy6 hɔk9	
儒林	jy4 lɐm4	
如临大敌	jy4 lɐm4 dai6 dik9	
娱乐	jy4 lɔk9	
娱乐版	jy4 lɔk9 ban2	
娱乐节目	jy4 lɔk9 dzit8 mʊk9	
娱乐圈	jy4 lɔk9 hyn1	
娱乐性	jy4 lɔk9 sɪŋ3	
娱乐场所	jy4 lɔk9 tsœŋ4 sɔ2	
如狼似虎	jy4 lɔŋ4 tsi5 fu2	
鱼龙曼衍	jy4 lʊŋ4 man6 jin2	
愚弄	jy4 lʊŋ6	
鱼尾	jy4 mei5	
鱼尾纹	jy4 mei5 mɐn4	
愚昧	jy4 mui6	
鱼米之乡	jy4 mɐi5 dzi1 hœŋ1	
渔民	jy4 mɐn4	
愚民	jy4 mɐn4	
鱼网	jy4 mɔŋ5	
鱼目混珠	jy4 mʊk9 wɐn6 dzy1	
如梦初醒	jy4 mʊŋ6 tsɔ1 sɪŋ2	
鱼腩	jy4 nam5	鱼肚子肉，鱼腹部的肉
鱼饵	jy4 nei6	
如鸟兽散	jy4 niu5 sɐu3 san3	
鱼片	jy4 pin3	
鱼鳔	jy4 piu5	
鱼生	jy4 saŋ1	生鱼片
鱼生粥	jy4 saŋ1 dzʊk7	鱼片粥
鱼市	jy4 si5	
鱼市场	jy4 si5 tsœŋ4	
如释重负	jy4 sik7 tsʊŋ5 fu6	
榆树	jy4 sy6	
渔船	jy4 syn4	
儒术	jy4 sœt9	
鱼水	jy4 sœy2	
如常	jy4 sœŋ4	
如上	jy4 sœŋ6	
如上所述	jy4 sœŋ6 sɔ2 sœt9	
濡湿	jy4 sɐp7	
如实	jy4 sɐt9	
儒生	jy4 sɐŋ1	
鱼鳃	jy4 sɔi1	
如丧考妣	jy4 sɔŋ3 hau2 bei2	
鱼腥	jy4 sɪŋ1	
鱼腥味	jy4 sɪŋ1 mei6	
鱼松	jy4 sʊŋ1	
鱼肚	jy4 tou5	
鱼肚白	jy4 tou5 bak9	
如痴如醉	jy4 tsi1 jy4 dzœy3	
如痴如狂	jy4 tsi1 jy4 kwɔŋ4	
如此	jy4 tsi2	
如此这般	jy4 tsi2 dzɛ5 bun1	
如此而已	jy4 tsi2 ji4 ji5	
如此一来	jy4 tsi2 ji5 lɔi4	
鱼翅	jy4 tsi3	
鱼刺	jy4 tsi3	
鱼翅羹	jy4 tsi3 gɐŋ1	
鱼池	jy4 tsi4	
鱼春	jy4 tsœn1	鱼卵，鱼子
愚蠢	jy4 tsœn2	
如出一口	jy4 tsœt7 jɐt7 hɐu2	
如出一辙	jy4 tsœt7 jɐt7 tsit8	
予取予求	jy4 tsœy2 jy4 kɐu4	
蠕虫	jy4 tsʊŋ4	
鱼汤	jy4 tɔŋ1	
鱼塘	jy4 tɔŋ4	
鱼塘坣	jy4 tɔŋ4 bɔk8	鱼塘边的基堤
如糖似蜜	jy4 tɔŋ4 tsi5 mɐt9	
如同	jy4 tʊŋ4	
如获至宝	jy4 wɔk9 dzi3 bou2	
如簧之舌	jy4 wɔŋ4 dzi1 sit8	
儒雅	jy4 ŋa5	
余额	jy4 ŋak9	
鱼雁	jy4 ŋan6	
鱼雁往返	jy4 ŋan6 wɔŋ5 fan2	
乳白	jy5 bak9	
乳白色	jy5 bak9 sik7	
雨滴	jy5 dik7	
雨点	jy5 dim2	
乳猪	jy5 dzy1	小猪
乳剂	jy5 dzɐi1	
雨霁	jy5 dzɐi3	
乳制品	jy5 dzɐi3 bɐn2	
乳汁	jy5 dzɐp7	
宇宙	jy5 dzɐu6	
雨遮	jy5 dzɛ1	雨伞
与众不同	jy5 dzʊŋ3 bɐt7 tʊŋ4	
语法	jy5 fat8	
雨粉	jy5 fɐn2	毛毛雨
雨粉粉	jy5 fɐn2 fɐn2	细雨纷飞
乳房	jy5 fɔŋ4	
雨季	jy5 gwɐi3	
雨过天晴	jy5 gwɔ3 tin1 tsɪŋ4	
语句	jy5 gœy3	
雨具	jy5 gœy6	
乳鸽	jy5 gɐp8	幼鸽子
与共	jy5 gʊŋ6	和
雨鞋	jy5 hai4	
语气	jy5 hei3	
语气助词	jy5 hei3 dzɔ6 tsi4	
羽檄	jy5 hɐt9	
雨后	jy5 hɐu6	
雨后春笋	jy5 hɐu6 tsœn1 sœn2	
雨靴	jy5 hɛu1	
雨衣	jy5 ji1	
予以	jy5 ji5	
乳液	jy5 jik9	
语言	jy5 jin4	
语言学	jy5 jin4 hɔk9	
语音	jy5 jɐm1	
羽绒	jy5 jʊŋ4	
与及	jy5 kɐp9	以及
乳沟	jy5 kɐu1	
雨露	jy5 lou6	
雨林	jy5 lɐm4	
雨褛	jy5 lɐu1	雨衣
乳酪	jy5 lɔk8	
雨溦	jy5 mei1	毛毛雨
雨溦仔	jy5 mei1 dzɐi2	毛毛雨
雨毛	jy5 mou1	毛毛雨
羽毛	jy5 mou4	
羽毛球	jy5 mou4 kɐu4	
雨帽	jy5 mou6	
乳名	jy5 mɪŋ4	
雨伞	jy5 san3	
乳腺	jy5 sin3	
乳酸	jy5 syn1	
雨顺风调	jy5 sœn6 fʊŋ1 tiu4	
雨水	jy5 sœy2	
雨水天	jy5 sœy2 tin1	雨天，多雨时节
与世无争	jy5 sɐi3 mou4 dzɐŋ1	
雨天	jy5 tin1	
乳齿	jy5 tsi2	
乳臭	jy5 tsɐu3	
乳臭未干	jy5 tsɐu3 mei6 gɔn1	
乳头	jy5 tɐu4	
乳晕	jy5 wɐn6	
乳癌	jy5 ŋam4	
预	jy6	预计，估计，做好准备，打算进去
遇到	jy6 dou2	
遇袭	jy6 dzap9	
御旨	jy6 dzi2	
愈战愈勇	jy6 dzin3 jy6 jʊŋ5	
预早	jy6 dzou2	预先，提早
预咗	jy6 dzɔ2	已经做好准备，打算进去，有数
预定	jy6 dɪŋ6	
预订	jy6 dɪŋ6	
预防	jy6 fɔŋ4	
愈加	jy6 ga1	
御驾	jy6 ga3	
遇见	jy6 gin3	
遇险	jy6 him2	
遇害	jy6 hɔi6	
御寒	jy6 hɔn4	
御医	jy6 ji1	
预言	jy6 jin4	
寓言	jy6 jin4	
遇人不淑	jy6 jɐn4 bɐt7 sʊk9	
御用	jy6 jʊŋ6	
预料	jy6 liu6	
愈来愈	jy6 lɔi4 jy6	
谕令	jy6 lɪŋ6	
预埋	jy6 mai4	算一份，计划在内
预埋我	jy6 mai4 ŋɔ5	算我，算我一份
遇难	jy6 nan6	
预兆	jy6 siu6	
御书	jy6 sy1	
预算	jy6 syn3	
遇上	jy6 sœŋ6	
寓所	jy6 sɔ2	
遇刺	jy6 tsik8	
遇刺身亡	jy6 tsik8 sɐn1 mɔŋ4	
预测	jy6 tsɐk7	
籲请	jy6 tsɪŋ2	
渊	jyn1	酸痛
冤崩烂臭	jyn1 bɐŋ1 lan6 tsɐu3	臭气熏天
渊到死	jyn1 dou3 sei2	酸痛死了，酸痛得要命
冤家	jyn1 ga1	
冤鬼	jyn1 gwɐi2	
蜿蜒	jyn1 jin4	
冤孽	jyn1 jit9	
鸳鸯	jyn1 jœŋ1	
鸳鸯	jyn1 jœŋ1	不成对儿，不对称，不是一对的
鸳鸯	jyn1 jœŋ1	咖啡茶，咖啡加奶茶
鸳鸯筷	jyn1 jœŋ1 fai3	一长一短的筷子，款式不同的筷子
鸳鸯鞋	jyn1 jœŋ1 hai4	一只一个样儿的鞋，一双左右配不上的鞋
鸳鸯戏水	jyn1 jœŋ1 hei3 sœy2	
鸳鸯门	jyn1 jœŋ1 mun4	不对称的两扇门
鸳鸯袜	jyn1 jœŋ1 mɐt9	不是一对的袜子
冤有头债有主	jyn1 jɐu5 tɐu4 dzai3 jɐu5 dzy2	
冤狱	jyn1 jʊk9	
鸢尾花	jyn1 mei5 fa1	
鸢尾科	jyn1 mei5 fɔ1	
冤情	jyn1 tsɪŋ4	
渊痛	jyn1 tʊŋ3	酸痛
冤魂	jyn1 wɐn4	
冤屈	jyn1 wɐt7	
冤枉	jyn1 wɔŋ2	
冤案	jyn1 ɔn3	
婉转	jyn2 dzyn2	
丸仔	jyn2 dzɐi2	药丸
婉谢	jyn2 dzɛ6	
婉言	jyn2 jin4	
婉言相劝	jyn2 jin4 sœŋ1 hyn3	
宛如	jyn2 jy4	
宛若	jyn2 jœk9	
婉拒	jyn2 kœy5	
婉惜	jyn2 sik7	
婉辞	jyn2 tsi4	
怨	jyn3	抱怨，埋怨
怨声载道	jyn3 sɪŋ1 dzɔi3 dou6	
怨天尤人	jyn3 tin1 jɐu4 jɐn4	
怨唱	jyn3 tsœŋ3	埋怨，抱怨
玄秘	jyn4 bei3	
完备	jyn4 bei6	
完璧归赵	jyn4 bik7 gwɐi1 dziu6	
园圃	jyn4 bou2	
原本	jyn4 bun2	
完毕	jyn4 bɐt7	
铅笔	jyn4 bɐt7	
铅笔刨	jyn4 bɐt7 pau2	削铅笔器
沿袭	jyn4 dzap9	
玄之又玄	jyn4 dzi1 jɐu6 jyn4	
原子	jyn4 dzi2	
原子笔	jyn4 dzi2 bɐt7	圆珠笔
原子弹	jyn4 dzi2 dan6	
原子序数	jyn4 dzi2 dzœy6 sou3	
原子反应	jyn4 dzi2 fan2 jɪŋ3	
原子反应堆	jyn4 dzi2 fan2 jɪŋ3 dœy1	
原子光谱	jyn4 dzi2 gwɔŋ1 pou2	
原子核	jyn4 dzi2 hɐt9	
原子核反应堆	jyn4 dzi2 hɐt9 fan2 jɪŋ3 dœy1	
原子炉	jyn4 dzi2 lou4	
原子论	jyn4 dzi2 lœn6	
原子量	jyn4 dzi2 lœŋ6	
原子能	jyn4 dzi2 nɐŋ4	
原子时代	jyn4 dzi2 si4 dɔi6	
原子数	jyn4 dzi2 sou3	
完整	jyn4 dzɪŋ2	
完婚	jyn4 fɐn1	
悬浮	jyn4 fɐu4	
原封	jyn4 fʊŋ1	
原封不动	jyn4 fʊŋ1 bɐt7 dʊŋ6	
沿街	jyn4 gai1	
沿革	jyn4 gak8	
悬隔	jyn4 gak8	
玄机	jyn4 gei1	
完结	jyn4 git8	
悬挂	jyn4 gwa3	
玄关	jyn4 gwan1	
完工	jyn4 gʊŋ1	
员工	jyn4 gʊŋ1	
完好	jyn4 hou2	
完好无缺	jyn4 hou2 mou4 kyt8	
玄虚	jyn4 hœy1	
沿海	jyn4 hɔi2	
玄学	jyn4 hɔk9	
玄学家	jyn4 hɔk9 ga1	
悬空	jyn4 hʊŋ1	
悬疑	jyn4 ji4	
悬而未决	jyn4 ji4 mei6 kyt8	
完完全全	jyn4 jyn4 tsyn4 tsyn4	
原因	jyn4 jɐn1	
原形	jyn4 jɪŋ4	
圆形	jyn4 jɪŋ4	
原形毕露	jyn4 jɪŋ4 bɐt7 lou6	
玄理	jyn4 lei5	
悬梁自尽	jyn4 lœŋ4 dzi6 dzœn6	
原谅	jyn4 lœŋ6	
圆溜溜	jyn4 lɐu6 lɐu6	
完美	jyn4 mei5	
完美无瑕	jyn4 mei5 mou4 ha4	
玄妙	jyn4 miu6	
玄武	jyn4 mou5	
玄武岩	jyn4 mou5 ŋam4	
辕门	jyn4 mun4	
玄门	jyn4 mun4	
完满	jyn4 mun5	
完满无缺	jyn4 mun5 mou4 kyt8	
元明清	jyn4 mɪŋ4 tsɪŋ1	
完事	jyn4 si6	
玄色	jyn4 sik7	
完善	jyn4 sin6	
元宵	jyn4 siu1	
元宵节	jyn4 siu1 dzit8	
元素	jyn4 sou3	
悬殊	jyn4 sy4	
玄孙	jyn4 syn1	
芫荽	jyn4 sœy1	
悬赏	jyn4 sœŋ2	
芫茜	jyn4 sɐi1	芫荽，香菜
原审	jyn4 sɐm2	
完成	jyn4 sɪŋ4	
完成式	jyn4 sɪŋ4 sik7	
原始	jyn4 tsi2	
元朝	jyn4 tsiu4	
源泉	jyn4 tsyn4	
完全	jyn4 tsyn4	
完场	jyn4 tsœŋ4	比赛结束了
玄青	jyn4 tsɪŋ1	
源头	jyn4 tɐu4	
烷烃	jyn4 tɪŋ1	
玄狐	jyn4 wu4	
原位	jyn4 wɐi6	
眩晕	jyn4 wɐn4	
悬崖	jyn4 ŋai4	
悬崖勒马	jyn4 ŋai4 lɐk9 ma5	
悬崖峭壁	jyn4 ŋai4 tsiu3 bik7	
玄奥	jyn4 ŋou3	
悬案	jyn4 ɔn3	
薳	jyn5	植物的嫩茎
远比	jyn5 bei2	
软笪笪	jyn5 dat8 dat8	软软的，软弱无力
远渡	jyn5 dou6	
远道而来	jyn5 dou6 ji4 lɔi4	
远渡重洋	jyn5 dou6 tsʊŋ4 jœŋ4	
远走高飞	jyn5 dzɐu2 gou1 fei1	
远征	jyn5 dzɪŋ1	
远征军	jyn5 dzɪŋ1 gwɐn1	
远东	jyn5 dʊŋ1	
远方	jyn5 fɔŋ1	
远房	jyn5 fɔŋ4	
远房亲戚	jyn5 fɔŋ4 tsɐn1 tsik7	
远隔重洋	jyn5 gak8 tsʊŋ4 jœŋ4	
远交近攻	jyn5 gau1 gɐn6 gʊŋ1	
远见	jyn5 gin3	
软件	jyn5 gin6	
软骨	jyn5 gwɐt7	
远近	jyn5 gɐn6	
